content,主题概率,主题类型,情感类型,情感得分
pleasure ,"[(0, 0.083363), (1, 0.08336283), (2, 0.08336242), (3, 0.083363295), (4, 0.083362296), (5, 0.58318615)]",5,POSITIVE,0.9998549222946167
plum winter snow ,"[(0, 0.041674316), (1, 0.79142237), (2, 0.041674204), (3, 0.041674383), (4, 0.041880243), (5, 0.041674446)]",1,POSITIVE,0.7366741895675659
poke delicious ,"[(0, 0.055645384), (1, 0.05572846), (2, 0.5072239), (3, 0.055566747), (4, 0.055566408), (5, 0.27026904)]",2,POSITIVE,0.9998471736907959
policy fail child country covid government ,"[(0, 0.024002014), (1, 0.023861708), (2, 0.5739701), (3, 0.33015165), (4, 0.024028506), (5, 0.023986058)]",2,NEGATIVE,0.9993106126785278
polite ,"[(0, 0.08334769), (1, 0.08334761), (2, 0.0834037), (3, 0.08334785), (4, 0.083347335), (5, 0.5832058)]",5,POSITIVE,0.9981918931007385
polite mouth smelly ,"[(0, 0.041784707), (1, 0.041675277), (2, 0.29613835), (3, 0.041917328), (4, 0.04167514), (5, 0.5368092)]",5,POSITIVE,0.7569743394851685
politic propaganda virus ,"[(0, 0.04175143), (1, 0.04183499), (2, 0.56193334), (3, 0.041781265), (4, 0.27097324), (5, 0.0417257)]",2,NEGATIVE,0.9971869587898254
politics interference crash olympic arena sportsmanship mess ,"[(0, 0.1931661), (1, 0.020863466), (2, 0.37167424), (3, 0.16403592), (4, 0.22907726), (5, 0.021182988)]",2,NEGATIVE,0.9997269511222839
politics mental poison mind western country belittle nation affect dominate position time 1020yrs china succeed fail ,"[(2, 0.46901414), (4, 0.19009124), (5, 0.3112635)]",2,NEGATIVE,0.9991356730461121
politics people slave communism wait future china fall ,"[(0, 0.3652523), (1, 0.018605523), (2, 0.56021774), (3, 0.018583745), (4, 0.018749664), (5, 0.01859104)]",2,NEGATIVE,0.9656133651733398
pollution harm planet ,"[(0, 0.041673053), (1, 0.7913844), (2, 0.041880753), (3, 0.04167309), (4, 0.041715544), (5, 0.04167316)]",1,NEGATIVE,0.9985737800598145
polytheist hell ,"[(0, 0.72160393), (1, 0.055585958), (2, 0.055654343), (3, 0.055640936), (4, 0.05556752), (5, 0.05594734)]",0,NEGATIVE,0.9982309937477112
pomegranate delicious taste ,"[(0, 0.041698776), (1, 0.04172297), (2, 0.7915513), (3, 0.041675698), (4, 0.041675467), (5, 0.041675784)]",2,POSITIVE,0.9998551607131958
poop bloody ,"[(0, 0.05556236), (1, 0.05584292), (2, 0.0556597), (3, 0.72181034), (4, 0.05556222), (5, 0.055562492)]",3,NEGATIVE,0.9993206262588501
poop country chine ,"[(0, 0.04196817), (1, 0.041927952), (2, 0.042630203), (3, 0.7892868), (4, 0.04249978), (5, 0.04168709)]",3,NEGATIVE,0.997491717338562
poop country people wrong video online rely survive kindness chinese meat food rich smallville ,"[(0, 0.29326147), (1, 0.31251457), (2, 0.011202597), (3, 0.36067793), (4, 0.011208856), (5, 0.011134618)]",3,NEGATIVE,0.9966304898262024
poop daily ,"[(0, 0.056765337), (1, 0.055634476), (2, 0.05580424), (3, 0.7204647), (4, 0.055771768), (5, 0.055559527)]",3,NEGATIVE,0.9849692583084106
poop nation ,"[(0, 0.3105809), (1, 0.055627007), (2, 0.056120306), (3, 0.46642017), (4, 0.055692423), (5, 0.055559188)]",3,NEGATIVE,0.9905107617378235
poop nation china suck ,"[(0, 0.38950625), (1, 0.033418324), (2, 0.033983428), (3, 0.26667672), (4, 0.033794463), (5, 0.24262084)]",0,NEGATIVE,0.9987744688987732
poor ,"[(0, 0.08390287), (1, 0.08340784), (2, 0.083633974), (3, 0.08340364), (4, 0.5817215), (5, 0.08393018)]",4,NEGATIVE,0.9997912049293518
poor china ,"[(0, 0.05593764), (1, 0.05563802), (2, 0.056031767), (3, 0.055608425), (4, 0.7210432), (5, 0.05574093)]",4,NEGATIVE,0.9997005462646484
poor chinese people infect ,"[(0, 0.033690266), (1, 0.033688936), (2, 0.033511627), (3, 0.033870142), (4, 0.5706376), (5, 0.29460147)]",4,NEGATIVE,0.9994896650314331
poor contribution ,"[(0, 0.05591267), (1, 0.055604924), (2, 0.055746853), (3, 0.055602305), (4, 0.05645628), (5, 0.72067696)]",5,NEGATIVE,0.9972934126853943
poor country china ,"[(0, 0.041890435), (1, 0.041764054), (2, 0.04207554), (3, 0.04173014), (4, 0.7907819), (5, 0.04175794)]",4,NEGATIVE,0.9996217489242554
poor country independently build international space station ,"[(0, 0.020888897), (1, 0.020870812), (2, 0.32552776), (3, 0.020902544), (4, 0.5908424), (5, 0.020967575)]",4,NEGATIVE,0.9993525147438049
poor fine comrade ,"[(0, 0.7908318), (1, 0.04173215), (2, 0.041776717), (3, 0.041694198), (4, 0.042116098), (5, 0.041849073)]",0,NEGATIVE,0.9583654403686523
poor hanbok culture biting korean hanfo wear olimpic gybhbbbb5751.f knowledge evidence belongs dude ,"[(0, 0.74092895), (1, 0.011920397), (2, 0.011934458), (3, 0.011918223), (4, 0.21137509), (5, 0.011922872)]",0,NEGATIVE,0.9985108971595764
poor qualify comment country sick ,"[(0, 0.027834313), (1, 0.028067496), (2, 0.028211407), (3, 0.027811162), (4, 0.8600734), (5, 0.028002165)]",4,NEGATIVE,0.9997146725654602
poor rich achieve dream ,"[(0, 0.033386514), (1, 0.033516686), (2, 0.033450596), (3, 0.033441763), (4, 0.8328229), (5, 0.033381555)]",4,POSITIVE,0.706311047077179
population care people activist save brutal killing cruel sadistic animal hope explain true ,"[(0, 0.011963065), (1, 0.45575827), (2, 0.011970098), (3, 0.36041027), (4, 0.012020049), (5, 0.14787827)]",1,POSITIVE,0.99616938829422
population grow faster ethnic china baseless ,"[(0, 0.024148915), (1, 0.18778126), (2, 0.571892), (3, 0.023824167), (4, 0.023914125), (5, 0.16843954)]",2,NEGATIVE,0.8914064168930054
population live poverty speed train ,"[(0, 0.66799414), (1, 0.027808713), (2, 0.027936807), (3, 0.2200659), (4, 0.028044634), (5, 0.028149787)]",0,NEGATIVE,0.9959774613380432
population village ,"[(0, 0.055649657), (1, 0.055664126), (2, 0.055559985), (3, 0.05556011), (4, 0.05558836), (5, 0.7219778)]",5,POSITIVE,0.9981605410575867
pork ,"[(0, 0.0833403), (1, 0.5832986), (2, 0.083340175), (3, 0.083340384), (4, 0.08334013), (5, 0.0833404)]",1,NEGATIVE,0.9165765047073364
pork talkin dumb stupid ,"[(0, 0.29035935), (1, 0.5757943), (2, 0.033706274), (3, 0.033353373), (4, 0.033441875), (5, 0.033344842)]",1,NEGATIVE,0.9996824264526367
post happen china visit fucking country kill people religion shame nation ,"[(0, 0.014019037), (1, 0.014036239), (2, 0.5388986), (3, 0.013928213), (4, 0.4051727), (5, 0.013945286)]",2,NEGATIVE,0.996917724609375
post picture video weibo announcement ,"[(0, 0.027879948), (1, 0.2186013), (2, 0.027983418), (3, 0.02807451), (4, 0.027944548), (5, 0.66951627)]",5,NEGATIVE,0.9581578969955444
post special coverage ,"[(0, 0.7912269), (1, 0.041734513), (2, 0.041835118), (3, 0.041673515), (4, 0.04169931), (5, 0.041830614)]",0,POSITIVE,0.9547998309135437
post talk concentration camp muslims torture ,"[(0, 0.023974156), (1, 0.023931589), (2, 0.56047493), (3, 0.023869695), (4, 0.023928462), (5, 0.34382114)]",2,NEGATIVE,0.9988890290260315
power diplomacy ,"[(0, 0.05572807), (1, 0.055573117), (2, 0.7219791), (3, 0.055573337), (4, 0.055572845), (5, 0.05557357)]",2,POSITIVE,0.9998393058776855
power girl ,"[(0, 0.055936817), (1, 0.05618528), (2, 0.7199613), (3, 0.05679738), (4, 0.05555955), (5, 0.05555971)]",2,POSITIVE,0.9990057349205017
praise ,"[(0, 0.08333631), (1, 0.08376855), (2, 0.08333626), (3, 0.08333632), (4, 0.08333625), (5, 0.58288634)]",5,POSITIVE,0.9998393058776855
praise allah ,"[(0, 0.055561308), (1, 0.720608), (2, 0.05577493), (3, 0.055561345), (4, 0.055561204), (5, 0.05693323)]",1,POSITIVE,0.9995392560958862
praise lord live fellow ,"[(0, 0.033632137), (1, 0.8319022), (2, 0.03354304), (3, 0.0335545), (4, 0.033510964), (5, 0.033857193)]",1,POSITIVE,0.9997822642326355
pray father ,"[(0, 0.055700805), (1, 0.05577817), (2, 0.0556133), (3, 0.05556033), (4, 0.72151196), (5, 0.055835433)]",4,POSITIVE,0.8807458877563477
pray pandemic wipe ,"[(0, 0.042044763), (1, 0.041676085), (2, 0.5409767), (3, 0.041676216), (4, 0.2917105), (5, 0.04191573)]",2,NEGATIVE,0.9672365784645081
pray return soul ,"[(0, 0.041835334), (1, 0.04168682), (2, 0.041728355), (3, 0.45934975), (4, 0.3737262), (5, 0.041673537)]",3,POSITIVE,0.9692335724830627
prayer faith strength care food health ,"[(0, 0.023846816), (1, 0.23612137), (2, 0.023966784), (3, 0.38869563), (4, 0.3035511), (5, 0.023818303)]",3,POSITIVE,0.9991501569747925
prayer pakistan stay strong hard time ,"[(0, 0.023902863), (1, 0.023967747), (2, 0.44548106), (3, 0.024259917), (4, 0.458562), (5, 0.023826439)]",4,NEGATIVE,0.7412752509117126
prayforchina ,"[(0, 0.08336302), (1, 0.083362855), (2, 0.08336244), (3, 0.08336331), (4, 0.08336231), (5, 0.5831861)]",5,NEGATIVE,0.9639449119567871
prayforeastturkistan ,"[(0, 0.08336301), (1, 0.08336284), (2, 0.08336243), (3, 0.0833633), (4, 0.0833623), (5, 0.58318615)]",5,NEGATIVE,0.8949389457702637
prejudice china independently ,"[(0, 0.041771982), (1, 0.04169863), (2, 0.041848086), (3, 0.041685358), (4, 0.7913149), (5, 0.041681036)]",4,NEGATIVE,0.9960287809371948
presence feel sick ,"[(0, 0.041736513), (1, 0.79106945), (2, 0.041987438), (3, 0.041764323), (4, 0.04176942), (5, 0.041672833)]",1,NEGATIVE,0.9987947940826416
president ,"[(0, 0.08333784), (1, 0.08333782), (2, 0.08366981), (3, 0.582482), (4, 0.083771005), (5, 0.083401516)]",3,POSITIVE,0.9982361793518066
president korean ,"[(0, 0.05558151), (1, 0.05557329), (2, 0.055852264), (3, 0.056781124), (4, 0.7205737), (5, 0.05563808)]",4,POSITIVE,0.9951978325843811
president sheep history dictator ,"[(0, 0.033362318), (1, 0.033350084), (2, 0.033580948), (3, 0.03383436), (4, 0.83248687), (5, 0.03338541)]",4,NEGATIVE,0.9756365418434143
president travel freely rest country lock china ,"[(0, 0.021001123), (1, 0.22682185), (2, 0.6890558), (3, 0.021178741), (4, 0.021091152), (5, 0.02085138)]",2,POSITIVE,0.9622788429260254
president winnie ,"[(0, 0.05556099), (1, 0.05556097), (2, 0.055653516), (3, 0.7219639), (4, 0.05568161), (5, 0.05557903)]",3,POSITIVE,0.9981008172035217
presidente fast contact presentatie dead dont ,"[(0, 0.024385178), (1, 0.023992963), (2, 0.023957895), (3, 0.87971044), (4, 0.02398075), (5, 0.023972744)]",3,NEGATIVE,0.9975937008857727
pressure ,"[(0, 0.083363), (1, 0.08336283), (2, 0.08336242), (3, 0.083363295), (4, 0.083362296), (5, 0.58318615)]",5,NEGATIVE,0.9932965636253357
pretty ,"[(0, 0.5822619), (1, 0.083337605), (2, 0.083751336), (3, 0.08333763), (4, 0.08354723), (5, 0.08376424)]",0,POSITIVE,0.9998189806938171
pretty beautiful ,"[(0, 0.7213752), (1, 0.05593096), (2, 0.055750065), (3, 0.055580065), (4, 0.055628534), (5, 0.055735115)]",0,POSITIVE,0.9998856782913208
pretty strict ,"[(0, 0.3883579), (1, 0.05556784), (2, 0.055842713), (3, 0.3886741), (4, 0.055707302), (5, 0.055850144)]",3,NEGATIVE,0.974494993686676
pretty~ ,"[(0, 0.08336301), (1, 0.08336284), (2, 0.08336243), (3, 0.0833633), (4, 0.0833623), (5, 0.58318615)]",5,POSITIVE,0.9988362193107605
previous china ,"[(0, 0.05649262), (1, 0.055630542), (2, 0.7203885), (3, 0.055621646), (4, 0.056258354), (5, 0.055608362)]",2,POSITIVE,0.9937098026275635
pride chinese ,"[(0, 0.055757597), (1, 0.72114795), (2, 0.055764195), (3, 0.055855386), (4, 0.055833884), (5, 0.05564099)]",1,POSITIVE,0.9996517896652222
pride guoping ,"[(0, 0.05556908), (1, 0.72214246), (2, 0.055581123), (3, 0.055569176), (4, 0.05556881), (5, 0.055569343)]",1,POSITIVE,0.9989232420921326
prime minister thailand expert ,"[(0, 0.033339612), (1, 0.03339306), (2, 0.033402715), (3, 0.033345357), (4, 0.033346552), (5, 0.83317274)]",5,POSITIVE,0.9975916147232056
private account dung beetle ,"[(0, 0.03343278), (1, 0.0333405), (2, 0.03339085), (3, 0.033340577), (4, 0.033340402), (5, 0.83315486)]",5,NEGATIVE,0.9946722388267517
produce tomato ,"[(0, 0.055581007), (1, 0.055580873), (2, 0.055580538), (3, 0.055581253), (4, 0.7213558), (5, 0.056320567)]",4,POSITIVE,0.9968993663787842
product destroy month ,"[(0, 0.04216596), (1, 0.04185541), (2, 0.041755036), (3, 0.29686826), (4, 0.5356829), (5, 0.041672416)]",4,NEGATIVE,0.9997721314430237
product indonesia troll speaking indonesian ,"[(0, 0.6386157), (1, 0.027834084), (2, 0.027802756), (3, 0.027788455), (4, 0.250026), (5, 0.027933056)]",0,NEGATIVE,0.9936816692352295
promote food culture tourism ancient medicine communist clown virus destruction stupid goat worship democrat ,"[(0, 0.33894455), (1, 0.011155555), (2, 0.61635864), (3, 0.011156348), (4, 0.011247756), (5, 0.011137141)]",2,NEGATIVE,0.987785816192627
proof fake ,"[(0, 0.05563532), (1, 0.055909522), (2, 0.05589348), (3, 0.055558212), (4, 0.05569917), (5, 0.7213043)]",5,NEGATIVE,0.998540997505188
proof gross generalization ,"[(0, 0.041710917), (1, 0.04167456), (2, 0.04167448), (3, 0.04173314), (4, 0.041715447), (5, 0.79149145)]",5,NEGATIVE,0.9990350008010864
proof release ,"[(0, 0.055635218), (1, 0.05555793), (2, 0.055557914), (3, 0.05555797), (4, 0.05558011), (5, 0.72211087)]",5,POSITIVE,0.9992170333862305
propaganda ,"[(0, 0.0833385), (1, 0.08402263), (2, 0.5826233), (3, 0.08333854), (4, 0.0833384), (5, 0.0833386)]",2,NEGATIVE,0.9988808035850525
prosper ,"[(0, 0.08333779), (1, 0.08333781), (2, 0.0833377), (3, 0.5833111), (4, 0.08333772), (5, 0.08333786)]",3,POSITIVE,0.9997621178627014
prosper motherland ,"[(0, 0.05556003), (1, 0.38873973), (2, 0.055559963), (3, 0.38880962), (4, 0.055770595), (5, 0.055560097)]",3,POSITIVE,0.9997361302375793
prosper wonderful cultural heritage performance shanxi china chinese people ,"[(0, 0.14885761), (1, 0.016740507), (2, 0.016731383), (3, 0.19501296), (4, 0.6059653), (5, 0.01669224)]",4,POSITIVE,0.9998249411582947
prosperity amazing shandong kiwifruit season china excitement chinese people forever ,"[(0, 0.015218039), (1, 0.7354236), (2, 0.2037424), (3, 0.015193284), (4, 0.0152519075), (5, 0.015170728)]",1,POSITIVE,0.999800980091095
prosperity china ,"[(0, 0.05592511), (1, 0.31249455), (2, 0.05620756), (3, 0.055612624), (4, 0.4641629), (5, 0.0555973)]",4,POSITIVE,0.999800980091095
prosperity china real intangible cultural heritage feeling excitement admiration chinese people forever ,"[(0, 0.012860799), (1, 0.46942464), (2, 0.012934072), (3, 0.01285527), (4, 0.47909245), (5, 0.012832801)]",4,POSITIVE,0.999818742275238
prosperity hunan tobacco production amazing chinese farmer forever ,"[(0, 0.018592514), (1, 0.74477553), (2, 0.018666267), (3, 0.18087278), (4, 0.018560944), (5, 0.018531939)]",1,POSITIVE,0.9997616410255432
prosperity lotus leave jiangsu excitement chinese people forever ,"[(0, 0.018557947), (1, 0.7043507), (2, 0.0186357), (3, 0.22131422), (4, 0.018586256), (5, 0.018555202)]",1,POSITIVE,0.9969362020492554
prosperity motherland ,"[(0, 0.0555572), (1, 0.72203696), (2, 0.055557176), (3, 0.055557214), (4, 0.055734277), (5, 0.05555723)]",1,POSITIVE,0.9997790455818176
prosperity peach jiangsu delicious chinese people forever ,"[(0, 0.18053019), (1, 0.7357412), (2, 0.021074632), (3, 0.020887502), (4, 0.020908328), (5, 0.020858157)]",1,POSITIVE,0.9998371601104736
prosperous motherland tiger ,"[(0, 0.041841112), (1, 0.79141814), (2, 0.041670304), (3, 0.041670382), (4, 0.041729648), (5, 0.04167041)]",1,POSITIVE,0.9994564652442932
protect chinese heard government build natural google wild animal scene control monkey. pray monkey ,"[(0, 0.011989423), (1, 0.012101717), (2, 0.011970868), (3, 0.011939836), (4, 0.76116246), (5, 0.19083573)]",4,NEGATIVE,0.9594405889511108
protect chinese timid timidity wisdom ,"[(0, 0.027860682), (1, 0.028344957), (2, 0.85947883), (3, 0.02789245), (4, 0.028449109), (5, 0.027973928)]",2,POSITIVE,0.9981784820556641
protect ecosanctuary admirable nature pollute predator planet inhabit ,"[(0, 0.01853399), (1, 0.60645336), (2, 0.018536909), (3, 0.018527366), (4, 0.018687064), (5, 0.31926134)]",1,POSITIVE,0.9989483952522278
protestors idiot shanghai ,"[(0, 0.31119704), (1, 0.041679762), (2, 0.042173352), (3, 0.041764494), (4, 0.04176077), (5, 0.5214246)]",5,NEGATIVE,0.9996150732040405
prove chinese people love animal hold meeting ,"[(0, 0.021036526), (1, 0.8951607), (2, 0.020890882), (3, 0.021009184), (4, 0.02096921), (5, 0.020933498)]",1,POSITIVE,0.9986109733581543
publish origin covid china laboratory vector russia ,"[(0, 0.020860994), (1, 0.02084328), (2, 0.02089843), (3, 0.020934286), (4, 0.8955879), (5, 0.020875085)]",4,NEUTRAL,0.5230200886726379
pull color revolution people dick silly socalled march organize external force street yuan imagine start china mind business worry ,"[(1, 0.25997695), (2, 0.11150106), (4, 0.60346174)]",4,NEGATIVE,0.9916492700576782
punish china people blessing ,"[(0, 0.033463158), (1, 0.033636697), (2, 0.03351566), (3, 0.033403248), (4, 0.8325999), (5, 0.03338137)]",4,NEGATIVE,0.7735315561294556
push water save human spread virus ,"[(0, 0.023855718), (1, 0.024011059), (2, 0.023878796), (3, 0.8800381), (4, 0.02432392), (5, 0.023892432)]",3,NEGATIVE,0.9918373227119446
pussy china ,"[(0, 0.055781387), (1, 0.055630445), (2, 0.7210469), (3, 0.055603497), (4, 0.05634285), (5, 0.055594873)]",2,NEGATIVE,0.987305223941803
pussy hairy fuck ,"[(0, 0.041714404), (1, 0.04172826), (2, 0.04189081), (3, 0.041688677), (4, 0.79128814), (5, 0.04168973)]",4,NEGATIVE,0.9920532703399658
putin month russian aggression ukraine troop cowardly priorized attack civil target terrorize population missile fall building residential house hospital school orphanage missil destroy maternity kill newborn russia genuinely reveal cruel ,"[(1, 0.18506226), (2, 0.10001599), (3, 0.08314312), (4, 0.14327571), (5, 0.48310181)]",5,NEGATIVE,0.9922601580619812
putin terrorist murderer ,"[(0, 0.04168387), (1, 0.37752724), (2, 0.042037398), (3, 0.45526937), (4, 0.041695334), (5, 0.04178678)]",3,NEGATIVE,0.9711515307426453
qian xuesen ballistic ,"[(0, 0.041677732), (1, 0.041677684), (2, 0.041677568), (3, 0.041677803), (4, 0.04167753), (5, 0.79161173)]",5,NEGATIVE,0.9609978795051575
quadruple mother funeral corona virus bring ,"[(0, 0.023828989), (1, 0.023935711), (2, 0.023938285), (3, 0.023827787), (4, 0.8805564), (5, 0.023912812)]",4,NEGATIVE,0.9746049642562866
quantum computer call chapter ,"[(0, 0.033492435), (1, 0.033832606), (2, 0.033364553), (3, 0.033471942), (4, 0.83247036), (5, 0.033368092)]",4,NEGATIVE,0.9627081751823425
quarrel sour chicken sister ,"[(0, 0.03335125), (1, 0.033761114), (2, 0.62287617), (3, 0.03335135), (4, 0.24330863), (5, 0.033351526)]",2,NEGATIVE,0.9969124794006348
queen ,"[(0, 0.08335845), (1, 0.083358325), (2, 0.08335804), (3, 0.08335862), (4, 0.58320767), (5, 0.08335889)]",4,POSITIVE,0.9950724244117737
question country dumbest ,"[(0, 0.04172022), (1, 0.041758742), (2, 0.79102457), (3, 0.041969854), (4, 0.041845426), (5, 0.0416812)]",2,NEGATIVE,0.9995446801185608
quiet ,"[(0, 0.083363), (1, 0.08336283), (2, 0.08336242), (3, 0.083363295), (4, 0.083362296), (5, 0.58318615)]",5,NEGATIVE,0.9974459409713745
qur'an plain magician ,"[(0, 0.041677732), (1, 0.041677684), (2, 0.041677568), (3, 0.041677803), (4, 0.04167753), (5, 0.79161173)]",5,NEGATIVE,0.9625688791275024
racist ,"[(0, 0.08333777), (1, 0.084304765), (2, 0.083525494), (3, 0.08430984), (4, 0.08344596), (5, 0.58107615)]",5,NEGATIVE,0.9997069239616394
racist assemble ,"[(0, 0.055564605), (1, 0.05582285), (2, 0.055617023), (3, 0.055827208), (4, 0.05559484), (5, 0.7215735)]",5,NEGATIVE,0.9991089701652527
racist dictatorship troll ,"[(0, 0.041789062), (1, 0.04181145), (2, 0.04171148), (3, 0.041793738), (4, 0.04173306), (5, 0.79116124)]",5,NEGATIVE,0.9984923601150513
racist ghetto ,"[(0, 0.055566788), (1, 0.055925865), (2, 0.05563927), (3, 0.72117686), (4, 0.05560857), (5, 0.056082666)]",3,NEGATIVE,0.9992578625679016
racist people country chinese authority tolerance discrimination read story ,"[(0, 0.016795408), (1, 0.467323), (2, 0.016891638), (3, 0.1766211), (4, 0.016848145), (5, 0.3055207)]",1,NEGATIVE,0.9646576642990112
raiden village ,"[(0, 0.05556675), (1, 0.05566969), (2, 0.05556656), (3, 0.05556684), (4, 0.055566523), (5, 0.72206366)]",5,POSITIVE,0.8973884582519531
rain ,"[(0, 0.58330125), (1, 0.08333974), (2, 0.08333966), (3, 0.08333981), (4, 0.08333964), (5, 0.083339885)]",0,NEGATIVE,0.9749966859817505
rain rainbow ,"[(0, 0.7221574), (1, 0.055568483), (2, 0.055568334), (3, 0.05556863), (4, 0.055568285), (5, 0.055568792)]",0,POSITIVE,0.9971317052841187
raise meat ,"[(0, 0.055608716), (1, 0.05590949), (2, 0.3885576), (3, 0.3886302), (4, 0.05569186), (5, 0.05560209)]",3,POSITIVE,0.9984385371208191
rana.good.u ,"[(0, 0.083363), (1, 0.08336283), (2, 0.08336242), (3, 0.083363295), (4, 0.083362296), (5, 0.58318615)]",5,POSITIVE,0.9998154044151306
randibaaz china ,"[(0, 0.05578129), (1, 0.055630337), (2, 0.7214648), (3, 0.055603392), (4, 0.055925384), (5, 0.05559474)]",2,NEGATIVE,0.7495868802070618
randistan hoga ,"[(0, 0.055571083), (1, 0.055571012), (2, 0.055570837), (3, 0.05557119), (4, 0.055570778), (5, 0.72214514)]",5,NEGATIVE,0.9966986775398254
ratha tala masamune risa pizza utada ,"[(0, 0.023815075), (1, 0.023815054), (2, 0.023815), (3, 0.023815107), (4, 0.023814982), (5, 0.88092476)]",5,NEGATIVE,0.9866353869438171
read ,"[(0, 0.084432594), (1, 0.08411226), (2, 0.58008695), (3, 0.08333946), (4, 0.08354145), (5, 0.08448727)]",2,POSITIVE,0.9962683320045471
read comment ,"[(0, 0.055933096), (1, 0.05591562), (2, 0.056107722), (3, 0.055583425), (4, 0.055753633), (5, 0.7207065)]",5,POSITIVE,0.9669138193130493
read comment biden negotiate ,"[(0, 0.033447046), (1, 0.03345495), (2, 0.37536764), (3, 0.033354215), (4, 0.033416484), (5, 0.49095967)]",5,NEUTRAL,0.5861615538597107
read country bitch real ,"[(0, 0.033444382), (1, 0.033462606), (2, 0.8326509), (3, 0.03336348), (4, 0.033488266), (5, 0.033590376)]",2,NEUTRAL,0.5982756018638611
read news stick mountain scientist virus ,"[(0, 0.024057513), (1, 0.7434157), (2, 0.023978826), (3, 0.02387614), (4, 0.16061075), (5, 0.024061067)]",1,NEGATIVE,0.9874023795127869
read news wuhan market reopen barbaric torture animal chain disease resurface ,"[(0, 0.17621185), (1, 0.404495), (2, 0.014062435), (3, 0.01392221), (4, 0.3773174), (5, 0.013991129)]",1,NEGATIVE,0.9860073924064636
reading involve troglodyte butthurt leave minute comment picture worth talk brainless ,"[(0, 0.013932635), (1, 0.013995676), (2, 0.81592757), (3, 0.013994538), (4, 0.12815416), (5, 0.013995428)]",2,NEGATIVE,0.9995012283325195
ready rise petal cover chinese graf ,"[(0, 0.023842067), (1, 0.88069), (2, 0.023893708), (3, 0.023861285), (4, 0.023888275), (5, 0.02382465)]",1,POSITIVE,0.9948911666870117
ready spring festival ,"[(0, 0.041955136), (1, 0.04197645), (2, 0.7903714), (3, 0.042179566), (4, 0.04182802), (5, 0.041689377)]",2,POSITIVE,0.9996289014816284
ready taiwan invasion ,"[(0, 0.041750163), (1, 0.042068515), (2, 0.5172739), (3, 0.04187442), (4, 0.31535605), (5, 0.041676927)]",2,POSITIVE,0.8421547412872314
real ,"[(0, 0.08338418), (1, 0.08378568), (2, 0.58226645), (3, 0.08340133), (4, 0.08382635), (5, 0.08333601)]",2,POSITIVE,0.9998708963394165
real olympics ,"[(0, 0.055594947), (1, 0.05590605), (2, 0.056651272), (3, 0.055626765), (4, 0.7206211), (5, 0.05559985)]",4,POSITIVE,0.9998117089271545
real sport fairy game ,"[(0, 0.03334108), (1, 0.03338561), (2, 0.8328809), (3, 0.033363566), (4, 0.033691477), (5, 0.033337392)]",2,POSITIVE,0.9994725584983826
realize freedom cherry ,"[(0, 0.041737415), (1, 0.79127353), (2, 0.041901845), (3, 0.041695565), (4, 0.04167556), (5, 0.0417161)]",1,POSITIVE,0.9993988275527954
reason china ,"[(0, 0.055766515), (1, 0.055615522), (2, 0.72112966), (3, 0.055998035), (4, 0.055910766), (5, 0.055579472)]",2,POSITIVE,0.9782640337944031
reason hate exists ,"[(0, 0.041921098), (1, 0.04175581), (2, 0.04186301), (3, 0.7909418), (4, 0.041701715), (5, 0.041816622)]",3,NEGATIVE,0.9948594570159912
reason mock uneducated urine prevent crown ,"[(0, 0.023819605), (1, 0.023871474), (2, 0.8807151), (3, 0.023861447), (4, 0.023826994), (5, 0.023905417)]",2,NEGATIVE,0.9947051405906677
reason pandemic chinese virus ,"[(0, 0.03367059), (1, 0.03353139), (2, 0.6342305), (3, 0.033698007), (4, 0.23134395), (5, 0.03352556)]",2,NEGATIVE,0.9560038447380066
reason save food notice government ,"[(0, 0.027988335), (1, 0.027880445), (2, 0.028122764), (3, 0.5996904), (4, 0.28837013), (5, 0.02794797)]",3,NEGATIVE,0.9785844683647156
reason talk evidence islamaphobe ,"[(0, 0.4407354), (1, 0.03351772), (2, 0.03368736), (3, 0.42513934), (4, 0.033560872), (5, 0.033359278)]",0,NEGATIVE,0.9716590046882629
recommend dali winter jujube product chinadailynews ,"[(0, 0.023946542), (1, 0.7354898), (2, 0.02382715), (3, 0.16893974), (4, 0.023976227), (5, 0.023820579)]",1,POSITIVE,0.9941639304161072
record holder catty ,"[(0, 0.0421148), (1, 0.041682936), (2, 0.79098797), (3, 0.041848283), (4, 0.041682698), (5, 0.041683324)]",2,POSITIVE,0.9996325969696045
recover people provide solution country human italy count breaths contribute ,"[(0, 0.015212138), (1, 0.24518076), (2, 0.45377937), (3, 0.15173689), (4, 0.015284348), (5, 0.118806556)]",2,POSITIVE,0.9678801894187927
recover worry prepare lotus qing capsule ebay helpful wild symptom ,"[(0, 0.015185519), (1, 0.015226791), (2, 0.11445563), (3, 0.59253556), (4, 0.24735034), (5, 0.015246096)]",3,NEGATIVE,0.9712836742401123
relationship china russian ,"[(0, 0.04177625), (1, 0.04176891), (2, 0.79065186), (3, 0.041943297), (4, 0.041977357), (5, 0.041882306)]",2,POSITIVE,0.9946243166923523
relationship exist time ,"[(0, 0.041726716), (1, 0.041854307), (2, 0.042202827), (3, 0.46770576), (4, 0.36480471), (5, 0.04170565)]",3,POSITIVE,0.9952747821807861
