时间,fenci,主题概率,主题类型
2023-08-29,旅客 污水 分享,"[(0, 0.04183322), (1, 0.79031897), (2, 0.041944847), (3, 0.04186722), (4, 0.042249337), (5, 0.041786425)]",1
2023-08-29,到达 海产品 啄木鸟 视频,"[(0, 0.3136489), (1, 0.034163024), (2, 0.32666746), (3, 0.03402509), (4, 0.25742775), (5, 0.03406772)]",2
2023-08-29,盼望着 转机,"[(0, 0.7191462), (1, 0.056170046), (2, 0.056173254), (3, 0.056169108), (4, 0.05617111), (5, 0.056170262)]",0
2023-08-29,代代,"[(0, 0.08341918), (1, 0.5829078), (2, 0.08341858), (3, 0.083418004), (4, 0.08341824), (5, 0.08341818)]",1
2023-08-29,办法,"[(0, 0.08336504), (1, 0.083343334), (2, 0.083460726), (3, 0.58292985), (4, 0.08338525), (5, 0.08351578)]",3
2023-08-30,学习 污水 应对 突发事件 市场 概率 过度 概念 赚钱 概念 逻辑 崩塌 推导 逻辑 赛道,"[(0, 0.010511413), (1, 0.010563126), (2, 0.5403946), (3, 0.16491322), (4, 0.010559693), (5, 0.26305795)]",2
2023-08-30,健康 达标 食品 说谎 污水 食品 谎言 出毛病 出毛病 千古罪人 遗臭 海产品 正愁 换钱 开口子 接盘 脑子里 收起,"[(2, 0.9552685)]",2
2023-08-30,时刻 污水 书城 视频,"[(0, 0.23329931), (1, 0.034253575), (2, 0.6307281), (3, 0.033999063), (4, 0.033863828), (5, 0.033856142)]",2
2023-08-30,随风 乱舞 排放 污水 事件 地方 发生 食盐 抢购 集团 区域 市场 发生 食盐 抢购 电商 渠道 缺货 现象 加班加点 配送 保障 市场供应 理性 盲目 抢购 详见 网页 链接 来源 收起,"[(3, 0.973658)]",3
2023-08-30,食材 污水 饮用 喝完 排海 别排 洋鬼子,"[(0, 0.020855812), (1, 0.18776913), (2, 0.020885935), (3, 0.020887328), (4, 0.72873944), (5, 0.020862343)]",4
2023-08-30,直供 解决 污水 解决 缺水,"[(0, 0.027879117), (1, 0.028287098), (2, 0.23704801), (3, 0.65091884), (4, 0.027945044), (5, 0.0279219)]",3
2023-08-30,思路 演戏 记者 证明 污水 人体 无害 污水 现场 极具 讽刺 意味 记者 面具 记者 现场 探访 撰写 报道 全世界 宣称 污水 网友 讽刺 网页 链接 收起,"[(1, 0.89968795), (2, 0.07633206)]",1
2023-08-30,官员 皇室 污水 指定 官方 御用 用水,"[(0, 0.18044901), (1, 0.021189114), (2, 0.7352571), (3, 0.021037465), (4, 0.021071907), (5, 0.020995447)]",2
2023-08-30,污水 排海,"[(0, 0.055704415), (1, 0.05667479), (2, 0.0558074), (3, 0.05610838), (4, 0.71993613), (5, 0.0557689)]",4
2023-08-30,污水 正式 消息 社交 平台 污水 话题 民众,"[(0, 0.018727409), (1, 0.3489703), (2, 0.01874943), (3, 0.23396039), (4, 0.018723529), (5, 0.36086896)]",5
2023-08-30,排放 污水 有没有 办法 阻拦 污水 祸害 浩瀚 祸害 无辜 生灵 祸害 人类 天灾 可恨 人祸,"[(3, 0.010115588), (4, 0.95022154)]",4
2023-08-31,污水 周边国家 担忧 民间 声浪 日本首相 市场 视察 污水 水产业 水产 批发商 试食 造访 向内地 扇贝 批发商 状况 业界 交易 大跌 希望 政府 放宽 水产 标准 网页 链接 收起,"[(1, 0.14208339), (2, 0.75032127), (3, 0.09073614)]",2
2023-08-31,国民 隐瞒 核辐射 危害 国民 排海 污水 地方 游玩 全世界 正常人 污水 核污染 扩散 日本首相 表演 日本首相 海域 洗洗 污水 海水 切实 演给 全世界 看一看 污水 无害 国民 洗澡 收起,"[(3, 0.9728308)]",3
2023-08-31,希望 恢复 民众 信心 污水 来得 女孩 背书 污水 直排 达标 人心,"[(0, 0.013006104), (1, 0.013043321), (2, 0.52967197), (3, 0.012957563), (4, 0.4183058), (5, 0.0130152)]",2
2023-08-31,污水 浸泡 桃子 污水 浇灌 桃子 爸爸 坐不住,"[(0, 0.018632554), (1, 0.018780513), (2, 0.018658394), (3, 0.33102182), (4, 0.01868776), (5, 0.594219)]",5
2023-08-31,大使 到达 生鱼片 忍不住 桃子 报纸 撰稿 核事故 核事故 国际 社会 提供 国际 社会 标准 模范 博弈论 视频 收起,"[(1, 0.6821164), (2, 0.10727659), (3, 0.18535729)]",1
2023-08-31,核电站 持有 公司 电力 股东 集团 股东 先锋 领航 股东 集团 全球 资产 公司 全球 资产 资本 集团 集团 支持 核电站 目的 转移 核电站 风险 制造 药物 市场 甘当 环境 国民 健康 小算盘 制裁 加剧 纷争 制造 国民 紧张 情绪 宪法 国家 军国主义 污水 地缘 政治 博弈 资本 权力 角逐 利益 角斗场 应对 资本 战略 超话 收起,"[(3, 0.9854706)]",3
2023-08-31,超话 人类 历史 时光 历史 耻辱柱 无视 国际 社会 劝阻 无视 民众 放任 污水 自私 残忍 愚昧 行径 震惊 世界 污水 侵蚀 人类 带来 生存 危机 国际 社会 愤怒 支持 岛国 黑手 原创 收起,"[(1, 0.9761384)]",1
2023-08-31,大使 过度 抹黑 污水 世界 破坏者 大使 发布 文章 指责 环境 立场 抹黑 立场 核污染 水排 海是 获取 政治 利益 虚假 信息 国际原子能机构 观察员 国家 专家 开放 态度 发起 虚假 信息 经济 胁迫 寻求 政治 利益 世界 破坏者 岛屿 渔民 过度 捕捞 鱼类 资源 破坏 国家 来源 收起,"[(1, 0.4878992), (3, 0.49834564)]",3
2023-08-31,网易 新闻 观察 节目 世界 研究所 副所长 污水 排放 态度 很大 发生 内容 视频 网易 财经 视频 收起,"[(3, 0.89545083), (5, 0.069193244)]",3
2023-08-31,污水 周边国家 担忧 民间 声浪 报道 日本首相 官员 进食 捕捞 形容 网页 链接 新聞 视频 收起,"[(0, 0.4072513), (3, 0.3120184), (4, 0.07915877), (5, 0.18173638)]",0
2023-08-31,打压 过程 是护 心切 心切 大使 发文 污水 计划 做法 透明 开放 搬出 疫情 源头 话题 抹黑 犹太裔 政客 典型 特征 虚伪 过程 花钱 国际原子能机构 背书 国际原子能机构 控制 排放 污水 答案 难解 护狗 使馆 地点 直至 污水 排毕 凸显 情谊 政客 护狗 心切 放狗 疫情 源头 老板 炒作 情报部门 出动 得来 求证 结论 政客 骚动 消沉 失望 全球 生物 实验室 人类 健康 带来 政客 遮遮掩掩 收起,"[(5, 0.9873637)]",5
2023-08-31,污水 环境 大臣 原田 多发性 骨髓瘤 全身 糜烂 客死 异乡 岛国,"[(0, 0.014077901), (1, 0.014216831), (2, 0.0140628), (3, 0.92940474), (4, 0.014067779), (5, 0.01416997)]",3
2023-08-31,污水 周边国家 担忧 民间 声浪 报道 日本首相 官员 进食 捕捞 形容 报道 经济 产业 大臣 财务 大臣 官员 出席 官邸 午宴 食用 捕捞 鲈鱼 生鱼片 网页 链接 收起,"[(0, 0.4767584), (1, 0.12545124), (2, 0.052547947), (3, 0.31276232), (4, 0.026659008)]",0
2023-09-01,核电站 现状 覆盖 水泥 石棺 全世界 募捐 耗资 承诺 核事故 借口 取消 捐助 核污染 物质 河流 筑坝 喷洒 化学物质 云层 降雨 收起,"[(3, 0.92345655), (4, 0.047154255)]",3
2023-09-01,网信 视频,"[(0, 0.056092825), (1, 0.7196317), (2, 0.056262415), (3, 0.05604995), (4, 0.05598876), (5, 0.05597437)]",1
2023-09-01,支持 总统 维护 正义 打击 核污国 计划 热门 网页 链接,"[(0, 0.015402342), (1, 0.85326886), (2, 0.08527143), (3, 0.015307964), (4, 0.01528201), (5, 0.0154673355)]",1
2023-09-01,利来 攘攘 利往 峰叔 三思 笔记 污水 三思 分享 网页 链接,"[(0, 0.0140962405), (1, 0.92944026), (2, 0.014074016), (3, 0.014062058), (4, 0.014254915), (5, 0.0140725225)]",1
2023-09-01,公布 机构 结果显示 受访者 担心 污水 受访者 抗拒 支持 政府 表达 担忧 民众 总统 评率 增加 新高 收起,"[(1, 0.18785357), (3, 0.7764822)]",3
2023-09-01,主持 例行 记者会 记者 提问 核污染 水排 日方 官员 声称 透明 日方 指责 实行 水产品 禁令 缺乏 声称 国家 撤销 评论 日方 言论 财经 视频 收起,"[(0, 0.1110582), (1, 0.58390903), (2, 0.03318608), (3, 0.10245486), (5, 0.16317356)]",1
2023-09-01,科研 勇闯 污水 污染区 打出 保卫 全球 旗帜 历史使命 展现 勇猛 无畏 气魄 面对 扬起 正义 驶向 险境 利益 全球 着想 勇士 决心 采集 样本 揭示 全球 事业 贡献 力量 掀起 全球 关注 浪潮 全球 公认 环境保护 面对 核污染 严峻 污水 人类 生存 挑衅 予以 回击 面临 压力 困难 坚定 站立 事业 战线 人类 前行 支持 收起,"[(1, 0.9854149)]",1
2023-09-02,日本首相 水产品 身体 紧急 送医 作秀 田原 死亡 世人 担心 污水 希望 做死 后尘,"[(0, 0.011491173), (1, 0.011282676), (2, 0.011492762), (3, 0.9430201), (4, 0.011313161), (5, 0.011400165)]",3
2023-09-02,地儿 真话 勇气 收起,"[(0, 0.5238289), (1, 0.34169745), (2, 0.033588927), (3, 0.033661682), (4, 0.0335634), (5, 0.033659626)]",0
2023-09-02,报应 全世界 表演 吃进 医院 送进去 估计 不好意思 演出 把头 衣服 客观 日本首相 肯定 遭受 辐射 入院 原因 住院 表演 吃受 核污染 违反 人伦 算是 收起,"[(0, 0.047802914), (2, 0.047476318), (3, 0.8858349)]",3
2023-09-02,获奖者 发表 超标 恐怖 至极 超标 人类 核辐射 耐受 最低 生物 耐受 核辐射 公布 超标 放射源 换算 概念 癌症 牛皮 照射 概率 随机性 效应 概率 高点 照射 不算 核素 种类 污水 生物 富集 效应 放大 作用 杀伤性 武器 夸张 冤枉 谋杀 战争 孩子 担忧 国家 洗衣粉 喊冤 污水 恐怖 杀伤性 武器 收起,"[(0, 0.021215305), (1, 0.19061725), (3, 0.62442565), (5, 0.15736067)]",3
2023-09-02,民族 震撼 全球 科研 核污染 圣地 大胆 冲入 污水 污染区 全世界 震惊 上演 畏惧 地面 带来 挥舞 正义 旗帜 险境 利益 维护 全球 稳定 网页 链接 收起,"[(0, 0.47519714), (1, 0.5006752)]",1
2023-09-02,独有 歌词 独有 主唱 作词 作曲 世界 地球 人口 日子 事件 污水 外流 颤抖 独有 污水 伤害 足够 收起,"[(1, 0.95823556)]",1
2023-09-02,污水 扩散 路线 视频,"[(0, 0.2720771), (1, 0.033844884), (2, 0.033721704), (3, 0.5930472), (4, 0.03371702), (5, 0.033592053)]",3
2023-09-02,污水 做出 支持 礼貌 展示 本性 商家 牌子 告诉 政客 嘲笑 游客 视频 显示 嘲讽 恶意 戏谑 狂热 国民 洗脑 厉害 警惕 收起,"[(1, 0.6981516), (4, 0.27375278)]",1
2023-09-02,时间 正式 核电站 核污染 排入 消息 引发 全球 关注 事件 发生 来到 询问 民众 事情 看法 居民 排放 污水 环境 视频 收起,"[(0, 0.0991541), (3, 0.87155616)]",3
2023-09-02,签署 投降书 遭受 原子弹 重创 电影 上映 正式 开启 科学家 开启 核能 魔盒 人能 现实 电影 历史 反思 寓言 互文 电影网 视频 收起,"[(0, 0.96493775)]",0
2023-09-03,现身说法,"[(0, 0.08576096), (1, 0.5712325), (2, 0.085762925), (3, 0.08574551), (4, 0.08574751), (5, 0.085750595)]",1
2023-09-03,回来 核污染 污水 网页 链接,"[(0, 0.38061342), (1, 0.50767773), (2, 0.027925005), (3, 0.027956016), (4, 0.027938416), (5, 0.027889445)]",1
2023-09-03,杀现 做现 顺便 污水,"[(0, 0.034651175), (1, 0.033957075), (2, 0.8300056), (3, 0.033864513), (4, 0.033875432), (5, 0.033646226)]",2
2023-09-03,胖哥 论坛 超话 签署 投降书 遭受 原子弹 重创 电影 上映 正式 开启 科学家 开启 核能 魔盒 人能 现实 电影 历史 反思 寓言 互文 电影网 视频 收起,"[(0, 0.9688405)]",0
2023-09-03,科学 变得 质疑 科学 反复 验证 舆论 国家 污水 条鱼,"[(0, 0.015185003), (1, 0.01535031), (2, 0.015255364), (3, 0.53253645), (4, 0.17802638), (5, 0.2436465)]",3
2023-09-03,占领 消息 显示 占领 村庄 区域 占领 妨碍 网络 宣称 兵临 距离 剩下 网络 动作 路透社 报道 官员 证实 政府 提供 贫铀弹 争议性 武器 报道 坦克 配备 贫铀 穿甲弹 计划 价值 挑战者 坦克 提供 贫铀弹 宣称 提供 武器 保证 提供 武器 前线 坦克 情况 用到 穿甲弹 前线 雷区 坦克 步兵 支援 火力 榴弹 频率 贫铀弹 弥补 武器 贫铀弹 放射性 接触 贫铀弹 士兵 攻击机 飞行员 坦克 弹药 装填 罹患 癌症 概率 正常人 贫铀弹 弹头 碎片 污染环境 前线 贫铀弹 地方 老百姓 遭受 贫铀 核辐射 伤害 事情 祸害 带到 坏事 赢得 环境 吸血 提供 贫铀弹 做法 报复 伤害 国家 烂摊子 凸显 灯塔 贫铀 土地 价值 占领 负担 遭受 损失 兵源 可用 基辅 当局 进行谈判 目的 滞留 难民 适合 征兵 伤亡 阵亡 超过 夸大 损失 伤亡 节目 阵亡 超过 惨烈 数字 换来 贫铀弹 举动 打光 价值 战争贩子 满意 停止 火星 方阵 收起,"[(1, 0.055031512), (3, 0.026295636), (4, 0.91503406)]",4
2023-09-03,效果 排放 全民 小白鼠 计划 正式 支持 核污染 排海 兄弟 圣母 小白鼠 项目 友人 滞销 商品 坤毛 光光 莹莹 绿光 收起,"[(0, 0.21375297), (3, 0.75545824)]",3
2023-09-03,首歌 回想 品尝 珍惜 感恩 赋予 美食 原因 享用 首歌 回味 味道 感受 独特 魅力 歌词 污水 追航 等待 发现 鲜美 名字 鱼儿 贝类 滋味 抗拒 海风 吹拂 展示 魅力 鲜美 瑰宝 味道 鲜美 明灯 引导 找寻 美好 海螺 号角 唤起 海水 孕育 味道 鲜美 诗篇 充满 情感 鲜美 明灯 引导 体验生活 美好 触动 鲜美 像是 笑容 洒满 心田 诗篇 味道 味道 讲述 故事 引导 体验生活 美好 发现 滋味 明灯 照亮 热爱 收起,"[(1, 0.98854405)]",1
2023-09-03,核电厂 排放 污水 放射性物质 面对 禁令 协调 提供 日圆 人民币 下同 水产业 摆脱 市场 依赖 包括 补贴 业者 引进 机器 打造 基础 污水 水产品 禁止 水产 重创 渔业 设立 总额 日圆 基金 用于 平息 负面 评论 渔民 传媒 报道 当局 计划 追加 日圆 减少 扇贝 依赖 渔业 网页 链接 收起,"[(3, 0.98347205)]",3
2023-09-03,污水 直排 洗地 玩意 底气 核污染 水排 根本就是 谎言 敷衍,"[(0, 0.015251109), (1, 0.0155842), (2, 0.01526629), (3, 0.015344268), (4, 0.92320734), (5, 0.015346807)]",4
2023-09-03,伤害 足够 纪念日 主唱 独有 历史 自强 独有 歌词 独有 主唱 作词 作曲 世界 地球 人口 日子 事件 污水 外流 颤抖 独有 污水 伤害 足够 收起,"[(1, 0.9690362)]",1
2023-09-04,独有 污水 民众 游行 政府 排放 污水 独有 歌词 独有 主唱 作词 作曲 编曲 世界 地球 人口 日子 事件 污水 外流 颤抖 独有 污水 伤害 足够 视频 收起,"[(1, 0.87748265), (2, 0.09941803)]",1
2023-09-04,滚去 污水 话题 转移 污水 视线 公关 到位,"[(0, 0.018675076), (1, 0.018819336), (2, 0.01899942), (3, 0.42283002), (4, 0.15979218), (5, 0.36088392)]",3
2023-09-04,电力公司 媒体 开放 参观 核污染 水排 设施 电力公司 海水 样本 放射性 浓度 宣称 排放 按计划 推进 累计 排放 超过 污水 计划 追加 渔业 基金 用于 支持 扇贝 依赖度 较高 水产业 收起,"[(3, 0.97374684)]",3
2023-09-04,污水 阻止 国人 不解 经验 经验 污水 引发 国际 社会 关注 阻止 污水 排放 关注 焦点 网页 链接,"[(1, 0.9558607)]",1
2023-09-04,博主 媒体 采访 表达 污水 看法 有没有 人报 世祖 作秀 霓虹 博得 好感 讽刺 世界 视频 电台 采访 排放 瓶子 当地人,"[(1, 0.16067858), (3, 0.13764839), (5, 0.6786229)]",5
2023-09-04,侵华日军 狞的 笑声 扇贝 跳水 肮脏 丑陋 扭曲 人心 污水 美食 故事会 视频,"[(0, 0.0121062845), (1, 0.012079051), (2, 0.9393107), (3, 0.012068295), (4, 0.012406138), (5, 0.012029548)]",2
2023-09-04,忙碌 剥夺 实在 视野 呼吸 浑浊 空气 喝一杯 酒店 收起,"[(0, 0.015187711), (1, 0.015253122), (2, 0.0152744595), (3, 0.015212647), (4, 0.01557908), (5, 0.923493)]",5
2023-09-04,报道 养殖场 石斑鱼 死亡 引发 关注 石斑鱼 死亡 受灾 地方 污水 石斑鱼 出货 水温 升高 死亡 据统计 已有 超过 死亡 相当于 饲养量 损失 金额 社会 渔民 核辐射 导致 忧虑 高涨 执政党 平息 声浪 核电站 排放 污水 改称 核污染 在野党 党魁 谴责 批评 时期 创氏 改名 诡异 言论 视频 收起,"[(3, 0.98322827)]",3
2023-09-04,水产部 海水 次官 部长 记者会 导致 水产品 萎缩 网页 链接,"[(0, 0.66450936), (1, 0.27378306), (2, 0.015341917), (3, 0.015516052), (4, 0.015452198), (5, 0.01539746)]",0
2023-09-04,媒体 发生 地震 电视台 报道 时间 发生 地震 报道 震感 震度 震源 海域 发生 地震 引发 特大 海啸 地震 海啸 双重 核电站 放射性物质 泄漏 正式 污水 过滤 稀释 排放 收起,"[(0, 0.5227059), (3, 0.45561618)]",0
2023-09-04,支持 污水 污水 天将,"[(0, 0.0341071), (1, 0.5852706), (2, 0.034155946), (3, 0.27811295), (4, 0.03420125), (5, 0.03415217)]",1
2023-09-04,污水 无惧 内地 客大 酒店 加价 无人,"[(0, 0.68028647), (1, 0.021384152), (2, 0.021169918), (3, 0.021254756), (4, 0.2347207), (5, 0.021184003)]",0
2023-09-04,污水 销路 受阻 水温 升高 死亡 爆笑 场面 视频,"[(0, 0.016832821), (1, 0.016869115), (2, 0.32707754), (3, 0.60555243), (4, 0.016845345), (5, 0.016822739)]",3
2023-09-04,污水 阴霾 全球 瞭望 强为 科技 灾异 祥奇 补志 人类 集团 地球 充满 浓郁 忧伤 焦虑 地球 生命体 面对 人为 灾难 源自 健康 面临 战栗 承载 地球 阴霾 密布 无视 呼声 不顾 国际 社会 计划 正当性 合法性 质疑 漠视 计划 损害 全球 人类 健康 风险 执意 推进 核污染 水排 计划 正式 公开 排放 核污染 分享 网易 新闻 污水 阴霾 全球 瞭望 污水 阴霾 全球 瞭望 收起,"[(1, 0.3070039), (4, 0.68290895)]",4
2023-09-04,污水 排放 只能 祈祷 正确,"[(0, 0.02786758), (1, 0.85988945), (2, 0.027949296), (3, 0.028052242), (4, 0.028032785), (5, 0.028208595)]",1
2023-09-04,秘密 布局 充足 无忧 新闻 面对 污水 全球 关注 布局 措施 显示 前瞻性 海洋资源 开发 利用 保护措施 实施 生态 保护 养殖业 需求 资源 盐业 上有 保障 保护 海洋资源 保障 污水 事件 警醒 保护 保护 全球 核电站 污水 战争 展示 超乎 想象 勇气 见证 发生 排放 污水 超话 收起,"[(1, 0.9828176)]",1
2023-09-04,洗脸 早餐 平台 天空 时间 想想 午餐 日子 收起,"[(0, 0.016776048), (1, 0.01678135), (2, 0.91609174), (3, 0.016808022), (4, 0.016776921), (5, 0.01676589)]",2
2023-09-05,绝食 政府 起诉 绝食,"[(0, 0.03350095), (1, 0.18523972), (2, 0.68093514), (3, 0.033413608), (4, 0.033412833), (5, 0.03349776)]",2
2023-09-05,小伙子 采访 滚出 小伙子 采访 看法 受访 老头 称核 得知 小伙子 小伙子 一斑 全貌 态度 记得 友好 收起,"[(3, 0.9557099)]",3
2023-09-05,民众 污水 民众 政府 禁止 水产品 签署 禁令 当众 作秀 吃起 忠心,"[(0, 0.0129222805), (1, 0.45851216), (2, 0.3252535), (3, 0.17743792), (4, 0.0129276905), (5, 0.012946483)]",1
2023-09-05,水产品 声称 做法 接受 行径 典型 不顾 执意 污水 排进 提升 海域 污水 放射性物质 风险 保护 国民 健康 核心 考量 禁止 水产品 污水 措施 水产品 破坏 水产品 环境 水产品 核辐射 物质 风险 商品 禁令 理由 狂吠 实施 芯片 禁令 做出 危害 封杀 芯片 市场 说理 收起,"[(1, 0.9821208)]",1
2023-09-05,政论 节目 主持人 提议 飞机 污水 政论 节目 主持人 提议 飞机 污水 网页 链接,"[(0, 0.011183762), (1, 0.01126349), (2, 0.09516924), (3, 0.8600199), (4, 0.011216771), (5, 0.011146819)]",3
2023-09-05,恶意 推测 世界 凶残 无耻 阴险 污水 排入 引发 水产品 实施 禁令 大使 作秀 核污染 普通人 支持 祸害 人类 双标 主权 原则 存有 杀伤性 武器 出兵 可笑 发现 类似 武器 危害 人类 污水 排入 支持 收起,"[(1, 0.9773499)]",1
2023-09-05,队员 采购 地区 水产品 污水 地区 水产品 国家 抵制 水产品 市场 哀鸿 情况 防卫 次官 防卫 发布 通知 防卫 自卫队 采购 地区 水产品 想起 包括 大陆 禁止 台当局 官兵 地区 水产品 请问 自卫队 人类 奇葩 代表 适度 带有 放射线 食品 身体 延年益寿 逻辑 队员 水产品 战斗力 变强 怕怕 防卫 起到 带动 作用 刺激 带动 水产品 市场 一针 强心剂 自卫队 队员 小白鼠 估计 征兵 收起,"[(5, 0.98695743)]",5
2023-09-05,连续 排放 污水 报道 水产品 形象 受损 下滑 紧急 拨款 支援 水产业 公关 渔业 出钱 治理 污水 该死 污水 销路 受阻 水温 升高 死亡 博弈论 视频 收起,"[(3, 0.96973723)]",3
2023-09-05,电力公司 邀请 外媒 记者 参观 污水 设施 日方 希望 媒体 排放 观点 记者 提议 参与 提高 拒绝 公關 參與,"[(2, 0.7280868), (5, 0.23797786)]",2
2023-09-06,年少 印象 动画片 特摄片 机率 怪兽 期盼 出场 我会 思考 意味着 拯救 推动 剧情 污水 排放 怪兽 意识 现实 巨人 人类 救世主 污水 排放 危害 污水 含有 放射性物质 放射性 同位素 物质 毒性 环境 放射性物质 有害 积累 食物链 传递 生物 高浓度 放射性物质 导致 基因突变 破坏 危害 导致 数量 减少 灭绝 破坏 平衡 食物链 污水 污水 扩散 海域 面临 放射性物质 风险 暴露 放射性物质 增加 癌症 健康 风险 虚构 怪兽 目睹 放射性物质 奇怪 鱼类 人类 怪兽 收起,"[(1, 0.05862366), (3, 0.847065), (4, 0.027193317), (5, 0.06261291)]",3
2023-09-06,财经报道 污水 销路 受阻 水温 升高 死亡 爱看 吃播 视频,"[(0, 0.32542664), (1, 0.015452102), (2, 0.015460295), (3, 0.6124694), (4, 0.015430414), (5, 0.015761117)]",3
2023-09-06,发现 得利 污水 幻觉,"[(0, 0.03399839), (1, 0.034188237), (2, 0.034050804), (3, 0.03402981), (4, 0.8297163), (5, 0.034016423)]",4
2023-09-06,国务 长朴 购然 国家 政策 机构 污水 应对 方案 报告 公开 一事 政府 制定 应对 方案 过程 参考 报告 建议 网页 链接,"[(2, 0.45575106), (3, 0.51493466)]",3
2023-09-06,电力公司 媒体 开放 参观 核污染 水排 设施 电力公司 海水 样本 放射性 浓度 宣称 排放 按计划 推进 累计 排放 超过 污水 计划 追加 渔业 基金 用于 支持 扇贝 依赖度 较高 水产业 摄影师 环球 视野 网页 链接 收起,"[(3, 0.97712934)]",3
2023-09-06,污水 放射性物质 最低 浓度 人类 患癌 风险 增加 热血 军迷 大本营 超话 总编辑 视频,"[(0, 0.011296677), (1, 0.66704017), (2, 0.011255699), (3, 0.20063993), (4, 0.011280568), (5, 0.098486945)]",1
2023-09-06,峰会 聚焦 地区 繁荣 稳定 大地 文章 乡村 篮球 乒乓外交 水产品 转向 渔民 排海 项目 起诉 政府,"[(0, 0.7785749), (5, 0.18357743)]",0
2023-09-06,污水 倒灌 本土 污水 倒灌 本土 网页 链接,"[(0, 0.39380655), (1, 0.18524727), (2, 0.018691914), (3, 0.0186802), (4, 0.018689044), (5, 0.364885)]",0
2023-09-06,环球网 富士 报道 提交 书面 文件 撤销 水产品 措施 国际 研究院 研究所 研究员 日方 目的 想要 指责 措施 违背 规则 政治化 炒作 政治 污水 制造 合法性 看作 舆论 外交 新闻 视频 收起,"[(5, 0.97445303)]",5
2023-09-06,环球网 富士 报道 提交 书面 文件 撤销 水产品 措施 国际 研究院 研究所 研究员 日方 目的 想要 指责 措施 违背 规则 政治化 炒作 政治 污水 制造 合法性 看作 舆论 外交 新闻 新闻 全球 视频 收起,"[(5, 0.9759013)]",5
2023-09-06,人类 倾倒 污水 提出 海岸线 最长 海域 受害 百姓 赔偿 人民币,"[(0, 0.013930118), (1, 0.39087498), (2, 0.013947908), (3, 0.17783754), (4, 0.14828184), (5, 0.2551276)]",1
2023-09-06,降低 成本 污水 排入 应对 禁令 数学 体育老师,"[(0, 0.3093461), (1, 0.019143283), (2, 0.018928126), (3, 0.6145563), (4, 0.01894059), (5, 0.019085603)]",3
2023-09-06,情绪 例子 貌似 做错 污水 事实 历史 罪行 事实 理性,"[(0, 0.015268225), (1, 0.3403426), (2, 0.015211378), (3, 0.49667504), (4, 0.11724223), (5, 0.015260493)]",3
2023-09-06,污水 核水 排海 大祸 祸殃 认错 推责 责及 穷追 过失 下场 悲惨 休言 道理 听不进 订货,"[(1, 0.9500134), (5, 0.010148546)]",1
2023-09-07,告诉 抵制 污水 质询 环境 委员会,"[(0, 0.024158513), (1, 0.8051998), (2, 0.024041133), (3, 0.02399995), (4, 0.09856617), (5, 0.024034435)]",1
2023-09-07,污水 联名 打开 老家 市场,"[(0, 0.02781205), (1, 0.028244462), (2, 0.028508201), (3, 0.8593628), (4, 0.028216416), (5, 0.027856141)]",3
2023-09-07,污水 联名 打开 老家 市场,"[(0, 0.027812053), (1, 0.02824459), (2, 0.028529713), (3, 0.85934097), (4, 0.028216546), (5, 0.027856153)]",3
2023-09-07,驾驶 畅快 风景 感动 烦恼 国际 自行车 大赛 期待 晚会 精彩 服务区 餐厅 收起,"[(0, 0.011231599), (1, 0.011259665), (2, 0.1508919), (3, 0.736328), (4, 0.07905962), (5, 0.011229186)]",3
2023-09-07,质询 政府 问政 政府 污水 应对 措施 世界 露营 预算 执行 情况 在野 阵营 担心 排污 解禁 伏笔 谴责 政府 耗费 税金 污水,"[(3, 0.2015458), (5, 0.77028537)]",5
2023-09-07,专家 震撼 全球 勇敢 揭开 污水 核事故 带来 浩劫 全球 陷入 困境 网页 链接,"[(0, 0.20107631), (1, 0.57741046), (2, 0.08541901), (3, 0.11360237), (4, 0.011242709), (5, 0.011249139)]",1
2023-09-07,再见 小城 找到 早餐 地方 习惯 早餐 留下 八宝粥 记忆 记录 收起,"[(0, 0.012928662), (1, 0.012937274), (2, 0.012957093), (3, 0.93509936), (4, 0.013107157), (5, 0.012970414)]",3
2023-09-07,科研 闯入 海域 取证 自卫队 强行 阻拦 心虚,"[(0, 0.018635258), (1, 0.018659715), (2, 0.018627414), (3, 0.90672463), (4, 0.018662702), (5, 0.018690214)]",3
2023-09-07,质询 政府 问政 政府 污水 应对 措施 世界 网页 链接,"[(0, 0.015350502), (1, 0.39411038), (2, 0.01544167), (3, 0.015359994), (4, 0.015329159), (5, 0.54440826)]",5
2023-09-07,无视 国际 社会 质疑 单方面 强行 核事故 水排 部门 做出 回应 必要措施 维护 发布公告 原产地 水产品 食用 水生动物 收起,"[(1, 0.8295149), (4, 0.13685028)]",1
2023-09-07,聪明 知识面 认同 核电站 发生 核事故 核电站 污水 核电站 搬出 理由 不信 排放 标准 不知 排放 标准 迷惑 世界 割裂 获取 信息 试问 区分 核事故 说法 地球 核电站 等于 核事故 收起,"[(0, 0.045860946), (1, 0.31653237), (2, 0.04357409), (3, 0.40656683), (5, 0.18219137)]",3
2023-09-07,污水 网民 关系 变差 有变 有变 变好,"[(0, 0.02105674), (1, 0.02103295), (2, 0.89488393), (3, 0.020991758), (4, 0.020964589), (5, 0.021070024)]",2
2023-09-08,食品 领域 谣言 污水 事件 传言 说法 辣会 导致 胃溃疡 铁锅 炒菜 补铁 谣言 谣言 红壳 鸡蛋 营养,"[(3, 0.95516986)]",3
