content,fenci,聚类结果,二级-聚类结果
对中国足球，满屏的谩骂和嘲讽，只有我在默默的支持，加油没用的东西。,中国 足球 满屏 东西,1,0
中国足球和一样的，一说就是专业竞技，一说就是你不懂，一问世界成绩就是没有。,中国 足球 专业 竞技 世界 成绩,1,0
中国足球足协都已经烂成这样了，这时什么样的改变都可能是新的希望，而那些抵制和反对的，都可以理解为主动或者被动的辫子军,中国 足球 辫子,1,0
国足：海参要没得吃了,海参,1,1
中国震撼,中国,1,0
很多足球强国还没贵州省人多。,足球 强国 贵州省,1,0
中国原本是足球也就是蹴鞠的发源地，老祖宗留下来的东西被国足玩成这样真不嫌丢脸，自己不行还眼红他人，现在的国足真的配代表中国出赛吗,中国 原本 足球 蹴鞠 发源地 老祖宗 东西 国足 眼红 国足 代表 中国,1,0
我说:功夫+足球有没有搞头啊,功夫 足球,1,0
村超才是中国足球，中超韩国的吧,中国 足球 韩国,1,0
一边说着中国足球荒漠一边嫌弃村超,中国 足球 荒漠,1,0
中国足球水平差，是全方位的，不仅球员，球迷，还有自媒体。,中国 足球 水平 球员 球迷 媒体,1,0
但凡路边足球场免费且多点，少一些玩飞盘的狗我觉得中国足球可能会好点,足球场 飞盘 中国 足球,1,0
我真是看不下去了，这件事根本就没有啊，不要消费人们的兴趣啊，就发这种对立谈什么振兴足球，这个还装的挺无辜的,兴趣 足球 无辜,1,0
那些吃着海参的中国足球运动员能跑的动吗,海参 中国 足球 运动员,1,0
好想再踢几场足球青春阿,足球 青春,1,0
不吃海参就是好,海参,1,1
不爱足球就离开吧，让爱足球的人更好地爱下去。,足球 足球,1,0
干得漂亮，这才是真正的足球。,足球,1,0
其实中国大部分人都知道，中国不是没有会踢球的人，而是会踢球的人，踢不上正式球赛而已。中国足球，根本不是体育项目，恶心的资本,中国 中国 踢球 踢球 球赛 中国 足球 体育项目 恶心 资本,1,0
现实版的功夫足球开始了,现实 功夫 足球,1,0
真是有够离谱的，难道哪天我想踢个足球，还得去申请一个足球执照吗,离谱 足球 足球,1,0
足球看的一部分是技术，但是大部分看的是精气神，是激情，村超足球比国足看起来积极敢拼，那大家喜欢看村超合情合理的,足球 技术 精气神 激情 足球 比国 合情合理,1,0
中国足球 不是球员的问题  是整个足协的问题 商业化 只说球员技术踢得差只是表面问题  本质是足协  大家都不瞎 知道谁踢的好 踢的差  问题踢的好的人进不了足协  进了甚至把你腐败了 赚钱嘛 不寒碜  没有比足协还大的手去整治（国家）你就当中国没有足球这个职业吧,中国 足球 球员 商业化 球员 技术 表面 本质 腐败 整治 国家 中国 足球 职业,1,0
足球不足球的我不懂，谁说广场舞毫无价值的给老娘滚出来。,足球 足球 广场 老娘,1,0
本质就是足协垄断了中国足球，如果能有两家以上真正的竞争平台出现就好了，当一个足球爱好者需要交钱才能进队踢球的那一刻起，这个行业就有问题了。,本质 中国 足球 平台 足球 爱好者 交钱 进队 踢球 行业,1,0
吃海参我也会,海参,1,1
国足先砍工资吧。大约3000-5000，这样就留下存粹热爱的足球运动员了。,存粹 足球 运动员,1,0
让足球回归运动的本质，挺好的,足球 本质,1,0
村超从各方面来说肯定比不过中超，但我们需要村超，因为村超是足球群众基础的一部分，我们需要从社区足球到各个级别青训的联赛，需要低级别职业联赛到职业联赛，需要把足球人口做成一个金字塔结构，让其屹立不倒。但我们并不需要你这种若至营销号，只知道蹭流量，不知道足球是什么。,足球 群众 基础 社区 足球 级别 青训 级别 职业联赛 职业联赛 足球 人口 金字塔 结构 流量 足球,1,0
村超迟早会被你这样的营销号和球盲害了，现在发了视频夸一夸，热度过去你们还会关注吗看了中冠的比赛吗，去现场看过中超吗，你们没有，只是跟风输出情绪，玩两句烂梗，搞得自己好像懂足球，好像心系中国足球事业发展似的,迟早会 和球 视频 热度 中冠 现场 情绪 足球 心系 中国 足球 事业,1,0
没用的 海参他们是真爱吃,海参,1,1
回归足球的原始属性,足球 属性,1,0
没有什么优越感，只是你真的不懂职业足球和业余爱好的差距，你只是在找热点蹭热点制造对立罢了。国足很烂，可是人家是专业的，我有朋友跟范大将军的老克勒队踢过，他们一帮小年轻，每周也会聚在一起训练，可是面对大他们很多的退役球员，踢的真的是痛苦。专业的人做专业的事，村超真的很好，纯粹且有趣，村超的好不用你说，但是足球跟任何工作一样，需要训练的，中国依然有徐根宝这样的人在为足球培养人才，尽管很难。所以，像你这样不懂不看只会嘲笑的人，就不要拿国足跟村超比，因为你不爱足球,职业 足球 差距 热点 热点 专业 朋友 大将军 球员 痛苦 专业 专业 足球 中国 徐根宝 足球 培养人才 国足 足球,1,0
海参队就跟海参一样软,海参 海参,1,1
不吃海参吗,海参,1,1
哎，所以说大家都说中国足球不行，其实中国足球水平不行也包括了中国足球的群众对足球的理解水平不行啊，连什么村超水平远超国足这种话都说得出来，啥都不懂，还好意思发视频带节奏，然后还真炸出一群无脑黑的所谓球迷。也算是中国足球不行的一个缩影吧,中国 足球 中国 足球 水平 中国 足球 群众 足球 水平 超水平 国足 视频 节奏 无脑 球迷 中国 足球 缩影,1,0
能把专业足球玩成全国人民反感，也是挺佩服这些垃圾,专业 足球 全国 垃圾,1,0
一旦有资本的入驻，也会变得啥也不是了。足球就是足球别掺杂乱七八糟的东西。老百姓开心点得罪谁了加油，人活的本来就不容易。加油。加油。,资本 足球 足球 东西 老百姓,1,0
要我说，现阶段国内根本没有搞职业足球的必要,职业 足球,1,0
贵州村足球就是比男足有激情。,贵州 足球 男足 激情,1,0
我们在搞国际龙舟赛，没空看足球,国际 龙舟赛 足球,1,0
海参还在坚持吃吗,海参,1,1
足球这种运动要的就是热情，没有热情什么都白瞎，国外的球星很多都是贫民窟出来的，要的就是那份对足球的热爱,足球 热情 热情 白瞎 球星 贫民窟 足球,1,0
我对董路老师比较失望，都是弄足球事业的，敬佩你能靠一己之力发展中国足球小将，立志提高中国足球实力，但这样盲目抨击贵州村超，贬低这么一个大众都喜闻乐见的足球盛宴，只会寒了支持你的球迷们的心。以后请专业的人，不要讲些这么不专业的话吧，属实丢脸,董路 老师 足球 事业 敬佩 中国 足球 小将 立志 中国 足球 实力 盲目 贵州 大众 足球 盛宴 球迷 专业 专业,1,0
村超确实体现了中国人民队足球的热爱，也为下一代中国足球的发展打下了基础，但竞技水平我实在不敢恭维，没有经受过专业训练的人组的队连中冠都踢不过的，这题目起的有点太外行了,中国 足球 中国 足球 基础 竞技 水平 专业训练 人组 中冠 题目 外行,1,0
中国足球只要足协不插手能踢世界杯了,中国 足球 世界杯,1,0
原来中国也有这样好看的足球,中国 足球,1,0
村超踢中冠(四级联赛，业余最高水平）都被干的妈都不认识，吹实力真没必要但村超这种基层比赛的热情对足球的热爱和青少年培养这种基础才是中国足球需要的根基，也是猪协最不重视的环节,业余 水平 实力 基层 热情 足球 青少年 基础 中国 足球 根基 环节,1,0
真以为技术好就高贵呢，说到底是表演给人看的，足球也好篮球也好，不管是世界杯还是没观众你啥也不是,技术 足球 篮球 世界杯 观众,1,0
我不是很懂足球，也不是很了解一些相关的技术，但是那一脚世界波属实震惊到我了,足球 技术 世界,1,0
留给中国足球的时间不多了,中国 足球 时间,1,0
不管专不专业，至少村超充满了对于足球的爱。这是中超比不了的。,专业 足球,1,0
你这样，他们没海参吃当然发声明,海参,1,1
你是懂趁热度的，你这个比较就相当于武术爱好者和职业搏击运动员，村超的足球氛围是值得鼓励的，欧洲好多球员都是从社区足球和村里的足球出来的，但是这不代表哪些足球运动员就不需要经过训练直接去踢职业足球，真正希望中国足球能够变好，不是偏执的说国足解散之类的，这相当于暴论，任何职业运动都需要规范化训练，不是满腔热血，动不动就打鸡血。,热度 武术 爱好者 职业 运动员 足球 氛围 欧洲 球员 社区 足球 足球 代表 足球 运动员 经过训练 职业 足球 中国 足球 暴论 职业 规范化 鸡血,1,0
举报了，起这种标题获取流量，还打着为了中国足球未来的旗号，不要脸,标题 流量 中国 足球 旗号,1,0
这给吃上海参那还了得,海参,1,1
足球永远都是需要热爱和激情的运动，水平不够可以去练，激情没了踢什么足球，国足没有这种激情,足球 永远都是 激情 水平 激情 足球 激情,1,0
人家踢的是熱情，對足球熱愛超過了本身利益關係。,熱情 足球 利益,1,0
對足球有真正熱愛，中國足球才真正好起來。,足球 中國 足球,1,0
中国足球的成绩对得起中国足球的环境，但凡一周踢两场稍微正规点点球，都说不出这么逆天的评论,中国 足球 成绩 中国 足球 环境 点球 逆天 评论,1,0
真讽刺啊，这是刺痛了某些海参人吧，那么快就破防了,海参,1,1
让你们不吃海参,海参,1,1
要不海参队换人,海参,1,1
国足：他们吃的海参肯定比我们多，不然怎么会比我们踢得好,海参,1,1
中国人不是踢不了足球只因国足全是生意,中国 足球 国足 全是,1,0
国足：只要把比我强的都禁了，我就是中国最强的,中国,1,0
职业国足只有敷衍，农村足球才能看得出热爱,职业 农村 足球,1,0
他们是热爱生活，选择足球这个体育运动，纯粹的竞赛，没有所谓弄虚作假，更别说踢出什么人情世故。,足球 体育运动,1,0
不说别的，现在中超能办的这么热闹吗踢的尼玛跟屎一样臭。伤了亿万中国球迷的心是一点都不知道，我早已经不支持国足了，从08年以后就再也没关注过中国足球。我宁愿去看台球也不会去看中国足球。,中国 球迷 中国 足球 台球 中国 足球,1,0
国足那些人只是把足球当做赚钱的途径罢了，真正热爱足球的孩子根本没有上专业赛场的希望,足球 途径 足球 孩子 专业 赛场,1,0
村超能吃几根海参啊,海参,1,1
足球如此昂贵的运动器材，是这些穷人能踢的吗，他们不配，在中国足球只有富贵人才踢得起,足球 运动器材 穷人 中国 足球 人才,1,0
村超的价值在于普及这项运动，让跟多的人喜欢参与到足球运动中来。有了群众基础才能更好的去建设梯队，提升水平和质量。村超的热情和火爆，对中国足球发展是很有益的。但是你们自媒体，要是真的喜欢足球，就不要把村超捧到他不应该有的高度上。中国足球已经很低谷，肉眼可见未来会更低谷，已经没有本钱让你们在嚯嚯了。,价值 普及 足球运动 群众 基础 梯队 水平 质量 热情 中国 足球 有益 媒体 足球 高度 中国 足球 低谷 肉眼 低谷 本钱,1,0
首先，热爱和专业还是有差距的，但是我觉得踢球的前提是热爱，如果只是赚钱的工具而不热爱这项运动，那一辈子也踢不出来。我们的体制问题决定我们大部分热爱足球的人没办法踢上职业，而职业的人又不那么热爱足球，所以才会导致这样的局面,专业 差距 踢球 前提 工具 体制 足球 办法 职业 职业 足球 局面,1,0
你们一个个的懂什么足球，足球踢的是什么，是技术吗不是，要是单纯的技术的话国足早都世界杯冠军了足球踢得是人情世故，踢得是经济，你看看足协出来多少亿万富翁，国足明星提出多少爆款提出多少热门话题所以不懂不要乱污蔑,足球 足球 技术 技术 世界杯 冠军 足球 经济 亿万富翁 明星 热门话题,1,0
国足:这海参，有4种炖法,海参,1,1
还?中超，请把这个“中”字去掉咱中国人丢不起那人,中国,1,0
这标题起的……都知道业余足球是比不过职业的，但村超的意义在于纯粹，在于享受足球的乐趣，而不是某些人为了利益而假赛、黑哨、贪污腐败。,标题 业余 足球 职业 但村超 意义 足球 利益 黑哨,1,0
你是懂流量的，足球怎么发展你是一点不知道，只知道骂国足会有流量，然后底下这么多人附和你，搞得像你才是客观的那一方。就是因为全是你这样的人，中国足球才会越来越差,流量 足球 国足会 流量 客观 中国 足球,1,0
踢球归踢球 不要装逼踢个足球谁会说你呢,踢球 踢球 足球,1,0
一个，村超就是这样给你们捧杀的，村超氛围好那是中国足球绝对的好事，但你标题说村超水平远超国足那就是纯属逆天，还在这里大张旗鼓写小作文说什么优越感，我看你就是足协雇来的人来反串村超的人,氛围 中国 足球 好事 标题 超水平 超国 纯属 作文,1,0
刨去资本，那本应该是场上22颗炙热的心和一颗寄托着梦想的足球,资本 梦想 足球,1,0
村超为中国足球带来了希望,中国 足球,1,0
海参会想尽一切办法浇灭希望,海参,1,1
村超对中国足球的发展来讲是好的，绝大部分足球爱好者不会讨厌诋毁村超，他们讨厌的是你们这种利用村超拉踩国足，连比赛都没看过几场，只看过几个片段就判国足死刑的傻卵，还有你这种利用村超制造足球爱好者跟其他群体之间矛盾来蹭热度引流的傻卵营销号，懂吗,中国 足球 足球 爱好者 利用 国足 利用 足球 爱好者 群体 矛盾 热度,1,0
就是你们这群球盲，农民，根本不懂球。只不过随便找个可以贬低中国足球的机会来狂欢，取乐而已,群球 农民 中国 足球 机会,1,0
老说什么输球是因为中国没有足球基础，那我寻思扩大基础不就是你足协该干的事吗哦，骂国足不能解决问题，不骂就能解决了略略略，反正看你们这些自持懂球然后抨击和其他人不懂球的专业球迷的留言，我对足球真的提不起一点点兴趣我看你们跟足协一样， 都很享受足球是“贵族运动”的现状嘛，只是人家好歹是为了赚钱，你们是为什么真的不懂。如果真的热爱足球，真的希望更多人喜欢这项运动，为什么不能收起你们球迷的优越感,输球 中国 足球 基础 寻思 基础 干的事 国足 解决问题 专业 球迷 足球 兴趣 足球 贵族 现状 好歹 足球 球迷,1,0
有你这种人，为了流量说自己完全不懂的东西，国内足球氛围永远不会好,流量 东西 足球 氛围,1,0
中国足球居然还有人敢自称自己是专业的，你有什么成绩，拿出来说一说，来呀，不要个逼脸,中国 足球 专业 成绩,1,0
真好，都在说足球，,足球,1,0
中国足球要想有发展：足协和联赛速度解散才是正确的道路。让喜欢足球的人去踢球，而不是让一群关系户去踢，这群关系户眼里只有钱，没有真正的善良。,中国 足球 速度 道路 足球 踢球 关系户 关系户,1,0
不关心足球，不过似乎很久没见过报道国足倒挂金钩。,关心 足球,1,0
你说国足不行，就有人跳出来说人民不支持不爱足球，村超出来了，他们又冷嘲热讽，到底想干嘛,国足 足球 干嘛,1,0
足球是一项大众运动，他不属于城市也不属于农村，更不属于什么足协，他属于大众。踢足球为的是热爱足球这个运动。哈哈哈，希望家长们在热爱之余稍微引导小孩接触一下足球，哪怕他最后还是选择别的运动，足球人口真的太少了，中国需要更多的村超,足球 大众 城市 农村 大众 踢足球 足球 家长 小孩 足球 足球 人口 中国,1,0
我们足球非常需要社区体育文化的积淀，看到村超这么受欢迎个人是非常高兴的,足球 社区 文化,1,0
不可否认村超确实是积极性很强热爱足球也有实力，但是你这远超国足离谱了吧什么叫国足啊打是亲骂是爱调侃可以，但是这就离谱了吧，还吊打国足，国足不给提个两位数就不错了看评论区真的是震惊，中国足球的出路首先是要有一群真正热爱足球有天赋然后他家长还同意的人，抛开利益和别的一些东西真正去拼，一天到晚就知道无脑黑，难不成能黑进世界杯,积极性 足球 实力 国足 离谱 离谱 国足 两位数 评论 中国 足球 足球 天赋 家长 利益 东西 无脑 世界杯,1,0
有些所谓的懂哥可别忘了，足球他起源于中国，而且以前的足球技术可是碾压世界的，这本来就是一件值得国人骄傲的事情。“14亿人凑不齐一支足球队”,足球 中国 足球 技术 碾压 世界 国人 事情 足球队,1,0
评论区有几个人真正完整的看过国足比赛的，了解中国足球俱乐部的，关心中国足球球员的呢,评论 中国 足球 俱乐部 关心 中国 足球 球员,1,0
看过足球吗还比国足强，差不多得了,足球 国足强,1,0
国外足球，穷人可以登天，国内足球，啥?穷也配提足球,足球 穷人 登天 足球 足球,1,0
标题改改加个引号也行，比国足强纯扯淡。你可以说村超模式能让中国足球崛起，你可以说村超球员更值得尊重等等等，可技术可能是比不了足球的。我不是抬杠，中国职业联赛确实烂透了一分不值，至于某些人搞青训什么目的大家也都明白。可唯独有一点你的承认村超大伙是真的热爱，热情可水平肯定比不了这群白斩鸡，他们也不是废物到业余队都能碾压的地步，他们只是假黑,标题 引号 比国 模式 中国 足球 球员 技术 足球 中国 职业联赛 烂透 不值 青训 目的 明白 大伙 热情 水平 废物 业余队 碾压 地步,1,0
海参队闭嘴,海参,1,1
真是像小品中说的那样：从高俅之后中国足球近几百年没缓过来。只能说句呵呵啦,小品 中国 足球,1,0
村超不能超越中超谁说的，都没比赛踢过就大言不惭了，足球最大的乐趣不就是不确定性吗，这么狗眼看人低难怪国内足球这么拉胯就是你们这些人捧臭脚,足球 不确定性 足球 臭脚,1,0
真丢人啊有些人是单纯的口嗨还是单纯的坏，村超让我们看到一群人对足球的热爱，去到现场就能看到了，我们大家对于足球的热情绝对是无与伦比的，无论是否专业村超都让我们看到了一场精彩绝伦的比赛，每个球员的激情，现场情绪的渲染，让你感受到足球就是很简单的东西，，什么狗屁中国足协，纯纯小丑。,足球 现场 足球 热情 专业村 球员 激情 现场 情绪 足球 东西 狗屁 中国足协 小丑,1,0
村超能发展这么好，确实挺不错的，真正热爱足球都会为他感到高兴，因为看着村超就像看到了2034杯那些小将一样，可以看到一点中国足球的希望。,足球 小将 中国 足球,1,0
但是千万不要去拉踩，足球烂，足协真的是很大一部分原因，李铁已经带走了一大部分人，希望能看到以后中国足球的越来越好。,足球 原因 李铁 中国 足球,1,0
水平上肯定搞不过职业选手，差距太大了。但是这是真正的群众足球，如果足球比赛能够真的下县下乡，全国不说遍地都有这种氛围，至少也要覆盖一部分市县，最终形成上百万上千万真正热爱这项运动的足球人口，中国足球才是真的有希望,水平 职业 差距 群众 足球 足球比赛 下县 全国 氛围 市县 足球 人口 中国 足球,1,0
说实话，那些所谓的足球协会，实在是没有起到组织职能，办了这么多年，办到懂足球的和不懂足球的都失望透顶，真无语。还有那些足协的网络打手，别喷了,足球 协会 职能 足球 足球 失望透顶 网络,1,0
肯定比海参队厉害啊，起码不会看到足球过来而躲开啊,海参 起码 足球,1,0
中国足球需要这样的例子，从局部到全面，调动大家对足球的兴趣，同时我们要学习日本足球，学习他们的方法。日本和韩国他们登上世界杯用了很久，我们只会更久，但是我们也应该去积极完善青训体系，宣传足球，让大家认识纯粹的足球，而不是金元足球。足协需要整理，人才需要发掘，就算把现在的足协大换血，谁能顶上呢现在需要挖掘或者培养能够有效，不拜金的官员，让足协进一步透明化，深入全国学校开展足球联赛，寻找有潜力的球员，保障他们能够有上职业的道路，不会因为家庭的原因让有能力的人踢不上球，多去踢交流赛，国内国外都要踢。多建球场，保证不会有广场舞大妈强占球场，保证球场能够踢球，而不是堆满垃圾。中国足球的问题太多了，从国家到个人，如果想要中国足球崛起，将是一次跨时代的改革，最起码需要五十年，因为这是一次人思想，国家大规模基础设施建设的改变，希望中国足球能越来越好吧,中国 足球 例子 局部 足球 兴趣 日本 足球 方法 日本 韩国 世界杯 青训 体系 足球 足球 金元 足球 整理 人才 拜金 官员 透明化 全国 学校 足球联赛 潜力 球员 职业 道路 家庭 原因 能力 交流 球场 广场 大妈 球场 球场 踢球 垃圾 中国 足球 国家 中国 足球 时代 思想 国家 基础设施 中国 足球,1,0
国足要是有人家一般热爱足球的劲头也不至于踢成这样。,足球 劲头,1,0
在你们只会看着编制，看着钱来看待这种民间足球的时候，就证明了你恰巧就是中国足球最大的阻碍,民间 足球 证明 中国 足球,1,0
除了那群猪，海参队还有其他人支持的,海参,1,1
尤其是那些穿民族服饰的照片，看着真震撼本来中国足球是相当炸裂的存在。被谁阉割了,民族服饰 照片 中国 足球,1,0
说不专业的，请来个专业的倒挂金钩看看我平时不怎么看足球，但我知道有实力的人某个瞬间肯定会被人夸赞“我考，这个,专业 专业 足球 实力,1,0
如此足球，怎能不爱。,足球,1,0
中国足球什么玩意，还来质疑村超，我们就是要这单纯、热闹的氛围去他妈的专业，专业到在亚洲都被人吊打,中国 足球 玩意 氛围 专业 专业 亚洲,1,0
感谢有他们的这个夏天，让我看到了足球的土壤,足球 土壤,1,0
哇去，好有意思感觉一下子感受到足球的魅力了,感觉 足球 魅力,1,0
运动的本质就是这样的啊加油中国足球只有把专业的玩到业余水平这才算是高手,本质 中国 足球 专业 业余 水平 高手,1,0
足球的本质是快乐,足球 本质,1,0
村超的动力是对足球的热爱，,动力 足球,1,0
30年前，我很热爱中国联赛。现在，呵呵,中国,1,0
说这些风谅话的，都是获利者，他们怕被超越，足球每个人都能玩，但不能比国足好，否则就会被打压了,足球 比国,1,0
，没吃海参怎么会踢球的，匪夷所思,海参 踢球,1,1
中国足球就像中国的国家武器一样，虽然没用上，但是有。,中国 足球 中国 国家 武器,1,0
哀大莫过于心死，中超不是不够专业过，中国足球不是没有得到过举国支持，只不过换来的是一次又一次的失望，不在沉默中爆发，就请在沉默中消亡吧。,专业 中国 足球,1,0
国足可以举办海参点评会，让各位足球美食家平均饭店,海参 足球 美食家 饭店,1,0
诸多事实证明了 不是中国人不行 纯粹是我们的管理水平就是差 足球文化就是零 就是急功近利 就是面子工程,中国 管理水平 足球 文化 面子 工程,1,0
逆天，多少人真的是喜欢足球,足球,1,0
赶紧食海参补补,海参,1,1
场上踢球的业余球员肯定是热爱足球的，围观群众的“热爱”嘛……呵呵，就目前的情况来看，热爱的是热闹，不是足球，这从黔东南苗岭主场都只坐三四十个球迷就能看出来。村超的存在肯定是好事，至少让吃瓜群众们知道了足球长啥样，几个人踢等等，算是普及了足球的基本知识，略微提高了的足球的关注度，还是希望贵州多关注一下自己的球队吧，踢贵冠的也好，中冠也好，虽然目前还在业余联赛，可明明代表了贵州足球的最高水平，球迷就那么几个。贵州那么多“热爱足球”的老百姓，不会不支持贵州最牛的球队吧球盲们都忙着借村超黑国足，说14亿凑不出11个踢球的，我想说的是，贵州那么多“热爱足球”的老百姓，凑不出一个中冠主场的观众吗西南地区唯一没有职业队的足球荒漠，球盲和无良自媒体天天各种标榜“纯粹的热爱”爱的是啥自己心里没点数是吧，脸都不要了。,踢球 业余 球员 足球 围观 群众 情况 足球 黔东南 苗岭 主场 球迷 好事 群众 足球 普及 足球 基本知识 足球 关注度 贵州 球队 贵冠 中冠 业余 代表 贵州 足球 水平 球迷 贵州 足球 老百姓 贵州 球队 球盲 借村 黑国 踢球 贵州 足球 老百姓 中冠 主场 观众 西南地区 职业 足球 荒漠 球盲 媒体 标榜 点数,1,0
国内足球的初心在贵州农村,足球 初心 贵州 农村,1,0
吃海参它们是专业的,海参 专业,1,1
我特么看足球就是图一个高兴图一个乐，看你那个高水准海参足球我高兴么傻13一直认为自己懂足球，你干的工作配得上你姓这个姓么，真特么傻,足球 水准 海参 足球 足球,1,0
国足都被骂了这么多年了 心态还没调整好足协除了捞钱就是培养废物 还不让骂中国有专业的足球联赛吗，中国有专业的足球运动员吗没有吧那就让爱足球的人爱足球吧，假装专业的人去国际赛场上丢人吧，解散吧国足,国足 心态 废物 中国 专业 足球联赛 中国 专业 足球 运动员 足球 足球 假装 专业 国际 赛场 国足,1,0
别影响我们的海参,海参,1,1
"所以啊。我之前就纳闷啊。蹴鞠本来就是中国发明的。然后这么多年，我们中国在我们擅长或者不擅长的体育比赛项目里都在飞快学习，发展，甚至超越打破了西方国家制定的规则，可以说体育运动员个个都在努力超越外国。只有足球被嘲笑。不是,应该说只有男足。我不相信中国男人踢不好足球。现在再想想。不是中国男人踢不了足球。是有内鬼啊。",蹴鞠 中国 中国 体育比赛 项目 国家 规则 运动员 外国 足球 男足 中国 男人 足球 中国 男人 足球,1,0
中国足球可以的 你看女足没有那么多利益牵扯什么成绩 男足都是富二代,中国 足球 女足 利益 成绩 男足,1,0
男足把人民的心伤透了，我们不要你们了，去吃海参吧我们自己组织联赛，以后世界杯中国有两只球队参赛，一支国家海参队，一支民间联赛队。,男足 海参 世界杯 中国 球队 参赛 国家 海参 民间,1,0
这就是为啥我们足球起来不了原因吧，这么多质疑,足球 原因,1,0
还好意思喊一声国足那帮垃圾随便玩，前面加个中国我就觉得恶心……你们代表中国足球简直就是耻辱……,喊一声 国足 垃圾 中国 恶心 代表 中国 足球 耻辱,1,0
中国缺少的是专业吗中国缺少的是热情是热情,中国 专业 中国 热情 热情,1,0
脱离基层群众的运动就不要提发展，没人参与发展个屁啊，话说回来，足球算哪门子跪族运动，不搞贪污腐败不吃海参鲍鱼就不能踢足球了,基层 群众 足球 海参 鲍鱼 踢足球,1,0
扰乱中国足球秩序，必须关停,中国 足球 秩序,1,0
国足真让恶心 中国足球的纯粹 希望 出路在村超,国足 恶心 中国 足球,1,0
中超职业足球运动员又怎么样，你能有英超专业,职业 足球 运动员 英超 专业,1,0
可是村超 没有海参吃 没有工资,海参,1,1
我确实不懂足球 因为国足让我没有一点想要去了解的希望 从小就看到有多烂我看都不看 心平气和,足球 国足,1,0
村超连中冠（中国第三级职业联赛）都踢不过，还有脸吹呢，搞乡村足球是好事，有氛围也是好事，但别拿出来随便吹，显得自己很无知。,中冠 中国 职业联赛 乡村 足球 好事 氛围 好事,1,0
我们少的是天才吗这么庞大的人口基数怎么可能会少。但是当互联网上那一句句没钱还想踢足球浇灭了多少幻想。中超拿足球当事业。别人拿足球当运动能一样嘛,天才 人口基数 互联网 踢足球 幻想 中超拿 足球 事业 足球,1,0
中国爱足球的观众是少数，很多人都是路人啊，如果一定要出钱看比赛，大多数人不会选中超比赛吧，给我这种不懂足球的人感觉就是，你支持的可能就是假球，比赛之前就内定了谁赢了,中国 足球 观众 足球 感觉 假球 内定,1,0
看到了这是中国真的男足吧,中国 男足,1,0
职业足球都踢成那个样了 还有优越的资本,职业 足球 资本,1,0
想看真正的中国足球，就来贵州吧,中国 足球 贵州,1,0
在中国，是个人就能把国足吊起来锤,中国 国足,1,0
足球又不是高尔夫，每个人都可以上,足球 高尔夫,1,0
不要给我说什么水平不水平，我看到的是他们对足球的热情支持村超,水平 水平 足球 热情,1,0
中国足球一飞冲天那是不太可能，很蓝的啦,中国 足球,1,0
国足：中国足球一飞冲天关我国足什么事,中国 足球,1,0
中国足球一飞冲天……梦里有,中国 足球,1,0
有些人在把村超和中国足球相对立，殊不知村超才是组成中国足球的基本元素之一，也别说什么村超不需要足协，村超使用的裁判等专业人员绝对是接受过足协培养的，不管是地方足协的官方赛事还是民间自发组织的赛事，只要是涉及到竞赛就必定会聘请有专业执照的裁判，这些人获取执照的唯一途径就是接受足协的培训和考核认证。这两者本身就不是对立的，或者说这两者本来就是一体的。,中国 足球 中国 足球 元素 专业 人员 地方 官方 赛事 民间 赛事 专业 途径 一体,1,0
虽然但是，“最纯粹的足球”村超已经开盘了喔,足球,1,0
小知识:榕江足球历史约80年,榕江 足球 历史,1,0
足协别来了行吗，我一个不懂足球的人在这里跪谢足协,足球,1,0
当地有这种足球文化，其他地方根本拉不起来,足球 文化 地方,1,0
中国足球一飞升天,中国 足球,1,0
破足球起不起飞有什么用呢踢的再好又意味着什么呢有什么用呢踢得好老百姓生活就好吗外来文化入侵而已，虽然是起源于中国，但是现在它代表的就是西方文化,足球 老百姓 外来文化 中国 代表 文化,1,0
就应该这样，老百姓自己搞，新足球协会,老百姓 足球 协会,1,0
这才是中国足球贵州足球,中国 足球 贵州 足球,1,0
中国足球人可能会很厉害，但中国足球队不一定懂得都懂,中国 足球 中国足球队,1,0
足球的希望在村超,足球,1,0
感觉全中国都在惦记我那3000的工资。。。好想去啊,感觉 中国,1,0
海参队给我跪着看,海参,1,1
中国足球希望在榕江,中国 足球 榕江,1,0
借你吉言，但愿中国足球一飞冲天,吉言 中国 足球,1,0
足球要的就是氛围 没有氛围小孩也不会喜欢上足球更不会去踢 人才就会流失 足球也没有出头的一天 日本那么完善的高校比赛 能成为职业的转化率都那么低 更何况中国,足球 氛围 氛围 小孩 足球 人才 足球 日本 高校 职业 转化率 中国,1,0
中国人真的很热爱足球，但是有什么用呢没钱就不让踢,中国 足球,1,0
莫名的感动，希望中国足球能越来越好,中国 足球,1,0
中国足球和村超有什么关系还是要问中国足球协会，都开始抵制村超了,中国 足球 关系 中国足球协会,1,0
这就是足球,足球,1,0
但本质还是凑热闹 就像你说的这些 足球反倒是个借口罢了 所以也别吹村超了 甚至别说足球氛围了 贵州足球目前的代表 就在一小时车程外的地方比赛 有人去吗,本质 足球 借口 足球 氛围 贵州 足球 代表 小时 车程 地方,1,0
绷，足球靠村超发展吗,足球,1,0
中国足球真不错，国足真不行,中国 足球 国足,1,0
对足球不感兴趣，但我对吃的感兴趣,足球 感兴趣,1,0
别担心 海参会出手,海参,1,1
