txt,情感分数,情感类型,分词,主题概率,主题类型
 愿你在人潮拥挤的街头与命中注定到白头的人装个满怀同性恋分手 如何挽回感情更多咨询 关注博主 获得免费分析 网页链接 ​,0.999852012710967,积极,人潮 白头 满怀 感情 博主 网页 链接,"[(0, 0.07448084), (1, 0.92551917)]",1
#搜狐新闻(资讯版)#《同性恋可以矫正吗》同性恋可以矫正吗网页链接 ​,0.908090618572653,积极,搜狐 新闻 资讯 矫正 矫正 网页 链接,"[(0, 0.068236545), (1, 0.93176347)]",1
金牛男最擅长扮猪吃老虎，手里都同时发展很多线，易出轨程度五颗星！！金牛女容易双性恋同性恋，最懂享受，审美奇好，脑中自动设置性价比显示器，驭夫能手，千万别在金钱上跟金牛女拎不清，你会立马被她拉入黑名单。易出轨程度五颗星。 ​,0.72205106486699,积极,金牛 老虎 程度 五颗星 金牛 双性恋 奇好 性价比 显示器 驭夫 能手 金钱 金牛 拎不清 黑名单 程度 五颗星,"[(0, 0.96761334), (1, 0.032386634)]",0
“我们的社会为什么不接受同性恋？因为在我们的文化里，把生育当做目的，把无知当做纯洁，把愚昧当做德行，把偏见当做原则。看见爱情，应该是一个灵魂对另一个灵魂的态度，而不是一个器官对另一个器官的反应。”                             ——柴静《看见》 ​,0.999999999172006,积极,社会 文化 目的 纯洁 愚昧 原则 爱情 灵魂 灵魂 态度 器官 器官 柴静,"[(0, 0.7433441), (1, 0.2566559)]",0
嚯嚯嚯嚯哈哈哈哈哈哈哈//:小姐，你真的搞错了，这不是闺蜜，这是搞同性恋@ 平安青岛 //:哇闺蜜会有粉红泡泡还甜甜的🙉,0.999809695232649,积极,小姐 闺蜜 平安 青岛 闺蜜 泡泡,"[(0, 0.13482372), (1, 0.8651763)]",1
他们/她们的同性伴侣就惨了……因为很多同性恋就是很纯的同性恋，弯成一个圆圈那种。过几年一看，自己的前任竟然跟异性结婚了，晴天霹雳啊有没有也怪不得双性恋会被同性恋鄙视,0.525998892005853,中性,性伴侣 很纯 圆圈 前任 异性 双性恋,"[(0, 0.9003131), (1, 0.0996869)]",0
 多少人逃不出这个桎梏，他一言不合的说分手之后，你去哀求，去保证，去说会给他所有你能给的东西，只求他回到你是身边。你把自己的姿态放到最低，形容卑微，他给予的答案永远只有一个，不行。所以你的委屈求全，去哀求他不要离开你，这种挽回方式，是不可能让你成功挽回的。 分手后怎么办分手后怎么挽回 失恋了怎么挽回 异地恋异国恋同性恋分手失恋分手后如何怎么样挽回前任挽回前女友，如何分离新欢分离小三分离前任感情维护情感挽回挽回前任情感咨询情话想你了难过不想分开伤心难过想哭想你了回来吧 收起,0.999999999903407,积极,桎梏 东西 姿态 最低 形容 卑微 答案 方式 成功 异地 异国恋 前任 前女友 前任 感情 情感 前任 情感 情话 伤心,"[(0, 0.04100533), (1, 0.9589947)]",1
最近我们班出了同性恋 2北京·滨河街区 ​,0.745804783535062,积极,北京 滨河,"[(0, 0.81088793), (1, 0.1891121)]",0
"有弟弟跟我说他很苦恼，因为自己是同性恋，佛教里把同性恋视作“邪淫”，他觉得自己不会好了，问我怎么办。我以前说过，爱情是发生在两个灵魂间的，和对方的身体没有关系，佛教里也说过异性的身体都是由污秽之物组成的，所以要抵抗邪淫。爱情是神圣的，既然爱情无关于身体，那么何""邪“之有？你恰巧是欣赏对方，而对方和你有相同的性别罢了。我们每个人，没有成长成参天大树之前，都是想在别人身上寻求一份慰藉，这份慰藉可能有欣赏，支持，陪伴等等理由组合在一起，性别真不是问题。也有情侣是十年挚友最终走进婚姻殿堂的。也有男孩子最后就是找个伴的，觉得女的麻烦或者女的都瞧不上他，干脆找自己的好兄弟好哥们搭伙过算了。我们”在一起“的感情，不一定都是爱情。但”在一起”的感情，世人往往都定义为爱情。感情是不分贵贱的，同性恋指的是两个同样性别的人最终在一起，在一起就在一起了。哪怕是佛教，也不能阻止你想找个伴在一起吧，而对方只不过是同性罢了。这也不是邪淫啊，因为你不是以发生性关系为目的在一起的。佛教的淫有“正淫“，”邪淫“之分，异性恋里也分”正淫“”邪淫“的。同性恋只是受世人苛责过多了，觉得这个群体爱乱搞，但异性恋里也有爱乱搞的，不能说这人是同性恋，就一定标配他爱乱搞对吧。所以不要心理包袱过重，假设遇到了挚爱的，彼此的确存有感情，而且也不是以肉体为目的在一起的，那就正常看待。你们就是正常恋爱，正常在一起的，恰巧性别一样罢了。现在社会对于女同性恋和男同性恋苛责过深了，觉得女同性恋心理变态嫁不出去，男同性恋都是基佬会得艾滋，但异性恋爱乱搞的也不少，心理变态的也不少，得艾滋的也不少，所以和异、同没关系，关键是是否认真看待和经营一份感情，是用”心“在谈恋爱，还是用”肉体“在谈恋爱。是高级精神享受，还是低级肉体愉悦。放宽心吧！ 收起",1.0,积极,弟弟 苦恼 佛教 邪淫 爱情 灵魂 身体 关系 佛教 异性 身体 污秽 邪淫 爱情 神圣 爱情 身体 性别 参天大树 陪伴 理由 性别 情侣 挚友 婚姻 殿堂 男孩子 个伴 麻烦 兄弟 哥们 感情 爱情 感情 世人 定义 爱情 感情 贵贱 性别 佛教 个伴 同性 邪淫 性关系 目的 佛教 正淫 邪淫 异性恋 正淫 邪淫 世人 群体 异性恋 心理 包袱 挚爱 感情 肉体 目的 性别 社会 女同性恋 男同性恋 女同性恋 男同性恋 基佬 艾滋 异性 艾滋 关键 感情 肉体 精神 肉体 愉悦,"[(0, 0.3844214), (1, 0.61557853)]",1
双性恋因为有的选，最后大多都会被社会逼成异性恋，因为当同性恋压力太大了。 ​,0.960697730983301,积极,双性恋 社会 异性恋 压力,"[(0, 0.2750474), (1, 0.7249526)]",1
“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”,0.999998905932037,积极,女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿,"[(0, 0.93665075), (1, 0.06334925)]",0
本季推荐，你们有没有被「 」治愈到？催婚、催孕、问工资、同性恋这些问题你们怎么看？最吸引我的是：青木朔和广濑涉线真的是太甜太甜了，大叔温柔攻开朗小奶狗受「不要用自己的价值观评价」「是自己的人生，人生中不管什么时候开始入门做一件事都不迟」「生或不生孩子，是权利而不是义务」希望大家拥有温暖的爱情，温暖的婚姻和温暖的家庭 收起,0.999999999997119,积极,青木 广濑 涉线 太甜 大叔 温柔 开朗 小奶狗 价值观 评价 人生 人生 入门 孩子 权利 义务 温暖 爱情 温暖 婚姻 温暖 家庭,"[(0, 0.96023685), (1, 0.039763153)]",0
北外复试终于结束了，好多小朋友都去海皮去啦，忍不住想吐槽下今年复试的问题。考高翻的问题竟不是以往的金融贸易 中美关系，我学妹的问题是：1.你是否支持同性恋结婚？2. 中国的大学教育为什么比幼儿园教育便宜？不知其他学妹的问题还有什么，有种反押题的感觉，严重偏离了往年的套路。       英语学院还算平稳，还是翻译经验，论文，译员应具备哪些素质等常规问题。有学妹一出来就被大三的询问题目，未来的学妹也真够用心的。       总之考完了，尽人事听天命，不要胡吃海喝，明天体检哈。 收起,1.0,积极,小朋友 海皮 金融贸易 中美关系 学妹 中国 大学 幼儿园 便宜 学妹 反押题 感觉 套路 英语 学院 平稳 经验 论文 译员 素质 常规 学妹 题目 学妹 真够 用心 天命,"[(0, 0.3743984), (1, 0.62560165)]",1
大家对于现实中的同性恋怎么看？对于如果自己的爱豆是同的话，会反感吗？各位不喜勿骂，我就是问问而已。没有什么别的意思 ​,0.190608872434409,消极,现实 爱豆 问问,"[(0, 0.14803104), (1, 0.85196894)]",1
//：国人大部分接受不了同性恋，觉得人家异类。还说违反自然，搞笑。只不过是异于它们的三观就说违反自然，说得好像它们是神似的。自然界1500个物种都存在同性恋行为，就它们不是自然界的一部分，是神呢，早上天了，下不来。智障还代表自然，没文化真可怕。,0.0798787199823213,消极,国人 异类 三观 自然界 物种 自然界 智障 代表 文化,"[(0, 0.07287117), (1, 0.9271288)]",1
从来都不觉得网恋、异地恋、同性恋、异国恋不靠谱，不靠谱的是人，不是感情。 ​,0.973601835991388,积极,网恋 异地 异国恋 感情,"[(0, 0.15264802), (1, 0.84735197)]",1
有没有那么一两个朋友……你不是同性恋、可是你爱她 ​,0.469697320247516,中性,朋友,"[(0, 0.613057), (1, 0.386943)]",0
没了喃喃同性恋文我会活不下去 ​,0.597882055346492,中性,我会,"[(0, 0.7166923), (1, 0.28330767)]",0
//:其实很多研究表明同性恋跟基因关系不大，跟政治关系更大//: 基因问题，跟先天失明差不多，但估计不会列为残疾人//:这不是扯吗？性取向难道不是精神问题？,0.999667597466043,积极,基因 政治 关系 基因 残疾人 性取向 精神,"[(0, 0.9137775), (1, 0.086222515)]",0
《每分钟120击》包揽6项凯撒奖，聚焦同性题材，反对同性恋污名化 网页链接 ​,0.326151883140731,中性,同性 题材 污名 网页 链接,"[(0, 0.11702619), (1, 0.8829738)]",1
等待同性恋合法的那一天！,0.104053878142098,消极,合法,"[(0, 0.30386743), (1, 0.6961326)]",1
"#挽回,给你一个完美的我#  感情出现问题不可怕 可怕的是有问题不去解决 任由他发展下去 很多人都没有这样的意识 ​",0.999999208406018,积极,完美 感情 任由 意识,"[(0, 0.12110003), (1, 0.8789)]",1
我不是异性恋，不是同性恋，也不是双性恋。我不想要这些标签，我不希望自己的一生都被塞入一个词，或是一个故事。我想要寻找其他未知的事物，前往地图上不存在的地点，这才是真正的冒险。 ​,0.646430345930339,中性,异性恋 双性恋 标签 故事 事物 地图 地点 冒险,"[(0, 0.071519494), (1, 0.9284805)]",1
我围观了 的回答，该问题价值100元，围观仅1元，快来一起围观~ 微博问答 ​,0.92292010784845,积极,围观 价值 围观 围观,"[(0, 0.10993771), (1, 0.89006233)]",1
//: //://:最右！//: //: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感,0.999999999982175,积极,老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害,"[(0, 0.9342327), (1, 0.06576726)]",0
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。于是婚姻缺失了应有的门槛，变成了一次高风险低回报的抽奖活动。最后奖品不尽如人意，看笑话的，还是原来那一帮人。 2哈尔滨·秋林 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 高风险 抽奖 奖品 一帮人 哈尔滨 秋林,"[(0, 0.9963061)]",0
厂家组装错误是什么笑话，买家问买家，小猪怎么是两个爸爸，他的爸爸是同性恋吗?谁叫卖家不看小猪佩奇呢😄  小猪佩奇喂猪宝宝吃饭，猪宝宝不理她，猪妈妈一招搞定小宝宝 ​,0.951676287068614,积极,厂家 错误 笑话 买家 买家 小猪 爸爸 爸爸 小猪 小猪 宝宝 宝宝 妈妈 小宝宝,"[(0, 0.96048224), (1, 0.039517757)]",0
//:约她拍这个的我记得真的好几个了//:还满心期待//:这是我俩的约定。小迅撩妹的词真的够骚……//:挠头，印象中想和周迅演同性恋的女演员好像还有其他的好几个...小树是不是应该好好想想这是为什么,0.989717719691012,积极,小迅 挠头 印象 中想 周迅 女演员 小树,"[(0, 0.06785999), (1, 0.93214)]",1
给大家一个小贴士：这不足协规定球员不让纹身嘛 朋友圈里微博上 看到有认可这条规定的 建议拉黑处理 毕竟都这个年代了 还把纹身和流氓混混划等号的 我约莫他们同样认同“女性必须结婚生子”“同性恋有罪”“抵制就是爱国”等思想 所以还是早划清界限免得双方都难受 收起,0.964916673150503,积极,小贴士 球员 纹身 朋友 建议 纹身 流氓 混混 女性 生子 爱国 思想 划清界限,"[(0, 0.9459495), (1, 0.054050505)]",0
其实很多研究表明同性恋跟基因关系不大，跟政治关系更大//: 基因问题，跟先天失明差不多，但估计不会列为残疾人//:这不是扯吗？性取向难道不是精神问题？,0.964467411340827,积极,基因 政治 关系 基因 残疾人 性取向 精神,"[(0, 0.9137353), (1, 0.08626476)]",0
:   单身； 订婚；已婚；丧偶； 离婚；  分居；   同居； 伴侣；  有对象; ' 说不清;    有对象，但开放；   已婚同性恋 ​ 2武汉·光谷 收起,0.986599990276761,积极,单身 丧偶 伴侣 对象 对象 武汉 光谷,"[(0, 0.21529666), (1, 0.7847033)]",1
//:同样可以是性传播，如果他感染的是乙肝、丙肝，他可能不会担心父母知道自己生什么病，又或者，就算同样是感染艾滋，如果他是异性恋，他也不用担心父母接受不了自己的性倾向。刚好他是同性恋又感染艾滋，为了不想父母知道和伤心，最终选择把这两个秘密带进棺材去......,0.999999981090303,积极,性传播 乙肝 丙肝 父母 艾滋 异性恋 父母 艾滋 父母 伤心 秘密 棺材,"[(0, 0.056948528), (1, 0.9430515)]",1
//:机智哈哈哈哈 //://:最右！//: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感情,0.999999999990181,积极,机智 老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害 感情,"[(0, 0.94007444), (1, 0.059925564)]",0
一个问题如果一个性别认知障碍的男孩子变性成为了女孩子并且喜欢的也是女孩子那算同性恋还是异性恋？ ​,0.998809708315791,积极,性别 认知障碍 男孩子 变性 女孩子 女孩子 异性恋,"[(0, 0.7456871), (1, 0.25431284)]",0
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。于是婚姻缺失了应有的门槛，变成了一次高风险低回报的抽奖活动。最后奖品不尽如人意，看笑话的，还是原来那一帮人。愿所有姑娘都可以嫁给爱情 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 高风险 抽奖 奖品 一帮人 姑娘 爱情,"[(0, 0.99630386)]",0
昵称:张语恬星座:白羊座职业:平面模特现居:黑龙江……好朋友最高境界就是：恋人。同性恋 ​,0.999583617009291,积极,昵称 张语 星座 白羊座 职业 平面 模特 现居 黑龙江 朋友 境界 恋人,"[(0, 0.04648973), (1, 0.9535103)]",1
有道理//:机智哈哈哈哈 //://:最右！//: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感情,0.999999999992444,积极,道理 机智 老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害 感情,"[(0, 0.9426187), (1, 0.057381257)]",0
这波操作…//:机智哈哈哈哈 //://:最右！//: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感情,0.999999999997727,积极,机智 老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害 感情,"[(0, 0.94007516), (1, 0.059924863)]",0
学到了//: …̣//://:最右！//: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感情,0.999999973778369,积极,老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害 感情,"[(0, 0.9307436), (1, 0.069256425)]",0
最好的友情，在别人眼里就像同性恋，难得有过最佳损友，谁不是互相嫌弃，又互相帮衬呢？音乐来自 原创歌曲《不分离》，视频来自 ​,0.999999203433663,积极,友情 损友 音乐 原创 歌曲 视频,"[(0, 0.9028959), (1, 0.0971041)]",0
 完结打卡。这个剧都不考虑出个吗我心中的本季最佳！剧中小大真的是太温柔了。四个家庭很理想化，如果现实生活中存在的矛盾同性恋、重组家庭、结婚十几年枯燥的婚姻、备孕无果，都能像剧里一样真的很幸福了。但剧又很现实，最终奈奈也没有成功怀孕。其实剧里三观很正，起码我认为没有歧视女性，也没有一定要怀孕。小大和奈奈两个人真的是太温柔了。 收起,0.999999999997565,积极,剧中 小大 温柔 家庭 理想化 现实生活 矛盾 家庭 枯燥 婚姻 剧里 幸福 现实 成功 剧里 三观 起码 女性 温柔,"[(0, 0.03197151), (1, 0.9680285)]",1
…̣//:机智哈哈哈哈 //://:最右！//: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感情,0.999999999990181,积极,机智 老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害 感情,"[(0, 0.94009), (1, 0.05990998)]",0
原来同性恋才是王道！ ​,0.767449639217405,积极,王道,"[(0, 0.3940927), (1, 0.6059073)]",1
