评论ID,评论文本,翻译-评论文本,fenci,sentiment
@cristinatheiler2053,SO CUTE LEIFU HE KNOWS HOW TO FIND MUSCHROOM,太可爱的他知道如何找到蘑菇,可爱 找到 蘑菇,正面
@nonihazarika5146,So beautiful food,如此美丽的食物,食物,正面
@kasthuri.n9200,My fevert fevert.....cooking..from tamilnadu...,我最喜欢的发烧.烹饪.从泰米尔纳德邦.,喜欢 发烧 烹饪,正面
@fecollins523,THANKS FOR THE WONDERFUL VIDEOS I ENJOYED WATCHING THEM,感谢我喜欢看他们的精彩视频,感谢 喜欢 精彩视频,正面
@Rubiiramadhany,Vidio mu tidak pernah saya skip,我从不跳过你的视频,视频,正面
@clearphase7817,"i really wanted to identify  edible mushrooms but i dont know , i also like eating  and cookung it, i enjoy everytime  i watched  your cooking",我真的很想识别食用蘑菇，但我不知道，我也喜欢吃和烹饪，我每次看你的烹饪时都会喜欢,识别 食用 蘑菇 喜欢 烹饪 烹饪 喜欢,正面
@user-bb2jj9ft9k,ต้าหวังน่ารักมากค่ะ,王很可爱。,可爱,正面
@helmizahdan4552,Your video is relaxing my mind,你的视频让我放松,视频 放松,正面
@enjoylife617,"when I watched this video I'm good feel, enjoy life",当我看这部视频时，我感觉很好，享受生活,视频 感觉 享受,正面
@hoanghongnhung18899,云南很美，你是我的偶像。我从你的方法中学到了很多,云南很美，你是我的偶像。我从你的方法中学到了很多,偶像 方法 中学,正面
@ghe8475,i always love your video ️,我一直爱你的视频️,视频,正面
@Zaraa010,Lots of love and blessings for you and your family from India,来自印度的您和您的家人有很多爱与祝福,家人,正面
@shalinidevi7524,From india hi we love and like your all vedio dear,来自印度嗨，我们喜欢，喜欢您所有的视频，亲爱的,喜欢 喜欢 视频 亲爱,正面
@sommelier_k,Ваши традиции... Ваша семья ... Берегите,你的传统.你的家人.照顾,传统 家人 照顾,正面
@arnelgalopejr.4273,We are always watching u dianxi with my wife from Philippines. We love you,我们总是和我的妻子一起看。我们爱你,妻子,正面
@user-fr4ko1fk2u,私はベトナム人ですが、この動画が好きです。,我是越南人，但我喜欢这个视频。,喜欢 视频,正面
@Katarjana,Whispering while hunting masutake is so real,在狩猎穆塔克时窃私语是如此真实,狩猎 私语,正面
@annstewart1983,"Wonderful and educational-your videos are the best, I’m always mesmerized at your skills, and the family togetherness does my heart good.  Please introduce us to the entire family at some point. I always wonder who some of the children are.",美妙而教育的视频是最好的，我总是对您的技能着迷，而家人团结充满了我的心。请在某个时候向我们介绍整个家庭。我总是想知道有些孩子是谁。,美妙 视频 技能 着迷 家人 团结 充满 介绍 家庭 孩子,正面
@TheGr0o0ve,"Mushrooms , healthy and delicious,  very calming  video to watch... thanks for creating videos like this",蘑菇，健康可口的，非常平静的视频.感谢您创建这样的视频,蘑菇 健康 可口 平静 视频 创建 视频,正面
@Wildgirlhuong,"Yunnan mushrooms are fascinating, Chinese houses are beautiful",云南蘑菇令人着迷，中国房屋很漂亮,蘑菇 着迷 房屋 很漂亮,正面
@yue_9598,いつも楽しく動画みてます,我总是喜欢视频,喜欢 视频,正面
@hcambo5373,Nice work,做得好,做得好,正面
@rosalindaconsuelo2141,Wholesome mushrooms adventure.,有益健康的蘑菇冒险。,蘑菇 冒险,正面
@myvedios9649,"I am your follower in 
 INDIA,
TAMIL NADU
CONGRATULATIONS 
FOR VILLAGE COOKING",我是你的追随者印度，泰米尔纳德邦恭喜用于乡村烹饪,追随者 恭喜 用于 乡村 烹饪,正面
@cheryldelka982,Love from Minnesota. Live the vid6,来自明尼苏达州的爱。居住6,居住,正面
@hernirosita79,"Suka banget selalu nunggu  update video nya 
Salam dari indonesia",我真的很喜欢等视频更新来自印度尼西亚的问候,喜欢 视频 问候,正面
@VinuPooniaVinuPoonia,Beautiful  village ️️️️,美丽的村庄门《,村庄,负面
@RabeyaSultana-nv2ey,I'm from Bangladesh 🇧🇩... I am looking your All video,我来自孟加拉国🇧🇩.我正在寻找您的所有视频,寻找 视频,正面
@Ramayane1,"Amei esse canal , uma plenitude",我喜欢这个频道，充实,喜欢 频道 充实,正面
@wahyunisyafiiuni4334,"Salam sehat selalu kak, i'm from indonesia",总是健康的问候，我来自印度尼西亚,健康 问候,正面
@firegustivo5047,Amo muito seus vídeos,我非常喜欢你的视频,喜欢 视频,正面
@fiftycent5627,油管上有个越南的男人在他的频道上使用你的肖像……给人一个误解以为你有参与其中。 那个频道叫：Country Life Food vlog,油管上有个越南的男人在他的频道上使用你的肖像…给人一个误解以为你有参与其中。 那个频道叫： ,油管 男人 频道 肖像 误解 参与 频道,正面
@user-fm1md1tu6y,"I'm from China 
We live in a same village",我来自中国我们住在同一个村庄,村庄,负面
@misssweetmei,️ from Malaysia 🇲🇾 Selalu tonton video anda tanpa bosan.,从马来西亚来看，始终观看您的视频而不会感到无聊。,观看 视频 感到 无聊,正面
@unfilteredopinions6408,"My mom died of cancer two years ago and during her last stage of her life, she use to watch your videos to keep her mind distracted from the pain. Now,  whenever I watch your videos, I remember her and miss her a lot! I hope that she is in a better place now. 
A note to whoever is reading my comment. Always, value your parents no matter what so that you'll not regret when they are gone.",我妈两年前死于癌症，在她生命的最后阶段，她用来观看您的视频，以使自己的思想分散注意力。现在，每当我观看您的视频时，我都会记得她并非常想念她！我希望她现在一个更好的地方。给任何正在阅读我的评论的人的注释。始终，无论您的父母如何，您都会不后悔。,死于 癌症 阶段 观看 视频 思想 分散 注意力 观看 视频 记得 想念 希望 地方 阅读 评论 注释 父母 后悔,正面
@zensvlognotapro,"Paraside, life is great in her place . Watching from Philippines 🇵🇭",天堂，生活在她的地方很棒。从菲律宾观看🇵🇭,天堂 地方 很棒 观看,正面
@ren-chama3180,"滇西小哥さん、こんにちは
杏子のケーキ美味しそう
瓶詰めもカラフルで楽しくならりますね！サクサクのミルフィーユフラットブレッドも香ばしくて食べてみたいです！
夏は、果物が沢山有るのが良いですね桃や葡萄スイカメロン。暑いのは苦手だけど、フルーツは大好きです
日本から🇯🇵",你好， 京都的蛋糕看起来很美味装瓶会丰富多彩且有趣！我想吃脆皮的扁面包，因为它也很香！在夏天，有很多水果是很好的。我不擅长热，但我喜欢水果来自日本,蛋糕 装瓶 有趣 脆皮 面包 水果 很好 擅长 喜欢 水果,正面
@Olintiara,"Pas liat ada tong terbakar aku juga dah kepikiran, itu penji pakai tong, udah dibersihkan kali yah. Ternyata bener sepemikiran sama ibu penji, & syukurlah sudah dicuci bersih selama 2 hari. Kereeen apenji & nenek️",当我看到一个燃烧的枪管时，我也想到了，阴茎使用枪管，已经清洁了。事实证明，头脑确实与佩吉的母亲相同，值得庆幸的是，它已经洗了两天。 和奶祖,燃烧 枪管 想到 阴茎 枪管 清洁 头脑 确实 母亲 值得 庆幸 奶祖,正面
@meiraloraduncan8953,"Your family is very blessed to have a talented daughter, granddaughter and sister like you to cook for them and keep the household running smoothly like you do. It really says a lot about you when we see how you care for your different family members and extended family and friends as well. You are a kind and loving person and a true treasure for everyone who you have helped and provided for through your channel and your videos and travels around your Yunnan provinces as you share what the different people and cultural aspects in each region. You have educated hundreds of thousands of people over the years showcasing different traditions and cultures within your beautiful country. It is a huge honor to be allowed to see and share your experiences with those of us from different countries who will never have the opportunity to travel to your country and experience the many different things that you have graced us with each week. When the renovation and additions are finished at your family home I hope you will share some of it with your viewers because the small clips you have shared are quite beautiful. Is your younger sister away taking classes at a university or a different type of school? I miss seeing her. Maybe as she matures she will help you more as you harvest, forage , preserve and prepare the food for your family so that she will be able to do it one day especially after she gets married. Thank you for sharing your videos with the world. Love from North Carolina in the US.",您的家人很幸运有一个才华横溢的女儿，孙女和像您这样的姐为他们做饭，并像您一样保持家庭奔跑。当我们看到您如何照顾您的不同家人以及大家庭和朋友时，这确实说明了您。对于您通过您的频道，视频以及在云南省旅行的每个人，您是一个善良而充满爱心的人，也是一个真正的宝藏，当您分享每个地区的不同人和文化方面。这些年来，您已经教育了成千上万的人，展示了您美丽国家内不同的传统和文化。很荣幸能被允许与来自不同国家的我们中的人们看到和分享您的经历，这些国家将永远没有机会前往您的国家并体验您每周与我们相处的许多不同事物。当您的家庭住宅的翻新和补充完成时，我希望您能与观众分享一些，因为您共享的小片段非常漂亮。您的妹是在大学还是其他类型的学校上课？我想念她。也许随着她的成熟，她会在收获，觅食，保存和准备食物为您的家人时为您提供更多帮助，以便她有一天能够做到这一点，尤其是在结婚后。感谢您与世界分享您的视频。来自美国北卡罗来纳州的爱。,家人 幸运 女儿 姐为 做饭 家庭 奔跑 照顾 家人 朋友 确实 频道 视频 善良 充满 爱心 分享 地区 文化 展示 国家 传统 文化 国家 分享 经历 国家 机会 国家 体验 事物 家庭 住宅 翻新 补充 希望 观众 分享 共享 漂亮 妹是 大学 类型 学校 上课 想念 成熟 收获 觅食 保存 食物 家人 提供 结婚 世界 分享 视频,正面
@SusiSetiawati-bd1vp,Saya senang melihat cici apenji keluarga yang hangat dan suka memasak...love in INDONESIA...,我很高兴看到 是一个温暖的家庭，喜欢做饭.在印度尼西亚的爱.,温暖 家庭 喜欢 做饭,正面
@Abhijit4178,Anyone from India (thanks for 200 likes),来自印度的任何人（感谢20个赞）,感谢,正面
@MaryMuqadas,"What warms my soul? Watching two delightful, talented women and their creativity at work, laughing, sharing, being in nature, loving family, and making artistic videos for anyone fortunate enough to have ability to see them. Always marvelous. (PS the sisters' smiles melt hearts)",是什么温暖我的灵魂？观看两个令人愉快的，才华横溢的女性及其在工作中的创造力，笑，分享，自然，充满爱心的家庭，并为任何幸运的人制作艺术视频，有能力看到她们。总是很棒。（姐妹的微笑融化的心）,温暖 灵魂 观看 愉快 女性 创造力 分享 充满 爱心 家庭 幸运 艺术 视频 能力 很棒 姐妹,正面
@LamAnh-FreeBushcraft-pc1ts,Such a vibrant and delightful video! I loved watching the harvest of those golden-orange apricots with their unique sweet-tart flavor that epitomizes the essence of summer. It's truly refreshing to see the beauty and bounty of the season showcased so wonderfully,如此充满活力和令人愉悦的视频！我喜欢观看那些橙色杏子的收获，它们的独特甜食味道体现了夏天的本质。看到本季的美丽和赏金真是令人耳目一新,愉悦 视频 喜欢 观看 橙色 杏子 收获 独特 甜食 味道 体现 本质 赏金,正面
@rachelgladys2623,"Kalau saya tinggal bersama kalian, mungkin berat badan saya akan naik.
Melihat alam dan caramu memasak, membuat saya selalu lapar 

Terimakasih selalu berbagi keindahan dan kebahagiaan.
Love from Indonesia 🇮🇩",如果我和你一起生活，也许我的体重会增加。看到大自然和你做饭的方式，让我总是饿谢你总是分享美丽和幸福。来自印度尼西亚的爱🇮🇩,体重 增加 做饭 方式 饿谢 分享 幸福,正面
@supiyahaya,"Hidup di desa, yg berkecukupan, semua serba ada, fresh semua, udaranya segar, betapa nikmatnya hidup",住在村庄，好吧，一切都在那里，新鲜，空气是新鲜的，生活有多好,村庄 空气,负面
@suprithikar4403,Love from India tamilnadu 🇮🇳️ every Wednesday I'm watching this show I like it very much  keep it up sister,来自印度泰米尔纳德邦的爱，每个星期三我都在观看这个节目，我非常喜欢它的姐,观看 节目 喜欢,正面
@poppicandy,"最喜歡看你外出採集食材，看著新鮮的純天然材料給你採了，好想也採摘一下試試。
也喜歡最後你煮了美食跟家人親朋好友分享，大家吃得開心聊得投緣，人生這樣過很不錯唉！
謝謝！",最喜欢看你外出采集食材，看着新鲜的纯天然材料给你采了，好想也采摘一下试。也喜欢最后你煮了美食跟家人亲朋好友分享，大家吃得开心聊得投缘，人生这样过很不错唉！谢！,喜欢 外出 采集 食材 看着 材料 采摘 喜欢 美食 家人 分享 吃得开 聊得 投缘 人生 不错,正面
@user-gg6qb5rs2v,"Супер хозяйка, счастья тебе и твоей семье!",超级女主人，祝您和您的家人幸福！,女主人 家人 幸福,正面
@indrianyprajitno4373,"Sehat2 + bahagia dan kompak slalu bersama keluarga ci Apen ...luv luv Nenek+Kakek, Ahao, Axia, Dawang dan Laifu...",2 +快乐而紧凑总是与 家族. 奶 +祖父，和 .,快乐 紧凑 祖父,正面
@kynijorsal1156,"I'm your avid fan for years now. Your videos became my stress reliever. Because of your videos, I dreamt to have a simple life someday and having my own farm where I can raise my children with God's precious gifts of nature. But I can only do that if I have enough money or savings. By the way, I'm from Philippines. As I watched all your videos, I realized that we do have similarities in terms of family or community bond. I feel the warmth every time you eat together as a family (made me wished sometimes if I could seat beside you while savoring your dishes). This is my first time commenting and hopefully you'll be able to read it despite of your busy schedules. For me, you became my inspiration, my big pretty sister.",我是您多年来的狂热粉丝。您的视频成为我的压力缓解者。由于您的视频，我梦想着有一天过着简单的生活，并拥有自己的农场，可以用上帝珍贵的自然礼物抚养我的孩子。但是，只有在我有足够的钱或储蓄的情况下，我才能做到这一点。顺便说一句，我来自菲律宾。当我观看您的所有视频时，我意识到我们在家庭或社区纽带方面确实有相似之处。每次您一起吃饭时，我都会感到温暖（有时候我可以坐在你旁边的同时品尝您的菜肴）。这是我第一次发表评论，希望尽管您的时间表很忙，您还是可以阅读它。对我来说，您成为了我的灵感，我的大妹。,狂热 粉丝 视频 压力 缓解 视频 梦想 着有 简单 拥有 农场 上帝 珍贵 礼物 抚养 孩子 足够 储蓄 情况 顺便 观看 视频 意识 家庭 社区 纽带 确实 吃饭 感到 温暖 坐在 品尝 菜肴 发表 评论 希望 时间表 阅读 灵感 大妹,正面
@luizakhasueva3850,"Какая красота, фрукты загляденье и девушка красотка.",多么美，果实是酸痛的眼睛和一个女孩的美丽。,酸痛 眼睛 女孩,正面
@LaGallega-p7x,"Soy Cubana, me recuerda cuando mi abuela hacía mermelada de mango y  la comíamos con pan,mi niñez fue tan feliz",我是古巴，这使我想起了我的祖母制作芒果酱并用面包吃东西，我的童年很高兴,想起 芒果 并用 面包,正面
@user-cg4xi9vl9d,한국인 시청자 입니다  몆 년간  시청  하니  배경  화면이  아름  답네요,我是韩国观众。,观众,正面
@ekoyulianto6798,"Video yang sangat indah, keindahan alam pedesaan di china yang menyatu dengan kehidupan penduduknya,  luar biasa ...",一个非常美丽的视频，是中国乡村的自然美景，与居民的生活融合在一起，非凡.,视频 乡村 美景 居民,负面
@lamanhnewlife,The unique sweet and sour taste of summer apricots is simply irresistible,夏季杏子的独特甜味道简直是不可抗拒的,杏子 独特 甜味 抗拒,正面
@user-wd3nb6hc7c,I'm from India🇮🇳 and i live in chhattisgarh state. Love ur all videos and god bless uhh dear.,我来自印度🇮🇳，我住在恰蒂斯加尔邦。爱你所有的视频，上帝保佑亲爱的。,视频 亲爱,正面
@waw-toshi9526,"豊かな食文化を動画にしていただき有り難う御座います。世界中がこのような豊かな土地、知識や文化人柄が有ったならと羨ましくも尊敬致します。
盆姉ちゃんの暮らしがいく久しく続き、癒しの動画が提供さるますように、祈ります",感谢您使丰富的饮食文化成为视频。如果世界拥有如此丰富的土地，知识和文化个性，我将令人羡慕。我祈祷 -的生活将持续很长时间，并提供康复视频。,视频 世界 拥有 土地 知识 文化 个性 祈祷 提供 视频,正面
@user-ci8lo6bj5q,Какая благодатная земля! Как много разных фруктов растет!,多么肥沃的土地！正在生长多少种不同的水果！,肥沃 土地 生长 水果,正面
@user-nw8lc6wt6c,"your village is really beautiful, hi miss, nice to meet you from Indonesia, I hope your whole family is always healthy and always happy",您的村庄真的很漂亮，嗨，小姐，很高兴从印度尼西亚认识您，希望您的全家人永远健康并且总是快乐,村庄 很漂亮 希望 全家人 健康 快乐,正面
@tyasku501,Menyenangkan sekali panen aprikot yang berwarna merona pas dan khas untuk musim panas,非常愉快的收获杏子，脸红，典型的夏季,愉快 收获 杏子 脸红 典型,正面
@Lala-by2dz,Your videos always make me feel so peaceful; they are such good therapy.,您的视频总是让我感到和平；他们是如此良好的疗法。,视频 感到 疗法,正面
@setyochannel__,"Buah buhan, yang diolah, banyak masakan, sangat bagus.",水果，加工，很多食物，非常好。,水果 食物,正面
@julietchan4543,"Wow,  the yummiest. I  apricots, peaches n stoned fruits. You're amazing.  So clever n  you're able to create so many delicious dishes and cakes with 1 main ingredient. I just  watching yr videos. Tq. N keep well.",哇，最美味。我杏子，桃子烧水果。你太棒了。如此聪明，您可以用1个主要成分创建许多美味的菜肴和蛋糕。我只是看着您的视频。保持健康。,杏子 桃子 水果 聪明 成分 创建 菜肴 蛋糕 看着 视频 健康,正面
@LilaStandingTall1,Greetings from Tennessee USA 🇺🇸 ️ Good Morning   everyone,美国田纳西州的问候🇺🇸,问候,正面
@ajengtrisnaaulia8832,Setiap hari aku selalu menunggu video mu aku sangat suka sama semua video mu,每天我总是等您的视频，我真的很喜欢您的所有视频,视频 喜欢 视频,正面
@Hatsunetsuchu831,"仕事終わりに、あなたの料理を見ることが私の癒しになります。

今回もとっても美味しそう！",在工作结束时，看着您的食物是我的康复。这次看起来很美味！,结束 看着 食物,正面
@ArmyMBTS,"Apricot's homeland is my country Armenia🇦🇲 Thanks a lot for this vidio, it's so calming",杏子的祖国是我的国家亚美尼亚🇦🇲非常感谢这部影片，真是太平静了,杏子 祖国 国家 影片 平静,正面
@hidupdindeso,indah tempatnya enak masakannya saya suka sekali video anda semoga tambah sukses 🇮🇩️,美丽的地方是美味的烹饪，我喜欢您的视频，我希望它会更成功🇮🇩️,地方 烹饪 喜欢 视频 希望 成功,正面
@xiangfu482,幸福全家味，怎麼嚐都不膩，一年四季都歡樂團聚，吉慶有餘的一家。小哥的廚藝是主帥當家，天然風味無添加，單純～無以復加。,幸福全家味，怎么尝都不腻，一年四季都欢乐团聚，吉庆有余的一家。小哥的厨艺是主帅当家，天然风味无添加，单纯～无以复加。,幸福 全家 不腻 欢乐 团聚 小哥 厨艺 主帅 当家 风味 添加,正面
@thecosmicradiation,"I'm not a huge fan of apricots by themselves, but I love apricot-flavoured things. So all the meals you made look delicious!",我本身并不是杏子的忠实拥护者，但我喜欢杏子的东西。因此，您做的所有餐点看起来都很好吃！,杏子 忠实 拥护者 喜欢 杏子 餐点 好吃,正面
@irinagudema4096,"Привет вам из России! Очень нравится смотреть ваши видео! Какая у вас замечательная семья, земля и страна в целом. Обычаи и традиции, культура и природа! Всех благ вам!",来自俄罗斯的你好！我真的很喜欢看你的视频！您拥有多么美好的家庭，整个土地和整个国家。习俗和传统，文化和自然！祝你好运！,喜欢 视频 拥有 美好 家庭 土地 国家 习俗 传统 文化,正面
@user-np2oy3kc9z,ماأجمل حياتكم كلها حلوه وجميله حتى اثماركم بارك الله بيكم مرحبا بكم,多么美好的生活是甜美而美丽的，直到我为你抚摸你，愿上帝保佑你，欢迎你,美好 甜美 抚摸,正面
@OGGY_9T9,Love form Bangladesh 🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩,爱情形式孟加拉国🇧🇩,爱情 形式,正面
@delwarhosen3208,আপনার ভিডিও আমার অনেক ভালো লাগে আপনাদের ভাষা আমি বুজিনা তাও আমি দেখি বাংলাদেশ থেকে দেখছি,您的视频对我很好，我看到您从孟加拉国观看的语言,视频 观看 语言,正面
@sammiepeace13,"I do love watching your videos, so does my husband. You're a fantastic cook/chef. Love from the UK",我喜欢看你的视频，我丈夫也喜欢。您是一个很棒的厨师/厨师。来自英国的爱,喜欢 视频 丈夫 喜欢 很棒 厨师 厨师,正面
@BelkaKsy,Спасибо за красоту и уют домашний🫰🫰🫰 Москва вас приветствует,感谢莫斯科的美丽和舒适感欢迎您,感谢,正面
@bayotsaisla7472,Love at watching in the Philippines 🇵🇭🇵🇭🇵🇭,喜欢在菲律宾观看🇵🇭,喜欢 观看,正面
@thùyvâncao-q1c,Tôi cảm ơn bạn về những video đầy xúc động về bữa ăn gia đình. Cám ơn bạn rất nhiều.,我感谢您提供有关家庭用餐的情感视频。非常感谢。,提供 家庭 用餐 情感 视频,正面
@AzulRomero-r1i,"I am your fan, have been for some years now. You have inspired me to move to the country side and live a more natural life. I am from Mexico, but now live in Canada. Bless you and your family!",我是你的粉丝，已经有几年了。您启发了我搬到乡村方面并过上更自然的生活。我来自墨西哥，但现在住在加拿大。祝福你和你的家人！,粉丝 启发 搬到 乡村 家人,正面
@user-yv5iz2or3o,ยูนนานสวยงามด้วยธรรมชาติ อุดมสมบูรณ์ ผู้คนเรียบง่าย หวังสักวันได้ไปเที่บวบ้านเกิดของน้อง เพราะชอบธรรมชาติ ผู้คนมีมิตรไมตรี ฉันเป็นคนไทยเชื้อสายจีน,云南在大自然，丰富而简单的人方面美丽。希望有一天我去家乡。因为我喜欢大自然人们很友好。我是一个中国泰国人。,简单 希望 家乡 喜欢 友好,正面
@suztheultimateq2011,Looks delicious!  I love apricots .,看起来很美味！我爱杏子。,杏子,正面
@user-db7rv7gj9x,"Все очень красиво и аппетитно выглядит, с такой прекрасной девушкой",一切看起来都非常美丽和开胃，有一个美丽的女孩,开胃 女孩,正面
@keysumi8636,"I couldn't watch your shows for a long time because of the difficult work schedule. Now I can once again be an observer of your  wonderful story, it fills me and makes me happy",由于工作时间表艰难，我无法长期观看您的节目。现在，我可以再次成为您奇妙故事的观察者，它使我充满并让我开心,时间表 艰难 观看 节目 奇妙 故事 观察者 充满 开心,正面
@mdmofasjol1767,I am from Bangladesh 🇧🇩....i always waiting for your vlogs...and i  like this nature...it's very beautiful,我来自孟加拉国🇧🇩.我总是在等你的视频博客.我喜欢这种性质.它非常漂亮,视频 喜欢 性质 漂亮,正面
@nhubichtranthi2438,"The family atmosphere is great, the place you live is also beautiful",家庭氛围很棒，您住的地方也很漂亮,家庭 氛围 很棒 地方 很漂亮,正面
@reenapawar920,Love your videos. Thank you. Love from India,爱你的视频。谢。来自印度的爱,视频,正面
@user-iq1fw7uf2x,"Молодец девочка! Так держать,!!",做得好的女孩！继续努力吧，！,做得好 女孩 努力,正面
@rakxu1989,Awesome cooking lots of love from 🇳🇵🇳🇵 Nepal,很棒的烹饪来自的很多爱,很棒 烹饪,正面
@lhttngan,"This video gives me a sense of freshness, summer's really colorful, i love it",这个视频给了我一种新鲜感，夏天真的很丰富多彩，我喜欢它,视频 新鲜感 喜欢,正面
@ShivaniSingh-pt6ez,"Recently I was in China ,i have  seen this fruit tree out side my residence, China is a beautiful country",最近我在中国，我在我的住所里看到了这棵果树，中国是一个美丽的国家,住所 果树 国家,正面
@A.S.Harimithra,வணக்கம்  சகோ ரொம்ப ரொம்ப நல்லாருக்கு  வாழ்த்துக்கள்,你好同事很好,同事,正面
@LifestyleTraditional,"Peaceful scene, delicious and beautiful cooking! It makes me feel comfortable when watching your videos",宁静的场景，美味而美丽的烹饪！观看视频时，这让我感到很舒服,场景 烹饪 观看 视频 感到 舒服,正面
@Zainabrafiq-ex2rv,Always waiting for your vlogs me and my all family really love it  your vlogs are so relaxing and gave mind peace ️ love so much apenjii lots of love from Pakistan,一直在等待您的视频博客，我的全家人真的很喜欢它，您的视频博客是如此放松，让心灵和平佐,等待 视频 全家人 喜欢 视频 放松 心灵,正面
@LyThiHoa1987,"It's so happy to enjoy dishes made by your own hands
From Viet Nam",很高兴享受自己的手做的菜肴来自越南,享受 菜肴,正面
@user-bp8yy1tr6s,Hai hello... Indonesia hadir dalam tayangan ini,嗨，你好.印度尼西亚来了这个节目,节目,正面
@yue_9598,待ってました！,我一直在等待！,等待,正面
@arushi9720,"Love your cooking,  your family members , and dwang laifu  lots of love from Indian fan 🇮🇳",爱您的烹饪，您的家人和 ，印度粉丝很多爱,烹饪 家人 粉丝,正面
@DiepNguyen-qp3lj,"I just came to visit Yunnan last week because of watching your video. I visit Liejang ancient town, Shangrila án Daili. Yunnan is so beautifull, I want to come back Yunnan when I have a chance. From a fan in Vietnam.",由于观看了您的视频，我上周刚来访问云南。我参观了列扬古城镇，香格里拉·戴利（á）。云南是如此美丽，我想在有机会的时候回来云南。来自越南的粉丝。,观看 视频 访问 参观 列扬 机会 回来 粉丝,正面
@iamgroot4706,So much of love and wholesomeness .,这么多爱与诚意。,诚意,负面
@user-cd8wm3ju3k,WOOO que bendicion ese lugar donde tu vives no me pierdo ni un video me encantan eres genial ️,祝福你住的那个地方不要错过我爱你的视频,地方 错过 视频,正面
@kusuma2532,คุณทำกับข้าวและของหวานเครื่องดื่มเก่งมากๆเลยคะ ชอบดูมาก,您做饭和甜点。,做饭 甜点,正面
@PhuongFarmLife,The vibrant golden-orange hue and the unique sweet-tart flavor of apricots truly capture the essence of summer! This video beautifully showcases the delightful taste and appeal of this seasonal fruit.,充满活力的金色橙色调和独特的杏子味真正捕捉了夏天的精髓！该视频精美地展示了这种季节性水果的令人愉悦的味道和吸引力。,金色 橙色 独特 杏子 捕捉 精髓 视频 精美 展示 季节性 水果 愉悦 味道 吸引力,正面
@SUN19612,"I love your videos. It gives me the feeling of living in nature. 
Love from Telangana india",我爱你的视频。它给了我在自然中生活的感觉。来自印度的爱,视频 感觉,正面
@Wancubluxsfishing1986,"Salam  damai sejahtera dari negara INDONESIA ,,,",来自印尼国家的和平，,国家,正面
@7_project_official,Today she made a roti (Indian food) but in different way and she make it crunchy love from India,今天她做了烤肉（印度美食），但以不同的方式，她从印度做了脆的爱,烤肉 美食 方式,正面
@meilingwang4227,Sweet family The whole family is very happy . uncle grandpa grandma and mother very cute,甜蜜的家庭整个家庭都很高兴。祖母叔和母亲非常可爱,甜蜜 家庭 家庭 母亲 可爱,正面
@IzaIza-y1u,I like your videos,我喜欢你的视频,喜欢 视频,正面
@user-to9gi3li3p,Hi I am from Indonesia I love to watch your video before I go to bed it's make me feel happy..,嗨，我来自印度尼西亚，我喜欢在睡觉前观看您的视频，这让我感到高兴。,喜欢 睡觉 观看 视频,正面
@user-qu6xc3bk4h,Iam from Bangladesh 🇧🇩🇧🇩🇧🇩we always support you and i love you,来自孟加拉国的🇧🇩我们总是支持你，我爱你,支持,正面
@VanLacTucNghiem,Nhìn mấy con mèo thư thái ghê,看一些放松的猫,放松,正面
@delosreyesqueencie-ns7gq,"Wow all season for peaches,, apricot and plums hehe i love it",整个季节的桃子，杏子和李子呵，我喜欢它,季节 桃子 杏子 喜欢,正面
@vernvern5848,ចូលចិត្តវីដេអូអ្នកខ្លាំងណាស់ love you from cambodia 🇰🇭,喜欢您的视频非常喜欢柬埔寨🇰🇭,喜欢 视频 喜欢,正面
@thebestofeverything4756,All those lovely fruits and animals and that nature  ️,所有这些可爱的水果和动物以及大自然,可爱 水果 动物,正面
@lilibethsanpedro2812,"What a beautiful you have, abundant of fresh fruits and veggies, workaholic people, delicious dishes...love so much the food you prepare. you're so smart and pretty.",您拥有多么美丽的新鲜水果和蔬菜，工作狂，美味的菜肴.非常喜欢您准备的食物。你是如此聪明和漂亮。,拥有 水果 蔬菜 菜肴 喜欢 食物 聪明 漂亮,正面
@tigerazazazello4517,Всегда жду новых выпусков . Мой самый любимый канал .,一直在等待新问题。我最喜欢的频道。,等待 喜欢 频道,正面
@classicalmah8585,"Great to live in the country side. Abundance of fruits from tree to table, so nutritious and will keep body healthy. Never get sick. Fresh country air without pollution, live off the land. So much freedom and space, beautiful views of the horizon. Nothing else to wish for. Enjoy!",很高兴住在乡下。从树到桌子的大量水果，如此营养丰富，可以保持身体健康。永远不要生病。没有污染的新鲜乡村空气，居住在土地上。如此多的自由和空间，地平线的美丽景色。别无其他。享受！,树到 桌子 水果 营养 生病 乡村 空气 居住 土地 自由 空间 地平线 景色 享受,正面
@rahulgogoi2363,"Yunnan food and people so beautiful, watching  from Assam. India",云南的食物和人们如此美丽，从阿萨姆邦看。印度,食物,正面
@user-fv1hf8mz4z,我真的很喜歡看你的節目。,我真的很喜欢看你的节目。,喜欢 节目,正面
@Salsabila__13101,Aku sangat suka cara mu membuat makanan,我真的很喜欢你做饭的方式,喜欢 做饭 方式,正面
@user-py2re5cx9l,真精彩喜歡你做各式各樣的水果看的都流口水了來自台灣歡迎來台灣玩,真精彩喜欢你做各式各样的水果看的都流口水了来自台湾欢迎来台湾玩,精彩 喜欢 水果 流口水,正面
