评论,fenci,情感分类,主题概率,主题类型
开始大意了，直接格式化安装，发现失败。搞了几个小时才装好。,大意 格式化 安装 发现 失败 几个 小时,neg,"[(0, 0.017984394), (1, 0.01791997), (2, 0.01794458), (3, 0.5799814), (4, 0.017915698), (5, 0.017919062), (6, 0.33033487)]",3
自己加了根2的三星的800内存，原来带的内存是667的，如果是667的就好了，稍微差了一点，,三星 内存 内存 稍微 一点,neg,"[(0, 0.023845192), (1, 0.85672534), (2, 0.023921654), (3, 0.023831934), (4, 0.023875844), (5, 0.023925593), (6, 0.023874447)]",1
驱动盘只有的驱动，装成我相信99%的人不会用。笔记本基本扩展口都没有。接口太少！,驱动 驱动 装成 笔记本 扩展 接口,neg,"[(0, 0.02043565), (1, 0.020528935), (2, 0.020483823), (3, 0.02044766), (4, 0.13611068), (5, 0.02049677), (6, 0.7614965)]",6
的系统从来没玩过，面做工稍欠缺，塑料感强。不过对得起价格。,系统 没玩过 做工 欠缺 塑料 感强 对得起 价格,neg,"[(0, 0.01592539), (1, 0.9044384), (2, 0.015928555), (3, 0.015913818), (4, 0.015907401), (5, 0.01594966), (6, 0.015936747)]",1
键盘感觉不太爽，可能用用就习惯成自然了吧。看图以为触摸板是多点触控的，其实不是的，请各位注意了。散热我觉得做的一般，可能是出风口太小吧。,键盘 感觉 太爽 用用 习惯成自然 触摸板 多点 触控 散热 出风口 太小,neg,"[(0, 0.012015635), (1, 0.011953732), (2, 0.40485948), (3, 0.53518295), (4, 0.0120080495), (5, 0.011998332), (6, 0.011981767)]",3
"键盘稍微的不是太人性化,货到手时感觉有划痕,本来还打算换呢,后来发现把表面的贴膜去掉是完好的,没划痕 ,稍稍有点重 2,如果上下班开车或者偶尔背着上下班的就无所谓了,自我感觉能接受.",键盘 稍微 人性化 到手 感觉 划痕 本来 打算 发现 表面 贴膜 去掉 完好 划痕 稍稍 上下班 开车 背着 上下班 无所谓 自我感觉 接受,neg,"[(5, 0.9625441)]",5
键盘比想象中的要烂，光驱有时候声音会比较大，摄像头是个鸡肋功能，不错有比没有好...,键盘 想象 要烂 光驱 有时候 声音 摄像头 鸡肋 功能 不错,neg,"[(0, 0.013025369), (1, 0.0130446255), (2, 0.013031672), (3, 0.013142889), (4, 0.013042861), (5, 0.013037734), (6, 0.92167485)]",6
自带的系统很茫然，竟然没进去，只好格了重新分区。带的驱动盘不是的，直接不能打开。从官方网站下载的驱动没能把声卡和无线网卡驱动起来，还不知道咋办！摄像头像素很一般。键盘是平的，手感不如.,自带 系统 茫然 只好 分区 驱动 打开 官方网站 下载 驱动 没能 声卡 无线 网卡 驱动 咋办 摄像头 像素 键盘 手感,neg,"[(6, 0.95907265)]",6
男人不好用，稍微有点厚了，屏幕的清晰度比起其他品牌要差了一点，机身上鼠标的按键手感不好，1024600的显示率用起来还是小了一些，玩游戏很不爽!,男人 不好 稍微 屏幕 清晰度 品牌 一点 机身 鼠标 按键 手感 不好 显示 率用 玩游戏 不爽,neg,"[(1, 0.94938004)]",1
现在快递（小袋鼠）太垃圾，不送上门，还让下楼取，这是快递吗？要是买大家电之类的，又在高层就惨了。,快递 小袋鼠 垃圾 送上门 下楼 快递 高层,neg,"[(0, 0.017899044), (1, 0.017921446), (2, 0.017887022), (3, 0.017882967), (4, 0.89261127), (5, 0.017883621), (6, 0.017914638)]",4
稍微有点厚了，屏幕的清晰度比起其他品牌要差了一点，机身上鼠标的按键手感不好，1024600的显示率用起来还是小了一些，如果采用1024768压缩的显示方式，速度就会慢很多。,稍微 屏幕 清晰度 品牌 一点 机身 鼠标 按键 手感 不好 显示 率用 采用 压缩 显示方式 速度,neg,"[(1, 0.94940645)]",1
按键不是很舒服的感觉，可能因为小的缘故吧。触摸屏也不是很好用，不过平时都用鼠标了,按键 舒服 感觉 缘故 触摸屏 很好 平时 鼠标,neg,"[(0, 0.015921894), (1, 0.0159265), (2, 0.28158513), (3, 0.015912559), (4, 0.638756), (5, 0.01593297), (6, 0.015964955)]",4
屏幕垃圾的要死！太亮刺眼睛！对眼睛伤害极大！！！看久眼睛就疼！不晓得大家的本本怎么样！反正色彩是我采购的10多台笔记本里面最垃圾的一个！调了显卡设置也没用！颜色偏差很大！如果用来工作！肯定不行！,屏幕 垃圾 要死 太亮 眼睛 眼睛 伤害 眼睛 晓得 本本 反正 色彩 采购 多台 笔记本 垃圾 显卡 设置 没用 颜色 偏差 很大 工作 肯定 不行,neg,"[(2, 0.049494024), (6, 0.92291856)]",6
用了2周下来，觉得带来带去还是太重，3斤也是实打实的分量啊，屏幕是的，看多了很累的,带来带去 太重 实打实 分量 屏幕 看多 很累,neg,"[(0, 0.017928407), (1, 0.8924659), (2, 0.017946688), (3, 0.017900977), (4, 0.01791655), (5, 0.01792594), (6, 0.017915584)]",1
散热有待加强，不过12寸的好像基本都是这样的。。,散热 有待 好像,neg,"[(0, 0.036068745), (1, 0.035825953), (2, 0.7848065), (3, 0.035777915), (4, 0.03580818), (5, 0.035883196), (6, 0.03582956)]",2
不足， 大概就是同时打开 多个网页时会有些慢，哈哈，这是可以想象得到 的啦。,打开 多个 网页 时会 想象,neg,"[(0, 0.02409349), (1, 0.023904195), (2, 0.023875294), (3, 0.023965908), (4, 0.023907041), (5, 0.02397415), (6, 0.8562799)]",6
商品没有不足，京东售后就有。,商品 京东 售后,neg,"[(0, 0.035747945), (1, 0.03596863), (2, 0.035772495), (3, 0.035771124), (4, 0.32832065), (5, 0.4924373), (6, 0.035981875)]",5
买了一月降了300.。。。。不甘心。。。听说内存槽只有一个。。升级会很浪费的,一月 甘心 听说 内存 升级 浪费,neg,"[(0, 0.020505048), (1, 0.87675995), (2, 0.020608516), (3, 0.020470565), (4, 0.020562641), (5, 0.0204779), (6, 0.02061539)]",1
东西不错，比想象中的好，性价比不错。京东的配送速度也要赞一个！,东西 不错 想象 性价比 不错 京东 配送 速度,neg,"[(0, 0.015915973), (1, 0.7065173), (2, 0.015896244), (3, 0.015959194), (4, 0.21376324), (5, 0.016007215), (6, 0.015940791)]",1
扬声器声音偏小，很单薄，比我以前用的的小的多，内存偏小，待机时间短，大约两小时，电源适配器很热，打华硕的客服，竟然说不是烫的不敢碰，就是正常的，晕死！,扬声器 声音 单薄 用的 内存 待机时间 小时 电源适配器 华硕 客服 晕死,neg,"[(0, 0.20002544), (1, 0.011968629), (2, 0.011960598), (3, 0.011946513), (4, 0.74015284), (5, 0.01197647), (6, 0.011969455)]",4
京东的产品描述很多是错的 320硬盘写的是250  系统  1内存显得很慢,京东 产品描述 硬盘 系统 内存 显得,neg,"[(0, 0.020458015), (1, 0.020502437), (2, 0.020631349), (3, 0.020437554), (4, 0.020519972), (5, 0.8769362), (6, 0.020514436)]",5
电池容量对于一款游戏本来说还是偏小了点。磨具做工虽然接缝平滑，但是偏软。,电池容量 一款 游戏 本来 磨具 做工 接缝 平滑 偏软,neg,"[(0, 0.0143789025), (1, 0.014327444), (2, 0.014412896), (3, 0.014313037), (4, 0.014325032), (5, 0.014314642), (6, 0.91392803)]",6
"首先是对快递不满意,本来货到了应该给我送来的,可快递员请假休息说第二天送,我等不及自提!开箱打开笔记本看到键盘帽都跳了出来,肯定是摔引起的,不过机器没毛病.京东为什么把华硕应该送的笔记本包给贪污了呀.",快递 满意 本来 送来 快递 请假 休息 第二天 等不及 开箱 打开 笔记本 键盘 肯定 机器 毛病 京东 华硕 笔记本 贪污,neg,"[(1, 0.36091688), (2, 0.60488176)]",2
我一共买了6台电脑刚送到，送过来就付款了，也没拆箱，刚拆箱就吓了一跳，按键的键盘都敲起来了，我晕，你们卖的是行货吗，是不是返修机呀，我要求退货！到现在还没退！,一共 电脑 送到 送过来 付款 吓了一跳 按键 键盘 敲起来 行货 返修 退货 没退,neg,"[(0, 0.010217658), (1, 0.010223257), (2, 0.010227991), (3, 0.010217279), (4, 0.010225191), (5, 0.010222788), (6, 0.9386658)]",6
(1)内存有点小。,内存,neg,"[(0, 0.07150299), (1, 0.071650274), (2, 0.07177226), (3, 0.07144624), (4, 0.071563594), (5, 0.57050574), (6, 0.07155891)]",5
里没有表，版的不容易装，但安装版的没有任何问题,安装版,neg,"[(0, 0.071505256), (1, 0.071669415), (2, 0.071505174), (3, 0.5708049), (4, 0.07150506), (5, 0.07150508), (6, 0.071505085)]",3
不能直接用，但是可以用光盘启动11使用，这样也就方便多了，大家可以试试。,光盘启动 试试,neg,"[(0, 0.047769573), (1, 0.047916863), (2, 0.047769435), (3, 0.712905), (4, 0.047932986), (5, 0.047769256), (6, 0.04793687)]",3
暂时还没发现缺点哦！,暂时 发现 缺点,neg,"[(0, 0.035739426), (1, 0.035757452), (2, 0.03578458), (3, 0.7854131), (4, 0.035727683), (5, 0.03584046), (6, 0.035737287)]",3
触控板左右键键程偏短，感觉生硬，不适合女生使用；到货时发现键盘上边缘没有安装到位，吓我一跳，还好本人懂一点，又把它重新安装好，华硕公司应该好好检讨一下了，这样的产品怎么能通过检测呢？,触控板 键键 偏短 感觉 生硬 适合 女生 到货 发现 键盘 边缘 安装 到位 我一 还好 一点 重新安装 华硕 公司 好好 检讨 产品 检测,neg,"[(1, 0.09275847), (2, 0.1977131), (4, 0.68556845)]",4
材质一般，模具一般，算不上精致，也不算粗糙，一般般啦。芯片，和1内存都有点耿耿于怀。声卡和调制解调器如果是装一代要先打888111的补丁，否则怎么也驱动不起来。,材质 模具 算不上 精致 不算 粗糙 一般般 芯片 内存 耿耿于怀 声卡 调制解调器 一代 补丁 驱动,neg,"[(1, 0.67812204), (2, 0.2770698)]",1
屏有一个亮点，不过在开始栏，用时看不出来～～外壳和键盘比较爱花，爪纹啊～～得赶紧配一套全方位的衣服～～,屏有 亮点 看不出来 外壳 键盘 爱花 赶紧 一套 全方位 衣服,neg,"[(0, 0.92184204), (1, 0.013017154), (2, 0.013043324), (3, 0.013008997), (4, 0.013017534), (5, 0.013019617), (6, 0.013051323)]",0
声音太小，与我女朋友的联想比声音那个真是小啊！只能配个外置的音响了！还有就是内存少了点。,声音 太小 女朋友 联想 声音 只能 外置 音响 内存,neg,"[(0, 0.01437095), (1, 0.014372047), (2, 0.54180783), (3, 0.014314076), (4, 0.38639793), (5, 0.014354168), (6, 0.014382974)]",2
自带的1内存配合系统还是很吃力。快捷键有点少。奥特蓝星的音箱比起惠普的奥特蓝星音箱总觉得差了层次。,自带 内存 配合 系统 吃力 快捷键 奥特 蓝星 音箱 惠普 奥特 蓝星 音箱 层次,neg,"[(1, 0.8226676), (6, 0.12959297)]",1
接口的位置不怎么好，一个在后面，两个在左边，一般鼠标都在右边，就只有插在后面那个接口上，设计有点小问题,接口 位置 两个 左边 鼠标 右边 接口 设计,neg,"[(0, 0.015932165), (1, 0.015915858), (2, 0.015913712), (3, 0.015887123), (4, 0.9045084), (5, 0.01590685), (6, 0.015935864)]",4
唯一的问题是做不了镜像，比较郁闷，懒得用去弄了，还不如重装省事,唯一 做不了 镜像 郁闷 懒得 重装 省事,neg,"[(0, 0.017915215), (1, 0.017918512), (2, 0.28551075), (3, 0.62487453), (4, 0.017934633), (5, 0.017932054), (6, 0.01791427)]",3
从同学那儿拿了 2和3两张系统盘，我清楚的记得放进光驱里了，可是再打开光驱时却是空的！郁闷、尴尬、恐怖！,同学 两张 系统盘 记得 放进 光驱 打开 光驱 却是 郁闷 尴尬 恐怖,neg,"[(0, 0.011010185), (1, 0.011041521), (2, 0.1591039), (3, 0.011013525), (4, 0.011023309), (5, 0.7857868), (6, 0.011020738)]",5
塑料感很强，外观一般，做工不怎么样，拿到键盘上边是翘起的，还好压了一下就下去了，估计装配时没有扣好，不然就要送修了。,塑料 外观 做工 不怎么样 拿到 键盘 上边 翘起 还好 估计 装配 扣好 送修,neg,"[(0, 0.010245866), (1, 0.7148712), (2, 0.010248264), (3, 0.0102173695), (4, 0.010240619), (5, 0.23392761), (6, 0.0102490345)]",1
没有系统这个不好，自己装挺费时间的，还有显卡跟摄像头的驱动两有问题！显卡得装两遍不然什么3什么的启动不了！,系统 不好 费时间 显卡 摄像头 驱动 显卡 得装 两遍 启动,neg,"[(0, 0.013023896), (1, 0.013022714), (2, 0.013060484), (3, 0.013015442), (4, 0.013011012), (5, 0.013017403), (6, 0.9218491)]",6
预装的系统  只给分了两个区 太不合理了  本来是优点的 现在却弄成了缺陷,预装 系统 给分 两个 不合理 本来 优点 缺陷,neg,"[(0, 0.01591863), (1, 0.015913675), (2, 0.9045205), (3, 0.015899807), (4, 0.015901547), (5, 0.015906814), (6, 0.015938979)]",2
内存较为少了一点，电池的位置比较导致掌托左边容易发热，散热在后面，但是鼠标使用起来的话，必须经过散热位，会导致线容易发热啊！,内存 一点 电池 位置 导致 掌托 左边 发热 散热 鼠标 散热 导致 发热,neg,"[(0, 0.010269301), (1, 0.010237618), (2, 0.4928481), (3, 0.010219834), (4, 0.45595145), (5, 0.010235632), (6, 0.010238026)]",2
1，没有什么快捷键，所有快键都得通过来操作，不大方便。,快捷键 操作,neg,"[(0, 0.047718562), (1, 0.7135431), (2, 0.047693077), (3, 0.04767377), (4, 0.047748324), (5, 0.047786232), (6, 0.047836885)]",1
显卡驱动不好装，网上找了好久。,显卡 驱动 不好 网上 好久,neg,"[(0, 0.02384533), (1, 0.023880413), (2, 0.023908723), (3, 0.023887498), (4, 0.023848893), (5, 0.023850046), (6, 0.8567791)]",6
但无线网卡有时爱断！而且说明书根本就没有，就是现在谁都会使也不是谁都有功夫没事就研究它！不知是联想懒还是要省点重量把纸质的全放到机器里！很讨厌！电源线感觉有点短!某些地方不太够长！,无线 网卡 爱断 说明书 功夫 没事 研究 不知 联想 省点 重量 纸质 放到 机器 讨厌 电源线 感觉 地方,neg,"[(1, 0.95469344)]",1
运行时声音较大，不知道是硬盘还是风扇的声音，但可以接受范围。另外就是有点小重，但电脑不是老搬的。所以也还可以配了根内存条自己插了。不敢轻易删除，怕装烦找不到驱动。等受不了了再换,运行 声音 较大 硬盘 风扇 声音 接受 小重 电脑 内存条 轻易 删除 不到 驱动 受不了,neg,"[(2, 0.9462545)]",2
快递员都没有送到楼上，要我下去拿货，感觉有点别扭，希望京东在快递送货时完善一些。,快递 送到 楼上 拿货 感觉 别扭 希望 京东 快递 送货 完善,neg,"[(0, 0.011932413), (1, 0.3309168), (2, 0.01192406), (3, 0.011935807), (4, 0.011965631), (5, 0.6093855), (6, 0.011939825)]",5
第一，主板不支持双通道 只支持667的内存，800的降频使用，偶买了条2 金士顿2  800内存  经常出现蓝屏现象，明天去换条现代的试试,第一 主板 支持 双通道 支持 内存 降频 金士顿 内存 经常出现 蓝屏 现象 明天 试试,neg,"[(6, 0.9426572)]",6
不配备驱动，要安装还要去官网下载，新官网驱动不全，还要去老官网下载,配备 驱动 安装 官网 下载 官网 驱动 官网 下载,neg,"[(0, 0.014317646), (1, 0.014335201), (2, 0.014372599), (3, 0.014318694), (4, 0.16460027), (5, 0.014375888), (6, 0.76367974)]",6
没有原版的鼠标，我自己只能另外买了一个鼠标。,原版 鼠标 只能 鼠标,neg,"[(0, 0.828014), (1, 0.028693276), (2, 0.028645158), (3, 0.028636176), (4, 0.02875779), (5, 0.028607428), (6, 0.028646138)]",0
"不知是不是出于环保,没有操作系统光盘，没有驱动光盘。网上查了许多贴子才将安装上去，花一天时间才安装驱动和全部去掉无驱动时的问号。一会我会写出这些心得，放在空间。103473007",不知 环保 操作系统 光盘 驱动 光盘 网上 贴子 安装 时间 安装 驱动 去掉 驱动 问号 一会 我会 写出 心得 放在 空间,neg,"[(2, 0.960895)]",2
没有操作系统光盘，没有驱动光盘；我在启动装我自己的 8时就蓝屏了，系统随即崩溃，装了后要抓狂：很多驱动找不到，尤其是怎么弄也没声音。最后拿到维修站去装的，郁闷！后来才知道有一键还原~,操作系统 光盘 驱动 光盘 启动 系统 随即 崩溃 抓狂 驱动 不到 怎么弄 声音 拿到 维修站 郁闷 一键 还原,neg,"[(2, 0.47785217), (4, 0.48435444)]",4
有一点儿重，但还可以接受。,一点儿 接受,neg,"[(0, 0.04781855), (1, 0.047822125), (2, 0.7128182), (3, 0.04783865), (4, 0.047837507), (5, 0.04776015), (6, 0.048104852)]",2
重！没有－非常遗憾，所以搞系统盘我一共刻12张郁闷，电池电量少了些只有2个小时不到，有点可惜，非常慢，有点痛苦,遗憾 系统盘 一共 郁闷 电池电量 小时 不到 可惜 痛苦,neg,"[(0, 0.0143677555), (1, 0.014353745), (2, 0.014430258), (3, 0.913717), (4, 0.014354335), (5, 0.014346352), (6, 0.014430533)]",3
光驱换成刻录就好了，哪怕加点钱。1内存有点少。没赶上加1元送内存，遗憾,光驱 换成 刻录 加点 内存 赶上 内存 遗憾,neg,"[(0, 0.01592799), (1, 0.015921574), (2, 0.015932081), (3, 0.015898162), (4, 0.01590666), (5, 0.9044959), (6, 0.01591764)]",5
系统不能分区比较难过，如果有的就好了，还有就是没赶上加一元送内存的活动比较可惜,系统 分区 难过 赶上 一元 内存 活动 可惜,neg,"[(0, 0.01592226), (1, 0.015911577), (2, 0.6483956), (3, 0.27200517), (4, 0.015901007), (5, 0.015931346), (6, 0.015933067)]",2
键盘左上角稍微按下就严重下陷，唉，做工不敢恭维，跟我以前用的小黑键盘效果用天壤之别，难怪网上大家都不承认系列属于,键盘 左上角 稍微 下陷 做工 不敢恭维 小黑 键盘 效果 天壤之别 网上 承认 系列,neg,"[(0, 0.010231251), (1, 0.0102308), (2, 0.010239965), (3, 0.01022064), (4, 0.0102342805), (5, 0.010231326), (6, 0.93861175)]",6
联想的程序跟我们平时的电脑程序不一样，而且在京东买的铲平不享受上门维修,联想 程序 平时 电脑 程序 京东 铲平 享受 上门 维修,neg,"[(0, 0.013016775), (1, 0.92178047), (2, 0.013020241), (3, 0.013022479), (4, 0.013060755), (5, 0.013036063), (6, 0.013063239)]",1
电池续航能力偏弱，用不到两个小时就没电，没系统光盘，机器上容易沾上指纹,电池 续航 能力 偏弱 不到 两个 小时 没电 系统 光盘 机器 指纹,neg,"[(0, 0.4282162), (1, 0.011041544), (2, 0.16651823), (3, 0.36109287), (4, 0.011035693), (5, 0.011031189), (6, 0.011064272)]",0
买的时候忘了看了   回去发现没鼠标，应该有的吧,回去 发现 鼠标,neg,"[(0, 0.03595137), (1, 0.035887115), (2, 0.035858568), (3, 0.036155522), (4, 0.7843406), (5, 0.035815183), (6, 0.03599163)]",4
处理器配置不高，能再高点更完美；硬盘分区不合理，居然就一个区，还得自己下软件分区，麻烦；屏幕有点大，电脑有点重，女生携带吃力,处理器 配置 高点 完美 硬盘分区 不合理 软件 分区 麻烦 屏幕 电脑 女生 携带 吃力,neg,"[(2, 0.94270086)]",2
京东的客服专业知识有待提高的。笔记本的配置说不清楚，一会儿说有，一会说没有。送的原装包很垃圾，只能是一般的电脑包，请不要说是原装包，误导消费者，我们这里麦德龙都卖3699了。价格可以再便宜点。,京东 客服 专业知识 有待 提高 笔记本 配置 说不清楚 一会儿 一会 原装 垃圾 只能 电脑包 原装 误导 消费者 麦德龙 价格 便宜,neg,"[(0, 0.23286426), (6, 0.73290575)]",6
盘不分区很让人郁闷啊，我把旧电脑的东西传到本本里面了，结果使用了超过20的空间，没有办法备份了,分区 郁闷 旧电脑 东西 传到 本本 超过 空间 办法 备份,neg,"[(0, 0.013066664), (1, 0.013104127), (2, 0.92171663), (3, 0.013029908), (4, 0.013004175), (5, 0.01303876), (6, 0.013039726)]",2
基本上没有缺点，因为他的缺点是所有笔记本的缺点：为什么还不能升级其中的硬件以便做到永远不过时呢？（基本上是一种梦想）,缺点 缺点 笔记本 缺点 升级 硬件 永远 一种 梦想,neg,"[(0, 0.014319202), (1, 0.014356665), (2, 0.38636565), (3, 0.54182994), (4, 0.014379112), (5, 0.014358515), (6, 0.014390933)]",3
外壳容易印指纹，比较难看，贴上膜好一些，但膜太难贴了，气泡好多,外壳 指纹 难看 气泡 好多,neg,"[(0, 0.8563213), (1, 0.023928165), (2, 0.02397983), (3, 0.023910603), (4, 0.023921285), (5, 0.02393315), (6, 0.024005653)]",0
显存哪怕128也是好的，可是没有。最好有配件销售，并且有详细操作方式，比如说，拆下光驱，装个第二硬盘啥的，我想很多人会喜欢的。,显存 配件 销售 详细 操作 方式 光驱 装个 硬盘 人会 喜欢,neg,"[(0, 0.011923688), (1, 0.8349804), (2, 0.0119455), (3, 0.0119160125), (4, 0.10535821), (5, 0.01192568), (6, 0.011950457)]",1
系统无法连无线网络，咨询联想工程师解决不了问题，不能说人家水平差，原装软件有冲突，确实难找问题所在，最后还是根据人家给我的思路自己搞定的。如果对于电脑不熟悉的人，那麻烦了，老老实实接网线吧。,系统 无线网络 咨询 联想 工程师 解决不了 水平 原装 软件 冲突 确实 问题所在 思路 搞定 电脑 熟悉 麻烦 网线,neg,"[(1, 0.16521463), (2, 0.2492712), (4, 0.55529064)]",4
摄像头不知道怎么用。系统里面没有太多的介绍。另，分区时候跑着跑着就死机了，不明原因，也不能重启。后来卸下电池再启动才成功。2跑怎么感觉好慢啊，有点反应不灵敏，点击后至少5秒才反映。都这样吗,摄像头 系统 介绍 分区 死机 不明 原因 重启 卸下 电池 再启动 成功 感觉 不灵敏 点击 至少,neg,"[(3, 0.54955727), (6, 0.40821514)]",3
为什么我只早订货了一天，就开始送一大堆东西啊，又是鼠标又是内存又是瑞星，实在让人无奈,订货 一大堆 东西 鼠标 内存 瑞星 实在 无奈,neg,"[(0, 0.015955342), (1, 0.17098711), (2, 0.015933312), (3, 0.015925946), (4, 0.7493047), (5, 0.01594623), (6, 0.015947295)]",4
系统和系统能做到二选一就更好了，毕竟大部分人还是更偏爱系统。,系统 系统 更好 大部分 偏爱 系统,neg,"[(0, 0.020457342), (1, 0.0204968), (2, 0.020526562), (3, 0.020463957), (4, 0.02044658), (5, 0.8770918), (6, 0.020516897)]",5
既然有的鼠标，为何不送一个呢。今天去广州自提点的时候差点就要抽其中一个前台的耳光。拉着个脸，说话很不耐烦，好像大家都欠她钱似的，素质真的是太差了！严重侮辱了晶东的形象！,鼠标 广州 提点 差点 前台 耳光 说话 不耐烦 好像 素质 真的 侮辱 晶东 形象,neg,"[(5, 0.9426327)]",5
就是钢琴烤漆收集指纹功能有点强大 哈哈  不过这也没什么 个人觉得完全可以忽略不计 就当是信手涂鸦的作品了,钢琴 烤漆 收集 指纹 功能 强大 没什么 忽略不计 就当 信手 涂鸦 作品,neg,"[(0, 0.0111321835), (1, 0.9336324), (2, 0.011029002), (3, 0.011077419), (4, 0.011055225), (5, 0.01104362), (6, 0.011030157)]",1
7合一读卡器这样的东西 我估计所有的消费者都以为是外置的另送的吧 还红字 有点忽悠人的嫌疑  其实是笔记本上的一个的插槽 基本上所有的电脑都有的,合一 读卡器 东西 估计 消费者 外置 忽悠 嫌疑 笔记本 插槽 电脑,neg,"[(0, 0.011945012), (1, 0.0119692935), (2, 0.011973443), (3, 0.011937851), (4, 0.011930333), (5, 0.6747699), (6, 0.26547423)]",5
不明白为什么机器有哒哒哒的杂音，并且杂音很大，好像没有别的用户和我一样，我今天去三星售后问下，是不是质量问题！,明白 机器 杂音 杂音 很大 好像 用户 三星 售后 质量,neg,"[(0, 0.013032246), (1, 0.9217377), (2, 0.013078392), (3, 0.013022649), (4, 0.013031707), (5, 0.013038905), (6, 0.013058447)]",1
没有传说中的恢复光盘，好像也不支持802和，请版主确认一下。,恢复 光盘 好像 支持 版主 确认,neg,"[(0, 0.020465177), (1, 0.31410646), (2, 0.46243206), (3, 0.1415666), (4, 0.020463504), (5, 0.02046488), (6, 0.020501299)]",2
性能一般,性能,neg,"[(0, 0.07151342), (1, 0.071434826), (2, 0.570817), (3, 0.07143482), (4, 0.071603775), (5, 0.071674086), (6, 0.07152212)]",2
显卡真是不行，看电影时如果有其他操作 画面也会卡一下，不过毕竟是上网本，可以容忍,显卡 不行 电影 操作 画面 上网 容忍,neg,"[(0, 0.38922828), (1, 0.01793752), (2, 0.017968344), (3, 0.017944075), (4, 0.40126324), (5, 0.017915484), (6, 0.13774306)]",4
电源适配器发热大，噪声还是有一点，不是太明显。重量也是有点重。价格要是再低些，真是机皇了。,电源适配器 发热 噪声 一点 重量 价格 机皇,neg,"[(0, 0.56362975), (1, 0.018011842), (2, 0.017993236), (3, 0.34650874), (4, 0.017980548), (5, 0.017911723), (6, 0.017964168)]",0
"1电脑上已经安装一个杀毒软件，请勿再安装杀毒软件！键盘有个键锁了，请按+11,同时按，初次用户不熟悉，知道就好了。",电脑 安装 杀毒软件 安装 杀毒软件 键盘 有个 初次 用户 熟悉,neg,"[(0, 0.013031028), (1, 0.013024755), (2, 0.01303297), (3, 0.013025067), (4, 0.50136405), (5, 0.013021206), (6, 0.43350092)]",4
1.屏幕尺寸原本可以更大，液晶尺寸远小于上盖尺寸；,屏幕 尺寸 原本 液晶 尺寸 小于 上盖 尺寸,neg,"[(0, 0.015915848), (1, 0.01592117), (2, 0.9045786), (3, 0.015894214), (4, 0.015894324), (5, 0.015900997), (6, 0.015894813)]",2
说明书写的比较简单，这款笔记本送的三星内存不知道该怎么装，虽然说明书上写了，但是由于没这方面的经验，所以打算去保修点让专业人士帮我装，所以稍微麻烦了点。,书写 比较简单 笔记本 三星 内存 说明书 上写 这方面 经验 打算 保修 专业人士 稍微 麻烦,neg,"[(1, 0.9427188)]",1
"屏幕有点窄,不过好像上网的小本都是这种屏幕.可能是新产品的问题,只有一种黑颜色的,如果有其他颜色会更好.",屏幕 好像 上网 小本 屏幕 产品 一种 颜色 颜色 更好,neg,"[(0, 0.013045709), (1, 0.013035408), (2, 0.013056918), (3, 0.013030966), (4, 0.5124578), (5, 0.01303462), (6, 0.42233855)]",4
"预装软件过期了,一看居然是2006年的,晕( ?)",预装 软件 过期,neg,"[(0, 0.03581766), (1, 0.035960235), (2, 0.78500515), (3, 0.035743423), (4, 0.035795156), (5, 0.03581502), (6, 0.03586334)]",2
系统似乎不是很稳定  开机进入时 会有几秒黑屏  启动光驱时会发出吱吱的响声  估计是光驱少颗螺丝的原因  中通的送货速度太慢 送2内存  比较合适,系统 稳定 开机 几秒 黑屏 启动 光驱 时会 发出 吱吱 响声 估计 光驱 少颗 螺丝 原因 中通 送货 速度 太慢 内存 合适,neg,"[(5, 0.9624799)]",5
发热量大，尤其是系统升级时候，底部有点烫。宽频比一般的12寸本大，感觉像是13的。,发热量 系统升级 底部 宽频 寸本大 感觉 像是,neg,"[(0, 0.018039212), (1, 0.018055923), (2, 0.017917164), (3, 0.017949235), (4, 0.018087309), (5, 0.89201784), (6, 0.017933354)]",5
最大的不足就是盘空间，用系统自带的工具分了一次区，只分出100的空间，结果还进不去系统了，只能用恢复盘恢复出厂设置。还有就是没有附赠系统安装盘。也没有摄像头。,空间 系统 自带 工具 分出 空间 进不去 系统 只能 恢复 恢复 出厂 设置 附赠 系统 安装盘 摄像头,neg,"[(3, 0.4391899), (6, 0.5209605)]",6
拿到手是原包装，拆开后机器外有点脏，心里不爽，这个与联想有关！看了下说明书，没什么用。这个我早就想到。因为以前天逸本本就是。通电进，对外箱一切！屏幕完美屏！键盘没传说中的多么好用！字数限制,拿到 包装 拆开 机器 不爽 联想 说明书 没什么 早就 想到 天逸 本本 通电 对外 屏幕 完美 键盘 字数,neg,"[(0, 0.9547301)]",0
虽然我的键盘有些小的问题，但这是个别现象，这个我自己清楚，我也没有找京东，直接找的 客服，目前正在处理中，相信不是什么大事，可以帮助我解决好的。,键盘 个别现象 京东 客服 解决,neg,"[(0, 0.023864795), (1, 0.023931265), (2, 0.023874842), (3, 0.023833813), (4, 0.023903599), (5, 0.8566428), (6, 0.0239489)]",5
