Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment
,2024-06-19 10:44:37,luanlai9527,1,切屏就弹广告.....,切屏就弹广告.....每次都这样每次都这样，直接卸载。,广告 卸载,负面
,2024-06-19 10:14:38,会飞）的,5,还有很多教学视频,好多优秀又免费的视频教程。,优秀 视频教程,正面
,2024-06-19 10:08:45,能不能把这个功能普及一下？谢谢！,2,搜索页面下方的搜索发现框里没有我常搜的喜欢的东西,（该条评论已经被删除）如题,评论 删除,负面
,2024-06-19 09:59:16,🐶都不用腾讯qq,1,看直播，刚点进去就关机,（该条评论已经被删除）站把我手机第一次关机给干出来了，开机还以为手机问题打开历史记录重看，又关机了,评论 删除 手机 关机 开机 手机 打开 历史记录 关机,负面
,2024-06-19 09:59:06,颍川散人,5,不欢迎那些带杂音的伴奏带,那些带杂音的伴奏带就别放站了吧。宁可没有。,杂音 伴奏带,负面
,2024-06-19 09:58:15,目舍诺滑丢溜嫌身重绩疯桃唐韩,5,腐癌和卖腐的人请要点脸,给我喜爱的小破站打。,喜爱 小破站,正面
,2024-06-19 09:44:07,为へ美丽加分,5,刚开始还只是在这个小破站看鬼畜,支持！，无悔进站。,支持 无悔 进站,正面
,2024-06-19 09:16:00,😁张建平,5,入站也有6、7年了,心情不好，我最喜欢看的就是小潮院长他的剧情。,心情 喜欢 院长 剧情,正面
,2024-06-19 08:18:33,哈哈哈哈哈哈哈哈家哦,1,摇一摇跳转广告真的很过分,太恶心了 谁知道怎么关闭啊？,恶心 关闭,负面
,2024-06-19 06:25:49,u啊u啊u啊u啊u啊u,1,垃圾，更新这么多次，就是不加入新出的智能修复画质,（该条评论已经被删除）如题,评论 删除,负面
,2024-06-19 03:47:19,恼绊诸开控朗演饱绪登陌京屠赚,5,又一个时代的到来……,还以为抽风了，有很多好的学习资料非常实用。,抽风 学习 资料 实用,正面
,2024-06-19 03:21:16,Edgar Water;s,5,给新版历史记录搜索功能点个赞,建议添加分屏功能。,建议 添加 分屏 功能,正面
,2024-06-19 03:20:21,猫宫日向丶,1,为什么老给我推送我平时不看的内容,我平时都不看什么，女主播之类的，你们为什么老是让这类视频出现在我的首页啊，二次元不是只有和美女直播？不是所有人都喜欢这类内容好吗，盲目推送只会败坏好感，能不能按照用户浏览习惯推送相关视频啊，你们的是推送算法是摆设吗？有些和直播甚至刷新好家伙都出现在首页了，我都怀疑她们是不是给你们加钱了？赛博鬼打墙了属于是，点了不感兴趣再刷新仍旧同类的推送，能不能在优化下算法，按照浏览习惯推送好吗？,视频 美女 所有人 喜欢 内容 盲目 推送 败坏 好感 用户 浏览 习惯 推送 相关 视频 推送 算法 摆设 刷新 怀疑 加钱 打墙 刷新 同类 推送 算法 浏览 习惯 推送,负面
,2024-06-19 01:36:51,haoxinxixi,1,越来越垃圾了，首页的🐔比wb的都多,直播更是逆天，上舰有惊喜，就差把卖🥩挂脸上说了，🐭🐭脑袋里只有钱吗？,惊喜 脑袋,正面
,2024-06-19 00:02:24,瑞加的天空,1,新版各种bug，恶心人,最好别升级，多广告也多,广告,正面
,2024-06-18 23:25:48,fgdc56,1,打开自动跳转电商平台,真的是越做越垃圾，没有任何用户授权的情况下，打开自动跳转电商平台。,越做越 垃圾 用户 授权 情况 打开 跳转 电商 平台,负面
,2024-06-18 23:00:08,无🈚️xue,1,没广告但是不完全没有,这么喜欢跳转广告，一进站就跳转是吧，笑死,喜欢 跳转 广告 进站 跳转,负面
,2024-06-18 22:45:06,Jason Tomas,1,自动跳转,手都没碰到屏你自动跳转京东什么呢？别太下作让人恶心了,碰到 跳转 下作 恶心,负面
,2024-06-18 22:43:35,西内洗吧,1,老用户，终于被你这个广告整破防了,加油，你跟淘宝，京东它们合并算了，以后打开淘宝，弹哔哩哔哩也行的,加油 合并 算了 打开 哔哩 哔哩,正面
,2024-06-18 22:10:49,劈劈啪啪11008,1,京东启动器,是真恶心啊,恶心,负面
,2024-06-18 21:46:40,李某Lee,1,广告极其严重,第一次评分，实在忍不了哔哩哔哩的开屏广告了，切到别的几秒钟再切回来就是个广告，手机轻微动一下直接跳转京东或者淘宝，严重违反国家法律法规,评分 实在 哔哩 哔哩 开屏 广告 几秒钟 回来 广告 手机 跳转 违反 国家 法律法规,负面
,2024-06-18 21:21:37,请输入其他昵称啊,1,自动跳转广告,切出别的软件再切回来就进广告页，还晃动就自动跳转，恶心不恶心人,软件 回来 广告 晃动 跳转 恶心 恶心,负面
,2024-06-18 20:38:15,xshuwksh,1,开屏广告太恶心人了,我是大会员 我每天在站看很多视频我切出去回一下微信再切回来就要看一次广告视频看得越多 广告就看得越多,会员 视频 切出去 回来 广告 视频 广告,负面
,2024-06-18 20:37:27,重恩就是,1,喜欢跳转到京东？,沙口,沙口,正面
,2024-06-18 20:33:28,得彭,2,24感受,今年特别感觉站要和其他视频平台一样了。各种广告跳转。还有不人性化的设置。开启广告比最烦的腾讯还过分。切出去10面再回来就看广告。难道其他视频网站的管理跳槽到站了？把这些赚钱的秘诀都带来了？感觉最后的净土要被侵蚀了。,感觉 视频 平台 广告 跳转 人性化 开启 广告 最烦 过分 切出去 回来 广告 视频 网站 跳槽 赚钱 秘诀 带来 感觉 净土 侵蚀,负面
,2024-06-18 20:28:20,北鸮,1,是不是马用完了啊，开一次来一次摇一摇广告是吧？,太厉害了产品,厉害 产品,正面
,2024-06-18 20:25:52,聂荣哦哟,1,各种广告，真服了,广告太烦人，不能切  一切回来就有广告,广告 太烦人 回来 广告,负面
,2024-06-18 20:22:14,石京天,1,垃圾,垃圾软件赶紧倒闭,垃圾 软件 倒闭,负面
,2024-06-18 20:14:49,你所爱的就是蒙古上单,1,广告也太多了吧,竖屏刷一刷就是广告也就算了，每次切换一下也全是广告，点不点都会切换到淘宝京东去，吃相太难看了，恶心,屏刷 广告 切换 广告 不点 切换 难看 恶心,负面
,2024-06-18 19:33:45,王者策划死了3年,5,好,给我看爽了！,看爽,正面
,2024-06-18 19:21:10,blurryyyyyy,1,应该出个负分选项,我狂点,狂点,正面
,2024-06-18 19:08:35,huh.411,1,吃相难看,总是自动往淘宝，京东跳转,跳转,负面
,2024-06-18 18:51:17,Angels0623,3,开屏广告点进去拍下不付款,先卸载淘宝京东 没完没了的开屏广告点进去拍下不付款,卸载 开屏 广告 拍下 付款,负面
,2024-06-18 18:47:31,喵小系,1,强行跳转购物网站,强行跳转购物网站,强行 跳转 购物 网站,负面
,2024-06-18 18:43:41,苏布布1,1,差,（该条评论已经被删除）广告,评论 删除 广告,负面
,2024-06-18 18:22:57,爱要谦w卑,5,为什么我登不了,很棒的学习软件，我爱站你不能倒。,很棒 学习 软件,正面
,2024-06-18 18:14:40,没有奶茶，,1,扭一扭跳转已经让我每天都无限次打开淘宝了，太恶心,只要开了马上跳转，钱不是这么赚的,跳转,负面
,2024-06-18 18:07:47,😄♻️,1,真恶心人,我没点你的开屏广告，你给我自动跳转恶心人是吧,没点 开屏 广告 跳转 恶心,负面
,2024-06-18 17:46:41,suajwb,1,开屏广告多到气人,你们就仗着不能跳过广告就往死里加摇一摇是吧,就仗 广告,负面
,2024-06-18 17:05:31,大爹d,1,打开b站广告疯狂弹,打开站广告疯狂弹,打开 广告 疯狂,负面
,2024-06-18 16:49:48,whatis your,1,一星喜加一,要点脸吧，国服好贵广告真看不起了,要点 服好 广告 看不起,正面
,2024-06-18 16:42:21,木里南山,1,广告🐶,迟早倒闭,倒闭,正面
,2024-06-18 16:38:12,你丢失了表情,1,离谱的开屏广告,受不了这软件的开屏广告了，我几乎从未给软件写过评价，更别说差评。最近正值618，每次打开软件都有开屏广告就算了，现在连从后台切软件过来都有广告，哪怕我前一秒还在用这个软件，换到微信里回个消息再切回来又是广告，还全是那个摇一摇广告，每次都触发到那些购物软件，气得我现在想把这软件跟那些买广告的购物软件一块全删掉。我本来就是一个高强度哔哩哔哩用户，连抖音我都不用，但种强度的广告真的让我抓狂，我感觉我的手机都不是自己的了，后台全是被你们唤起的各种购物软件,软件 开屏 广告 软件 评价 打开 软件 开屏 广告 后台 软件 广告 软件 换到 消息 回来 广告 广告 触发 购物 软件 软件 广告 购物 软件 删掉 高强度 哔哩 哔哩 用户 连抖 不用 强度 广告 抓狂 感觉 手机 后台 唤起 购物 软件,负面
,2024-06-18 16:35:25,易遇奇缘的运气,4,广告怎么那么容易跳转！！！,打开站一不小心就跳转到某网购平台 我都没有碰到 也不知道怎么就跳转了 这样真的很影响心情啊 切一下手机后台再进去也里面跳到广告页面 真的有点影响心情！拜托不要让广告那么容易跳转了 知道你们要恰饭 但广告钱赚了 那我们的钱就赚的少了 真的很影响体验！！！,打开 跳转 平台 碰到 跳转 心情 手机 后台 广告页面 心情 广告 跳转 恰饭 广告 体验,负面
,2024-06-18 13:43:15,缓行飓风,5,😶,内容丰富多彩，实用,内容 实用,正面
,2024-06-18 13:36:00,烂麻了,1,你能表演那个吗,屠龙少年终成龙，每次打开都会跳转淘宝京东，整的我以为我点错了都😅,打开 跳转 点错,负面
,2024-06-18 13:24:38,datao,1,恶心,都是大会员了，还是有开屏广告，能不能别这么恶心人,会员 开屏 广告 恶心,负面
,2024-06-18 13:11:16,foxwallop,3,广告太多了,开屏广告摇一摇④全家，跳不允许就内嵌网页，真有你们的,开屏 广告 全家 内嵌 网页,正面
,2024-06-18 13:08:08,1si12,1,烂,继续跳转早日倒闭,跳转 倒闭,正面
,2024-06-18 13:00:34,qiliyuanling,1,能不能别跳转了？,非要我京东淘宝买买买？,买买,正面
,2024-06-18 12:50:13,薛茶,1,摇一摇广告只配一星,最近开屏都是摇一摇广告真恶心，特地过来打个差评👎🏻👎🏻👎🏻别搞这种，还有借个地儿骂骂大数据推送，我真的是服了，打开一个视频就像发现了家里的一只小强一样，后面一整窝小强都给你通通推送上来，无论点了多少次不感兴趣都没有用！！！而且绝大部分内容都非常低俗博流量，我真的不想看任何一点关于男女对立煽动纷争有关的话题，还有低端无脑的民粹主义键政视频，我想要和谐的网络生活 求求了！！！！！！,开屏 广告 恶心 特地 别搞 地儿 骂骂 数据 推送 打开 视频 发现 推送 内容 低俗 流量 不想 男女 对立 煽动 纷争 话题 低端 无脑 民粹主义 视频 想要 和谐 网络 求求,负面
,2024-06-18 12:39:37,。。一横,1,广告贼多还不能关,开了年度大会员照样一堆广告 每次切出去回个消息回来就崩到京东或者淘宝 我愿称之为广告启动器  希望蒙古上单赶紧回归,年度 会员 广告 切出去 消息 回来 崩到 称之为 广告 希望 回归,负面
,2024-06-18 12:36:24,沟通热风,1,垃圾广告,垃圾陀螺仪广告,垃圾 陀螺仪 广告,负面
,2024-06-18 12:34:36,哈哈哈黑色4967,1,你看看现在开屏广告做的,你打开我都忍了，关一下手机再开还有这像话吗,打开 手机,正面
,2024-06-18 12:24:33,a级评论,1,跳屏广告严重,每次打开哔哩哔哩软件、什么都没点竟然自己跳到京东或是淘宝、拼多多等软件并自动打开、广告吃相难看要不要这样、果断卸载、再见再也不见。为了差评才给你1颗星、你连1颗星都不配拥有。,打开 哔哩 哔哩 软件 没点 软件 打开 广告 难看 卸载 再见 不见 差评 不配 拥有,负面
,2024-06-18 12:14:53,14659197,1,淘宝，京东启动器,傻*玩意，淘宝京东是你爹啊，打开比你蹦出来的都快，是不是给钱就能上你？,玩意 打开 蹦出来 给钱,负面
,2024-06-18 12:01:21,cccchaokuuuuu,1,恶意跳转,一打开站就自动跳转京东淘宝，心累了，大会员不想续充了,打开 跳转 心累 会员 不想 续充,正面
,2024-06-18 12:01:03,蒙古上单aaa来，,1,摇一摇没马,全屏看 摇一摇跳转看到一半都能给你跳,全屏 跳转,正面
,2024-06-18 11:53:59,春夏秋冬都在起名呢,1,广告 app？你是京东？,打开就跳  烦不烦,打开 不烦,正面
,2024-06-18 11:50:45,︾一合道释,5,一点点小小的意见,不过两个版本都不能竖屏就离谱。,版本 竖屏 离谱,正面
,2024-06-18 11:42:26,杨杨∞,5,尤其是2339这个太好了,很用心，灰常好灰常好。,用心,正面
,2024-06-18 11:35:52,iiiiiuiiuu,1,广告,切个后台全是广告 点个视频又给我跳到京东淘宝 哪哪都是广告 真的反感,后台 广告 视频 广告 反感,负面
,2024-06-18 11:31:53,还不错，功能再完善点就好了。,1,今天刚被我卸载了，动一下就跳京东，动一下又跳淘宝？离谱,用了几年的哔哩哔哩，今天正式被我给卸载了，前一阵子一动就跑去京东，我忍了，今天返回一动又跑到淘宝，还没地方设置，你看广告在首页，在视频展示页给我看下我都忍，你跳来跳去什么意思，不让设置，有没有尊重用户？手机是你的？？？,哔哩 哔哩 正式 卸载 返回 地方 广告 视频 展示 看下 跳来跳去 不让 有没有 尊重 用户 手机,负面
,2024-06-18 11:12:59,噶尜尕,1,开屏广告，切屏广告真的很烦，关都关不了,就国内版的有广告，其它地区的都没广告中国人是后娘养的吗？,广告 地区 广告 后娘,负面
,2024-06-18 10:36:54,我是Dove,5,江河日下,站你是越来越不行了。打开个都能跳转到淘宝。再说淘宝也是一天不如一天，你就不能找个差不多的合作么。。。,不行 打开 跳转,负面
,2024-06-18 10:25:58,恋慕双鱼的天蝎,1,横屏BUG不修是吧？,横屏之后，只要切换一下别的应用，再切回来就会弹出开屏广告，然后画面就会往下挪一部分卡到屏幕外边。两个苹果手机都有这毛病，一个15，一个13都已经两个月了，这个不修了是吧？我吃柠檬。,横屏 切换 回来 弹出 开屏 广告 画面 屏幕 苹果 手机 毛病 不修 柠檬,正面
,2024-06-18 09:45:25,嘿化老公猪🐗,1,m,服了为什么评论发不了图片！气！,评论 图片,正面
,2024-06-18 09:29:57,小饼干行不行,1,记住喽这差评是你摇一摇广告,记住喽这差评是你摇一摇广告,记住 差评 广告,负面
,2024-06-18 09:16:59,黑加仑奶糖,1,垃圾,一分我都不想给，一进页面自己跳转广告，这个破公司咋不黄了呢,不想 页面 跳转 广告 公司,负面
,2024-06-18 09:16:40,Ed nan,1,自动跳广告,站你现在吃相不要太恶心，切个屏回来自动给我跳广告是吧？,恶心 回来 广告,负面
,2024-06-18 09:06:00,希望浴火重生,1,不良视频的传播，害了千千万万的青少年,有部分视频的内容严重影响青少年的身心健康，染上心理疾病，望平台方严格审查，杜绝不良视频的传播！！！,视频 内容 染上 心理疾病 平台 不良 视频,正面
,2024-06-18 08:08:35,宜家宜食,1,广告,无数的广告，差评,广告,正面
,2024-06-18 02:56:44,好喝的给您你,1,吃相难看,开屏广告最多的，没有之一。切换后台几秒再进去就会出现广告,开屏 广告 最多 切换 后台 广告,负面
,2024-06-18 01:54:25,悦悦么么哒,4,那么多一星，但抵不过我喜欢,虽然站占据了我许多许多许多时间，也有很多没营养的内容，评论也不堪入目，但我能找到自己想看的就了,占据 时间 营养 内容 评论 找到 想看,正面
,2024-06-18 01:33:43,zdnzcm,1,切出去几秒再切回来就跳广告，穷疯了,毫无下限,下限,正面
,2024-06-18 01:22:35,王ぺ伟,5,中间还插播广告,听说有人恶意刷我站一星。,听说 恶意,正面
,2024-06-18 01:18:50,几个菜G8次过粗发,1,开屏广告,开屏广告真的恶心。切个屏一直跳到，。乌鱼子,开屏 广告 恶心,负面
,2024-06-18 00:03:29,派出1234939,1,进入页面广告太疯狂,进入页面广告太疯狂 打开软件弹跳转广告 切屏还弹跳转广告 莫名其妙的就跳转 这个平台吃相太难看,页面 广告 疯狂 打开 软件 弹跳 广告 弹跳 广告 跳转 平台 难看,负面
,2024-06-17 23:19:18,开屏广告sm,1,广告,切出去2秒回个微信消息回来就要看广告是吧，没广告活不下去了？站迟早药丸,切出去 消息 回来 广告 广告 药丸,负面
,2024-06-17 23:03:20,wiwiwi37,1,逆天哔站,京东摇一摇广告敢不敢再逆天一点,广告,正面
,2024-06-17 22:10:33,一个用过此款产品的用户,1,B站你变了,玩站有十年，但它变得跟抖音一样了，是很容易上瘾，但它也跟抖音被我卸载了,玩站 变得 跟抖 上瘾 跟抖 卸载,负面
,2024-06-17 21:58:16,Marcos Mo,1,一堆bug,点击收藏就卡死,点击 收藏,正面
,2024-06-17 21:49:49,33苦4,1,越更新越差劲，广告丧心病狂,（该条评论已经被删除）万人唾弃,评论 删除 唾弃,负面
,2024-06-17 21:27:50,aaaj j h hu h h,1,他喵的切后台秒广告,这么缺广告费？,广告费,负面
,2024-06-17 21:24:53,lumiacolor,1,广告,无限广告 切出去切回来来一次,无限 广告 切出去 回来,正面
,2024-06-17 21:21:11,罗。，，，,1,恶臭app,平台怂恿很多恶臭的发言,平台 怂恿 恶臭 发言,负面
,2024-06-17 20:53:12,佚名093,3,开启app广告,站的忠实用户，6，年费超级大会员。对站的喜爱和热情抵挡不了对那个烂笔开广告的厌恶，还自动跳转，就缺这点广告费吗？恶心人！,忠实 用户 会员 对站 喜爱 热情 抵挡 烂笔 广告 厌恶 跳转 广告费 恶心,负面
,2024-06-17 20:46:27,623764587,1,开屏广告真的离谱,切后台，来回切他能给你每次都有广告，你死了你知道吗？,后台 来回 广告,负面
,2024-06-17 20:15:32,Whatname one,1,临近618，广告不停发，烦死了！！！,切个应用界面，回来就得看广告，体验极差！,界面 回来 广告 体验 极差,负面
,2024-06-17 20:05:17,一个失望的回归玩家,1,最近618，我打开b站稍微动一下手机，立马不是tb就是jd！给你分期5星！,站里面的氛围是好了，开机广告可以忍受，但是不能忍受使用陀螺仪功能！我对东西有兴趣可以自己点，但是我讨厌没有经过我允许就弹到别的！,氛围 开机 广告 忍受 忍受 陀螺仪 功能 兴趣 讨厌,负面
,2024-06-17 20:03:26,书不看就过期,1,盲目跟风短视频是丑陋的,希望保留原来的模式,希望 保留 模式,正面
,2024-06-17 19:53:11,adandilu,5,建议改成学习软件,学了一年多的刑法，整个人都精神了‘看谁都有罪,刑法 精神,正面
,2024-06-17 19:38:19,Hanghgg,1,广告,切后台跳转淘宝广告就算了，切换回来整个视频界面乱码，服了,后台 跳转 广告 切换 回来 视频 界面 乱码,负面
,2024-06-17 18:42:32,服气了我,1,开屏跳转第三方软件,开屏跳转购物软件，够恶心。早点倒闭我们不会惋惜的。,开屏 跳转 购物 软件 恶心 倒闭 惋惜,正面
,2024-06-17 18:35:30,It's all a waste.,5,哔哩哔哩太好用了！,哔哩哔哩是特别好的软件，有没有什么引战啊，或者是让人消极的内容，可能给需要学习的人提供方向。,哔哩 哔哩 软件 有没有 引战 消极 内容 学习 提供 方向,正面
,2024-06-17 18:32:32,百度不行❌,1,打开就是广告,我还是年度大会员，只要一打开，立马跳转淘宝或者京东，切换后台回个信息，切回来站，又跳转到淘宝了。完全影响看视频，站不同以前了。,年度 会员 打开 跳转 切换 后台 信息 回来 跳转 视频,负面
,2024-06-17 18:26:02,西域星宿,2,切屏跳转广告,切屏只需1，还给我3-5的随机广告，不看可以花费2跳过哦，只要切屏就有，切20次屏要看至多100广告的奖励哦，4年的大会员真是给我一个大的惊喜，干杯🍻,还给 广告 花费 广告 会员 惊喜 干杯,正面
,2024-06-17 18:11:32,浅清颜,1,开屏广告没人管？,你站活不起就死了算了，切个屏幕几秒钟，回来就进开屏广告？这618淘宝跟京东给了你多少广告费？脸都不要了？,算了 屏幕 几秒钟 回来 开屏 广告 广告费,负面
,2024-06-17 16:28:50,狮子小北方,1,直播回放导都导不出来,站超棒一直显示生成失败，然后后面点就和我说申请次数用完了，找客服反馈了一年我真的服了。垃圾软件垃圾软件，赔我课程作业,显示 生成 失败 申请 次数 客服 反馈 垃圾 软件 垃圾 软件 课程 作业,负面
,2024-06-17 15:57:39,取名特烦,1,无语了,开屏广告给👴爬,开屏 广告,正面
,2024-06-17 15:32:19,杜JP,1,现在要充会员不说广告越来越恶心,以前非常喜欢站，现在开始需要会员我也支持了，但是你们的广告能不能不要那么恶心，开屏摇一摇就打开京东，这个是能提高广告点击率，但是有人会因为这个去买吗？我现在两个软件都想卸载了,喜欢 会员 支持 广告 恶心 开屏 打开 提高 广告 点击率 软件 卸载,负面
,2024-06-17 15:11:00,2387473,1,垃圾,评论区随处可见骂人的，不仅会弹出广告，而且会自动点进去，最恶心的平台，没有之一,评论 骂人 会弹 广告 恶心 平台,负面
,2024-06-17 14:43:55,っっbっっっじ,1,A PP广告贼多，千万别下载,的广告特别特别的多，吃相太难看，打开其他购物软件的速度比自己手动打开的速度还要快，真是垃圾,广告 难看 打开 购物 软件 速度 手动 打开 速度 垃圾,负面
,2024-06-17 14:30:41,龙蛤蛤蛤蛤,1,再不改卸载不再续费大会员,能不能不要点进的时候跳到拼多多 京东 淘宝啊？恶不恶心？充大会员是来看广告的是吗？,要点 跳到 恶心 充大 会员 广告,负面
,2024-06-17 14:23:36,Chor王,1,B站，你是不是穷得快退市啦？,以前的站干干净净，没什么广告。现在打开 有广告就算了，还自动为别人打开。这是自家的脸都不要了吗？,广告 打开 广告 打开,负面
,2024-06-17 14:19:03,给统化启项吖急注释內木,5,更新之后好像更卡了哇,弄的我的身体吃不消。,身体,正面
,2024-06-17 13:49:32,Memorylessx,1,为什么一打开就给我跳到淘宝,为什么一打开就给我跳到淘宝,打开,正面
,2024-06-17 13:37:17,七大爷不吃豆芽,1,切屏广告太过分了,切出去几秒钟回来就是广告屏，手一抖就跳转，差评,切出去 几秒钟 回来 广告 跳转,负面
,2024-06-17 13:34:32,网易垃圾.......！,1,别再暗戳戳推低质内容了,刷着刷着就是易烊千玺肖战和其他粉丝剪的视频 什么不感兴趣就推什么是吧,粉丝 视频,正面
,2024-06-17 13:26:32,ChanryS,3,广告自动跳,站退到后台，每次回来都跳转去淘宝天猫京东,退到 后台 回来 跳转 天猫,负面
,2024-06-17 13:23:15,LunAir_,1,投摇一摇开屏广告是吧,恶心人,恶心,负面
,2024-06-17 13:12:28,汪汪汪汪汪？,1,广告多到裂开,十年用户被开屏广告跳转烦的鸭皮，落智啊阿,用户 开屏 广告 跳转 鸭皮 落智,负面
,2024-06-17 13:02:45,泥玛孖蒂,1,开屏就是广告,一万个广告 切一次屏来一个广告 真的离谱 没见过这么多的广告,广告 屏来 广告 离谱 没见 广告,负面
,2024-06-17 13:01:36,-剑仙牢记安娜-,5,好,哔哩哔哩老牛比了,哔哩 哔哩 老牛,正面
,2024-06-17 12:55:44,gg30jj,1,广告多到爆炸,各种广告，多如牛毛。就算充会员也无法关闭，而且还变本加厉。,广告 会员 关闭,负面
,2024-06-17 12:39:10,束手束脚吗,1,开屏各种摇一摇广告,各种开屏摇一摇广告，触发哈哈，特别灵敏。搞不懂吃相这么难看的嘛,开屏 广告 触发 难看,正面
,2024-06-17 12:14:05,叶老夫,2,后台播放功能bug,暂停播放了之后锁屏，又开始自动在后台播放了，什么时候能修修锁屏后自动播放的？,播放 后台 播放 修修,正面
,2024-06-17 12:08:03,额啊额11,1,开屏广告强制跳转,打开站自动跳转淘宝？？？？？？？？,打开 跳转,负面
,2024-06-17 12:02:27,无语得发笑😓,1,广告恶心,强制跳转会不会太恶心了？,强制 转会 恶心,正面
,2024-06-17 12:01:57,J吃相难看,1,转动,（该条评论已经被删除）转动跳转广告亖马,评论 删除 跳转 广告,负面
,2024-06-17 11:41:38,嗷嗷：¥（d,4,能不能加个自动刷新的开关,经常刚切到看到感兴趣的视频，结果马上自动刷新给刷没了。,切到 感兴趣 视频 刷新 刷没,负面
,2024-06-17 10:59:00,濯清不妖,1,体验不好,打开弹广告，自动跳转第三方，恶心的很,打开 广告 跳转 恶心,负面
,2024-06-17 10:25:55,Dyane呢,2,广告这样放呢,再给我这样呢站，切个屏回来就弹广告，切出去两秒钟都要弹，然后稍微第一下就跳转某宝某东啥的，再给我这样呢，用户体验根本没有，一个看视频的软件要是不能让我好好看视频那就滚,回来 广告 切出去 跳转 用户 体验 视频 软件 好好看 视频,负面
,2024-06-17 09:32:38,111273747828875551775,1,长亮,这个垃圾玩意儿经常阻止熄屏，一不注意就一直亮着造成烧屏，切出去一两秒就给你看几秒钟的广告,垃圾 玩意儿 阻止 熄屏 烧屏 切出去 几秒钟 广告,负面
,2024-06-17 09:02:11,我想问取个名字就这么难么？？？,1,依托大份的体验,1.更了五六个版本还是解决不了评论和聊天框的光标输入法压感移动不灵敏的，简直是使一样的体验2.默认且优先使用竖屏播放简直是使中使，最重要的是设置里还不能关，问题是我刷短视频用得着看哔哩？,版本 解决不了 评论 光标 输入法 压感 体验 默认 竖屏 播放 视频 用得着 哔哩,负面
,2024-06-17 08:43:31,难得难得见到你打开,1,广告,切出去一秒就弹广告是吧，脸都不要,切出去 广告,负面
,2024-06-17 08:39:46,O 胡丹丹,5,小破站给爷挺住了,换回之前的版本吧(ノдヽ)。,换回 版本,负面
,2024-06-17 08:35:11,冷面鬼爵,1,垃圾软件,一打开，啥都没干就自动跳转淘宝，全家死光了吗,打开 跳转 全家 死光,负面
,2024-06-17 08:32:51,ylrshui,1,垃圾，都是跳转广告，看来要完，看盗版也不会再续大会员,开屏广告摇一摇跳转，打开视频摇一摇跳转，真是垃圾,开屏 广告 跳转 打开 视频 跳转 垃圾,负面
,2024-06-17 08:22:26,云烜,1,广告和擦边太多,充会员是来看你广告的吗，随便切下后台都要疯狂跳广告，某天刷到一些擦边视频，还以为是快手,会员 广告 后台 疯狂 广告 刷到 擦边 视频,负面
,2024-06-17 07:49:25,13677@uuur,1,打开app就跳广告,进一次就跳一次广告，垃圾,广告 垃圾,负面
,2024-06-17 04:30:48,ゞ人心,5,各种动漫任我瞟,且没有广告，赶不上小米丶还有其他家了。,广告 小米,正面
,2024-06-17 04:15:39,五！月唯心,5,就是想和朋友们一起分享一下,为了而下载的战，虽然很快就被删除。,下载 删除,负面
,2024-06-17 03:38:54,👎差👎,1,越来越差,广告越来越多,广告,正面
,2024-06-17 03:21:54,什么语音留言…,1,垃圾软件！只要一点开软件就是广告！不管你是不是会员！,垃圾软件！只要一点开软件就是广告！不管你是不是会员！,垃圾 软件 软件 广告 会员,负面
,2024-06-17 03:05:03,amazinghps,1,设计开屏广告跳转京东的载重,还有退出再点开的广告，明年的618就是你木琴的头七,退出 点开 广告,负面
,2024-06-17 01:16:33,就觉得基督教基督教的亟待解决的家,1,垃圾,开屏广告多的一匹,开屏 广告,正面
,2024-06-17 01:03:25,阿巴阿巴的蒙古上单,1,扭一扭广告太恶心了,太恶心了，切屏超过5秒就自动弹出广告，稍微晃一下手机就自动跳转页面，用这破还不如网页版的好用,恶心 超过 动弹 广告 手机 跳转 页面 网页 好用,负面
,2024-06-17 00:54:28,好，？？。。，,1,恶心,每次打开都要进去淘宝，你是淘宝登录器？,打开,正面
,2024-06-17 00:53:15,578932641哦哦哦,1,三连放屏幕中间,三连放屏幕中间到底是哪个崽种设计的,连放 屏幕 崽种,正面
,2024-06-17 00:51:38,123，啊技术,1,刷个视频还没看两个就是一个广告,吃相有点难看,难看,负面
,2024-06-17 00:39:39,1364@wkwbdh,1,好软件,重新进一次就跳转一次淘宝，恶不恶心呀，皂鞋都没那么敏感,跳转 恶心 皂鞋 敏感,负面
,2024-06-16 23:43:14,奕迅的白玫瑰,1,看着看着就会闪退,14观看视频和直播会出现闪退,观看 视频 闪退,负面
,2024-06-16 21:05:32,凉笙zzzzzz,1,广告！！！！！！！,我知道你们平台需要广告收入来创收，这个没问题，但能不能要点脸？我站放后台回个微信十秒钟再回来就加开屏广告，是不是有点太不要脸了？我一年一年的开着年度大会员上百块钱就让你这么恶心我是吧？站有时候开个相声听个歌，只要碰一下站就要进广告，然后播放就被打断，不想好好做视频平台就直说，这个蛋糕不想要了让给别的平台，赶紧滚蛋,平台 广告 收入 创收 要点 后台 回来 开屏 广告 开着 年度 会员 块钱 就让 恶心 广告 播放 打断 不想 视频 平台 直说 蛋糕 想要 让给 平台 滚蛋,负面
,2024-06-16 20:09:15,热心卧底9527,1,为啥1️⃣星,摇一摇进广告扣4星,广告,正面
