评论,Unnamed: 1,Unnamed: 2,分词
:能真实同框更好了,,,真实 更好
来个专业人士把我上去,,,专业人士
感觉好久没有见到你了！,,,感觉 好久 见到
为什么我评论不了图片,,,评论 图片
接收到来自元宇宙的祝福啦,,,接收 宇宙 祝福
越来越优秀了,,,越来越 优秀
你没有表现出来兴奋,,,表现 兴奋
谢你这么用心的分享，终于知道怎么样养花芯兔了。,,,用心 分享 终于 养花
颜值特别高爱了 ,,,颜值 特别
这个风格特别喜欢 ,,,风格 特别 喜欢
这简直就是纯净又美好了,,,纯净 美好
真的很喜欢姐的头发颜色,,,真的 喜欢 头发 颜色
好有氛围感的照片啊,,,氛围 照片
新的一年希望姐越来越好,,,一年 希望 越来越
这个身材我真的羡慕死了，背后设计我真的很爱,,,身材 真的 羡慕 背后 设计 真的
这些生活碎片看的都很好看,,,生活 碎片 好看
姐简直是大陆颜值的标杆，即使后脑勺也 是惊人的美貌！连和风阳光都会嫉妒吧，好 像从清纯漫画走出来的女主角，这样的美貌 简直是人类的洗眼液,,,大陆 颜值 标杆 后脑勺 惊人 美貌 连和 阳光 嫉妒 清纯 漫画 女主角 美貌 人类 洗眼
姐太有时尚感了 这衣服也是虚拟的吗,,,时尚 衣服 虚拟
下半身看起来太不真实了。好奇怪的组合。,,,下半身 真实 奇怪 组合
期待你的时尚品牌哟,,,期待 时尚品牌
赶快见面！,,,见面
时尚与美貌共存,,,时尚 美貌 共存
我要把期待两个字打在公屏上。,,,期待 两个 公屏
继续为我们带来更多元宇宙数字时尚的内容吧,,,带来 多元 宇宙 数字 时尚 内容
优秀的姐在哪里都闪发光,,,优秀 发光
我好喜欢这一身也太时尚了吧,,,喜欢 一身 时尚
姐引领时尚新潮流,,,引领 时尚 新潮流
图技术再练吧，根本就没本人好看，从 拍摄的角度来看，摄手法精准角度清晰可见 背景平实而不失风采独特堪称现代拍客之经 典巨作这张照片平淡显示出不凡的焦点可谓 是美不胜收,,,技术 好看 拍摄 角度 手法 精准 角度 清晰可见 背景 平实 不失 风采 独特 堪称 巨作 照片 平淡 显示 不凡 焦点 可谓 美不胜收
有一种一鸣惊人了,,,一种 一鸣惊人
节日的氛围感这不就有了,,,节日 氛围
总感觉有点与众不同,,,感觉 与众不同
多少把我给惊艳到了,,,惊艳
怎么感觉有点怪的样子,,,感觉 样子
圣诞节这么嗨皮的吗，这个颜色牛了,,,圣诞节 颜色
:好有趣的一条微博,,,有趣 一条
这个身材比例羡煞旁人,,,身材 比例
每天一个新的小技巧,,,技巧
一直都很想学叠穿不敢穿出门,,,学叠 出门
这样的时尚单品好看呀，要注意保暖,,,时尚 单品 好看 保暖
背景也太美了吧。,,,背景 太美
这几套装扮是通过数字化达到瞬时变装的吗？,,,几套 装扮 数字化 瞬时 变装
感谢分享，真的太可以了，非常,,,感谢 分享 真的
要想夺人眼球，就要与众不同，加油,,,想夺 眼球 与众不同 加油
眼妆真的是整个妆容的灵魂，只要眼妆比较出彩，这个妆容就会让人眼前一亮。,,,眼妆 真的 妆容 灵魂 眼妆 出彩 妆容 眼前一亮
看这个肌肉的纹理真不敢相信姐不是真实存在的,,,肌肉 纹理 不敢相信 真实
期待姐带我们通向另一个时尚的宇宙,,,期待 姐带 通向 时尚 宇宙
红色就是代表典雅，姐诠释的很好,,,红色 代表 典雅 诠释 很好
这个设计美学审美真的很绝,,,设计 美学 审美 真的
真的是非常的有魅力哦，你和这个超级的配,,,真的 魅力 超级
感谢邀请 真的很适合,,,感谢 邀请 真的 适合
满的优雅感真的不错 一起来体 探索一下意式风尚,,,优雅 真的 不错 探索 意式 风尚
真的好喜欢这身衣服呀，但是穿在我身上应该会很失望，穿在姐身上真的好看,,,真的 喜欢 衣服 身上 失望 身上 真的 好看
菲拉格慕真的太有眼光了，姐和这个品牌的适配度真的很高，可以很好的展现这个品牌,,,拉格 真的 眼光 品牌 适配 真的 很好 展现 品牌
姐和这个品牌很配,,,品牌
这身造型真的好看呀，红色的衣服和背景配上金色的头发好有韵味,,,造型 真的 好看 红色 衣服 背景 金色 头发 韵味
姐还是一定要注意保暖啊，身体健康最重要,,,保暖 身体健康
这锁骨可以在里面养鱼了，好羡慕,,,锁骨 养鱼 好羡慕
暗黑系风格你也能驾驭 好牛啊,,,暗黑 风格 驾驭
数字构造出来的虚拟艺术世界，听着就很美妙,,,数字 构造 虚拟 艺术 世界 美妙
虚拟与现实的碰撞，不知道会擦出怎样精彩的火花,,,虚拟 现实 碰撞 精彩 火花
这是独属于数字人的浪漫，试图体验一下,,,数字 浪漫 试图 体验
雅阁车配色高级。想跟姐一起去兜风了,,,雅阁 配色 高级 兜风
科技与创新总是让我们看到不一样的全新体验,,,科技 创新 全新 体验
衣服很好看欸，很符合节日气氛,,,衣服 好看 符合 节日 气氛
元宇宙的水果好吃伐,,,宇宙 水果 好吃
的笑简直就是狙击中了我~,,,狙击
创新出抖音新高度,,抖音和小红书,创新 出抖 高度
短视频内卷这么严重了啊,,,视频
今天最大的惊喜,,,惊喜
特效挺不错的，但是内容感觉莫名其妙的，因为不知道铺垫,,,特效 挺不错 内容 感觉 莫名其妙 铺垫
美妆博主赛道的最新高维度,,,博主 赛道 最新 维度
感觉这个视频的声音真的很好听，看别的没有那感觉,,,感觉 视频 声音 真的 好听 感觉
两年前看的时候还分不出来，觉得挺像真人的，现在对真的一下就认出来了,,,两年 前看 分不 真人 真的 认出来
时隔多年，再看的时候，还是这么的惊艳,,,时隔多年 惊艳
你想拥有一个这样的超写实虚拟人吗？,,,拥有 写实 虚拟人
柳夜熙身材好啊,,,夜熙 身材
出道即巅峰，可惜后面创作不行了,,,出道 巅峰 可惜 创作 不行
这第一个视频柳夜熙的配音才是经典,,,第一个 视频 夜熙 配音 经典
她发的第一条视频里让我感觉她是个温柔大姐，到后面咋成高冷御姐了,,,第一条 视频 感觉 温柔 大姐 成高 冷御姐
美妆行业得要大面积失业了,,,行业 大面积 失业
配音差了一个档次，其他方面很完美,,,配音 档次 完美
发型简单，我感觉他的妆造应该是古代吧，但是我感觉也有点儿不像古代呀，他的发型也简单，然后妆容也有点儿奇怪。,,,发型 简单 感觉 妆造 古代 感觉 有点儿 古代 发型 简单 妆容 有点儿 奇怪
脸上的线是什么好奇怪啊,,,脸上 奇怪
她的眉毛是专业的,,,眉毛 专业
这不比某些垃圾动漫强,,,垃圾 动漫
期待更新，感觉这个赛博风若是做成多个城市和人物的系列故事，会是一件很酷的事，这个算是江南版吧,,,期待 更新 感觉 赛博风 做成 多个 城市 人物 系列 故事 一件 很酷 算是 江南
这3建模和特效做的不错呦～堪比科幻大片了都大佬团队强势出局,,,建模 特效 不错 堪比 科幻 大片 大佬 团队 强势 出局
其实眼镜才是，元宇宙，最初版,,,眼镜 宇宙 最初
不一样和以前看到的段子不一样，赶紧关注一下，日后必成大佬。,,,段子 赶紧 关注 日后 大佬
新的高度，可惜目前为止，超越不了目前的美妆博主 ，因为美妆博主她会手动 而只有机器控制 ，总不可能活在虚拟的世界吧 ，还是现实一点的美妆播主好,,,高度 可惜 目前为止 超越 美妆 博主 博主 手动 机器 控制 虚拟 世界 现实 一点 美妆播主
真的是虚拟美妆欧。鬓角的毛发，和嘴形。可以看出来是实时加进去的。我猜是用了类似虚幻引擎的技术。还有谁发现了？,,,真的 虚拟 鬓角 毛发 嘴形 实时 加进去 是用 类似 虚幻 引擎 技术 发现
一个作品吸粉七十几万，不是大佬就是神,,,作品 吸粉 十几万 大佬
我能说这个技术其实很粗燥拙劣吗？,,,技术 很粗 拙劣
这种创作不是普通人玩的起的，团队太专业，影视级的,,,创作 普通人 团队 专业 影视
怎么说呢，本来想说建模很好，动捕细节演得也不错，但是配音差点意思，感觉配不上这张脸，没有惊艳感。 但是仔细一想，要是再用一个很美艳的配音，反而加重虚拟人的不真实感。 最后总结 妙~啊~,,,本来 建模 动捕 细节 演得 不错 配音 差点 感觉 配不上 惊艳 仔细 美艳 配音 加重 虚拟人 真实感
确实是…有点僵硬,,,确实 僵硬
感觉这个配音更好诶，现在的配音感觉怪的,,,感觉 配音 更好 配音 感觉
这个视频号，我现在终于理解政治老师天讲的创新,,,视频 终于 理解 政治 老师 创新
有种大片上映的感觉,,,有种 大片 上映 感觉
我说怎么会有这么精致女人，原来是虚拟人,,,精致 女人 虚拟人
第一集的质感真的很强，后几集虽然也好看文化底蕴也高，但是希望能够像第一集一样质感那么逼真,,,第一集 质感 真的 几集 好看 文化底蕴 希望 第一集 质感 逼真
感觉 好游戏的味道 不那么亲切 当今年代还是需要有感情的年代 虽然科技发达了 但那么亲切呢 没有感情的创意,,,感觉 游戏 味道 亲切 当今 年代 感情 年代 科技 发达 亲切 感情 创意
有人曾说：人类要么走向宇宙，要么被关在虚拟世界里,,,有人 人类 走向 宇宙 关在 虚拟世界
怎么还不更新啊,,,更新
好高级的感觉,,,高级 感觉
我第一次看不知道的时候还以为真的是人，就是觉得嘴巴说话的时候因为这个妆就这样说话,,,第一次 真的 嘴巴 说话 说话
炒元宇宙的时候说自己元宇宙，现在火了说是数字人，实际就是电影特效而已,,,宇宙 宇宙 数字 电影 特效
画风变了,,,画风
这么有诚意的广告，种草了，最爱的品牌和最爱的博主,,,诚意 广告 种草 最爱 品牌 最爱 博主
有点尴尬的剧情,,,尴尬 剧情
视频咋越来越短了,,,视频 越来越
姐太飒了,,,太飒
很喜欢这个设定！,,,喜欢 设定
出道十几年零绯闻，值得拥有,,,十几年 绯闻 值得 拥有
我怎么感觉柳夜熙越来越奇怪了呢,,,感觉 夜熙 越来越 奇怪
见证一个永不塌房的偶像诞生…以及…毁灭。,,,见证 永不 偶像 诞生 毁灭
现在的柳叶熙有一种成熟女人的知性美,,,柳叶熙 一种 成熟 女人 知性美
没有最初的视频真实了，之前初见柳夜熙真的感觉就是真人，这么长时间下来，已经一眼能看出来是假的了,,,最初 视频 真实 初见 夜熙 真的 感觉 真人 长时间 一眼
这个女生是电脑还是真人啊,,,女生 电脑 真人
不用担心，以后人类的孩子都可以这样定制人工子宫养育，基因筛选高智商和优秀体力。自己就别乱生些歪瓜裂枣了,,,不用 担心 人类 孩子 定制 人工 子宫 养育 基因 筛选 高智商 优秀 体力 就别 瓜裂
"博主按人中时和深呼吸忍耐的表情,跟职场人面对领导时的内心活动,简直是灵活灵现了",,,博主 深呼吸 忍耐 表情 职场 面对 领导 内心 活动 灵活 灵现
为什么我感觉她的声音变了,,,感觉 声音
我怎么感觉好像头像是动漫身体像是真人,,,感觉 好像 头像 动漫 身体 像是 真人
脸是假的，其他是真的吧，这个女的。不然动作这么丝滑脸却僵硬的很,,,真的 动作 僵硬
越来越人性化了,,,越来越 人性化
柳夜熙的形象也是个吧,,,夜熙 形象
感觉捏出来的人比柳更真实点,,,感觉 真实
这个马尾很高 然后旁边还有两条须 很好看,,,马尾 旁边 两条 好看
我觉得这个真的好牛啊。每一个视频质量都好高,,,真的 视频 质量
柳夜熙到底是不是真人啊,,,夜熙 真人
这广告，要是广告都做到这个程度，我看电视都不带换台的,,,广告 广告 程度 看电视 换台
分析的到位。所谓偶像就是能满足自己心理需求的各种存在。这种偶像可以是任何一种设定，但就不能是其自己。,,,分析 到位 偶像 心理 需求 偶像 一种 设定
无意之间发现夜熙接广告了,,,无意 之间 发现 夜熙 广告
咱夜熙其实以前挺火的，就是之后更新太慢没热度了,,,夜熙 挺火 更新 太慢 热度
原来虚拟人也有“接地气”的一面,,,虚拟人 接地
我还是喜欢你穿汉服的样子！,,,喜欢 汉服 样子
不愧是我柳姐 代言了最爱的茉莉蜜茶,,,不愧 柳姐 代言 最爱 茉莉 蜜茶
一时间分不清哪个是真人,,,一时间 分不清 真人
感觉额两侧太窄了➕眉毛短显得上半张脸有点局促,,,感觉 两侧 眉毛 显得 半张 局促
个人认为，眼睛化的不符合我的审美。谢,,,眼睛 化的不 符合 审美
为啥脸有种一直戴着眼镜，突然摘下的感觉,,,为啥 有种 眼镜 摘下 感觉
虚拟人物和真人接触这咋做到的，求解惑,,,虚拟 人物 真人 接触 解惑
为什么加不了粉丝群啊，有没有群管理啊,,,粉丝 有没有 管理
柳姐真的好漂亮,,,柳姐 真的 漂亮
我觉得柳夜熙是虚拟人物中最真的一个了,,,柳夜熙 虚拟 人物 真的
过于细致就不像人类了,,,细致 人类
我怎么感觉她海报抄袭琉璃电视剧男女主角啊,,,感觉 海报 抄袭 琉璃 电视剧 男女 主角
怎么感觉柳夜熙很胖啊，是真胖了还是发型的原因啊,,,感觉 夜熙 很胖 发型 原因
柳夜熙是我唯一不讨厌的，因为她三观太正了,,,柳夜熙 唯一 讨厌 三观 太正
我从早年没删抖音时就关注她 没想到能看着她越来越厉害,,,早年 删抖 关注 没想到 看着 越来越 厉害
柳夜熙的视频从不让我失望,,,夜熙 视频 不让 失望
柳姐越来越可爱啦,,,柳姐 越来越 可爱
声音是真的好恐怖,,,声音 真的 恐怖
只有我的注意点一直在她的穿搭上嘛,,,搭上
系统会把买家气疯,,,系统 买家 气疯
这一套衣服裤子有没有链接,,,一套 衣服 裤子 有没有 链接
就是真人拍摄，然后用建模脸覆盖上去,,,真人 拍摄 建模 覆盖
我感觉是身体和胳膊的衔接处不是很像真人，其它都很像,,,感觉 身体 胳膊 衔接 真人
真人的身子，建模的脸,,,真人 身子 建模
好身材，秀出来,,,好身材
老奶的演技包括故事性也确实容易让人产生共鸣,,,老奶 演技 包括 故事性 确实 产生共鸣
这样的皮肤，这世界上根本不可能有,,,皮肤 世界
很想知道他的技术是不是真的上不封顶？,,,技术 真的 封顶
拍的真不錯！,,,不錯
要是现在社会上已经出现了这种威胁人身安全能够换成家人朋友的脸的通话视频那只能说现在的坏人越来越可怕了,,,社会 威胁 人身安全 换成 家人 朋友 通话 视频 只能 坏人 越来越 可怕
最怕以后科技发展到这个地步,,,科技 发展 地步
幻中幻 这个世界还能更假么,,,幻中幻 世界
时尚不分国界，时尚也不分时空,,,时尚 国界 时尚 不分 时空
你到底是人，还是虚拟人物,,,虚拟 人物
说不定在不久后未来，虚拟偶像也会成为演员和广告代言人,,,说不定 未来 虚拟 偶像 演员 广告 代言人
阳光下的脸部细节就不好处理了,,,阳光 脸部 细节 不好
感觉是真人换了头，脖子很不自然,,,感觉 真人 脖子 自然
习惯了柳夜熙的虚拟形象.见到3世界的柳夜熙有点吃惊.,,,习惯 夜熙 虚拟 形象 见到 世界 夜熙 吃惊
这头一看就是假的 一种说不出的违和感 跟3动漫里面的女角色一样,,,一看 一种 说不出 违和 动漫 角色
我以为柳夜熙做的这么逼真了，原来只是换头了,,,柳夜熙做 逼真 换头
配色很漂亮，构图很美丽,,,配色 很漂亮 构图 美丽
不看脸的话是真的像真人啊,,,真的 真人
虚拟换头而已 身体服装都是真人 ，自从这个元宇宙被大家所了解的更多后 ，都明白跟圈钱骗局没什么区别，换个头就是虚拟人了？拜托，好的提高吧,,,虚拟 换头 身体 服装 真人 宇宙 明白 圈钱 骗局 没什么 区别 个头 虚拟人 拜托 提高
只换脸，这就是中国元宇宙吗,,,中国 宇宙
两年前这么多虚拟人 我把图换头的全取关了 没想到仅剩几个继续粉的也开始搞这种糊弄了,,,两年 虚拟人 换头 取关 没想到 仅剩 几个 糊弄
效果都快要以假乱真了,,,效果 以假乱真
大概是更新时间有点慢,,,更新 时间
这真的是虚拟人吗?好细节！话说大最近怎么不火啦,,,真的 虚拟人 细节 不火
妈呀，太好看了，哈，我迫不及待的想催更，虽然我知道这很难做，但是我真太想看，因为它太好看了,,,妈呀 好看 迫不及待 好看
近看感觉刘姐的头发有点油啊,,,感觉 刘姐 头发
啥时候更新？,,,啥时候 更新
真的是虚拟人吗，为什么我看评论区有好多人这么说的,,,真的 虚拟人 评论 好多
去年发的第一期视频，今年了，你瞅你才发了几期？,,,去年 第一期 视频 几期
这么好看怎么不火，快火,,,好看 不火
我都很久没看夜熙的作品了,,,很久没 夜熙 作品
小红书什么时候出啊 没有抖音,,,小红书
求更新，柳姐你是我永远的姐，我求你快更吧,,,更新 柳姐 永远
她好像只在小音符更新视频,,,好像 音符 更新 视频
为啥小红书不同步发视频呀,,,为啥 小红书 同步 视频
什么时候更新啊？我等了几年才更新了两个视频,,,更新 几年 更新 两个 视频
为什么这个作品里的评论都这么认真,,,作品 评论
你打算什么时候更新？,,,打算 更新
啦，十月都快来啦，更新还会远吗,,,十月 更新
为什么柳叶熙不发视频了？,,,柳叶 熙不发 视频
你终于记得你有社交帐号了吗,,,终于 记得 社交 帐号
我还是觉得身材比例做的不好，看着不舒服，逼死强迫症，能改不,,,身材 比例 不好 看着 舒服 逼死 强迫症 改不
我觉得没有持续爆火的原因之一是 换了配音 影响效果很大,,,持续 爆火 原因 配音 影响 效果 很大
其实柳叶熙也没那么真实，她的皮肤不够细节，而且衣服也不像真正的衣服，真正的衣服没有那么丝滑,,,柳叶熙 真实 皮肤 细节 衣服 衣服 衣服 丝滑
一开始那个声音配上这个酷的脸，很吸引，后来.声音就配不上了,,,声音 吸引 声音 配不上
多少有点攻壳机动队的味儿了,,,攻壳 机动队 味儿
还是最开始那件衣服，适合柳夜熙,,,衣服 适合 夜熙
几百年都不更新视频，净出一些造型,,,几百年 更新 视频 造型
还是小红书上人少啊！柳姐都没有过万,,,小红 书上 柳姐
什么时候更新生产队的驴都不敢这么慢,,,更新 生产队
你可以拍个电影,,,电影
虽然看不懂，但效果是真牛逼，支持一哈,,,看不懂 效果 真牛 支持 一哈
我们最近数字营销课就在研究你,,,数字 营销 研究
这么大个团队，有能耐就原创，别搞抄袭，吃相太难看，大家多去关注妆容原创,,,团队 能耐 原创 别搞 抄袭 难看 关注 妆容 原创
被抄袭的更累好嘛，我干嘛要和抄袭者共情，不管多钱，底线守不住，它就该被钉在耻辱柱上，你这样说话是对所有一创人的霸凌,,,抄袭 更累 干嘛 抄袭 共情 底线 不住 耻辱柱 说话 创人 霸凌
这个特效做得好，有一种科幻片的感觉,,,特效 做得好 一种 科幻片 感觉
听说这个子鼠妆是窃取别的美妆博主两年前的创意那个博主被剽窃创意但是因为争不过资本家只能打碎牙往肚子咽,,,听说 子鼠 窃取 博主 两年 创意 博主 剽窃 创意 资本家 只能 打碎 肚子
他们这种视频很难弄，资金消耗也非常的大，后期特效就要搞很久。更新慢，很正常。,,,视频 资金 消耗 后期 特效 很久 更新
那你们来互动，我去更新,,,互动 更新
你更新的内容我很喜欢，你更新的速度我不喜欢,,,更新 内容 喜欢 更新 速度 喜欢
终于换了一个配音,,,终于 配音
重催之下必有更新,,,之下 更新
怎么换配音了，还是之前那个配音好听,,,配音 配音 好听
如果能弄成电视剧，一定很好看。,,,电视剧 好看
怎么最近都开始发图了？,,,发图
是看他的脸 像是那种虚拟的，然后再看他的手又像是人 ,,,像是 那种 虚拟 像是
你的脸真的好动漫化,,,真的 动漫
那你快点更新嘛，我们都等着呢,,,快点 更新
虚拟人物来做美妆博主，推到化妆品正常人也用不了啊，上她脸怎么都好看，上我们的脸就不一定了,,,虚拟 人物 博主 化妆品 正常人 好看
版权费到底创作者能收到多少…,,,版权 创作者 收到
开始以为是广告，后面嘲讽拉满。还得是你啊,,,广告 嘲讽 拉满
这么优秀的账号为啥粉丝不到10万,,,优秀 账号 为啥 粉丝 不到
你这是睡觉的时候姿势对了，灵感来了，才发的视频是吗？,,,睡觉 姿势 灵感 视频
感觉好久没刷到了,,,感觉 好久没 刷到
我喜欢这种风格的柳姐,,,喜欢 风格 柳姐
柳夜熙现在每天都在干啥呢,,,夜熙
一直在用祖马龙！这次换新款试，柳姐推荐一定没错,,,马龙 新款 柳姐 推荐 没错
好久没刷到了，赞也不多但评论巨少,,,好久没 刷到 评论 巨少
可以考虑跟檀健次合拍一个,,,檀健 合拍
柳夜熙一点没变 我都老了,,,夜熙 一点
可看到你更新作品了，不容易啊,,,更新 作品
非常喜欢刘夜熙翻白眼，尤其是暗戳的白眼，老带劲儿了,,,喜欢 夜熙 翻白眼 白眼 带劲儿
像那个美妆博主，就是那个晚安粉哭的那个,,,博主 晚安 粉哭
我觉得柳夜熙的妆容现在好一点,,,夜熙 妆容 一点
流量不足,,,流量
现在塌房的底线越来越低了,,,底线 越来越低
动漫柳夜熙真好看,,,动漫 夜熙 好看
还好我拍照喜欢用美颜会带美瞳,,,还好 拍照 喜欢 美颜
好像程潇,,,好像 程潇
很喜欢赛博朋克风格,,,喜欢 赛博 朋克 风格
我看柳叶熙就像是在看电视剧一样,,,叶熙 像是 电视剧
好像程潇，建模逐渐趋于完美,,,好像 程潇 建模 趋于 完美
很久没看 换风格了啊,,,很久没 风格
我觉得柳叶熙的配音和斗破苍穹里面云韵的声音好像。是不是我耳朵有问题,,,柳叶熙 配音 斗破 苍穹 云韵 声音 好像 耳朵
评论说以后图要加上眼神光,,,评论 眼神
就我不管拍什么眼睛都是黑的吗,,,眼睛
没看懂，谁能解释一下,,,没看 解释一下
对不起，没有看懂可以给我解释一下吗？,,,对不起 解释一下
双彩虹是什么意思啊？,,,彩虹
懂了，以后图我会带上眼神光,,,我会 带上 眼神
没懂，怕别人看还直播，双彩虹又是啥梗,,,直播 彩虹
我看到过类似的视频，就通过眼睛反光的建筑找人，实际是那人自己上去的,,,类似 视频 眼睛 反光 建筑 那人
我为啥感觉他长得像北秋,,,为啥 感觉 北秋
不是单眼皮嘛，咋最后是双眼皮了,,,单眼皮 双眼皮
短视频做的跟电影一样，要花不少钱吧,,,视频 电影
现实照进剧中，这好像是真实案例，女的被她老公分尸了，冲走了,,,现实 照进 剧中 好像 真实 案例 老公 分尸 冲走
真的好爱柳夜熙的设定，唯一喜欢的人,,,真的 夜熙 设定 唯一 喜欢
我最想知道柳姑娘到底有没有真人模型,,,姑娘 有没有 真人 模型
这短视频质量太高了,,,视频 质量
突然发现她是美妆达人,,,发现
感觉模型没以前看着舒服了,,,感觉 模型 看着 舒服
感觉肉的，小肚子都做出来了啊,,,感觉 小肚子
柳夜熙这身材可以，好生养,,,夜熙 身材 生养
好久不见柳夜熙的长相跟一开始不一样了是换了么,,,好久不见 夜熙 长相
那个神探夏洛克的一瞬间给我拉回去了,,,神探 夏洛克 一瞬间 拉回去
柳夜熙长的越来越精致了,,,柳夜熙长 越来越 精致
我好喜欢这身装扮，太酷了。我想要壁纸,,,喜欢 装扮 太酷 想要 壁纸
这次的创作好有创意啊，更期待未来的作品了,,,创作 创意 期待 未来 作品
柳叶熙妥的肤白貌美大长腿,,,柳叶熙 肤白 貌美
这个视频真的很有意义,,,视频 真的 意义
看不懂,,,看不懂
看三遍明白了 黑衣服提前扮演妈让开门然后 在绿衣服后上来后关她,,,三遍 明白 黑衣服 提前 扮演 开门 衣服 后关
不知道为什么迷上了,,,迷上
这个拍的有意思,,,有意思
太酷了，如果能把一堆负面情绪的话翻译成正常的客观叙事过程，那可太棒了,,,太酷 一堆 负面 情绪 翻译成 客观 叙事 过程 太棒了
最后是周深的《好生活就是美好生活》,,,生活 美好生活
好像 柳夜熙长相调整了？,,,好像 夜熙 长相 调整
为啥感觉没有以前精致了，越来越像合成了，不像以前看起来还像个真人,,,为啥 感觉 精致 越来越 合成 真人
时代来了，未来什么都可以是假的，眼见都未必为实了，太可怕了,,,时代 未来 眼见 未必 可怕
现在骗人率那么高，熟人都分不清，更何况是路人呢？光说让大家鉴别，怎么去鉴别呀？我们需要的是一个破解方法，而不是一味的怼。,,,骗人 熟人 分不清 更何况 鉴别 鉴别 破解 方法 一味
是更改画风了吗 跟之前怎么长得不一样了 怪的,,,更改 画风
柳夜熙怎么感觉没之前好看了,,,夜熙 感觉 好看
最近更新频率有点高呀 爱了,,,更新 频率
这个视频出发点是好的，可是传递的观念却是错误的，最后为什么要让女主自证清白？,,,视频 出发点 传递 观念 却是 错误 女主 自证 清白
不喜欢这剧情，因为不喜欢造谣传谣的人，一个真可恨又装作自己很无辜别人都这样之类的，好像刚才的嘴脸不是他一样，宁愿所有人都是冷漠的，至少这样要比传谣信谣好得多,,,喜欢 剧情 喜欢 造谣 传谣 可恨 装作 无辜 好像 嘴脸 所有人 冷漠 至少 传谣 信谣 好得多
这一条广告值多少钱？,,,一条 广告
大制作 当属柳夜熙,,,制作 夜熙
真的需要国家高度重视 虽然科技在发展 但是有些技术需要更加合法化,,,真的 国家 高度重视 科技 发展 技术 合法化
就服这种明是做广告 但是很喜欢的,,,做广告 喜欢
真的，这个广告好炸裂，好让我炸裂啊,,,真的 广告 炸裂 炸裂
阿康拍了这么高级的广告。冰红茶就不准涨价了喔,,,阿康 高级 广告 冰红茶 不准 涨价
一个广告为什么进度条那么长,,,广告 进度条
视频最后的是什么 好听,,,视频 好听
抖音博主打广告最走心的,,,主打 广告 走心
好用心的广告，我都想喝了,,,用心 广告
这茉莉花茶的广告真的太好了,,,茉莉花茶 广告 真的 太好了
做镇高级的广告不要命了?,,,高级 广告 不要命
广告创意不错,,,广告创意 不错
让我措手不及，不，是万没想到是个广告，这么好看的是广告,,,措手不及 没想到 广告 好看 广告
这个包装可以设计更符合茉莉的风格，给人眼前一亮的感觉，视觉上更符合茉莉的清香。,,,包装 设计 符合 茉莉 风格 眼前一亮 感觉 视觉 符合 茉莉 清香
呀，好熟悉的剧情，这不韩立和师姐约会花海的时候吗,,,熟悉 剧情 韩立 师姐 约会 花海
这个广告拍的太好了吧，比电视上好多广告都好看，主要是看完之后还能知道它是广告,,,广告 太好了 电视 好多 广告 好看 广告
是不是该有个线下见面会啊,,,有个 线下 见面会
第一次觉得广告都这么好看,,,第一次 广告 好看
 能不能看出来，以后这种功能广泛用起来会咋样,,,功能 咋样
想不到吧，现在电视上的广告做的都不如短视频里面的广告,,,想不到 电视 广告 视频 广告
广告可以有，但是希望把国产广告插入进去，不要外资企业的，不要外国品牌的，来个纯正的国产,,,广告 希望 国产 广告 插入 外资企业 外国 品牌 纯正 国产
以后广告都按这个标准拍,,,广告 标准
我觉得这个视频很有意义,,,视频 意义
现实生活啦,,,现实生活
接广告了？以后是不是表示更新密度更快一点,,,广告 更新 密度 一点
现在柳夜熙的做工越来越差了，没有刚一开始出来的惊艳真实。,,,夜熙 做工 越来越 刚一 惊艳 真实
这个脸越来越假了，没有刚开始的那种,,,越来越 那种
好创意，好广告,,,创意 广告
现在发展之后 看柳夜熙也没那么惊艳了,,,发展 夜熙 惊艳
我发的视频照片都是过的，所以说我的朋友家人们如果发现视频里的我特别漂亮，不要怀疑，那就是骗子,,,视频 照片 朋友家 发现 视频 特别 漂亮 怀疑 骗子
怎么感觉这种技术有点可怕呢，控制不好世界还不乱套了,,,感觉 技术 可怕 控制 不好 世界 乱套
懂的人就知道，这太牛了！无论从创意到视觉再到技术,,,创意 视觉 技术
接连看你几个视频都哭的我稀里哗啦的，这个终于治愈了我,,,接连 几个 视频 稀里哗啦 终于 治愈
这种视频应该多一点才对，传播正能量才是媒介的本质,,,视频 多一点 传播 能量 媒介 本质
从这个以后就感觉柳夜熙长相变了呢,,,感觉 柳夜熙长 相变
这个编剧，我不得不承认，太有东西了,,,编剧 承认 东西
已经没有最初的感觉了，最初的柳夜熙完全分不出真假，感觉和真人无区别，现在一眼假,,,最初 感觉 最初 夜熙 分不出 真假 感觉 真人 区别 一眼
这个主题挺好的太有才了，适合现在的社会，现在人类都太燥了，接触的也多了，什么信息都有导致负面情绪很多，人原本就应该这样美好,,,主题 适合 社会 人类 太燥 接触 信息 导致 负面 情绪 原本 美好
他的选题好有意思呀,,,选题 有意思
这个视频应该放在地铁上经常循环播放,,,视频 放在 地铁 循环 播放
那个袖子没了感觉这衣服更时尚了,,,袖子 感觉 衣服 时尚
这团队太强了,,,团队
你好，这到底是几年的视频别人的视频里，为啥年纪对不上,,,你好 几年 视频 视频 为啥 年纪 对不上
柳叶熙不是美妆博主吗 人设变了,,,柳叶熙 美妆博 设变
对不起，怪我没看懂，谁给总结下什么意思,,,对不起
