content,fenci
什么叫高手在民间啊,高手 民间
不管村超国足谁厉害 至少国足没赢过 海参没断过 村超我们想要的热情和快乐都有 就够了,国足 海参 热情
前几天看到官媒 说足协给村超会带来希望 注入活力 我一听你就是放弃 这些足协当官的什么嘴以为大众不知道还有人心大多时候都是丑恶的 没有阴你就不错了,官媒 活力 当官 大众 人心
有钱人才能中超，唉,有钱人
额额   国足就道德吗   国足就是个不道德的玩意儿,额额 国足 道德 玩意儿
男世界杯这种我只看外国球队，估计也只能看到外国男足，中国足球也就女足能争气些。中国未来的男足变强动了哪些流量蛋糕,世界杯 外国 球队 外国 男足 中国 足球 女足 争气 中国 男足 流量 蛋糕
全靠同行衬托,衬托
让贵州迎来了春天,贵州
信不信，万一再打仗，到时候还是要靠川军,川军
村超是中国足球黑暗历史中的一束烟花，照亮了在黑暗中踢球以及热爱足球的人。村超他们绝对不能说技术多高，他们打不了职业但是他们的热爱是顶级。中国从不缺少热爱足球的人，只是希望了太多年。董路老师绝对是为了中国足球未来努力的人，你侮辱他就是无礼,中国 足球 历史 烟花 踢球 足球 技术 职业 顶级 中国 足球 董路 老师 中国 足球
足球要的是激情和拼博。不要海参和散步。,足球 激情 海参 散步
村超什么水平我不知道，我只知道国安连民间球队泾川文汇都踢不过，专业打不过业余，已成事实,水平 国安 民间 球队 泾川 文汇 专业 业余 事实
贵州真不错，之前的村就已经让我觉得贵州的篮球氛围很浓厚，没想到足球也一样,贵州 贵州 篮球 氛围 足球
不为名利，真正热爱足球的一群人。,名利 足球
我对男足只有四字评价:丢人现眼,男足 评价
突然冒出来的小丑,小丑
作为一个在外地的贵州人，对贵州村超我感官并不好——，á?不叫我,外地 贵州 贵州 感官
足球要从娃娃抓起，想要中国足球有个好的未来需要相关部门与足球领域的投资者还有家长和孩子共同努力，但是目前应该力不从心，好多问题解决不了，面对的实际困难和顾虑也太多。人口也太多了，先解决吃饭养老的问题吧，什么时候中国人口减半了可能就开始转变了。,足球 娃娃 中国 足球 部门 足球 领域 投资者 家长 孩子 实际困难 人口 养老 中国 人口
足协贵州村超的球员有一个是足协登记在册的吗没有的话跑这来插一脚是不是管的太远了，跟某漂亮国学的嘶，哦难怪呢，我说中国足球这几年咋老是出些幺蛾子，国家反间谍部门，该好好查一下了,贵州 球员 国学 中国 足球 蛾子 国家 反间谍 部门
好想去看啊，门票贵不贵,门票
村超可太燃了要不是没钱，我都想去看现场,现场
标题起的好，流量少不了,标题 流量
说能打中超的就是捧杀，高级黑，国外也有专业联赛和民间联赛各有各的看点,专业 民间 看点
我妈和我说足协的那些人想要来榕江调查啥的，县委直接回应他们要是来了食宿自理不接待,榕江 县委 食宿自理
董路这下是真的闭嘴了。一直吹自己的青训队，前几天踢输了回国直接解散后就不狗叫了,董路 青训队 回国
你那么专业你能赢吗你那么专业你能别那么胖吗小心眼，输疯了吧你们中超，格局小咋赢,专业 专业 小心眼 格局
国足至今不敢挑战村超。全国应该解散职业联赛，大力发展各地的村超。,全国 职业联赛 大力发展
村超应该不怕足协恶势力，毕竟有那么多人支持，即使从来没看过球的人也跑去看村超，并能发表关于足球的观点，村超让很多人第一次认识足球，说明这条路走得对。,足球 观点 足球 条路
所以村超现在就应该喊话国足或者中超那些队，敢不敢来真刀真枪踢一场。按照村超队员那股拼劲，起码赢国足5球你信不信。,队员 起码 国足
因为村超队员平时都在上班，训练有限，肯定比那些天天训练的职业球员训练效率高，那些职业球员吃海参能比得过村超队员天天吃各种丰富饮食，营养均衡吗而且村超踢球都是人工草皮，那些娇贵的“职业球员”只能在真草地踢球，都是软脚虾，他们敢来,队员 职业 球员 效率高 职业 球员 海参 队员 饮食 营养 踢球 人工 草皮 职业 球员 草地 踢球 软脚
再说球迷，村超球迷都是关注足球本身快乐，不关注球员是谁，踢的怎么样，这才叫纯粹足球，只要看他们踢球我就开心了，还能在场边吃美食，看歌舞，你那些职业比赛能这样天天不是喊一些破口号就是一起骂裁判骂球员，素质这块就输了，欢迎大家来看村超并建议村超去全国各地的专门球场踢巡回赛，把快乐带给全国人民。,球迷 球迷 足球 球员 足球 踢球 美食 歌舞 职业 口号 球员 素质 建议 全国 球场 巡回赛 全国
谢谢你们支持贵州的村超，谢谢,谢谢你们 贵州 谢谢
足协有权利叫停村超吗,权利
足球是娱乐，是运动，是爱好，对一般人而言，他需要专业吗，不需要，需要的是那种体验感，愉悦感，这和专业没啥关系,足球 专业 体验 专业 关系
主打一个真诚，和淄博一样。,主打 淄博
比起足球，道歉我是专业的,足球 专业
国足去了应该赢不了吧,国足
人在凯里，想去榕江看村超,榕江
村口组织的运动足协哪有权利叫停，把人家的狗吠当人话就没必要了,村口 权利 狗吠
必须支持，必须支持，早看男足不顺眼了,男足
应该把国足发配到村里挖土豆去。。。。工资上缴所在村。,国足 土豆
最近端午节站有村超的直播，热度最高的直播间弹幕也是稀稀拉拉的，更离谱的是这些弹幕聊的内容完全与足球无关。媒体都在说吹村超是“纯粹的足球”，但究竟比分是几比几，谁是射手王，谁是，但凡跟足球有关的技术统计却寥寥无几。媒体都在报道什么“比赛盛大举行，观看人数达，带动经济”，这样的报道是给人民群众看的吗相反，这是领导最喜欢看的。,热度 直播间 弹幕 离谱 弹幕 内容 足球 媒体 足球 射手 足球 技术 媒体 人数 经济 群众 领导
功利来说，村超就算能普及，对于国足能不能进世界杯帮助也不是很大，篮球现在从小学到大学几乎一半的男生都在打，可谓群众基础很高了，但男篮还是很烂。群众基础能帮助职业男足进步，只有一个方法：为职业付费，让职业足球成为家长眼中有前途的工作，有大把的家长愿意送孩子去踢职业，职业足球才会变好。,功利 普及 国足能 世界杯 篮球 小学 大学 男生 群众 基础 男篮 群众 基础 职业 男足 方法 职业 职业 足球 家长 前途 家长 孩子 职业 职业 足球
1，没有掏钱的义务，野球比赛对城市发展贡献有限，现在推广也是抄袭贵州，打造城市名片需要另辟蹊径（淄博烧烤火了，有带动其他城市的烧烤吗），（增强体质为什么不打篮球笑）,义务 野球 城市 贡献 贵州 城市 名片 淄博 城市 增强体质 打篮球
总的来说，我对于村超的发展持保守态度（最起码能带动当地经济），对于全国足球氛围的发展持悲观态度。,态度 经济 全国 足球 氛围 态度
央妈啥意思,啥意思
这样子超帅的好吗,样子 超帅
这些人好像那些∶全国都有烧烤，干嘛非去淄博一样,全国 干嘛 淄博
夏窗跟沙特联争球员的最大敌人原来是村超,夏窗 沙特 联争 球员 敌人
奖品甚至不是海参，我觉得这村超不太行,奖品 海参
6，不会真以为国足有那么菜吧，颜骏凌上来守门，你任意球能十个进一个你都厉害,国足 颜骏 守门 任意球
这些“泥腿子”就是为了纯粹的快乐。,泥腿子
命题作文如何让猪学会踢足球》,命题作文 学会 踢足球
我虽然承认村超确实不错，但也请不要乱带节奏,节奏
吹了半天 没一个踢球镜头,踢球 镜头
足协全部枪毙误杀好人概率不超过5%,好人 概率
中超专业搞钱，,专业
人才都在民间,人才 民间
这个就像广东划龙舟，奖品不在乎，要的就是扬眉吐气一把,广东 龙舟 奖品
你一个村超踢得比中超都好，动了多少人的蛋糕，心里没数吗，断人财路如同杀人父母，怎么能不急眼,蛋糕 断人 财路 杀人 父母
我们踢我们的村超，反正也不能去世界杯踢球，某些人担心什么呢,世界杯 踢球
我怎么还记得有那个。文具店自助的球队。打败国足那场比赛呢那只文具店球队现在不知道怎么样了,文具店 球队 文具店 球队
我就爱看广场舞咋地广场舞都比你有激情，你好意思说自己专业专业躺尸吗,广场 广场 激情 专业 专业
这是我见过点错选项人数最多的视频。,选项 视频
让足协远离我们的村超少来霍霍,霍霍
职业指导别人如何躲球吗,职业指导
哼哼 贵州村超已经有盘口了，被庄狗收买，骗赌狗的钱简直是易如反掌,贵州 庄狗
水平远超国足不是，一个是比赛一个是队伍这俩是怎么比的啊,水平 国足 队伍
至少村超能带来人们踢球的热情,踢球 热情
国足只会让人越来越心寒,国足 心寒
不会真有人觉得这种队能踢过国足吧，骂国足可以，能不能了解之后再来骂,队能 国足
中超能叫足球吗那踢得都是生意,足球
不懂足球 但是是这个国家最后一块足球净土,足球 国家 足球 净土
热爱可抵万难,万难
这才是足球该有的样子，这才是人民的足球?和足球比赛，国足不过是个职业机构，不代表中国，真正代表中国的是最广大的中国人民,足球 样子 足球 足球比赛 职业 机构 代表 中国 代表 中国 中国
国足白斩鸡 村超世界波,世界
一个十多亿人的大国找不出几个踢球棒的可能吗。,大国 踢球
是啊，就为了两个猪腿为什么他们那么拼命的跑，除了热爱我好像找不到其他的原因了，他们踢完球还要为自己的生活努力，但是这真就是纯粹的热爱，他们或许没有比肩世界强队的实力，但是他们的热爱更让我动容。,原因 世界 强队 实力 动容
我觉得吧，虽然我是一个不爱好体育，没经过任何训练，哪怕足球规则都不懂的废宅，但我比国足强。第一我能分清那边是自己球门，第二我不会踢到自己人，第三我看到球不会躲，第四我上也是输。,足球 规则 废宅 比国 球门
除了没他们有钱，别说我上我也行，集训一星期的小学生都行，因为看到球真踢。,集训 小学生 都行
扯什么职业，资格，规模，训练，体脂，他们那是在踢足球吗是在踢足球吗是在踢足球吗,职业 资格 规模 体脂 踢足球 踢足球 踢足球
笑死，国足这块就该全盘砸了立新的。,全盘
我想要开头那位姑娘联系方式，主要探讨足球?,姑娘 足球
中国踢球厉害的人多了去了，可惜国足里头一个都没有。,中国 踢球
国足是工作，其他人是热爱,国足
看了村超之后让我又热爱足球了。,足球
因为好玩，所以才有激情啊,激情
有了群众基础，才有可能让整个国家水平提升啊,群众 基础 国家 水平
老实说，个人最想国家取消的运动就是足球，毫无价值的运动，还明里暗里的贪污着纳税人的钱，我这个说法不包括个人哈。,老实 国家 足球 明里暗里 纳税人
足球氛围很好，保持这种热情  希望二十年后贵州能走出足球巨星，也希望二十年后国足能进世界杯,足球 氛围 热情 贵州 足球 巨星 后国 世界杯
谁说村超不专业，人家在他们行业专业，村超足球叫兴趣专业。,专业 行业 专业 足球 兴趣 专业
虽然人家能力不行，但是扯后腿那是杠杠的,能力 杠杠
足球只能富二代踢是吧←_←,足球
让我想起了一首歌老男孩》,男孩
希望不要忘了初心,初心
就像校运会，人家小数人的活动，还轮到你们所谓大佬指指点点吗,校运会 小数 大佬 指指点点
相比之下，职业的太没劲了,职业
村标选手吊打国标选手,村标 国标
完完全全的热爱啊，凭这一点不比那些比臭豆腐还臭的脚强,臭豆腐
很厉害，但是中超和村超比，肯定不公平，我想起了小学球赛里，网上投票多的得到了冠军……踢赢了的球队，没有。,中超和村 公平 小学 球赛 投票 冠军 球队
小编你给我开的最大的玩笑就是 玩玩而已,玩玩
足协是专业的，专业的贪污受贿，专业的脏，专业的不专业。村超确实比不了这个专业性。建议解散足协…,专业 专业 专业 专业 专业 专业性 建议
村超没有海参,海参
你这标题起的我都不知道是不是串,标题
资本进不来，嫉妒,资本
眼看饭碗被砸了，能不急吗,饭碗
人现在活着就是缺少一份激情,激情
像一样 烂完了 结果你说没基础 没人喜欢 互联网出来又打了脸 群众基础一直都在 只看你愿不愿意让他们站出来,基础 互联网 群众 基础
足协眼红了急了。,眼红
足球协会妨碍中国足球发展,足球 协会 中国 足球
这才是文化,文化
国足的根本应该在于选拔模式。有钱有水平肯定能选上，有钱也可以选上，没有钱只有水平基本不可能选上。,国足 模式 水平 水平
虽然踢的就是业余水平  但进攻性看的我很爽 球就该这么玩支持更多地方出现村超,业余 水平 进攻性 地方
为啥说那么专业的人没有成绩啊，没有成绩难道不是所有话都变成了狡辩，所以与其在这对线不如去好好督促下自家球员好好练球去,专业 成绩 成绩 球员 练球
某些打着专业旗号的未必太把自己当回事了些,专业 旗号
农村人没摸过足球,农村 足球
你又懂了村超踢第四级别联赛每场都大比分溃败。真踢中超中甲估计场场输两位数,级别 场场 两位数
水平不知道，热度确实远超,水平 热度
国足以后要是没海参吃，在座的都有责任,海参 责任
国足问题是体质问题的体现,体质
虽然极度厌恶、鄙视、反感国足，但说村超水平远超国足，这纯属胡说八道了毕竟业余和专业根本就不在一个档次上，这终究也是事实。,超水平 国足 纯属 业余 专业 档次 事实
村超符合标准与否有什么关系就是热爱一起玩，咋滴现在连这点自由活动的权利也没了你国足倒是职业队伍，有屁用那些攻击村超的就是闲的没事干嫉妒，要得不是村超能不能打职业要得是这种风气，全民热爱足球的风气，不是踏马的看你们天天炫海参,符合标准 关系 权利 职业 队伍 屁用 职业 风气 全民 足球 风气 海参
水平远超中超?这也有人信啊,水平
艺术家在流浪，小丑在殿堂。,艺术家 流浪 小丑 殿堂
热爱足球的人为了生活奔波，一帮吃干饭的跳梁小丑却吃喝不愁，真讽刺,足球 跳梁小丑
如果村超能够全国普及，那中国足球十年之内能不能崛起,全国 普及 中国 足球
控评是吧，自媒体是真没,媒体
足球就是要沉下去，才能孵出来。,足球
中国这么大，就一个足协是不够的，应该多一两个,中国
甲级踢不过业余的笑话  好像很多国足的儿子粉都忘了,业余 笑话 国足 儿子
刚刚现场看了，确实不错,现场
谁在弹幕发的折耳根战胜了海参哈哈哈哈，太绝了,弹幕 耳根 战胜 海参 太绝
在村超这看到了足球的激情,足球 激情
我似乎看到了中国足球崛起的希望,中国 足球
我不会因为村超就来拉扯国足，说国足是废物之类的话，村超不是用来骂国足的起点，因为没有村超，我特喵的一样骂国足，瞧瞧他们的大肚腩吧，废物,废物 起点 国足 大肚腩 废物
人民喜闻乐见，你不喜欢，你算老几,老几
                                                      ——伍豪,伍豪
我看到了人民群众的力量,群众 力量
吃不到葡萄说葡萄酸,葡萄 葡萄
人家冰岛还不是一样各类人聚在一起,冰岛
搞对立拉热度是吧,热度
评论区里怕是没几个是真正关注足球的,评论 足球
中超和国足不是一回事啊，国足才是海参队，中超不是一回事,中超和国 国足 海参
几十亿的项目 这么搞不行,项目
国足不是一层层选上去的吗水平真的那么差,水平
这就是中国足球，武大郎开店，不许高个儿的进。,中国 足球 武大郎 开店
啊村超超越国足了就是那个被低价格联赛的球队暴虐的村超,价格 球队
足协没有权利叫停啊……,权利
梅西来了也得挨个领导敬酒点烟,梅西 领导
足球就应该是全民运动，低门槛全民参与才能推动发展，问题来了低门槛高透明度不集权显然会伤害到小部分人的利益。,足球 全民运动 门槛 全民 门槛 透明度 集权 利益
假如国足与这个村足的专业实力差距能像“国”和“村”的差距一样大，世界杯冠军早就是国足的了。拿村超的热情澎湃来讽刺国足的一潭死水，何来不道德一说,国足 专业 实力 差距 差距 世界杯 冠军 热情 国足
不管比不比得过，当出现这种话题还一直保持这种热度的时候就说明这项运动在我国明面上都烂到根子里了。如果有人拿台湾省的乒乓球比对国乒，或者是人山人海的去看中国香港的篮球联赛还各种喷的情况，你能想象得出来吗我是想象都想象不到那是怎样的一种光景但国足都做完了。在国际赛场上持续地输得如此难堪，屡屡爆出假球甚至做为一名专业运动员还大腹便便最简单的身材管理都做不好的情况下，国民依然对这种运动充满了狂热与喜爱。那是没有群众基础吗那是没有人懂球吗那是管理这项运动的人没有用心去做。我敢相信有一天国足踏上世界杯决赛舞台，观众席上超过一半都是中国红,话题 热度 根子 台湾省 乒乓球 国乒 人山人海 中国香港 篮球联赛 情况 想象 想象 想象 光景 国足 国际 赛场 假球 专业 运动员 身材 情况 国民 群众 基础 用心 世界杯 决赛 舞台 观众席 中国
村超踢的好我们当然高兴，但是我还是希望你们知道，他们不可能踢的过现役中国足球队员，别搁那搞笑了，你把守门员换成中超的，他的世界波不可能进，你把后防线换成中超的，他的倒挂金钩也没机会踢出来,现役 中国足球队 守门员 世界 后防线 机会
国足:不信谣，不传谣,传谣
某些自媒体脸都不要了,媒体
那些会扎马步的腿功硬气功高手也去踢足球，中国功夫足球都能踢世界杯,高手 踢足球 中国 功夫 足球 世界杯
反正国足基本垫底 不如让村超试试 反正结果不会更差了,垫底
啊啊啊看得我好激动，有机会一定要去看一次,啊啊啊 机会
贵州收敛点，别搞得海参队太尴尬,贵州 海参 队太
专业的就是专业的,专业 专业
票价多少哪里买还有吗我想去,票价
反正国足结局都一样，为什么不能是真心喜欢足球的人去踢这些比赛呢。,结局 足球
但凡国足给力,国足给力
没办法，中国资本太多了,办法 中国 资本
我国肯定有非常牛的足球天才，也绝不缺这类人，缺的是发现他们，能培育他们，并且能送他们上去的基层教练员和渠道，我国级级教练员少得可怜，级级也不多，待遇还很差，不能做主业，钱全让国足赚了，真正能带来足球未来的基层基本就是自给自足，极其不重视，不在根上下功夫，投资，做培育，全做面上功夫，这样能踢出个啥有什么未来一棵树你不松土施肥，天天在那擦叶子，给叶子涂脂抹粉有个鬼用,足球 天才 类人 基层 教练员 渠道 级级 教练员 级级 待遇 主业 钱全 足球 基层 下功夫 功夫 一棵树 松土 叶子 叶子 鬼用
国内的专业足球 女足除外 当真是狗看了都摇头,专业 足球 女足
不是咱就是说复兴个大清 咋有些人还玩出优越感了 义和团给我们带来了前所未有的热情 知道你们有些大臣专业 ，但你们优越感太重了,义和团 热情 大臣 专业 太重
国外的足球也商业化，只是体制….,足球 商业化 体制
村超气氛确实有南美国家感觉了，但有些硬吹村超实力的，你也别踢球看球了，你让职业的踢能把业余的屎踢出来,气氛 南美国家 感觉 实力 踢球 职业 业余
国足不是不行，是那群吃海参的干啥啥不行，浪费资源第一名,海参 浪费资源
个人理解，体育竞赛目的是强身健体，全民参与。而村超更贴合群众，达到全民健身的目的。国足，感兴趣的应该不多吧,体育竞赛 目的 全民 群众 全民 目的 感兴趣
我不看足球，但是被村超感动了，他们真的太棒了,足球 太棒了
不爱足球，但想去感受氛围,足球 氛围
不是谁有水平谁专业是我理解错了吗难道说只有受到过“专业”指导才能称作专业,水平 专业 专业 指导 专业
菠菜已经介入了 不知道这样发展是好还是坏了,菠菜
赢了是荣誉啊，有的人眼里只有钱没有荣誉感,荣誉 荣誉感
什么国足没听过，只知道海参,国足 海参
难过的是村超被狗庄盯上了，资本介入就不纯粹了,资本
贵州村超跟国足是俩个不同的行业 村超是竞技比赛国足是踢假球打假赛赚钱给中国扬名所以不是一个行业懂吧,贵州 国足 行业 竞技 国足 假球 中国 行业
第一次了解到贵州“村超”，感谢科普。真的很好啊，组织者太棒了，既是热爱，又是运动，还能促进交流，希望一直办下去，能越来越好。,贵州 组织者 太棒了 交流
你说停就停你算什么东西我说不许停,东西
高手在民间,高手 民间
这就是最纯粹的足球了吧,足球
对国足只有一个印象:我去，哎呀，我去,国足 印象
那不如职业的跟跳广场舞的球队切磋一下呗,职业 广场 球队
有种动漫主角即视感，都是因为热爱，所以才强大,动漫 主角
知道你们不专业就老实看我们国足专业表演怎么烂球，少扒拉巴啦啦的,专业 老实 专业 烂球
老外可太想吃中国足球这块蛋糕了 可惜男足那样 救不回来 就那年踢进去世界杯 收视率 门票赚的都快笑死了 结果0封又快骂娘,老外 中国 足球 蛋糕 男足 世界杯 收视率 门票 骂娘
国足:你们连海参都吃不起也配跟我们踢,海参
流量吃的爽不爽,流量
女足都踢不过还超男足，真是笑死我了,女足 男足
估计挺不了太久动别人利益了,太久 利益
我点了“肯定敢”，因为我想看到那些吃海参的被爆锤之后的样子,海参 样子
高手在民间啊,高手 民间
13亿人我不信里面没个梅西。,梅西
业余的是和职业的没法比，但是这是热爱和希望,业余 职业
别摆架子扯什么专业业余，专业就拿成绩说话，但凡国家队不是国家养的，凭成绩能不能解决温饱,摆架子 专业 业余 专业 成绩 国家队 国家 成绩 温饱
确实足协杯大爆冷国足又输了，这次输给业余区大队,足协杯 国足 业余 大队
中超上的了台面么,台面
这才叫蹴鞠,蹴鞠
有些人的评论真有意思，毛主席都提出过农村包围城市，看不起农村的人比他老人家还伟大,评论 毛主席 农村 城市 农村 老人家
害怕吃不上海参了,海参
关键不是职业不职业，而是热爱和深入大众，是人民群众喜闻乐见的运动,关键 职业 职业 大众 群众
我仅仅想说：千万不要让足协败类和资本败类踏足这片净土,败类 资本 败类 净土
666666666666666666666666666666666666666666666666666为什么因为喜欢啊就这么简单，喜欢那种血液沸腾的感觉,血液 感觉
最近村超挺火，其实出圈的是这个群众氛围，把足球赛打造成一个联欢晚会式的节目。十里八村的大家图个热闹，踢个球比赛一下。,出圈 群众 氛围 足球赛 节目 八村 个球
但别当真，本质上就是一群业余球员出于爱好，踢个野球而已，还是县一级的。别说跟国足比，随便挑一个专业的市队都吊打这个村超冠军队。,别当真 本质 业余 球员 野球 专业 市队 冠军队
如果这都搞不明白，实际上就是有很多人搞不明白这点。所以中国足球才这么差。,明白 明白 中国 足球
长这么大还没在学校里学过足球,学校 足球
有人抢饭碗了当然国足坐不住了,抢饭碗
过于标题党了，无量自媒体为了流量没下限,标题 无量 媒体 流量
专业≠无敌，能上职业联赛≠能赢，笑话就是笑话，哪来的傲气瞧不起业余?,专业 职业联赛 笑话 笑话 业余
理论来说，从古到今中国的足球应该底不差，但现在国足已经商业化,理论 中国 足球 商业化
我就是村超这个地方的人，我也是从小踢球。村超没你们想的那么强，这些人很多都踢过职业半职业，黔东南也有职业球队。村超现在突然火起来还是运作的关系，本身也是商业行为。还有超过国足那更是不可能，我们这里大把踢球的就160-165你觉得能踢职业吗,地方 踢球 职业 职业 黔东南 职业 球队 关系 商业行为 国足 踢球 职业
被抵制的原因就是热度被吸走了，感觉脸上无光而已同行都是对手一点都没错,原因 热度 感觉
我们这的西甲也超有意思，西南街道甲级联赛,西甲 西南 街道 甲级联赛
国足滚蛋  村超上场,滚蛋 上场
不用在意噴子的看法，你不管說什麼做什麼，他都會挑刺的，你就算說一加一等於二，他都給整兩句,噴子 於二
我不懂足球，但我认为这样对比没有意义，球场强弱是要看对手的，让这村超上世界赛事的话，或许连球都摸不到，倒勾、远射只能说明有点足球技术而已。,足球 意义 球场 世界 赛事 连球 倒勾 足球 技术
村超挺好看，不过也不要过度渲染，热爱很好。,过度
这就是农村包围城市(*°▽°*)八(*°▽°*)?,农村 城市
标题挺引战。业余的没法和职业比，应该说热情远超国足,标题 业余 职业 热情 国足
看得我都想去感受一下氛围,氛围
突然感觉江苏虽然有钱，但精神层面拉胯,感觉 江苏 精神 层面
确实好，但是你这个有点标题党,标题
郭德纲：当年我学足球 教练说我踢球前途无量 但是只有两样东西阻碍了我的发展,郭德纲 足球 踢球 东西
那就是我的左脚和右脚,左脚 右脚
董路就是个吸血鬼二五仔贵族足球的代言人,董路 吸血鬼 二五仔 贵族 足球 代言人
那些全是黑粉，故意黑的,黑粉
足协看重利益，而央视是真希望中国足球崛起,利益 中国 足球
让国家队来啊，敢不敢啊,国家队
国足未必踢得过村超，需要奔跑、拼搏和拼命的时候国足舍得出力吗一群踢脚球都要掂量自己得到了多少失去了什么的人，先赢了自己再去跟别人比吧。,出力
不说别的对足球的热爱绝对是远超国足,足球 国足
贵州人是有运动天赋的，这点我在小时候看他们打篮球就映像深刻，支持贵州村超,贵州 天赋 小时候 打篮球 贵州
咱不说别的，咱就说，男足你那么专业为什么出不了线呢你又要说对手是世界级的大佬，你有差距，可是，既然都有差距，那你凭啥嘲笑人家呢,男足 专业 线呢 世界级 大佬 差距 差距
“远超国足”,国足
哈哈 有利益了需要染指了,利益 染指
国足呵呵消化罢了，那肚子比我家,肚子
好久没有这样踢球的激情了。给贵州村超点赞,踢球 激情 贵州 超点
图个乐，我就是本地方的，有哪个村有足球场能组足球队的怕不都是“请”的，你说篮球队还可以，大伙都喜欢打篮球，怕活不久，因为没有根基,个乐 地方 足球场 足球队 篮球队 大伙 打篮球 根基
办公室坐我对面的班主任，他们班的一位成绩不是很好的男生，努力了两次，终于进了体校，班主任是真为他开心。后来吃午饭时我和体育老师聊到了体校和国内体育苗子的选拔机制，当说到足球时，那位体育老师只微微一笑，塞钱，塞钱...,办公室 对面 班主任 成绩 男生 体校 班主任 午饭 体育老师 体校 苗子 机制 足球 体育老师
虽然她没多说，但足球嘛...,足球
国足我上我也行啊踢完之后发微博道歉不就行了吗谁不行呀,国足
让我想起来有一年世界杯冰岛队的球员，有律师教师牙医好像还有个前职业选手,世界杯 冰岛 球员 律师 教师 牙医 职业
足协这样只能体现自己的拉胯，国际上垫底，和谁比都是输，反过来自己家里和村民斗，怕影响你圈钱丢死人了真的是,国际 垫底 村民 圈钱
就是，村超算是什么啊，能每天吃一根海参吗,海参
球让你们踢了，足协怎么捞钱呢国足怎么吃海参呢,国足 海参
贵州人杰地灵，前有村，后有村超，而且个个水平超过职业，以后参加奥运会直接在贵州挑几个人去参加就行，反正他们都是天才,贵州 水平 职业 贵州 天才
谈什么职业，国足是你村超可以比的吗,职业 国足
要踢国足突出的是要全面，会踢足球只是入门条件,国足 踢足球 入门 条件
那些质疑的是雇佣的水军,水军
不太关注足球，哪位大哥好心告诉一下最近世界杯国足的战绩,足球 大哥 好心 世界杯 国足 战绩
新华社都支持。,新华社
我不踢球，不懂技术含量，不过国家队就没体现出身为职业队伍的职业性，自己专业没做好不提升自己专业水平，反倒请水军去抨击业余队伍不更显得自己对于专业水平的不自信，什么成绩都没有好意思说自己算什么专业呢,踢球 技术含量 国家队 职业 队伍 职业性 专业 专业 水平 水军 业余 队伍 专业 水平 成绩 专业
村超的确什么都算不上，主要原因还是吃不起海参,原因 海参
昨天看直播看到有好多人说开盘了，我去看下还真是，利益一介入啥都变味了，教练和球员都可以去买外围踢假球。,利益 变味 球员 假球
别跟老子提专业，老子要专业还他们轮得到你们国足,老子 专业 老子 专业
世界上每个国家都种了一棵树，这棵树长到十米就可以参加世界树比赛，龙国也种了一棵，几十年来就只有一次刚好到了十米参加了一次世界树比赛，每年花费几千万来养树结果总是长不高，龙国人民很失望，突然有一天龙国的某个村里面也发现了一棵树，虽然比国家养的那颗矮两米，但是更漂亮更好看，而且花不了多少钱来养，于是就有人说，你看人家村里的树没花多少钱，还更好看，国家花几千万养的树都没这个好看，干脆别养了。,世界 国家 一棵树 树长 世界 龙国 世界 花费 龙国 龙国 一棵树 国家 国家
中国足球是富二代踢的，不是平民踢的，足球学校动不动就几十万一年学费。,中国 足球 平民 足球学校 学费
泾川文汇能踢赢北京国安，这就说明有多少足球人才被埋没了。,泾川 文汇 北京国安 足球 人才
他们整个圈子圈钱罢了,圈子 圈钱
日内瓦退钱。,日内瓦
其实说实话，村超越是不错，但是跟职业队还是有差距的，虽然国足很垃圾，那也是与同职业队伍比，就像优等班的差生，在同班里显得根本很蠢，但是优等班的差生放也差等班里也是相当炸裂的存在,职业 差距 国足 垃圾 职业 队伍 差生 同班 差生
我不管你专业不专业你只要能给中国争光那就好汉不问出处,专业 专业 中国 争光 好汉
作为一个北京球迷，表示支持村超,北京 球迷
昨天晚上的友谊赛让我看到了中国足球是没什么希望的，就看第三节比赛那两个进球让的吧，5分钟让了两个球，硬是从2-0变成2-2。在这个体制内，中国足球还有很长的路要走。,友谊赛 中国 足球 进球 体制 中国 足球
我大概看了下，确实精彩，就是缺少摄影设备，镜头有点少，但是村超能做得这么好，已经是难能可贵了，希望以后不要变质吧，支持村超,精彩 摄影 镜头 变质
"国足能被一个小小的村足按在地上摩擦（热度-民众热情），不反思一下自己是不是不太好，还有我想对某些人说“人民喜闻乐见,你不喜欢,你算老几?”",国足能 村足 热度 民众 热情 老几
你一个中超和村超比专业，你真是降低自己的水平了,中超和村 专业 水平
这已经学习不了了，因为他们根本就脱不掉自己那层皮。,层皮
剪辑世界第一,剪辑 世界
玩归玩，闹归闹，别拿国足碗里的海参开玩笑,国足碗 海参
很简单，村超那么多球队选一批精英出来，和国家队踢一场，我觉得大概率还是国家队赢,球队 精英 国家队 概率 国家队
村超是给热爱足球的人办的，不存在资本运营，仅仅是热爱，踢的好的，我们看的也欢心鼓舞，踢的不好的，也可以原谅，这和足协国足有什么联系一个专业的一个非专业的娱乐项目有什么可比的,足球 人办 资本 原谅 国足 专业 项目
专业开心就行了自视甚高只会被抛弃。,专业
