Unnamed: 0,content,Unnamed: 2,综合评分,type,情感type,主题概率,主题类型
1213,  座椅 说话 靠喊   后备箱 后备箱  储物  矿泉水 后箱  几个 密码箱 肯定 一点点 不稳 记得 大姨妈 小表弟 五个 哈拉 丝加 密码箱 塞进去 货车    两百多斤 胖子 轻轻松松 续航 隔音 车漆,,4.25,0,neg,"[(0, 0.015020784), (1, 0.97131824), (2, 0.013660962)]",1
1214,太久 三个 快点  系统 老公 系统 坐上去  动力  外观 家里 人口 每次 出去玩 曾厝 三个 第三个 坐在 感觉 拥挤 贴心  靠垫 第三个 坐上去 拥挤 续航 隔音 车漆,,4.13,0,neg,"[(0, 0.016746333), (1, 0.0152398), (2, 0.9680139)]",2
1215,提车 周期长 前前后后 四个 提车 内饰 味道   特别 选择 车型 原因 一家人 出行 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.035591986), (1, 0.028170343), (2, 0.9362377)]",2
1216,    双层 玻璃    系统 坐进 油耗  顶头 比同 级别 车型 稍微 一点 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.3501783), (1, 0.02982468), (2, 0.619997)]",2
1217,过程 整体 感受  地方 要说 异味 炭包 没什么 味道  款车 一点  异味 后悔 那种 容量 家用 大容量 载人 运货 异味 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.9592102), (1, 0.019799156), (2, 0.020990675)]",0
1218, 车门 打开 一股 厚重感  车门 显得 单薄 轻飘飘 提车 这么久 不足 气味 后备箱 久久 我家 那位 友好  有个 全景 天窗 视野 开阔 夏天 估计 续航 隔音 车漆,,3.75,0,neg,"[(0, 0.016219664), (1, 0.9667979), (2, 0.016982494)]",1
1219,备胎 开回去 几天 补胎 内饰 特别  清理 大屏  买车 几款 市面上 主流 荣放奇  中规中矩 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.023500035), (1, 0.02303775), (2, 0.95346224)]",2
1220,好像 试乘试驾 感受 到风噪 后备箱 犹豫 下单 想着 音乐 没什么 影响  异味  后备箱     垃圾 两个 背包  压抑 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.95977956), (1, 0.019902302), (2, 0.020318082)]",0
1221,地方 刹车 助力 继电器 异响 刹车 丝丝 烦躁 说不出 所以然 通病 重视 解决 简单    显小 动力 排放 一张 续航 隔音 车漆,,3.88,0,neg,"[(0, 0.9645618), (1, 0.017099591), (2, 0.018338613)]",0
1222,轮胎 电车 佳通 轮胎 地力     轴距 赶上 中型车  靠背 好评 长途 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.30382878), (1, 0.02535841), (2, 0.6708128)]",2
1223,时间 等的 焦灼 厂家 产能  乘坐  讨厌 轴距  随便 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.9230311), (1, 0.035650443), (2, 0.041318465)]",0
1224,提车 好几个 现车 多点    通顶 玻璃 明亮 大方 家人 出游 座椅  宝宝 开心 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.030088995), (1, 0.023844685), (2, 0.9460663)]",2
1225,稀烂 引擎盖 尾灯  尾门 螺丝 松动 掉落  乘坐 储物   太小 续航 隔音 车漆,,3.25,0,neg,"[(0, 0.029852651), (1, 0.93935215), (2, 0.030795198)]",1
1227,千里眼 功能 遗憾 希望 厂家 快速 解决 恢复 功能 芯片 一把 钥匙 备胎 长途 担心    车比 天壤之别  接受 乘坐  动力  续航 隔音 车漆,,5.0,0,neg,"[(0, 0.96397334), (1, 0.016452571), (2, 0.019574119)]",0
1228,地方 续航 稍微 续航 超过 七百多 公里   不稳  一家人 坐在 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.5987938), (1, 0.043184545), (2, 0.3580217)]",0
1229,月底 补贴 赶上   整体  颠簸 个子 续航 隔音 车漆,,4.0,0,neg,"[(0, 0.058453474), (1, 0.8948569), (2, 0.046689644)]",1
1230,提车 时间 稍微 有点儿 东西 得来     没得说  躺下来 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.9024929), (1, 0.0466777), (2, 0.05082939)]",0
1231,没钱 选择 买车 压力 车子 底盘 好像 包裹 护板   闪光点 特别 地方 特别 特别 右手边 挂挡 地方 东西 细节 很好 车上 发现 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9553274), (1, 0.021436166), (2, 0.023236442)]",0
1232,地方 感觉 发动机 陷入  平时 用车 不算 后备箱    功能 实用 平时 用车   续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9197664), (1, 0.041041937), (2, 0.03919166)]",0
1233,发动机 介入 发动机  听觉 冲击    座椅  家人 油耗  异味 超能 自驾游 不用 担心 行李 特产 放不下 续航 隔音 车漆,,4.38,0,neg,"[(0, 0.947499), (1, 0.030338028), (2, 0.022163058)]",0
1234,几点 中控 钢琴 烤漆 好容易 生灰 打理 备胎 内饰 坐垫 白色   讨厌 欣赏 不足 储物  前 小东西 放置  太小  打倒 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.32743216), (1, 0.019036815), (2, 0.6535311)]",2
1235,涨价 一点 听说 越来越 便宜 听说 越来越   地方 系统 体重 头部  续航 隔音 车漆,,4.75,0,neg,"[(0, 0.032638393), (1, 0.033891585), (2, 0.93347)]",2
1236,现车 排单 等候 周期 时间  整体 乘坐  颠簸  拥挤  顺便 床铺 出行 游玩 星空 续航 隔音 车漆,,4.13,0,neg,"[(0, 0.026937302), (1, 0.93740237), (2, 0.03566038)]",1
1237,发动机 声音 底盘 轮胎 声音  一米 驾驶 乘坐 拥挤 价格 看吧 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.03301641), (1, 0.24247833), (2, 0.7245053)]",2
1238,强制 保电 情况 速度 加到 噪声 发动机 持续 介入 情况 噪声 订车 周期长 上海 平均 七个 不足为奇 昆仑 战役 堆积 订单 剧增 明年 不送 绿牌 情况 很好 选择 周期长 劝退 理由 购买 版本 后续 升级 版本 支持 数字 哨兵 一大 遗憾    乘坐 体验 价格 双腿 不用 拘束 紧凑  续航 隔音 车漆,,4.38,0,neg,"[(1, 0.010613653), (2, 0.9814804)]",2
1239,内饰 有点 创新 实在 禁不住 耐脏 一个月 一个月 两次  前  理想 紧凑型 感觉 紧凑 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.9433491), (1, 0.027321352), (2, 0.02932955)]",0
1240,车子 内饰 凌乱    宽大 价格 三个 家用 妥妥 反正 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.9290569), (1, 0.03372232), (2, 0.037220765)]",0
1241,暂时 发现 唯一  现车 时间  胖子  压力   亮点 自动 巡航 变道 辅助 实用 乘坐   平面 三个  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.80066115), (1, 0.17230655), (2, 0.027032293)]",0
1242,时间 天长 足足 等待 接近 上车 接到 电话 当天 提车  系统 坐在 车上   后备箱 坐在  感觉   平时 孩子 瓶瓶罐罐 储物  整体 感觉  续航 隔音 车漆,,4.5,0,neg,"[(0, 0.61641574), (1, 0.02311671), (2, 0.36046755)]",0
1243,时间 漫长 昂贵 涨价   讨厌  坐上去 两拳 腿部  续航 隔音 车漆,,4.75,0,neg,"[(0, 0.92067534), (1, 0.038355302), (2, 0.040969368)]",0
1244,时间 提车  得益 车身 尺寸 轴距  后备箱   靠背 调节 轻松 葛优  座椅  二郎腿  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9455699), (1, 0.026574397), (2, 0.02785571)]",0
1245,时间 太久 车子 好开 提车 车管所 系统 提车 加快   乘坐  宽裕 地台 纯平 脚部    有待 提升 有点儿 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.8074707), (1, 0.024676213), (2, 0.1678531)]",0
1246,周期 内心 煎熬 估计 销售 小哥 头大 几天 电话 稍微 异响 售后 维修 解决  总体 感    孩子  续航 隔音 车漆,,4.63,0,neg,"[(0, 0.020778261), (1, 0.01992464), (2, 0.95929706)]",2
1247,时间 近半年      大高个 压迫感 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.89409846), (1, 0.05048102), (2, 0.05542052)]",0
1248,说实话 车子 提到 没到 天天 车子 时间  整体   车子 座椅 颠簸度 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.90723175), (1, 0.049179602), (2, 0.043588657)]",0
1249,车身 宽度 一米 八九 小区 停车位 邻居 两次  还好 父亲 公斤 平常   表现 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.9405483), (1, 0.030111402), (2, 0.029340316)]",0
1250,总体 表现  一辆车 瑕疵  乘坐  特别  坐在 不足 整体  感受  小东西  对得起 尺寸 定位 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9246078), (1, 0.032547336), (2, 0.042844858)]",0
1251,要说 地方 高速 感觉  市区 习惯 轮胎 品牌 不稳 厂家 高端 轮胎 效果 更好  系统  头部  富富有余 坐在  异味  轴距 坐在 腿部  距离 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.6187909), (1, 0.018700354), (2, 0.36250874)]",0
1252,一点点 顿挫 在意 敏感  马马虎虎 不大不小 凑合 反正 油耗 东西 续航 隔音 车漆,,4.13,0,neg,"[(0, 0.9342124), (1, 0.031568818), (2, 0.034218766)]",0
1253,地方 电机  车门 有异响   一米 系统  利用率 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.0454835), (1, 0.043512776), (2, 0.9110037)]",2
1254,座椅 耐脏 高速 耗电   后备箱 特别  一米 个子 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.041181248), (1, 0.037345845), (2, 0.9214729)]",2
1255,车子 减震 稍微 坑洼   不稳  平时 坐满 感觉 拥挤 续航 隔音 车漆,,3.38,0,neg,"[(0, 0.9086562), (1, 0.04247837), (2, 0.048865452)]",0
1256,底盘 滤震 刹车 距离 偏长 钢琴 烤漆 内饰 划花 阳光 照射到 内饰 折射光 导致 左侧 倒车镜 条形 光斑 标配 轮毂 改为 轮毂 完美 全景 天窗 机系统 有待 完善 比亚迪 经销商 贴膜 垃圾 方向盘 圆形  扶手箱 内部  有待 优化  腿部  续航 隔音 车漆,,4.38,0,neg,"[(0, 0.86590385), (1, 0.010212292), (2, 0.12388384)]",0
1257,提车 稍微 三个 好看 地方 提成 半年 幸运   出去玩 一家人 显得 拥挤  亮点  手机 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.036258947), (1, 0.038988035), (2, 0.924753)]",2
1258, 一大 败笔 底盘 偏低 护板 内饰 没得 无线 水杯 智商 钢琴 烤漆 贴膜 灰色 大街 颜色 交车 更慢 着急 建议 红色  家庭 乘坐 绰绰有余  野餐 东西 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.9701968), (1, 0.014920631), (2, 0.014882568)]",0
1259,地方 起步 发动机   车子 轴距 级别 车中 最长  乘坐  储物  很棒 有点  驾驶 扶手 东西 平时 抽纸 小包   平时 家用 随车 物品  二郎腿 不在话下 续航 隔音 车漆,,4.38,0,neg,"[(0, 0.33731708), (1, 0.64302707), (2, 0.019655822)]",1
1260,全景 影像 透明 实用 车子 安全系数  轴距  祈祷 一家人 出席 动力 感觉 不用 担心 乘坐 颠簸感 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.95107555), (1, 0.02409533), (2, 0.024829095)]",0
1261,没电 声音    家里人 更好 用车 环境   老婆 二郎腿 后背  紧凑 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.034450695), (1, 0.4418044), (2, 0.5237449)]",2
1262,地方 新车 内饰 异味 车子 启动 一股 电流  关键 后备箱 优势 头顶 天窗 车子 视线 特别 开朗   容积 规整 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.94785917), (1, 0.026506439), (2, 0.025634406)]",0
1263,感觉 发动机 有时候 启动 发电 声音 大会  紧凑型  算是 动力 前  续航 隔音 车漆,,4.75,0,neg,"[(0, 0.80014306), (1, 0.16772741), (2, 0.032129545)]",0
1264,座椅 颠簸度 感觉 那种 坐上去 软软 感觉 座椅 一点 更好  款车   后备箱 装载 能力  座椅  像是 一张 外出 游玩  座椅 休息 一会儿 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.018325265), (1, 0.016703462), (2, 0.96497124)]",2
1265,暂时 发现 停车 技术 不太好 尴尬  系统 体重 一百四十 感觉  颠簸 拘束 续航 隔音 车漆,,4.13,0,neg,"[(0, 0.027378283), (1, 0.028280865), (2, 0.9443409)]",2
1266,实在 提车 特意 四轮  调整 行驶 后备 面厢  灯光 还好 天上 照射 距离 晚上 高速行驶 视线 机会 改掉 刹车 不住 点力 刹车 感受  列入 改装 清单  乘坐  优秀 后备 不足 储物  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.013143799), (1, 0.013457708), (2, 0.97339845)]",2
1267,死角 高科技 多整 明白   油耗 超级 家用 油耗   周末 父母 出去玩  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.025967794), (1, 0.028256508), (2, 0.9457757)]",2
1268,价格 坚挺 时间   后备箱 家用 动力 平时 家人 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9146998), (1, 0.040230684), (2, 0.045069486)]",0
1269,价格 越来越 本来 价格 好几年 电费  家里人 个子 不算 五个 宽松 二郎腿 价格 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.023578236), (1, 0.023537084), (2, 0.95288473)]",2
1270,地方 整体 感觉  内饰 材质 系统 车太 油耗 小孩 磕碰 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.2756952), (1, 0.23762295), (2, 0.48668188)]",2
1271, 效果 是因为 尊贵型 双层 玻璃 困惑 希望 厂家 这款 单层  影响 用户 体验 门框 四周 密封 性能 后备箱 提升  下雨天 门框 下方 泥土 串入 胶条 不稳 影响 用车 感受 厚点 胶块 压紧 车身 材质 感觉 车身 减轻 车辆 重量 原因 希望 一块 发现 这车 缺点 希望 改善 朋友 购车 更好 用车 体验   宽大 级别 车要  亮点   总体 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.98598564)]",0
1272,排气口 低端   很小 东西  系统 坐在   很小 为啥    相比 一点 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.034823876), (1, 0.036191735), (2, 0.9289844)]",2
1274, 密封 效果 欠缺 模式 智能 保电 保电 每次 启动 手动 强制 保电      开车 小点 续航 隔音 车漆,,4.13,0,neg,"[(0, 0.022516986), (1, 0.9556863), (2, 0.02179677)]",1
1275,月份 车子 原本 年前 提到 车子 没到 导致 新年 新车 价格     束缚 感觉  好好 凸起 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9454796), (1, 0.027135454), (2, 0.027384954)]",0
1276,比亚迪 几个 发现   后座 价格  异味 用心 后背  后备箱 出门 自驾游 物件 能放 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9330367), (1, 0.036505107), (2, 0.030458217)]",0
1277, 震动  双层  玻璃 安静  颠簸度  整体   乘坐 压力  容积 平时 用车 需求 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.927211), (1, 0.039163083), (2, 0.033625938)]",0
1278,内饰 颜色 浅色 前期 美观 担心 后期 打理  长宽 轴距 长度 紧凑 名列前茅 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.95145756), (1, 0.022056604), (2, 0.026485845)]",0
1279,暂时 座椅 颜色 太浅 特别 耐脏 平时   坐在 驾驶 视线 特别  三个 成年人  两个 垃圾  座椅   好像 一张 休息 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.023312308), (1, 0.022347381), (2, 0.95434034)]",2
1280,车子   我个 坐在 局促    后备箱  略显   行李 堆放 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9261122), (1, 0.03550827), (2, 0.03837956)]",0
1281,这辆 整体 挺   感觉 很小 提成 时间 太长久  总体     太小 续航 隔音 车漆,,3.38,0,neg,"[(0, 0.042756107), (1, 0.041669063), (2, 0.9155748)]",2
1282,底盘 悬挂 过滤 细小 振动 不行 有时候 杯架  手机 无线 充电 地方  充电 功率 发热     不稳 东西 物帘 鸡肋 垃圾 物帘 一点点 稍微  一点 放得 车门 储物  不稳 门上 一瓶 一包  利用率 不稳 不太好 原厂 轮胎 刹车 性能 太行 后备箱 耐磨 高速 声音 不稳 车速 高速 车速 风噪 声音 近光灯 异味 远光灯 亮度 很够 关键 一点 不远 高速 体现 尤为 没车 开远 开近 区别   排放 座椅 两个 大人 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.16629167), (1, 0.37993687), (2, 0.45377144)]",2
1283,新车 等待时间 昂贵  一款 车子 车型 紧凑型     坐在 一款 车子 感觉      日常 超市 购物 储物 动力 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.034057893), (1, 0.027631916), (2, 0.9383102)]",2
1284,不多 发现 小毛病 胎噪和风噪 高速 音乐 声音 不住   无话可说  三个 成年人 不成问题 头部 腿部    续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9441356), (1, 0.027427787), (2, 0.028436586)]",0
1285, 升级 跟进 流量  乘坐   储物  油耗  家用 油耗 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.03726782), (1, 0.18176366), (2, 0.78096855)]",2
1286,内饰 浅色 弄脏 搭理 钢琴 烤漆 面板 划伤   讨厌   乘坐 满员 头部 腿部  颠簸 外出 游玩 两个 三个 躺平 休息 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.022436798), (1, 0.95702404), (2, 0.020539215)]",1
1287,昂贵 时间 部位 做工 有待 提升    家里 多斤 胖子 束缚 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.502606), (1, 0.030316839), (2, 0.46707723)]",0
1288, 长途 行李 特别 日常   没得说 五个 随便  打平 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.039805513), (1, 0.03710617), (2, 0.9230883)]",2
1289,销售价格 昂贵 推荐 服务   决对 想要 满满 科技 续航 无敌 油电 两用 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.95172125), (1, 0.022682587), (2, 0.025596168)]",0
1290,细节 地方 提升 细节 地方 工艺 不太好 细致 一点 完美    有点      续航 隔音 车漆,,4.25,0,neg,"[(0, 0.0414896), (1, 0.032255106), (2, 0.9262553)]",2
1291,时间 上市 出齐      排放 床用 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.055264305), (1, 0.047325503), (2, 0.8974102)]",2
1292, 时不时  头疼 不太好   特别  位置 自然 宽裕    坐下 三个 成年人 身形 瘦小 一排 随便 二郎腿 随便  媳妇儿 个觉 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.9562138), (1, 0.020684885), (2, 0.023101337)]",0
1293,新车 异味 散味 稍微 接受   充足 一家 四口 日常 购物 全家 出游 绰绰有余 后座 宝宝 显得 拥挤 活动  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.46304166), (1, 0.018706078), (2, 0.51825225)]",2
1294, 稍微 一点点 稍微 一点  一米 个子 坐在  腿部 二十 公分 样子 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.049268812), (1, 0.04428822), (2, 0.90644294)]",2
1295,车子  停车 全景 影像 还好 一点   挺 平时 放放 东西 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.049781892), (1, 0.042908672), (2, 0.9073095)]",2
1296,销售 手段 高明 销售 手段 高明 套路 永州 福迪 比亚迪   价位 相比 品牌 比亚迪 汽车 实惠 性能 更好 续航 隔音 车漆,,4.0,0,neg,"[(0, 0.01893829), (1, 0.018323012), (2, 0.9627387)]",2
1297,续航 一点 油耗   动力 续航  放到 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.047130678), (1, 0.040751282), (2, 0.9121181)]",2
1298,一款 版本 驾驶 腰部 支撑 副驾驶 更是 基础 四向 调节 实在 无力  很好 包裹 长时间 乘坐 出行 颠簸感 内饰 钢琴 烤漆 面板 沾染 指纹 磨花 时间 难看  车身 尺寸 紧凑型 优势 轴距 多毫米 系统  腿部  两拳 有余 放松  地板 平整 横向 宽度 三个 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.98086506)]",0
1299,冬季 续航 打折扣 上海 气温 几次 满电 公里 公里 暖风 音乐 夏季 电耗 一体式 座椅 感觉 开车 价格 背部 凹陷 承托 电动 调节 前倾 后仰 调节 友好 开车 感觉 座位 价格 坐车 感觉 座位 价格 杯托  不合理 只能 两瓶 矿泉水 咖啡 奶茶 两杯 放不进   亮点 排座位 角度 三档 调节 乘坐  乘坐   三个 拥挤 家人 乘坐 评价 座位 价格  续航 隔音 车漆,,4.25,0,neg,"[(1, 0.9855627)]",1
1300,里程 太短 充满 显示 公里 切换 保电 理论值 公里 电池 冬天 衰减 空调 公里 电量  整体     较大 垃圾  日常 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.01729022), (1, 0.64755857), (2, 0.33515114)]",1
1301,没法  震动 不稳 后座 把手 放在 靠背 感受 接受 开车 媳妇儿 两个 毛病  概率 震动 影响 震动 感受 不稳 明白  系统 体重 座椅 最低 调整  后备箱  两个   不稳 一点 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.553432), (1, 0.014645631), (2, 0.4319224)]",0
1302,电动 尾门 力气 自动 手动 不太好 磨合 技巧   动力    容积 出去玩 行李 动力 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9461406), (1, 0.028848808), (2, 0.025010562)]",0
1303,轮胎 品牌 低端 驾驶 静音  宽体 宽度 不到 轴距 同级 里边 整体  价格 流线型 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.023904206), (1, 0.022320297), (2, 0.95377547)]",2
1304,款车 提车 周期 两个 多月 提到  这辆  看车  太乱 拍照片  能放 两个 前边  动力  开车 颠簸 续航 隔音 车漆,,4.5,0,neg,"[(0, 0.7504263), (1, 0.02976077), (2, 0.21981294)]",0
1305,异味 唯一 值得 一点 时间   很棒 乘坐  充足 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.91456604), (1, 0.04073306), (2, 0.044700954)]",0
1306,特别 做工 有待 提高 不足 小异   宽裕  尾箱 稍感 小点     整体 大气   续航 隔音 车漆,,5.0,0,neg,"[(0, 0.93900186), (1, 0.031240162), (2, 0.029757991)]",0
1307,异味 太省 了开 三千 公里 三百多元 电费 燃油 车比 十倍  车身 轴距 动力 乘坐  是够 地方 车身 腰线 是从 前往 一路上 趋势 导致 车窗 面积 坐在  视野 稍微 压抑 不足 储物格 储物  小东西 顺手 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.9774739), (1, 0.011126413), (2, 0.011399613)]",0
1308,减震 减速带 价格 内饰 颜色 浅色 耐脏  轴距 摆起 轴距 车子  特别  坐起 价格 家人 乘坐 评价 座位 价格 柔软 家里人  续航 隔音 车漆,,5.0,0,neg,"[(0, 0.020063492), (1, 0.01824728), (2, 0.96168923)]",2
1309,副驾驶 储物 太小 放不下 东西 气温 零下 掉电 五十多 公里 切换  乘坐  表现  座椅 坐垫 长度 合适 特别 颠簸 轿车 有种 板凳 感觉 网传  座椅 漏风 不稳 情况 开车 提前 预热 车辆 感觉 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.013448238), (1, 0.97308654), (2, 0.013465208)]",1
1310,高速 用电 稍微 充电 速度 快点   没得说 平时 油耗   续航 隔音 车漆,,4.88,0,neg,"[(0, 0.03569442), (1, 0.033984214), (2, 0.93032134)]",2
1311,底盘 悬架 连续 坑洼 余震 车身 震动 停止下来 走烂 路会 感觉  车身 轴距 两米   充足 特别 储物格 放下 随身 物品  后备箱 能装 座椅 比例  做人 容积 扩展 续航 隔音 车漆,,4.75,0,neg,"[(0, 0.40965), (1, 0.5765291), (2, 0.013820906)]",1
1312,异味 太省 了开 三千 公里 三百多元 电费 燃油 车比 十倍  车身 长度 五座 适合 一家人 乘坐  可坐  续航 隔音 车漆,,4.75,0,neg,"[(0, 0.9603897), (1, 0.019484034), (2, 0.020126324)]",0
1313,价格 混动 发动机 介入 一点  质感   家里 爸妈 退休 想着 往外面 一家人 显得 拥挤  地板 纯平 上下车 续航 隔音 车漆,,4.25,0,neg,"[(0, 0.9514091), (1, 0.023801567), (2, 0.024789358)]",0
1314,灵敏 车子 说起 坐下  头部 车顶 一拳 距离 小东西   每次 出去玩 放下 行李 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.9367007), (1, 0.030846104), (2, 0.03245319)]",0
1315,暂时 选择 款车   没得说 油耗 老婆 抱怨   乘坐 颠簸 一家人 出行 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.03407934), (1, 0.032169282), (2, 0.93375134)]",2
1316,低配 电动 尾厢 车道 辅助 功能  后箱  后备箱  座椅 放平  乘客 感受 拥挤  座椅 平面 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.947866), (1, 0.029196678), (2, 0.022937272)]",0
1317,安装 充电 特别 耽误时间 充电站 充电 一个多 小时 充满     后备箱 五个 一点 拥挤 续航 隔音 车漆,,4.38,0,neg,"[(0, 0.02501864), (1, 0.9479652), (2, 0.02701618)]",1
1318,不稳 时间  整车      续航 隔音 车漆,,5.0,0,neg,"[(0, 0.8574163), (1, 0.070269614), (2, 0.07231409)]",0
1319,周期 稍微 希望 厂家 重视 买车 昂贵政策   储物  小东西 存放 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.9342446), (1, 0.030248342), (2, 0.035507105)]",0
1320,内饰 新意 用料  比亚迪 车型 相差 感觉 保守  前 座椅  储物  放下 物件 车门 储物格 中央 扶手 中控台 隐藏 储物板 放置 手机 充电 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.62557864), (1, 0.016657827), (2, 0.35776356)]",0
1321,  小宝贝 门带 东西  孩子 出门 东西 多一些  拥挤  续航 隔音 车漆,,4.88,0,neg,"[(0, 0.0394388), (1, 0.036529712), (2, 0.92403144)]",2
1322,家用车 合适 日常  视觉 感上 特别 车身 一家人 出游 不成问题 存放 东西  充足 日常 家用 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.63565433), (1, 0.02274362), (2, 0.34160206)]",0
1323,价格 坚挺 一分 昂贵 礼品   小车 原因  异味 续航 隔音 车漆,,4.88,0,neg,"[(0, 0.93564725), (1, 0.029872933), (2, 0.034479786)]",0
1324,啥子 地方 车子 流畅 线条 车子 整体 一项  车子 内部  平时 上下班 还好 地方 平常 物品 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.94267815), (1, 0.028288204), (2, 0.029033694)]",0
1325,时间 两个 多月 时间   表现  级别 车型  前列 紧凑型 感觉  续航 隔音 车漆,,5.0,0,neg,"[(0, 0.90882707), (1, 0.044675477), (2, 0.04649749)]",0
1326,时间 太久 等的 裂开 还好 失望 异味 难受   紧凑型 越野车  异味   亮点  超级 价格 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.94928724), (1, 0.023605393), (2, 0.027107427)]",0
1327,地方 内饰 颜色 提车 时间   油耗 唯一  小点 续航 隔音 车漆,,4.38,0,neg,"[(0, 0.9074851), (1, 0.04133885), (2, 0.051176064)]",0
1328,两个 拿到 一种 折磨 转头 好事多磨 释然  车子  自然 个子 猴哥 身板 估计  续航 隔音 车漆,,4.38,0,neg,"[(0, 0.94923496), (1, 0.024535721), (2, 0.026229309)]",0
1329,车辆 行驶 过程  一点点 这辆  效果  平时 用车 上下班 接送 客户 车子  一点 大气 一点 客户 价格 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.9480848), (1, 0.024498718), (2, 0.027416503)]",0
1330,地方 提车 国产车 一个月   有时候 工程车 东西 一趟 拉完 续航 隔音 车漆,,4.38,0,neg,"[(0, 0.05188286), (1, 0.04089904), (2, 0.9072181)]",2
1331,日常 出行 这方面 表现 很好 反正 目前为止 配置 还算    家庭 用车 丝毫 拥挤  选择 台车 原因 续航 隔音 车漆,,4.63,0,neg,"[(0, 0.02456014), (1, 0.020200834), (2, 0.95523906)]",2
1332,款车 不太想 挑毛病 欣然接受 干嘛 挑刺  平时 开车 上下班 平时 吃饭 用车  后备箱 符合 车子  需求  动力 东西 出去玩 朋友 没什么 特别 东西 续航 隔音 车漆,,5.0,0,neg,"[(0, 0.02148709), (1, 0.01910349), (2, 0.9594095)]",2
