关键词,标题,提问时间,提问内容,地方,官方答复,答复时间,提问内容_positive_probs,提问内容_negative_probs,官方答复_positive_probs,官方答复_negative_probs
病毒,私搭乱盖鸽子粪便污染 ,2022-06-21 17:06, 望区委政府考虑居民的健康安全，拆除该违章建筑。该违建存在以下隐患： 1.违建顶部存有大量鸽粪，造成环境污染极易散播病毒的可能！ 2.该违建积攒有大量废物极易发生次生火灾隐患 3.该违建极易攀爬，给违建上层居民带来了失窃的概率大大增加,留言对象：天津市委书记陈敏尔,您好！收到您的留言后，属地街道工作人员与房主取得联系，要求进行整改。目前护栏已拆除，护栏内杂物已清理。针对窗檐上有鸽粪的情况，街道协调小区物业对其进行清理，已于7月1日下午清理完毕。感谢您对我们工作的理解，祝您生活愉快！,2022-07-13 14:37,0.0027,0.9973,0.6839,0.3161
病毒,防疫政策中，县(市、区、旗)应如何界定,2022-06-06 15:00,"北京市防疫政策中，14日内有1例以上(含1例)本土新冠病毒感染者所在县(市、区、旗)旅居人员严格限制进返京。其中的所在县(市、区、旗)应该如何界定？
比如，对于直辖市，县(市、区、旗)在行政级别上对应的是街道，还是区？",留言对象：北京市市长殷勇,您好，针对您所叙述的问题，已与您电话沟通，感谢您对我们工作的理解与支持！,2022-06-07 14:59,0.2278,0.7722,0.9688,0.0312
病毒,黑车占据大港油田市场,2022-03-30 10:38,天津市滨海新区大港油田，一些非交通从业者参与交通有偿运营，在疫情当前，没有场所码私自载客，安全隐患令人堪忧。谁也不知道谁是不是病毒的载体，希望领导尽快制止这种行为。为了天津滨海新区疫情管控的防范共同努力！谢谢,留言对象：天津市滨海新区区委书记连茂君,"尊敬的网友：
    您好。您在人民网上给书记留言，反映私家车运营管理的问题，区交通运输局领导高度重视，立即责成相关部门认真调查，现将有关情况答复如下：
    经核实，工作人员已与您电话沟通,关于您反映的“一些非交通从业者参与交通有偿运营问题”，经查，有“顺风车”拼车运营现象，疫情期间执法人员将加大检查宣传，做好司机及乘客防疫防控工作。
    特此回复。感谢您对我们工作的关心与支持。
",2022-04-06 11:18,0.0076,0.9924,0.4502,0.5498
病毒,情况反映,2022-02-27 12:39,因2022年2月27日早上，给娃约了新型冠状病毒第二针疫苗，预约时已告知第一诊是兰州生物，结果打打完是北京生物。打完诊后我向他们咨询时他们工作人员态度恶劣。个人认为有欺骗行为。望领导给予协助。谢谢,留言对象：陕西省西安市委书记方红卫,您好！ 根据新冠疫苗接种方案，兰州生物和北京生物制造的新冠疫苗均属于生物所同工艺生产的同种灭活疫苗，疫苗原液都是一样的，只是外包装分包装不同而已，兰州生物是生物集团兰州分公司分包装的，北京生物是北京生物公司分包装的。您孩子第一针接种兰州生物新冠疫苗，第二针接种北京生物新冠疫苗是没有问题的。 就接种工作人员服务态度恶劣，未向您告知疫苗接种相关事宜这一情况，我们已经联系相关单位负责人，对该名工作人员给予停职处理，同时对全科室人员进行业务培训，严格要求工作纪律，杜绝此类事件再次发生。 对您带来的不便，敬请谅解。 感谢您对我们工作的大力支持！希望您继续关注、监督我们的工作。 经 办 人：杨 洋 联系方式：15353776709 联 系 人：马鲜萍 联系方式：02989388832,2022-03-04 17:41,0.0093,0.9907,0.877,0.123
病毒,规划的垃圾转运站去哪儿了,2022-02-11 06:37, 我是天阅西山小区业主。近日现发现原规划中的垃圾转运站不见了，垃圾都堆在垃圾桶周围，无法及时转运，容易在疫情期间传播病毒细菌！请城管部门尽快督促他们按原规划设置垃圾堆，原规划为1号商业楼（居委会）北侧！,留言对象：北京市海淀区委书记王合生,您好，您所叙述的规划的垃圾转运站去哪儿了问题经与西北旺镇部门核实，现答复如下：垃圾清运由物业统一管理，社区居委会一直在督促物业进行整改，建立垃圾转运场。对于涉及垃圾未及时清理，社区也每日安排专人进行巡视，出现问题立即督促物业整改。感谢您对海淀区建设和管理的关心与支持。,2022-03-08 11:21,0.0129,0.9871,0.0313,0.9687
病毒,南安市美林街道江北大道学府一号深夜施工,2022-12-29 00:58,现在是2022年12月29日凌晨，学府一号工地依旧在施工。一直发出咚咚咚的声音，我因为感染病毒，近几日均因该工地无法得到正常的休息。今夜工地上又传出高空抛物的声音，心脏真的受不了，多次反馈12345均没有处理结果，望市长能够督促整改,留言对象：福建省泉州市市长蔡战胜,"网友：
      您好，欢迎给泉州市人民政府蔡战胜市长留言！您留言反映的“南安市美林街道江北大道学府一号深夜施工”的事项，泉州市南安市美林街道办事处进行了调查处理。
      据泉州市南安市美林街道办事处调查了解，经与中骏学府一号施工方协调沟通，施工方已按南安市相关部门规定的时间施工，并拔通电话告知您，您也表示近几天中午晚上未发现超时施工现象，对于该处理结果表示满意。
      谢谢您对城建工作的理解与支持!
（承办单位：泉州市南安市美林街道办事处）",2023-01-28 17:23,0.0046,0.9954,0.9542,0.0458
病毒,投诉黄泥街商住楼一楼垃圾堆,2022-10-03 07:06,投诉黄泥街商住楼80*住户，利用自管物业的便利，现要楼上的居民每天把生活垃圾丢弃在我门口，造成我门面前环境恶劣，垃圾成堆，长沙每天高温38度，这里苍蝇到处飞舞，臭气熏天，极易传播病毒和细菌，此人行为已经违法，望有关部门领导看到能及时回复和处理。,留言对象：湖南省长沙市芙蓉区委书记,"网民：
您好！留言已收悉。经了解，该处垃圾已进行清理。街道将组织相关业主、物管人员共同商讨此处垃圾清运问题。感谢您对我们工作的关心、监督和支持！祝您生活愉快！
                                                       芙蓉区定王台街道办事处
                                                                2022年10月18日
",2022-10-18 10:04,0.0033,0.9967,0.407,0.593
病毒,还我们一个干净整洁安全的居住环境,2022-09-01 08:40,宝安区西乡街道悦和路劳动社区管辖范围内十字路口占道乱摆卖，无牌照，杀鸡宰鱼严重影响环境卫生，也会引起细菌病毒的传播。已经投诉很久了，希望能彻底根治，还市民一个干净整洁的生活环境，请领导帮我们处理一下,留言对象：广东省深圳市委书记孟凡利,"您好，您的留言收悉。我街道已于9月18日上午组织执法人员前往悦和路中信湾上六座小区门口（悦和路与悦和四街）进行核查，暂未发现乱摆卖等违法现象。
下一步，我街道将加大巡查力度，在乱摆卖高发时段定点蹲守，严格执法、及时整治，确保乱摆卖不回潮。
感谢您的留言，祝您生活愉快。",2022-10-16 16:20,0.0245,0.9755,0.4953,0.5047
病毒,海珠区立新街垃圾满街,2022-08-31 20:57,近几年海珠区新港西路立新街两旁全天生活，餐余，布匹废料垃圾满地，处于监督管不力，老鼠蟑螂到处可见。目前是新冠疫情防控期间，垃圾都丢在路上，随风飘散，随雨漂移，有传播病毒风险。希望有关部门拿出措施严格管理，还市民一个干净的生活环境。,留言对象：广东省广州市市长郭永航,"网友：
        您好！您在人民网的一则留言收悉。广州市海珠区人民政府新港街道办事处回复如下：
        我街立即安排工作人员到现场处理。该位置是立新街路段，由于周边是布匹市场，有较多商户及流动人员，造成该路段经常出现垃圾乱丢弃的问题。我街环卫工人白天时段已对该位置进行常规保洁，另安排环卫工人晚上在附近商户下班后，对上述路段进行一次全面清理。环监所工作人员再次对周边商户进行教育，引导做好垃圾分类投放工作。
        感谢您对我们的理解和支持！",2022-09-19 15:56,0.0056,0.9944,0.8116,0.1884
病毒,求助领导帮忙约束小区疯狗,2022-08-05 14:19,"小区有几条疯狗，动辄对人吼叫狂吠，多次袭扰儿童，已然结成小团队，由一条黄狗带头，狂吠。
和物业多次反馈，都没有处理，这几条狗已经在小区流浪一年以上。由于无主，必然携带狂犬病毒。
长此下去，小区儿童安全问题堪忧。
望领导督促有关部门企业尽快处理。谢谢",留言对象：河南省许昌市委书记史根治,"　　您好，留言收悉，现回复如下：
　　接到留言后，区公安局指令许由派出所联合特警大队，出动10多名警力，携带专业捕狗设备，对幸福花城小区流浪狗进行治理。经对小区及地下车库搜寻，未发现流浪狗踪迹。经询问物业和居民，近几日未再发现流浪狗在小区出没。区公安局民警提示并告知物业及居民，如若再发现流浪狗出没，可报警处置。
　　区公安局工作人员多次拨打留言人电话未接听，已短信告知其工作情况。",2022-08-19 16:52,0.0061,0.9939,0.0287,0.9713
病毒,流浪猫管理,2022-07-23 22:51,佛山市南海区桂城街道丽致尚筑小区内，流浪猫很多出没在垃圾堆和楼下门口，半夜总有猫叫扰民，且有伤害安全和狂犬病毒传播隐患，投诉到物业处只贴了张告示，无任何作用。希望有流浪猫管理或收养所能把流浪猫带走。感谢,留言对象：广东省佛山市南海区委书记,南海区桂城街道办事处：夏北社区：接诉后，夏北社区工作人员与丽致尚筑小区物管了解情况，发现丽致尚筑小区附近有多栋空置高层建筑，且丽致尚筑部分住户存在喂养行为，导致越来越多流浪猫聚集该小区。社区工作人员约谈丽致尚筑小区物管负责人，严格要求物管方在小区进行多种形式宣传引导，呼吁、引导居民理智对待流浪小动物。让居民不要弃养宠物猫，不喂养流浪猫。逐渐改变小区居民的日常生活习惯，不乱扔废弃食物，清理垃圾收集点的卫生，断绝食物来源。同时督促物业加强巡查和保洁，保持环境卫生。,2022-08-03 09:50,0.0905,0.9095,0.0168,0.9832
病毒,宏府物业占用消防通道建垃圾处理平台,2022-06-07 11:43,宏府物业占用E2楼和E10漏中间的消防通道堆放和处理小区生活垃圾，导致消防道路占用，泔水横流，异味刺鼻，严重影响旁边楼层居民生活，夏季来临加之疫情当下细菌滋生，给小区带来巨大的病毒传播隐患。建议将垃圾堆放和处理转移居住区域。,留言对象：陕西省西安市莲湖区委书记,"网民朋友：
您好！
您反映的问题，经莲湖区枣园街道办事处调查，现回复如下：
经了解，因小区业主数量较多，生活垃圾日产量较大，物业根据小区现有情况，选取临时场地用于垃圾中转。街办已要求物业就小区垃圾中转场地选址问题广泛征集民意，在民意结果最终办法未出台的过渡阶段，对各楼前垃圾桶继续采取不集中收集堆放方式，实行日常分散放置于各楼前，在集中清运前半个小时统一运送到该处装载。同时，已督促物业在装运后及时清洗垃圾桶及地面，并第一时间将垃圾桶放回各楼前。
下一步，街办将持续关注该问题，督促物业加强日常巡查，提升物业服务水平。
",2022-06-15 17:33,0.0093,0.9907,0.0049,0.9951
病毒,公立机构核酸价格超标,2022-05-12 15:26,我于2021年5月12号在大连市高新区七贤岭社区服务中心进行核酸检测被告知要求支付35元核算费用，根据政府发布我省公立医疗机构新冠病毒核酸检测最高限价为19元，该机构已经严重超标，并声称未接到任何通知。请领导明视。,留言对象：辽宁省大连市委书记胡玉亭,       网友您好，留言收悉。我们非常重视您的诉求，第一时间进行调查核实。5月18日，工作人员已将核酸检测费用相关情况向您进行了解释说明，感谢您对我们工作的理解与支持！,2022-06-15 09:25,0.016,0.984,0.9644,0.0356
病毒,擅自饲养鸽子，严重扰民,2022-05-09 09:50,尊敬的领导，您好！天河区兴科路368号广州化学研究所5栋301在楼顶违规搭建鸽子笼，鸽子四处乱排便，恶臭难闻，多次投诉仍没有得到解决，现疫情期间，鸽子粪便到处都是无人清理，极易传播病毒，望相关部门关心百姓疾苦，彻底解决这个问题！,留言对象：广东省广州市天河区委书记,"网友:
          你好，你的留言已收悉。现将处理情况回复如下:
          关于天河区兴科路368号广州化学研究所5栋301（以下简称“该单元”）在楼顶违规搭建鸽子笼严重扰民等问题，我街组织执法办联合物业负责人到现场调查核实，经核实，该单元楼顶未发现搭建鸽子笼，周边飞来的鸽子为自来鸽子，不属于该单元业主所有。对此，我街执法办已要求物业加强驱除力度，避免鸽子四处乱排便，保障周边环境卫生。
          下一步，我街将持续跟进，与小区物业负责人保持良好的沟通，及时反馈情况，管理过程中不断加以完善提高，为小区业主提供良好的生活环境。感谢你的宝贵留言！
  
",2022-06-14 09:53,0.0021,0.9979,0.0569,0.9431
病毒,张家港市地方14天隔离政策,2022-03-21 14:58,苏州市张家港市对低风险不带星号外来人员实行3天居家检测，11天健康追踪，14天隔离政策，此轮病毒传染性强隐藏周期长，隔离政策我们也理解，隔离结束后外出返回还要实行14天隔离，这给我们外地通勤人员带来较多不便。,留言对象：江苏省委书记信长星,张家港回复：尊敬的网友，您好！为深入贯彻落实“外防输入、内防反弹”总策略、“动态清零”总方针，进一步做好新冠肺炎疫情防控工作，坚决防范输入风险，全力保障市民健康，根据《苏州市疫情防控2022年第62号通告》、《张家港市疫情防控2022年第6号通告》要求，3月14日起，我市对有国内中高风险地区所在城市旅居史的来（返）苏州人员（行程码带*），严格实行“7+7”健康管理措施，即7天居家健康监测+7天跟踪健康监测，第1、2、3、5、7、10、14天各进行1次核酸检测；对除此之外的市外来（返）苏州人员，严格实行“3+11”健康管理措施，即3天居家健康监测+11天跟踪健康监测，第1、2、3、5、7、14天各进行1次核酸检测。因您手机号码155*****353提示为空号，无法与您解释上述疫情防控措施，并对因疫情防控给您带来的不便表示歉意！当前，疫情形势依然严峻，防控一刻不能松懈，我们建议广大市民“非必要不离开苏州”，切实增强防疫意识、遵守防疫要求、配合防疫管理，做自己健康的“第一责任人”，争取早日取得抗击疫情的全面胜利。,2022-03-23 15:23,0.1446,0.8554,0.6397,0.3603
病毒,5A级旅游景点（振成楼）如此恶劣的垃圾环境,2022-02-16 13:45,1.看到此图可以看出，垃圾堆成山，影响通行道路。2.垃圾设置堆放点不对，是村民通行道，也是游客的通行路。3.垃圾长期堆放，滋生细菌病毒，现在疫情如此严重，垃圾堆在村民门口，严重影响生活。望领导重视并让相关部门快速处理问题。为村民办事。感谢,留言对象：福建省龙岩市委书记余红胜,"网友：
        您好！欢迎给龙岩市委书记留言。您留言反映“5A级旅游景点（振成楼）如此恶劣的垃圾环境”的事项，福建省客家土楼旅游发展有限公司、永定区湖坑镇人民政府进行了调查处理。
        经核实，福建土楼永定景区环保服务项目于2022年2月16日起正式由福龙马集团股份有限公司接管负责，当前正处于工作衔接阶段，而且土楼景区为民居型旅游，部分区域（含楼院）的保洁人员未及时聘用，一定程度存在部分区域清扫不够及时、垃圾堆放不规范的问题。目前，福建省客家土楼旅游发展有限公司责成福龙马集团股份有限公司进行垃圾清扫、运载，并对垃圾堆放点进行了调整优化。经湖坑镇人民政府巡查核实，您反映的环境问题已整治处理到位。下一步，将针对洪坑村土楼景区环境卫生，加强巡查和监管，维护干净、整洁、有序的景区环境。
        感谢您对福建省客家土楼旅游事业的关心和支持！",2022-04-03 10:05,0.0154,0.9846,0.3358,0.6642
病毒,希望司法考试能在市（州）设立考区,2022-09-06 14:52,司法部发布2022年国家统一法律职业资格考试公告，明确客观题考试时间为9月17日、18日。目前吉林省共设长春、吉林两个考区，受疫情防控政策影响，2022的司法考试提出了“三天两检”政策，即在首场考试考前72小时内，到考区所在地（长春市或吉林市主城区内）具有新冠肺炎病毒检测资质的医疗机构或者检测机构进行两次新冠病毒核酸检测，两次核酸采样时间间隔须达到24小时以上(以采样时间为准)，两次核酸检测结果须均为阴性。导致许多非长春、吉林的考生需要提前3天入住长春或吉林，不仅造成了工作与生活上的负担，对前去考试人员而言也存在风险。希望能够在吉林省其他市（州）设立考点，为广大考生提供便利的环境，同时减少人员流动。,留言对象：吉林省委书记景俊海,网友，您好！您的留言已转相关部门办理，请保持您的联系方式畅通，将有工作人员通过电话向您解释说明。感谢您对我们工作的关注与支持！,2022-09-28 09:43,0.0596,0.9404,0.9913,0.0087
病毒,居民楼下放满垃圾桶,2022-07-08 18:02,"尊敬的领导：
       您好，我是西安市浐灞生态区锦绣天下三期19号楼的业主，小区内的垃圾桶在今年四月份开始全部放置于19号楼楼下，夏日炎热，垃圾污染，味道熏人，疫情当下，病毒满满，造成住户无法正常生活，家里还有刚出生的小孩，完全不能居住，蚊虫老鼠，向物业询问一直未得到解决，一直声称是因为有领导检查，临时摆放，难道我们就不是小区里了么，就可以随意当作垃圾场呢？居民连正常生活的权益都没有了。可是已经放在楼下2个多月，现在天气这么热，去年就有过这种情况，多次反映无果，12345也多次反映，依然没有处理。小区刚开始没有规划垃圾站，现在就把我们19号楼当垃圾场，这让人如何生活，疫情还这么严重，这难道没有病毒么？希望可以尽快得到解决！ ",留言对象：陕西省委书记赵一德,您好，您提交的诉求已收悉，经调查核实，现答复如下：一、 经核查，您反映的情况如下。 （一）基本情况 您反映锦绣天下3期小区无垃圾中转站一事。 （二）办理情况 经核实，浐灞生态区湿地产业园第一时间联系社区及物业公司，物业公司负责人表示已将19号楼垃圾桶全部搬离，不存在在此堆放。物业公司已于11月1日与业主代表、社区、地产公司、派出所等对该问题组织协调会具体协商沟通，沟通结果基本定为在小区建设垃圾中转站，具体的建设费用由地产公司出资，地产公司对出资建设费用不认可，目前物业公司与地产公司正在积极沟通。 二、下一步工作 浐灞生态区湿地产业园将持续关注。2022年11月14日15：00已联系市民告知处理结果。感谢您的咨询！若您对此仍有疑问，可联系西安市12345热线咨询。,2022-11-15 15:40,0.003,0.997,0.8207,0.1793
病毒,请相关部门考虑尽快恢复全市健身房运营,2022-04-24 13:31,"成都零星疫情以来，通过行政命令关闭了几乎全市健身房，导致人民群众不得不面临无处强身健体的困难。在新冠肆虐的大环境下，对抗病毒除了现有措施、提高全民免疫力对于抗击疫情也非常重要。且并未有证据表明在健身房环境下病毒传播概率高于目前尚未被封闭的餐饮等其他服务，一刀切关闭健身房或仅是形式主义的符号。
另一方面在转内需的大环境下，促进消费对整个社会面恢复对尤为关键。而在新冠疫情下，健康相关的消费本就是刺激居民消费的重要一环，在零星疫情下长达近一月的封闭压抑了群众的健康消费开支。
综上，请相关部门考虑尽快恢复全市健身房运营，并在未来审慎进行全市无区别的健身房封禁。",留言对象：四川省成都市市长王凤朝,"网友您好：来信收悉，首先感谢您对成都体育事业发展的关注与支持，现就您的来信回复如下：
经了解，根据当前疫情防控形势，全市各区（市）县疫情防控指挥部已在制定工作实施方案，部分区（市）县已经出台，用于指导属地健身场所有序恢复经营。具体要求请按照各区（市）县疫情防控指挥部相关通知执行，若有疑问，可咨询属地区（市）县体育行政部门。
感谢您对成都体育事业发展的关注与支持。
",2022-05-09 14:13,0.0667,0.9333,0.9937,0.0063
病毒,新形势下的新冠疫情防控建议,2022-04-11 10:52,"      马鞍山地处长三角经济圈、南京都市圈范围内，毗邻交通繁忙的禄口机场和南京、芜湖两大快递物流集散中心，自从2020年初新冠病毒爆发以来，时刻面临着新冠病毒及各类变异株的外防输入压力。在市政府的有力组织和领导下，克服重重困难化解了一次又一次的辖区内大范围传播的风险。
      本次的新冠变异株-奥密克戎，与历往的变异株相比，传染性更强、传播速度更快、感染后症状更不容易被人体察觉。造成可能社会面发现症状明显的阳性患者时，社会面已产生大面积的交叉型无症状感染者。造成再次防控的难度更大、防疫成本更高、地区经济发展的影响更严重。
      本次的上海奥密克戎疫情的爆发提醒人们，发现病例时的疫情扩散程度决定着接下来防控的难度。疫情扩散程度与防控难度呈指数型正相关。这次变异株的广泛传播，我们仍然无法预判持续时间。如果长期持续下面，依靠历往的防疫策略，难度越来越大，经济影响深刻。
      这种情况下，越早发现病毒显得尤为关键和重要。
      是否可以考虑以下措施：
      1、核算检测的准确性受技术层面和操作层面制约。在国家层面，继续研究现有核算检测技术的准确性，提高技术层面的准确性；地方层面，复盘总结，研究并提高检测操作的准确性；
      2、仍然坚持动态清零总体防疫政策。但，改变以往的防疫方式。以往发现后再行动，我们把这种方式比喻成“报警式”；对人群阶段性三联核检，我们把这种方式比喻成“巡警式”；“报警式”+“巡警式”相结合，定期全员核检（建议一个月一次），争取早发现，早动作，这样虽然一定程度的增加防疫成本，但大大降低大面积无症状隐性传播的风险，提高防控精准度的同时对全市经济发展的影响更小。 
      3、加快新冠特效药进度；考虑奥密克戎毒株疫苗研发。
      4、考虑到外来物质所携带的病毒风险性，应加大对风险物质的检测力度。
      5、考虑到外来风险物资携病毒传播的不确定性和防控难度，建议放开检测门槛，鼓励市区全民自检。在遵守防疫政策的情况下，阳性患者自检自报给予一定奖励。（自检阳性者，专门检测部门再复核和下一步防控）
      6、对易感人群和可能的重症人群，扩大医疗养护基础建设，疫情过去后，持续的人口老龄化也需要完善这类医疗养护建设。
      7、加强落实层主体责任，防疫政策灵活一分，地区经济活力就增加十分。",留言对象：安徽省马鞍山市市长,"        尊敬的网友，您好！您提出的疫情防控的相关建议，马鞍山市人民政府高度重视，要求市卫健委认真调查，现将有关情况回复如下：
        目前，马鞍山市正严格按照国家、省部署要求，坚持“四早”原则（即早发现、早报告、早隔离、早治疗），开展疫情防控工作。对于您提出的建议，我们将结合实际、认真组织研究，着力提升我市疫情防控工作水平。
        感谢您对我们工作的理解与支持！如有不清楚的地方，请与市卫生健康委联系。
        联系人：李 想                     联系电话：0555-2366500



                                                                马鞍山市人民政府
                                                                2022年4月15日",2022-04-15 17:00,0.08,0.92,0.6691,0.3309
病毒,供暖问题,2022-12-24 12:03,沈阳市大东区合作街梧桐园小区，供暖问题一直得不到解决，新冠病毒肆虐，老人居家供暖得不到保障，刚好两天再次受冷，再次感冒，在屋里都得靠热水袋，脸都是冰凉的，更可气的是本来烧的就不好，关键还停炉，还让不让老百姓活了,留言对象：辽宁省委书记郝鹏,您好！已经安排调整运行参数，保证居民室温达标，特殊时期工作不到位，请您谅解。今后如有供暖问题请直接与供暖公司联系，这样解决问题最快，供暖维修电话66876309，客服电话88416090。,2022-12-29 17:03,0.0046,0.9954,0.4826,0.5174
病毒,邯郸市丛台区荀子大街南头垃圾成堆无人管,2022-12-06 09:36,河北省邯郸市丛台区荀子大街南头，是一条断头路。生活垃圾、建筑垃圾成堆，无人管理，风大的时候塑料袋子满天飞，严重影响周围居民的生活质量，并且也容易引起疾病病毒的传播！同时还有火灾隐患！！望相关部门勇于担当！还周围居民一个清洁卫生的居住环境，谢谢！,留言对象：河北省省长王正谱,"网民您好，针对您反映的问题，邯郸市政府高度重视，立即责成丛台区政府调查解决，现就您反映的问题答复如下：
丛台区已责令相关单位对该问题进行调查核实。目前，丛台区兼庄乡政府对该处垃圾进行了集中清理和转运，对裸露的土地进行了覆盖，避免尘土飞扬。同时，丛台区约谈了小区物业，要求其加强常态化管理，避免类似现象再次发生。感谢您对我们工作的监督和支持，祝您生活愉快！",2022-12-23 22:04,0.0061,0.9939,0.0889,0.9111
病毒,关于教育局提醒学生戴好口罩的建议,2022-08-28 07:18,现在假期白天楼下很多小学生在玩耍，但是很少有戴口罩的，外面骑自行车玩的学生也是不戴口罩，骑的快还危险。家长在管理上缺失，路人说还不听。希望教育局通知到学校班级，加强家长教育管理监督孩子戴口罩！毕竟疫情面前，病毒不会看是不是孩子，暴露太危险！,留言对象：黑龙江省大庆市萨尔图区委书记,感谢您提出的意见，我们将要求学校反复提醒家长做好疫情期间的学生监管工作，要求学生管控期间非必要不外出，在小区活动时戴口罩、不聚集，做好个人防护，确保安全。,2022-08-29 15:25,0.0032,0.9968,0.3422,0.6578
病毒,小区水系有刺鼻化学异味,2022-06-23 12:50,1.高碑店路99号CBD高尔夫小区，南侧水系混浊肮脏，滋生细菌病毒滋生，并伴有刺鼻浓烈化学气味。  2.小区业主多次向物业反映此问题，没有得到任何解决。  3.由于配合疫情，小区所有儿童居家上网课，而污染湖水导致无法开窗通风，无法在小区活动，严重影响小区居民的健康和正常正活。,留言对象：北京市委书记尹力,您好，关于您反映的问题，朝阳区回复：经王四营地区核实，村委会将高尔夫球会物业以及受影响业主召集一起，对小区湖面水质进行商讨。最终双方解决方案如下：1.已经购买生物除藻制剂，生物除藻制剂到货，物业安排人员开始投放，如果此制剂投放后的效果较明显，物业后期便陆续补购，效果若不佳，物业在更换其别的制剂；2.购买皮艇打捞，考虑其安全性，采取购置挡污条将湖面飘物集中在一个地方，将湖面杂物以及污水抽走；3.物业已经购买水泵，水泵到货立即装置。感谢您对我们工作的理解与支持！,2022-07-05 09:52,0.0036,0.9964,0.1318,0.8682
病毒,科教苑21号楼一楼东侧幺麻子涮涮油烟味严重,2022-06-04 17:52,尊敬的领导，您好。甘肃省庆阳市西峰区科教苑21号楼一楼东侧幺麻子涮涮油烟味严重，严重影响楼上居民开窗通风。在疫情当下，《新型冠状病毒防控指南》说要多开窗通风，但是由于幺麻子涮涮油烟味严重，楼上居民无法开窗通风。 恳求领导解决居民开窗通风。,留言对象：甘肃省委书记胡昌升,"网友：
        您好！收到您在人民网的留言后，西峰区委高度重视，安排区市场监管局调查核实，现将有关情况答复如下：
        经查，幺麻子涮涮店依法持有《营业执照》和《食品小经营店登记证》，按照业务范围经营。您反映的油烟味来源为店内涮涮锅煮菜时的蒸汽。由于大厅内无通风设施，蒸汽直接由该店门头上方排出，影响楼上居民开窗通风。经执法人员现场指导，该店已在大堂顶部加装风扇，将大堂内油烟通过专用烟道进行排放。
        感谢您对我们工作的理解和支持。",2022-06-22 16:45,0.0081,0.9919,0.4727,0.5273
病毒,投诉无经营医疗器械的资质门店贩卖假冒伪劣口罩,2022-05-26 10:34,富顺县保健院消费扶贫专柜 贩卖假冒伪劣一次性口罩 口罩有很大一股刺鼻的味道 且不是医用级别（只有很薄的两层无纺布，没有中间的喷熔布）对各种病毒的防护力几乎为0，在医院这种各种病人的高危场所，影响程度可想而知！希望有关部门尽快处理,留言对象：四川省自贡市富顺县委书记,"网友：
        您好！您在人民网投诉“无经营医疗器械的资质门店贩卖假冒伪劣口罩”的留言收悉，现由富顺县市场监督管理局答复如下：
        经我局执法人员现场核查，妇幼保健院扶贫专柜销售有成人医用口罩、儿童医用口罩和普通劳保口罩三种口罩。考虑到该扶贫专柜位于医院周边，购买人群与医院服务人群高度重合，对口罩防护能力的要求较高，我局执法人员对该扶贫专柜进行了宣传教育，并告知其以后以销售医用口罩为主，如继续销售普通口罩，应在销售时告知消费者普通口罩无防病菌作用，扶贫专柜经营者表示接受。
        如有疑问，可致电富顺县市场监督管理局：0813-7111221。
        感谢您的留言。
                                     富顺县市场监督管理局
                                          2022年6月1日",2022-06-01 15:26,0.0016,0.9984,0.048,0.952
病毒,长春国际旅行卫生保健中心复工体检,2022-05-09 21:32,书记您好：长春国际旅行卫生保健中心该地点为新冠病毒核酸检测机构，停止预约体检。因留学生办理签证需要体检报告該院为指定体检医院。因无体检报告，签证无法办理导致学生滞留长春学业停止，考试不能参加。现求助可不可以让该院同时开通体检业务。让学子们能顺利求学。,留言对象：吉林省长春市委书记张志军,尊敬的网民，您好。吉林国际旅行卫建保健中心（长春海关口岸门诊部）现已逐步恢复出入境人员体检业务。结合疫情防控要求，满足市民就诊需求。该院以预约形式开展体检和核酸检测业务，每周二、周四上午开展出入境人员体检工作；每周一、周三上午开展出入境核酸检测工作。预约电话：0431-87607516,2022-06-30 09:45,0.211,0.789,0.9741,0.0259
病毒,为市民安全,2022-04-07 22:42,敬的领导您好，现在疫情这么严俊，今天我晚上我下班后8点多走到长庆西街夜市摆摊的还是一直在聚集，扎堆，疫情防控，人人有责，为了市民的生命安全也为了病毒不再传播，求领导在百忙之中抽出宝贵的时间重视一下，安排相关部门监督，谢谢领导了！,留言对象：河南省郑州市新密市委书记,网友你好：疫情期间，为加强管控，针对长庆西街商贩聚集占道经营问题，城市管理局联合办事处、派出所等多部门进行了集中执法整治行动，告知商贩在疫情期间严格遵守防控要求，禁止扎堆聚集、占道经营。下一步，城管局将继续加强管控，加大执法监管力度，消除疫情期间商贩违法占道经营的行为，坚决打赢疫情防控攻坚战。,2022-04-15 14:55,0.1833,0.8167,0.0026,0.9974
