文本,新颖性,科学价值,可行性,研究基础,申报书质量,分词
项目针对现有毛细阻滞覆层中面临的储水库容有限、止水层原料价格昂贵、细粒料下移问题，构建导渗层-细粒储水层-疏水固废球粒止水层覆层系统，研究其水力特性与毛细阻滞性能，提出固废基毛细阻滞覆层系统蓄水阻渗能力评估方法及延长服役性能调控方法。项目面向国家需求开展大宗工业固废绿色资源化利用，积极推动固废综合利用减污降碳协同增效，可推进工程领域的减排降碳、水土保持、固废资源化利用，应用前景广泛。项目聚焦疏水固废粗粒料的工程性能和固废基毛细阻滞覆层体系的蓄水阻滞性能两个科学问题，通过分析导渗层、储水层与止水层的水力特性，阐明疏水固废球粒止水层与细粒储水层协同调控机制，科学问题凝练准确，可为固废基毛细阻滞覆层系统的优化设计与蓄水阻渗性能评估提供理论依据。项目预期成果可阐明固废胶凝材料、疏水固废胶凝材料、止水层疏水处理增强毛细阻滞性能的机理，给出固废基毛细阻滞覆层系统蓄水阻渗能力评估方法，具有重要的科学价值。负责人一直从事非饱和土力学理论与应用方面的科研工作，前提开展了大量的土体工程特性试验、微观表征及理论建模方面的工作，研究基础扎实。本项目是在申请人前期研究基础上，进一步探索多种固废材料的复合协同效应、胶凝材料疏水改性工艺及性能，可行性强。项目基于多学科交叉理论与方法，从宏、微观多尺度开展研究工作，创新性强。项目整体研究方案详尽，思路清晰，目标明确，技术路线可行，预算合理。,1,1,1,1,1,项目 现有 毛细 阻滞 覆层 面临 储水 库容 有限 水层 原料 价格昂贵 细粒 下移 构建 导渗层 细粒 储水 疏水 固废 球粒 水层 覆层 系统 研究 水力 特性 毛细 阻滞 性能 提出 固废 毛细 阻滞 覆层 系统 蓄水 阻渗 能力 评估 方法 延长 服役 性能 调控 方法 项目 面向 国家 需求 大宗 工业 固废 绿色 资源化 利用 推动 固废 综合利用 减污 协同 增效 推进 工程 领域 减排 降碳 水土保持 固废 资源化 利用 前景 项目 聚焦 疏水 固废粗 粒料 工程 性能 固废 毛细 阻滞 覆层 体系 蓄水 阻滞 性能 两个 科学 分析 导渗层 储水 与止 水层 水力 特性 阐明 疏水 固废 球粒 水层 细粒 储水 协同 调控 机制 科学 凝练 准确 可为 固废 毛细 阻滞 覆层 系统 优化 设计 蓄水 阻渗 性能 评估 提供 理论依据 项目 预期 成果 阐明 废胶 材料 疏水 废胶 材料 水层 疏水 增强 毛细 阻滞 性能 机理 给出 固废 毛细 阻滞 覆层 系统 蓄水 阻渗 能力 评估 方法 科学 价值 负责人 非饱和 土力学 理论 科研工作 前提 土体 工程 特性 试验 微观 表征 理论 建模 工作 研究 基础 扎实 项目 申请人 前期 研究 基础 进一步 探索 多种 固废 材料 复合 协同效应 胶凝 材料 疏水 改性 工艺 性能 可行性 项目 学科 交叉 理论 方法 微观 尺度 研究 工作 创新性 项目 整体 研究 方案 详尽 思路清晰 目标 技术 路线 可行 预算
海冰通过反射和吸收太阳和地气系统辐射影响全球气候和生态环境。因此需要对黄渤海冰监测和预报。本项目发展基于卫星遥感和机器学习融合的海冰反照率反演研究，并分析揭示海冰时空变化规律和演变机制及其影响因素，有关算法和产品的研制对海冰监测具有重要应用价值。如何判识云与霾的影响以及海冰形成、发展、消融过程中光学特性的变化进而解决其对海冰反照率反演精度的影响是本项目拟解决的关键科学问题。项目通过采用多源卫星数据和耦合了真实大气与海洋的精确辐射传输模式及机器学习算法，模拟大气与海洋辐射传输过程，构建、验证和优化海冰、融化性海冰、冰雪混合体和海水的反照率反演模型是解决该反演技术难点问题的可行办法。项目申请人具有一定的研究基础和积累，研究方案和技术路线总体可行。项目主要参与者仅指导技术处理和论文把关不属于主要参与者，建议真正参与项目的研究任务。,0,1,1,1,0,海冰 反射 吸收 太阳 地气 系统 辐射 影响 全球 气候 生态环境 黄渤海 监测 预报 项目 发展 卫星 遥感 机器 学习 融合 海冰 反照率 反演 研究 分析 揭示 海冰 时空 变化规律 演变 机制 影响 因素 算法 产品 研制 海冰 监测 价值 判识 影响 海冰 发展 消融 过程 光学 特性 变化 解决 海冰 反照率 反演 精度 影响 项目 解决 关键 科学 项目 采用 卫星 数据 耦合 真实 大气 海洋 精确 辐射 传输 模式 机器 学习 算法 模拟 大气 海洋 辐射 传输 过程 构建 验证 优化 海冰 融化 性海 冰雪 混合体 海水 反照率 反演 模型 解决 反演 技术 难点 可行 办法 项目 申请人 研究 基础 积累 研究 方案 技术 路线 总体 可行 项目 参与者 指导 技术 论文 把关 参与者 建议 参与 项目 研究
该项目拟采用跨尺度试验结合计算机模拟的方法，利用显微压痕法和有限元模拟，研究集中不同玻璃的压痕塑性变形、剪切带的形成和裂纹演变规律，建立宏观尺度玻璃裂纹的形成和扩展模型，并通过纳米压痕结合分子动力学模拟，阐明原子尺寸裂纹的萌生和演化机理，目标是争取实现跨尺度玻璃裂纹形成和扩展的预测，为玻璃服役寿命预测提供依据。这项工作有一定实用价值，在思路上有新颖性，可以分析压痕载荷下局部应力和应变以及裂纹的变化。但是玻璃在服役过程中的损伤包含很多因素的外部条件与外部载荷，例如风吹雨打引起玻璃表面老化等损伤过程和演变不完全像压痕引起的局部应力集中项目所关注的终极问题是如何预测玻璃中裂纹的起始和扩展， 采用的研究手段包括显微压痕和纳米压痕，有限元模拟和分子动力学模拟。其科学价值对与玻璃构件受到类似局部压痕载荷的情况下可以分析预测，但对于环境腐蚀和疲劳载荷等损伤是不可能全涵盖的。当然作为一个项目也不能涵盖太多内容。因此该项研究主要应针对玻璃表面的小能量冲击和接触损伤的演变具有参考和潜在价值，对玻璃失效机理的理解和探究方面有现实意义申请人在玻璃的压痕技术和微裂纹演变领域做了很多基础研究工作，发表了系列学术论文，取得了良好成果。具备了相关研究的研究条件和试验条件。研究内容和技术路线可行，发表预期的数篇论文应该没有问题。但是要实现玻璃裂纹形成和扩展精准预测，在未知服役玻璃器件的边界条件、载荷条件和环境条件的情况下是不可能的。,1,1,-1,1,0,项目 采用 尺度 试验 计算机 模拟 方法 利用 显微 压痕 有限元 模拟 研究 玻璃 压痕 塑性变形 剪切 裂纹 演变 规律 建立 宏观 尺度 玻璃 裂纹 扩展 模型 纳米 压痕 分子 动力学 模拟 阐明 原子 尺寸 裂纹 萌生 演化 机理 目标 尺度 玻璃 裂纹 扩展 预测 玻璃 服役 寿命 预测 提供 这项 工作 实用价值 思路 新颖性 分析 压痕 载荷 局部 应力 应变 裂纹 变化 玻璃 服役 过程 损伤 包含 因素 外部 条件 外部 载荷 风吹雨打 玻璃 表面 老化 损伤 过程 演变 压痕 局部 应力 项目 关注 终极 预测 玻璃 裂纹 起始 扩展 采用 研究 手段 包括 显微 压痕 纳米 压痕 有限元 模拟 分子 动力学 模拟 科学 价值 玻璃 构件 类似 局部 压痕 载荷 情况 分析 预测 环境 腐蚀 疲劳 载荷 损伤 涵盖 项目 涵盖 内容 该项 研究 玻璃 表面 能量 冲击 接触 损伤 演变 参考 潜在 价值 玻璃 失效 机理 理解 探究 现实意义 申请人 玻璃 压痕 技术 裂纹 演变 领域 基础 研究 工作 发表 系列 学术论文 成果 具备 相关 研究 研究 条件 试验 条件 研究 内容 技术 路线 可行 发表 预期 数篇 论文 玻璃 裂纹 扩展 精准 预测 未知 服役 玻璃 器件 边界条件 载荷 条件 环境 条件 情况
该项目针对长期工作条件下的耐磨性进行研究，通过设计自润滑聚合物以改善材料的摩擦系数、耐磨性和的输出性能以及工作稳定性。具有较好的新颖性和独特性。该项目关注长期工作条件下的耐磨性和稳定性，这是走向产业化应用的关键问题，具有重要的研究价值。申请人具有较好的研究基础和创新能力，研究方案可行。,1,1,1,1,0,项目 长期 工作 条件 耐磨性 研究 设计 自润滑 聚合物 改善 材料 摩擦系数 耐磨性 输出 性能 工作 稳定性 较好 新颖性 独特性 项目 关注 长期 工作 条件 耐磨性 稳定性 走向 产业化 关键问题 研究 价值 申请人 较好 研究 基础 创新能力 研究 方案 可行
固态电池及其固态电解质技术研发已成为推动我国储能领域快速发展的重大战略需求。本项目拟设计构筑具有高本征离子电导率的水平取向陶瓷纳米纤维填料相，提出限域溶剂化界面改性新方法，并提出纳米纤维三维定向重构成型新策略，以实现垂直取向陶瓷纤维/聚合物固态电解质的可控构建，旨在突破高离子导电聚合物/无机复合固态电解质发展瓶颈，属于国家发展需求，项目完成能够为我国高能量密度固态电池储能技术创新和新材料研发提供支持。申请人提出两个关键科学问题，一是解决陶瓷纤维与聚合物基体之间的两相界面相容性差造成的界面处离子传输效率低的问题，二是实现陶瓷纳米纤维在聚合物基体中垂直取向三维有序复合结构的构建，具有较高的科学价值，有望可控构建垂直取向陶瓷纤维/聚合物固态电解质新体系，为高离子导电聚合物、无机复合固态电解质新体系提供有益借鉴。申请人在聚合物纳米纤维复合材料的研究工作中有长期的积累，且成效显著。研究方案翔实，有一定前期工作，可行性高。,1,1,1,1,0,固态 电池 固态 电解质 技术 研发 推动 我国 储能 领域 快速 发展 战略 需求 项目 设计 构筑 高本征 离子 电导率 水平 取向 陶瓷 纳米 纤维 填料 提出 限域 溶剂 界面 改性 方法 提出 纳米 纤维 三维 定向 新策略 垂直 取向 陶瓷纤维 聚合物 固态 电解质 可控 构建 旨在 突破 离子 导电 聚合物 无机 复合 固态 电解质 发展 瓶颈 国家 发展 需求 项目 我国 高能量 密度 固态 电池 储能 技术创新 材料 研发 提供 支持 申请人 提出 两个 关键 科学 解决 陶瓷纤维 聚合物 基体 之间 界面 相容性 界面 离子 传输 效率 陶瓷 纳米 纤维 聚合物 基体 垂直 取向 三维 有序 复合 结构 构建 较高 科学 价值 有望 可控 构建 垂直 取向 陶瓷纤维 聚合物 固态 电解质 体系 离子 导电 聚合物 无机 复合 固态 电解质 体系 提供 有益 借鉴 申请人 聚合物 纳米 纤维 复合材料 研究 工作 长期 积累 成效显著 研究 方案 翔实 前期工作 可行性
该项目拟以对位芳纶纳米纤维为构建单元，创建质子供体辅助溶剂交换法调控纺丝后凝胶骨架聚态结构和分子间氢健作用强度，在常压干燥条件下制备高孔隙率气凝胶纤维材料。项目提出的问题属于面向需求和试图解决技术瓶颈背后的基础问题。项目提出的通过纺丝后芳纶纳米纤雏凝胶骨架多尺度结构调控，实现常压干操条件下制备高孔隙率纳米多孔气凝胶纤维村料，如能实现预期成果，则对制备低成本高强超韧气凝胶纤维具有重要的科学价值。申请人目前主持国家重点研发课题“导电/吸波多功能杂化聚合物纤维连续化工业生产技术”，完成国家自然科学基金青年基金项目“高透明性、超级绝热聚合物2发泡材料的制备激励与应用”，在功能纤维材料方面有很好研究工作基础。项目提出的常压干燥条件下制备高孔隙率、高强超韧气凝胶纤维，研究方案有一定创新性，但如何解决干燥过程中气凝胶纤维孔洞结构的塌陷问题和实现高孔隙率？从基本原理方面缺少必要的阐述，难于判断研究方案的可行性。,1,1,-1,1,0,项目 拟以 对位 芳纶 纳米 纤维 构建 单元 创建 质子 供体 辅助 溶剂 交换法 调控 纺丝 凝胶 骨架 聚态 结构 分子 间氢 作用 强度 常压 干燥 条件 制备 孔隙率 凝胶 纤维材料 项目 提出 面向 需求 试图 解决 技术 瓶颈 背后 基础 项目 提出 纺丝 芳纶 纳米 纤雏 凝胶 骨架 尺度 结构 调控 常压 干操 条件 制备 孔隙率 纳米 多孔 凝胶 纤维 村料 预期 成果 制备 低成本 高强 韧气 凝胶 纤维 科学 价值 申请人 主持 国家 重点 研发 课题 导电 吸波 多功能 杂化 聚合物 纤维 连续 化工业 生产 技术 国家自然科学基金 青年 基金项目 透明性 超级 绝热 聚合物 发泡 材料 制备 激励 功能 纤维材料 研究 工作 基础 项目 提出 常压 干燥 条件 制备 孔隙率 高强 韧气 凝胶 纤维 研究 方案 创新性 解决 干燥 过程 凝胶 纤维 孔洞 结构 塌陷 孔隙率 基本原理 缺少 阐述 难于 判断 研究 方案 可行性
该项目关注水体中病原微生物的危害，其中水体消毒是控制病原微生物传播、保障水质安全的关键环节，符合国家需求。基于高碘酸盐（）的氧化消毒技术在消毒领域具有潜在优势；但存在消毒不彻底，微生物易复活的问题。项目拟解决深度杀灭病原微生物并控制有害副产物，已成为消毒过程中亟待解决的关键瓶颈难题。项目整体科学性较好，能够关注领域瓶颈问题。该项目拟采用硅基表面拓扑结构增强对细菌的吸附和物理损伤，提升跨膜效率；进而在胞内被激活原位产生高浓度活性物质，氧化破坏生物大分子，实现深度消毒。阐明深度消毒体系中碘自由基等活性物质的分布和转化规律，揭示碘物质的定向调控原理，实现细菌的深度杀灭及有害副产物的高效控制，研究可以为高碘酸盐深度消毒技术推广应用提供理论和技术支撑。申请人长期从事水体中病原微生物消毒，深度杀菌的研究工作，在污水深度处理及水质消毒方面开展了大量工作，具备相关的研究基础。项目方案整体合理，关键科学问题凝练清楚，相信通过项目的资助，可以进一步推动水体病原微生物消毒技术的发展。,0,1,1,1,0,项目 关注 水体 病原 微生物 危害 水体 消毒 控制 病原 微生物 传播 保障 水质 关键环节 符合国家 需求 高碘酸 氧化 消毒 技术 消毒 领域 潜在 优势 消毒 微生物 复活 项目 解决 深度 杀灭 病原 微生物 控制 有害 副产物 消毒 过程 亟待解决 关键 瓶颈 难题 项目 整体 科学性 关注 领域 瓶颈 项目 采用 硅基 表面 拓扑 结构 增强 细菌 吸附 物理 损伤 提升 跨膜 效率 胞内 激活 原位 高浓度 活性 物质 氧化 破坏 生物 大分子 深度 消毒 阐明 深度 消毒 体系 中碘 自由基 活性 物质 分布 转化 规律 揭示 物质 定向 调控 原理 细菌 深度 杀灭 有害 副产物 高效 控制 研究 高碘酸 深度 消毒 技术 推广应用 提供 理论 技术 支撑 申请人 长期 水体 病原 微生物 消毒 深度 杀菌 研究 工作 污水 深度 水质 消毒 工作 具备 相关 研究 基础 项目 方案 整体 关键 科学 凝练 项目 资助 进一步 推动 水体 病原 微生物 消毒 技术 发展
依据可靠性分析模型的特点，将多维度积分转换为一维空间的积分问题，利用超球面积分理论 实现可靠性问题的降维求解，为探索复杂产品可靠性评估提出了新的方法和思路。项目题目科学问题提炼准确。关键问题的突破有助于形成基于超球面降维积分及抛物面近似的可靠性评估新理论。申请人有较好的研究基础，研究方案具有一定的创新性和可行性。,1,1,1,1,0,可靠性 分析模型 多维度 积分 转换 维空间 积分 利用 球面 积分 理论 可靠性 降维 求解 探索 产品 可靠性 评估 提出 方法 思路 项目 题目 科学 提炼 准确 关键问题 突破 有助于 球面 降维 积分 抛物面 近似 可靠性 评估 理论 申请人 较好 研究 基础 研究 方案 创新性 可行性
本项目以基于凝胶化-相转变策略连续制备聚酰亚胺多孔膜及其结构与性能相关性为研究主题，针对聚酰亚胺多孔膜的机械性能与孔结构设计难以兼顾的问题，拟借助聚酰亚胺前驱体中不同链段的化学亚胺化反应活性差异，设计合成聚酰胺酸-酰胺酯共聚物，通过酰胺酸链段的脱水闭环反应诱导溶胶-凝胶转变，制备凝胶膜，并借助双向牵伸实现大分子链的平面取向，然后利用非溶剂诱导相分离法实现相转化凝固成孔，最后经热处理获得聚酰亚胺多孔膜。通过详细研究聚合物的化学结构、分子链堆积与微观孔结构的演变规律，阐明多孔膜的结构与性能相关性，实现材料机械性能的提升与孔结构的协同调控。申请人对本领域已有研究现状了解全面，提炼出了明确的关键科学问题，拟开展研究工作有重要的科学意义和清晰连贯的科学构思，逻辑清晰，但是申请者提出的研究方法和技术路线，特色不显著。所安排的实验不能圆满解答所提出的科学问题，也很难判断这种聚酰亚胺多孔膜是否能够走向应用。,-1,1,-1,1,1,项目 凝胶 策略 连续 制备 聚酰亚胺 多孔 结构 性能 相关性 研究 主题 聚酰亚胺 多孔 机械性能 结构设计 难以 兼顾 借助 聚酰亚胺 前驱 体中 链段 化学 亚胺 活性 差异 设计 合成 聚酰胺 酰胺 共聚物 酰胺 链段 脱水 闭环 诱导 溶胶 凝胶 制备 凝胶 借助 双向 牵伸 大分子 平面 取向 利用 溶剂 诱导 分离法 转化 凝固 成孔 热处理 聚酰亚胺 多孔 详细 研究 聚合物 化学 结构 分子 堆积 微观 结构 演变 规律 阐明 多孔 结构 性能 相关性 材料 机械性能 提升 结构 协同 调控 申请人 领域 已有 研究 现状 提炼出 关键 科学 研究 工作 科学 意义 清晰 连贯 科学 构思 逻辑 清晰 申请者 提出 研究 方法 技术 路线 特色 安排 实验 圆满 解答 提出 科学 判断 聚酰亚胺 多孔 走向
热轧机组是钢铁工业中的核心设备，申请项目拟开展考虑多重退化耦合的热轧机组动态可靠性协同评估研究，对保障机组安全具有重要意义，申请项目符合国家重大需求。申请项目拟研究流程型设备多重性能退化耦合机制、热轧机组与轧制质量的动态协同演化机理，该研究的实现将对提高热轧机组安全性具有重要意义。申请人具有较好的研究基础。研究方案具体详实，具有创新性和可行性。建议研究方案中补充工程验证。,1,1,1,1,-1,热轧 机组 钢铁工业 核心 设备 申请 项目 多重 退化 耦合 热轧 机组 动态 可靠性 协同 评估 研究 保障 机组 意义 申请 项目 符合国家 需求 申请 项目 研究 流程 设备 多重 性能 退化 耦合 机制 热轧 机组 轧制 质量 动态 协同 演化 机理 研究 提高 热轧 机组 安全性 意义 申请人 较好 研究 基础 研究 方案 详实 创新性 可行性 建议 研究 方案 补充 工程 验证
碳纤维增强复合材料在有着轻量化需求的航空航天领域已得到广泛重视，而碳纤维增强复合材料胶接技术在航空航天领域的存在着应用技术瓶颈。对我国在航空航天领域大规模的应用及有所突破的瓶颈技术有着很好的工程和技术价值。申请项目在利用飞秒激光加工制造仿生微纳复合织构对表面改性有一定的新颖性，而对于有着方向性及复杂表面的碳纤维增强复合材料的激光作用中的关键科学问题应还可以进一步提炼。项目主要研究内容可以在适当结合关键科学问题解决，来解决关键工艺技术；项目申请的工艺技术路线和主要技术内容及可行性分析合理，有着一定的研究基础和研究团队，在进一步工作的基础上，将能有效提出丰富飞秒激光织构化改性的工艺理论和技术方法。,1,1,1,1,0,碳纤维 增强 复合材料 轻量化 需求 航空航天 领域 重视 碳纤维 增强 复合材料 胶接 技术 航空航天 领域 技术 瓶颈 我国 航空航天 领域 大规模 有所突破 瓶颈 技术 很好 工程 技术 价值 申请 项目 利用 飞秒 激光 加工 制造 仿生 微纳 复合 织构 表面 改性 新颖性 方向性 表面 碳纤维 增强 复合材料 激光 作用 关键 科学 进一步 提炼 项目 研究 内容 关键 科学 解决 解决 关键 工艺技术 项目 申请 工艺技术 路线 技术 内容 可行性 分析 研究 基础 研究 团队 进一步 工作 基础 提出 飞秒 激光 织构 改性 工艺 理论 技术 方法
项目拟研究人体足部骨骼的拇外翻病足模型，建立拇外翻矫形器与病足的映射规律。研究内容围绕高维多系统模型、局部降阶、动态特性分析，涉及临床医学、机械工程。拟解决关键为：（1）非稳态条件下的非均质足部组织的多体系统建模与动态特性分析，（2）局部高维曲面扭转映射旋转集与系统正拓扑熵映射规律，（3）“好模型”标准下的高阶系统动力学模型不平衡激励特性与降维准则。整体来看，项目研究内容面向人体健康需求，通过多体系统模型、有限元分析等技术手段，为足部矫形器提供量化评估手段，同时结合临床舒适度等指标进行设计，具有较高的研究价值。项目构建足部生物动力学模型，研究足部矫具与足部动力学模型的动态映射关系，通过设计参数优化改善动态响应。三个主要研究内容安排比较合理，借鉴了现有研究思路，可行性好。项目创新点围绕多系统非稳态建模方法、瞬态响应关联分析、多维度评价机制等方面，能够呼应主要研究内容。申请人所在东华大学纺织装备中心能够从有限元分析和实验等方面提供支撑。申请书似乎来自过往已完成项目，如创新点1中，“经实验证，有效优化了足部骨骼…”，创新点3中，“此结论为以后的研究提供了理论基础”，需要阐明此次申请和过往项目的关系。文中有少数笔误，如23页的重复内容“具体技术路线图如图7所示”。研究领域围绕人体多体系统建模，发表有数篇论文，目前正在主持上海市项目、纺织装备中心开放基金，已结题了一项国自然面上。合作成员包括两位来自上海交大附属医院的医师，能够提供患者病足影像资料。项目申请团队与项目研究内容相关。,1,1,1,1,-1,项目 研究 人体 足部 骨骼 外翻 病足 模型 建立 外翻 矫形器 映射 规律 研究 内容 围绕 高维 系统 模型 局部 降阶 动态 特性 分析 涉及 临床医学 机械工程 解决 关键 稳态 条件 非均质 足部 组织 多体 系统 建模 动态 特性 分析 局部 高维 曲面 扭转映射 旋转 集与 系统 拓扑 映射 规律 模型 标准 高阶 系统 动力学 模型 平衡 激励 特性 降维 准则 整体 项目 研究 内容 面向 人体 健康 需求 系统 模型 有限元 分析 技术手段 足部 矫形器 提供 量化 评估 手段 临床 舒适度 指标 设计 较高 研究 价值 项目 构建 足部 生物 动力学 模型 研究 足部 足部 动力学 模型 动态 映射 关系 设计 参数 优化 改善 动态 响应 三个 研究 内容 安排 借鉴 现有 研究 思路 可行性 项目 创新 围绕 系统 稳态 建模 方法 瞬态 响应 关联 分析 多维度 评价 机制 呼应 研究 内容 申请人 东华大学 纺织 装备 中心 有限元 分析 实验 提供 支撑 申请书 过往 项目 创新 实验 优化 足部 骨骼 创新 结论 研究 提供 理论 基础 阐明 申请 过往 项目 关系 文中 笔误 重复 内容 技术 路线图 所示 研究 领域 围绕 人体 系统 建模 发表 数篇 论文 主持 上海市 项目 纺织 装备 中心 开放 基金 结题 一项 自然 面上 合作 成员 包括 两位 上海交大 附属 医院 医师 提供 患者 病足 影像 资料 项目 申请 团队 项目 研究 内容 相关
碳纤维增强复合材料已成为当前及未来国内外汽车轻量化用材、市场竞争的焦点和前沿阵地。热塑性树脂基复合材料存在着浸润困难、界面性能弱的问题，严重影响碳纤维在汽车工业中的规模化应用。 申请项目聚焦热塑性碳纤维复合材料的浸润和界面结合的关键问题，采用高效率低成本的纺织领域无纺技术，与热塑树脂纤维均匀混合、梳理形成“碳纤维单纤维/热塑单纤维”超细化无纺结构；提出界面纤维方案，把促进纤维与树脂之间界面结合的聚氨酯-马来酸酐接枝聚丙烯等材料纺成纤维状，均匀混入并形成“碳纤维/界面纤维/热塑树脂纤维”混合毡，实现材料界面强度调控和力学性能增强；引入碳纤维取向分布以及长度分布两个要素，精准建构具有各向异性的碳纤维无纺结构复合材料仿真模型能实现工艺流程精简、浸润充分、界面结合好、力学性能优异的材料。该申请项目是属于面向国家需求，同时解决碳纤维增强复合材料浸润困难、界面性能弱的技术瓶颈背后的基础问题。申请项目所提出的科学问题：（1）超细化梳理过程中碳纤维受力与运动规律；（2）混合毡中界面纤维熔融状态下与碳纤维表面界面结合机理；（3）无纺结构中碳纤维空间结构本原模型与复合材料力学性能预测；这些科学问题对于解决碳纤维增强复合材料浸润困难、界面性能弱的技术瓶颈具有较为重要的科学价值，不过，项目涉及到复合材料界面结构及调控以及与性能之间的关联问题也是需要解决的重要核心科学问题。同时项目预期成果不仅是获得材料，更重要的是需要对理论成果的提炼。申请人一直从事纺织复合材料结构设计以及制备的基础及应用研究，具有较好的该项目研究基础，研究方案基于无纺结构的碳纤维/热塑纤维混合毡的成型以及其界面调控规律，设计界面纤维方案，帮助碳纤维和树脂形成紧密结合，引入碳纤维取向分布以及长度分布两个要素精准建构碳纤维无纺结构复合材料仿真模型，这一方案具有明显创新性，研究方案合理可行。,1,1,1,1,0,碳纤维 增强 复合材料 未来 国内外 汽车 轻量化 用材 市场竞争 焦点 前沿阵地 热塑性 树脂 复合材料 浸润 困难 界面 性能 影响 碳纤维 汽车 工业 规模化 申请 项目 聚焦 热塑性 碳纤维 复合材料 浸润 界面 关键问题 采用 高效率 低成本 纺织 领域 无纺 技术 热塑 树脂 纤维 均匀 混合 梳理 碳纤维 纤维 热塑 纤维 细化 无纺 结构 提出 界面 纤维 方案 纤维 树脂 之间 界面 聚氨酯 马来 酸酐 接枝 聚丙烯 材料 纺成 纤维状 均匀 混入 碳纤维 界面 纤维 热塑 树脂 纤维 混合 材料 界面 强度 调控 力学性能 增强 引入 碳纤维 取向 分布 长度 分布 两个 要素 精准 建构 各向异性 碳纤维 无纺 结构 复合材料 仿真 模型 工艺流程 精简 浸润 界面 力学性能 优异 材料 申请 项目 面向 国家 需求 解决 碳纤维 增强 复合材料 浸润 困难 界面 性能 技术 瓶颈 背后 基础 申请 项目 提出 科学 细化 梳理 过程 碳纤维 受力 运动 规律 混合 界面 纤维 熔融 状态 碳纤维 表面 界面 机理 无纺 结构 碳纤维 空间结构 本原 模型 复合材料 力学性能 预测 科学 解决 碳纤维 增强 复合材料 浸润 困难 界面 性能 技术 瓶颈 科学 价值 项目 涉及 复合材料 界面 结构 调控 性能 之间 关联 解决 核心 科学 项目 预期 成果 材料 理论 成果 提炼 申请人 纺织 复合材料 结构设计 制备 基础 研究 较好 项目 研究 基础 研究 方案 无纺 结构 碳纤维 热塑 纤维 混合 成型 界面 调控 规律 设计 界面 纤维 方案 碳纤维 树脂 紧密结合 引入 碳纤维 取向 分布 长度 分布 两个 要素 精准 建构 碳纤维 无纺 结构 复合材料 仿真 模型 方案 创新性 研究 方案 可行
保障户外劳动人员的生命安全面临的低温挑战是面向国家需求重要问题，符合我国“预防为主”和“生命至上”的安全理念，基于上述国家需求，该项目针对低温环境人体安全着装预测模型及影响机理等基础问题进行研究，对贯彻总体国家安全观和“以人为本、安全发展”的理念具有重要的意义。该项目提出了“关联温度无效区域划分的非稳态人体温调节机制”、“衣下局部空间气流、热流运动传递机理”和“防寒服装热湿传递人体安全着装关系”三个科学问题，科学问题凝练准确，具有较高科学价值。申请人研究基础突出，取得了丰硕的研究业绩，在拟研究内容方面，有着良好的前期研究基础，研究方案具有较好创新性和可行性，预期能够顺利完成项目相关研究内容。,1,1,1,1,0,保障 户外 劳动 人员 生命安全 面临 低温 挑战 面向 国家 需求 符合 我国 预防为主 生命 至上 理念 国家 需求 项目 低温 环境 人体 着装 预测 模型 影响 机理 基础 研究 贯彻 总体 国家 安全观 以人为本 发展 理念 意义 项目 提出 关联 温度 无效 区域 划分 稳态 体温 调节 机制 衣下 局部 空间 气流 热流 运动 传递 机理 防寒 服装 热湿 传递 人体 着装 关系 三个 科学 科学 凝练 准确 科学 价值 申请人 研究 基础 丰硕 研究 业绩 研究 内容 前期 研究 基础 研究 方案 创新性 可行性 预期 顺利完成 项目 相关 研究 内容
