user-name,comment-date,content,评价,content1,分词,主题概率,主题类型,emotion_type
招牌菜貔貅,2022年3月1日,一般般吧，凑合。很普通，以前去过一次，没什么改变,0.0,一般吧，凑合。很普通，以前去过一次，没什么改变,凑合 去过 没什么 改变,"[(0, 0.07797787), (1, 0.8435003), (2, 0.078521766)]",1,非负
Zsl508963016,2022年2月2日,差评差评差评！简直是了，赚钱不要命了！大疫情的不限流，人山人海，堵车两小时。排队半小时，买个煎饼一小时！限流限的是排队的流，说了不用换票拿身份证就行，到那不识别，那份捣乱！真是骂骂咧咧进去，骂骂咧咧出来的！,0.0,差评！简直是了，赚钱不要命了！大疫情的不限流，人山人海，堵车两小时。排队半小时，买个煎饼一小时！限流限的是排队的流，说了不用换票拿身份证就行，到那不识别，那份捣乱！真是骂咧进去，骂咧出来的！,差评 赚钱 不要命 疫情 限流 人山人海 堵车 小时 排队 半小时 买个 煎饼 小时 限流 排队 不用 换票 身份证 就行 识别 捣乱 骂咧 骂咧,"[(0, 0.014961977), (1, 0.014798809), (2, 0.9702392)]",2,负面
FTe711193087,2022年3月1日,不错的一次旅行，环境优美，北方的丽江,1.0,不错的一次旅行，环境优美，北方的丽江,不错 旅行 环境优美 北方 丽江,"[(0, 0.8759054), (1, 0.064282276), (2, 0.05981237)]",0,非负
tina.sun.china,2022年2月13日,千万别去！忠告不信拉倒。 人多，路堵，排长队，灯太烂。 美团上买票还是很方便的，刷身份证就可以进去。,0.0,千万别去！忠告不信拉倒。 人多，路堵，排长队，灯太烂。 美团上买票还是很方便的，刷身份证就可以进去。,千万别 忠告 拉倒 人多 排长队 太烂 美团 买票 身份证,"[(0, 0.9229874), (1, 0.039257023), (2, 0.037755564)]",0,负面
铄辰,2022年2月26日,没啥人，还可以，不是很冷，可玩性不是太高，设施有些少,0.0,没啥人，还可以，不是很冷，可玩性不是太高，设施有些少,可玩性 太高 设施,"[(0, 0.08726758), (1, 0.82775164), (2, 0.08498076)]",1,非负
匿名用户,2022年2月26日,只说缺点，人太多，附近交通比较混乱，剩下都是优,0.0,只说缺点，人太多，附近交通比较混乱，剩下都是优,缺点 人太多 交通 混乱 剩下,"[(0, 0.8708296), (1, 0.064427726), (2, 0.064742744)]",0,负面
蒋67,2022年1月27日,只能看冰灯，其他所有景点都封上了。冰灯雕的跟劣质塑料一样；还有所谓的灯光秀，晚上拿个手电筒找个墙照一下都比它的好看,0.0,只能看冰灯，其他所有景点都封上了。冰灯雕的跟劣质塑料一样；还有所谓的灯光秀，晚上拿个手电筒找个墙照一下都比它的好看,只能 冰灯 景点 封上 冰灯 劣质 塑料 灯光 晚上 拿个 手电筒 找个 墙照 好看,"[(0, 0.024100538), (1, 0.026462365), (2, 0.94943714)]",2,负面
匿名用户,2022年2月17日,冰灯一般般，可能在北京已经不错了。冲着免费儿童游乐园去的结果停业了，全当公园遛弯儿吧。,1.0,冰灯一般，可能在北京已经不错了。冲着免费儿童游乐园去的结果停业了，全当公园遛弯儿吧。,冰灯 北京 不错 冲着 免费 儿童 游乐园 停业 公园 遛弯儿,"[(0, 0.93488055), (1, 0.032259718), (2, 0.032859724)]",0,非负
刘斌548,2022年2月14日,没有想象那么多好玩的，冬季地方不是很大，要进景区要走挺远，进了景区能看的冰灯很小范围,0.0,没有想象那么多好玩的，冬季地方不是很大，要进景区要走挺远，进了景区能看的冰灯很小范围,想象 好玩 冬季 地方 很大 要进 景区 景区 冰灯 很小,"[(0, 0.034046154), (1, 0.03397091), (2, 0.93198293)]",2,非负
琴音萦梦374,2022年2月27日,「冰灯」，雕刻的栩栩如生，特别好看，值得一游,1.0,「冰灯」，雕刻的栩如生，特别好看，值得一游,冰灯 雕刻 栩如生 特别 好看 值得 一游,"[(0, 0.046575774), (1, 0.04693009), (2, 0.90649414)]",2,非负
李沅珊,2022年2月24日,人多，交通便利，就是停车场太远了，干什么都要花钱,0.0,人多，交通便利，就是停车场太远了，干什么都要花钱,人多 交通 便利 停车场 太远 干什么 花钱,"[(0, 0.043395597), (1, 0.9113232), (2, 0.04528122)]",1,负面
Osr689502622,2022年2月9日,感觉没有往年做的好，不过投影影像挺好的！,1.0,感觉没有往年做的好，不过投影像挺好的！,感觉 往年 投影,"[(0, 0.80123734), (1, 0.104232356), (2, 0.094530314)]",0,非负
匿名用户,2022年2月12日,景区的第三卫生间就是摆设，竟然不开！这让母子或父女（孩子很小）怎么上厕所，差评！！！,0.0,景区的第三卫生间就是摆设，竟然不开！这让母子或父女（孩子很小）怎么上厕所，差评！,景区 第三 卫生间 摆设 母子 父女 孩子 很小 厕所 差评,"[(0, 0.03309539), (1, 0.033501405), (2, 0.93340325)]",2,非负
YAOYUE3344,2022年2月24日,也还行，挺漂亮的，有机会的话带朋友一起去,1.0,也还行，挺漂亮的，有机会的话带朋友一起去,还行 漂亮 机会 朋友,"[(0, 0.8322237), (1, 0.08854252), (2, 0.07923371)]",0,非负
匿名用户,2022年2月4日,设施一般，环境不错工作人员服务态度一般般,1.0,设施一般，环境不错工作人员服务态度一般,设施 环境 不错 工作人员 服务态度,"[(0, 0.86323506), (1, 0.07648516), (2, 0.060279787)]",0,非负
mSJ94937211,2022年2月20日,还好 真的挺冷，冰灯没有里面冰瀑布好看。,1.0,还好 真的挺冷，冰灯没有里面冰瀑布好看。,还好 真的 冰灯 瀑布 好看,"[(0, 0.067359716), (1, 0.39499053), (2, 0.53764975)]",2,非负
rWn101968731,2022年2月16日,特别无聊，一点儿意思都没有，以后别跟我提龙庆峡冰灯倒给我钱都不去,0.0,特别无聊，一点儿意思都没有，以后别跟我提龙庆峡冰灯倒给我钱都不去,特别 无聊 一点儿 别跟我 龙庆峡 冰灯,"[(0, 0.05149542), (1, 0.89645827), (2, 0.05204629)]",1,负面
皮螃蟹,2022年2月26日,不错,1.0,不错,不错,"[(0, 0.647726), (1, 0.17267396), (2, 0.17960006)]",0,非负
only宝贝婷,2022年2月17日,过年期间，这里边的臭豆腐很好吃，哈哈，其他的食品一般吧。,1.0,过年期间，这里边的臭豆腐很好吃，哈，其他的食品一般吧。,过年 期间 臭豆腐 好吃 食品,"[(0, 0.87809324), (1, 0.060919773), (2, 0.060986985)]",0,负面
mdY124285882,2022年2月10日,人还没进去，身份证就刷完票了，再刷就是无效的票，怎么解释都不行，明明票已经买了，就是不让进！也没有人帮你解决！,0.0,人还没进去，身份证就刷完票了，再刷就是无效的票，怎么解释都不行，明票已经买了，就是不让进！也没有人帮你解决！,身份证 完票 再刷 无效 解释 不行 明票 不让 人帮 解决,"[(0, 0.0319281), (1, 0.031612363), (2, 0.93645954)]",2,负面
MTG零点,2022年2月22日,我们看夜景还不错，有机会白天去玩一下。,1.0,我们看夜景还不错，有机会白天去玩一下。,夜景 不错 机会 白天,"[(0, 0.44879627), (1, 0.467645), (2, 0.08355869)]",1,非负
匿名用户,2022年2月17日,春节期间人太多了，停车场需要等，景区里都是人。,0.0,春节期间人太多了，停车场需要等，景区里都是人。,春节 期间 人太多 停车场 景区,"[(0, 0.8592203), (1, 0.069622405), (2, 0.07115726)]",0,负面
尐木公子,2022年2月25日,很好，怒赞！,1.0,很好，怒赞！,怒赞,"[(0, 0.16890086), (1, 0.6623213), (2, 0.1687778)]",1,非负
尐木公子,2022年2月25日,很好，怒赞！,1.0,很好，怒赞！,怒赞,"[(0, 0.16890265), (1, 0.6623165), (2, 0.1687809)]",1,非负
rWn101968731,2022年2月16日,一点儿都没意思，第一次看冰灯希望越大，失望越大太没劲了,0.0,一点儿都没意思，第一次看冰灯希望越大，失望越大太没劲了,一点儿 没意思 第一次 冰灯 希望 越大 失望 越大太 没劲,"[(0, 0.919688), (1, 0.04292623), (2, 0.037385736)]",0,负面
星星0009,2022年2月12日,还可以吧，冰灯，人员组织，管理，都还可以，但是就是觉得100有点多了，少点就好了,1.0,还可以吧，冰灯，人员组织，管理，都还可以，但是就是觉得10有点多了，少点就好了,冰灯 人员 组织 管理 少点,"[(0, 0.8604688), (1, 0.06589085), (2, 0.07364033)]",0,非负
WtC267115606,2022年2月19日,冰灯挺漂亮的，去了两次，夜景更漂亮。,1.0,冰灯挺漂亮的，去了两次，夜景更漂亮。,冰灯 漂亮 两次 夜景 漂亮,"[(0, 0.06434029), (1, 0.069443926), (2, 0.8662158)]",2,非负
hfi754950426,2022年2月17日,从北京城跑来一趟，冰灯十分一般，游乐园停业了！失策！,0.0,从北京城跑来一趟，冰灯十分一般，游乐园停业了！失策！,北京城 一趟 冰灯 游乐园 停业 失策,"[(0, 0.05488984), (1, 0.050154727), (2, 0.89495546)]",2,非负
kXG102529427,2022年2月13日,什么垃圾玩意，100块钱过来路程2小时。观看15分钟完事。这4A充值的吧,0.0,什么垃圾玩意，10块钱过来路程2小时。观看15分钟完事。这4A充值的吧,垃圾 玩意 块钱 路程 小时 观看 分钟 完事 充值,"[(0, 0.03520186), (1, 0.036626454), (2, 0.92817163)]",2,负面
lEN559345995,2022年2月16日,太尼玛冷了 没啥意思也就看看景色 关键太冷 没心情看啊,0.0,太尼玛冷了 没啥意思也就看景色 关键太冷 没心情看啊,尼玛 啥意思 景色 关键 太冷 心情,"[(0, 0.9018707), (1, 0.048985604), (2, 0.04914364)]",0,非负
匿名用户,2022年2月20日,真心真心一般般般般，性价比太低,0.0,真心一般，性价比太低,真心 性价比 太低,"[(0, 0.08919156), (1, 0.8188277), (2, 0.09198075)]",1,非负
匿名用户,2022年2月2日,千万别去，谁去谁上当。路上堵车不说，明明停车场有好多的空车位。却不让车进去停。管理混乱，服务态度非常差。,0.0,千万别去，谁去谁上当。路上堵车不说，明停车场有好多的空车位。却不让车进去停。管理混乱，服务态度非常差。,千万别 上当 路上 堵车 不说 停车场 好多 空车 不让 管理混乱 服务态度,"[(0, 0.030627143), (1, 0.93993586), (2, 0.02943699)]",1,负面
相逢是缘7550,2022年2月17日,感觉不错，有时间还会在去，希望越来越好,1.0,感觉不错，有时间还会在去，希望越来越好,感觉 不错 时间 还会 希望 越来越,"[(0, 0.89370996), (1, 0.054221485), (2, 0.05206853)]",0,非负
WYWjlj20027779,2022年2月7日,十五年前第一次去，15年后再次光临。没有以前那个大的冰滑梯了，小孩子玩的东西偏少了。,0.0,十五年前第一次去，15年后再次光临。没有以前那个大的冰滑梯了，小孩子玩的东西偏少了。,十五年 第一次 光临 滑梯 小孩子 东西 偏少,"[(0, 0.048884384), (1, 0.04444837), (2, 0.90666723)]",2,非负
only宝贝婷,2022年2月17日,停车方便，一次20元。按次收费的,1.0,停车方便，一次20元。按次收费的,停车 收费,"[(0, 0.72182494), (1, 0.13583404), (2, 0.14234102)]",0,负面
匿名用户,2022年2月16日,太差了，什么都没有，不知道好评是如何来的,0.0,太差了，什么都没有，不知道好评是如何来的,太差 好评,"[(0, 0.7589907), (1, 0.116513), (2, 0.12449628)]",0,负面
ALm351237215,2022年2月11日,冰灯花样多，主题鲜明，孩子很喜欢，里面环境也不错。,1.0,冰灯花样多，主题鲜明，孩子很喜欢，里面环境也不错。,冰灯 花样 主题鲜明 孩子 喜欢 环境 不错,"[(0, 0.9007475), (1, 0.052865002), (2, 0.046387494)]",0,非负
pancakepapa,2022年2月2日,交警指挥交通混乱死板。路上司机等待时间太长，指挥不当。停车场停车位车很多居然放不进车来。,0.0,交警指挥交通混乱死板。路上司机等待时间太长，指挥不当。停车场停车位车很多居然放不进车来。,交警 指挥 交通 混乱 死板 路上 司机 等待时间 指挥 不当 停车场 停车位 放不进 车来,"[(0, 0.95001316), (1, 0.024407798), (2, 0.025579037)]",0,负面
蒋67,2022年1月27日,别的项目都去不了，全封了，被门票给坑了。只有冰灯可以去，死丑，跟劣质塑料一样。灯光秀我拿手电筒照的都比他好看。,0.0,别的项目都去不了，全封了，被门票给坑了。只有冰灯可以去，死丑，跟劣质塑料一样。灯光秀我拿手电筒照的都比他好看。,项目 全封 门票 冰灯 劣质 塑料 灯光 手电筒 好看,"[(0, 0.036869083), (1, 0.91818064), (2, 0.044950236)]",1,负面
QzZ862833088,2022年1月22日,值得去看一看，很惊艳，带小朋友去比较合适，去的时候下雪了，特别漂亮,1.0,值得去看一看，很惊艳，带小朋友去比较合适，去的时候下雪了，特别漂亮,值得 看一看 惊艳 小朋友 合适 下雪 特别 漂亮,"[(0, 0.04051358), (1, 0.039741457), (2, 0.91974497)]",2,非负
HYUNDAICOD,2022年2月10日,真好人少趣味多少钱呢这个可以咨询师弟们的话,1.0,真好人少趣味多少钱呢这个可以咨询师弟们的话,好人 趣味 咨询 师弟,"[(0, 0.06961275), (1, 0.067328736), (2, 0.8630585)]",2,非负
JRc411906911,2022年2月15日,就那样，很一般，没有想象那么好,0.0,就那样，很一般，没有想象那么好,想象,"[(0, 0.22785935), (1, 0.19797742), (2, 0.57416326)]",2,非负
xWk476247907,2022年2月1日,景区还可以，停车场出口太累了，进来容易出去难，在停车场出口等了一个半小时，就出不去???回家太难,0.0,景区还可以，停车场出口太累了，进来容易出去难，在停车场出口等了一个半小时，就出不去?回家太难,景区 停车场 出口 太累 停车场 出口 一个半 小时 出不去 回家 太难,"[(0, 0.931798), (1, 0.033833623), (2, 0.0343684)]",0,负面
HhZ788549259,2022年2月15日,还是挺不错的，很有震撼力。,1.0,还是挺不错的，很有震撼力。,挺不错 震撼力,"[(0, 0.11449704), (1, 0.12373147), (2, 0.76177144)]",2,非负
匿名用户,2022年2月14日,景区不错就是和想象中有些许的区别,1.0,景区不错就是和想象中有些许的区别,景区 不错 想象 中有 些许 区别,"[(0, 0.05365638), (1, 0.049440734), (2, 0.8969029)]",2,非负
hongleiy,2022年2月1日,风情很美丽，商业气息太严重，必须坐船才能玩，但是价格又很贵，无路可退。,0.0,风情很美丽，商业气息太严重，必须坐船才能玩，但是价格又很贵，无路可退。,风情 美丽 商业 气息 坐船 价格 无路 可退,"[(0, 0.03930274), (1, 0.9204904), (2, 0.04020686)]",1,非负
eKm877473419,2022年2月6日,一般都算不上。二班的。不建议够买，关键是价高没什么东西。,0.0,一般都算不上。二班的。不建议够买，关键是价高没什么东西。,算不上 二班 建议 够买 关键 价高 没什么 东西,"[(0, 0.92157793), (1, 0.0387505), (2, 0.039671533)]",0,非负
浪漫樱花514,2022年2月6日,灯光，冰灯还是不错的，就是人有点多呀！应该限流呀！必定是疫情期间呀,1.0,灯光，冰灯还是不错的，就是人有点多呀！应该限流呀！必定是疫情期间呀,灯光 冰灯 不错 限流 疫情 期间,"[(0, 0.8841276), (1, 0.052724037), (2, 0.063148305)]",0,非负
蝴蝶犬多多,2022年2月13日,冰灯很好看,1.0,冰灯很好看,冰灯 好看,"[(0, 0.14578228), (1, 0.6910929), (2, 0.16312484)]",1,非负
蝴蝶犬多多,2022年2月13日,冰灯很好看,1.0,冰灯很好看,冰灯 好看,"[(0, 0.14577977), (1, 0.6911371), (2, 0.16308315)]",1,非负
恰同学少年啊,2022年2月7日,赞叹大自然的鬼斧神工，赞叹中国冰雕手的巧夺天工，就是有点冷…,1.0,赞叹大自然的鬼斧神工，赞叹中国冰雕手的巧夺天工，就是有点冷…,赞叹 大自然 鬼斧神工 赞叹 中国 冰雕 巧夺天工,"[(0, 0.8971621), (1, 0.04331583), (2, 0.059522085)]",0,非负
LzE300499437,2022年2月11日,没有什么意思，半小时就逛完了，感觉不值,0.0,没有什么意思，半小时就逛完了，感觉不值,半小时 感觉 不值,"[(0, 0.09863893), (1, 0.48336518), (2, 0.4179959)]",1,负面
匿名用户,2022年2月11日,人比较多，停车困难，但是冰灯还是值得一看的。,1.0,人比较多，停车困难，但是冰灯还是值得一看的。,停车 困难 冰灯 值得一看,"[(0, 0.8528259), (1, 0.07426934), (2, 0.07290478)]",0,非负
dbking521,2022年2月3日,排队三个小时，时间太长了，景点感觉一般，不值得花这么长和金钱过去,0.0,排队三个小时，时间太长了，景点感觉一般，不值得花这么长和金钱过去,排队 三个 小时 时间 太长 景点 感觉 值得 金钱,"[(0, 0.037017137), (1, 0.038322903), (2, 0.92465997)]",2,负面
匿名用户,2022年2月13日,非常晚才送到 打电话投诉 也找不到电话,0.0,非常晚才送到 打电话投诉 也找不到电话,晚才 送到 打电话 投诉 不到 电话,"[(0, 0.89779174), (1, 0.048015386), (2, 0.054192927)]",0,负面
rne619335683,2022年1月30日,没什么东西玩，雪上滑梯什么的不大，刚一进去挺震撼，但是没啥东西看，冬天其它项目都封闭了,0.0,没什么东西玩，雪上滑梯什么的不大，刚一进去挺震撼，但是没啥东西看，冬天其它项目都封闭了,没什么 东西 滑梯 刚一 震撼 东西 冬天 项目 封闭,"[(0, 0.92302454), (1, 0.039022025), (2, 0.03795349)]",0,非负
HYUNDAICOD,2022年2月10日,哦工作一麻袋????民医院这里玩游戏,0.0,哦工作一麻袋?民医院这里玩游戏,工作 麻袋 民医院 玩游戏,"[(0, 0.06976838), (1, 0.06736584), (2, 0.86286575)]",2,非负
hmw235210990,2022年2月12日,因为是白天去的没有看出效果来。,0.0,因为是白天去的没有看出效果来。,白天 效果,"[(0, 0.118119724), (1, 0.7629454), (2, 0.11893492)]",1,非负
AgB5347655,2022年2月6日,不好，对不起门票的钱，东西贵买东西还带有欺骗行为,0.0,不好，对不起门票的钱，东西贵买东西还带有欺骗行为,不好 对不起 门票 东西 贵买 东西 带有 欺骗,"[(0, 0.039046824), (1, 0.03828279), (2, 0.92267036)]",2,负面
UzZ901175901,2022年2月3日,人太多了，冰灯还是往年那样，最好别带太小的孩子，看着可怜,0.0,人太多了，冰灯还是往年那样，最好别带太小的孩子，看着可怜,人太多 冰灯 往年 别带 太小 孩子 看着 可怜,"[(0, 0.05267356), (1, 0.9051826), (2, 0.04214386)]",1,非负
AgB5347655,2022年2月6日,不好，不值，明不符实，来一次不想第二次，买东西还带有欺骗,0.0,不好，不值，明不符实，来一次不想第二次，买东西还带有欺骗,不好 不值 不符 不想 第二次 东西 带有 欺骗,"[(0, 0.03806748), (1, 0.037931293), (2, 0.9240012)]",2,负面
eKm877473419,2022年2月6日,太一般了，名不符其实，太不值。被忽悠了！不推荐！,0.0,太一般了，名不符其实，太不值。被忽悠了！不推荐！,不符 不值 忽悠 推荐,"[(0, 0.06873361), (1, 0.074730344), (2, 0.85653603)]",2,负面
Xsb543053582,2022年2月3日,"太差了，临时停车场出来堵了三小时才出来，也没人管理。
还没有去的就别去了",0.0,太差了，临时停车场出来堵了三小时才出来，也没人管理。还没有去的就别去了,太差 临时 停车场 小时 没人 管理 别去了,"[(0, 0.050203327), (1, 0.04787983), (2, 0.90191686)]",2,负面
AgB5347655,2022年2月6日,名不负，态度不好，买东西带有欺骗游客行为,0.0,名不负，态度不好，买东西带有欺骗游客行为,不负 态度 不好 东西 带有 欺骗 游客,"[(0, 0.045736715), (1, 0.04267704), (2, 0.9115862)]",2,负面
Oxa233400753,2022年2月5日,一般 堵车 不冷 人超多 人多到不行。,0.0,一般 堵车 不冷 人超多 人多到不行。,堵车 不冷 人超 人多到 不行,"[(0, 0.059537888), (1, 0.059091024), (2, 0.88137114)]",2,负面
ACZ310541765,2022年2月3日,堵车，场地设置差劲，商家太狠了，一个冷面20，火腿肠15,0.0,堵车，场地设置差劲，商家太狠了，一个冷面20，火腿肠15,堵车 场地 设置 差劲 商家 太狠 冷面 火腿肠,"[(0, 0.038968362), (1, 0.922225), (2, 0.038806655)]",1,负面
匿名用户,2022年2月2日,体验非常不好，管理混乱，车场明明有好多停车位却不让停。?,0.0,体验非常不好，管理混乱，车场明有好多停车位却不让停。?,体验 不好 管理混乱 车场 明有 好多 停车位 不让,"[(0, 0.91520995), (1, 0.040543307), (2, 0.044246763)]",0,负面
mipni,2022年2月6日,很不错的看冰雕，美不胜收，不虚此行,1.0,很不错的看冰雕，美不胜收，不虚此行,不错 冰雕 美不胜收 不虚此行,"[(0, 0.8469266), (1, 0.07055355), (2, 0.08251983)]",0,非负
Oxa233400753,2022年2月5日,人多 车多 超堵车  很冷 很累。。。早点到,0.0,人多 车多 超堵车 很冷 很累。早点到,人多 车多 堵车 很累 早点,"[(0, 0.061438937), (1, 0.87709504), (2, 0.061466)]",1,非负
匿名用户,2022年2月1日,不好，景区入口太乱了，买票不发二维码，买了还用不了，进口临时再买还让多花钱了,0.0,不好，景区入口太乱了，买票不发二维码，买了还用不了，进口临时再买还让多花钱了,不好 景区 入口 太乱 买票 不发 二维码 进口 临时 多花钱,"[(0, 0.031660467), (1, 0.03132481), (2, 0.9370147)]",2,负面
钱特助猫猫,2022年1月26日,和老公一起去的，很多年没来过了，冰灯种类不算太多，整体还凑合吧，人挺多的。,1.0,和老公一起去的，很多年没来过了，冰灯种类不算太多，整体还凑合吧，人挺多的。,老公 很多年 没来 冰灯 种类 不算 整体 凑合,"[(0, 0.04239766), (1, 0.91613436), (2, 0.04146794)]",1,非负
wojiushiwo1006,2022年2月5日,除了堵，除了人多，别的没毛病！,0.0,除了堵，除了人多，别的没毛病！,人多 毛病,"[(0, 0.12673837), (1, 0.39636573), (2, 0.47689587)]",2,非负
匿名用户,2022年2月6日,好玩，就是人太多了，景色很美,1.0,好玩，就是人太多了，景色很美,好玩 人太多 景色,"[(0, 0.8019596), (1, 0.09560257), (2, 0.10243781)]",0,非负
钱特助猫猫,2022年1月26日,很多年没有来了，冰灯种类不算太多，气温回升有点化了，地上有水，人还是挺多的。,0.0,很多年没有来了，冰灯种类不算太多，气温回升有点化了，地上有水，人还是挺多的。,很多年 冰灯 种类 不算 气温 回升 地上 有水,"[(0, 0.038520332), (1, 0.9221651), (2, 0.039314564)]",1,负面
匿名用户,2022年2月2日,尽量别去，非常坏脏乱差的地方。?,0.0,尽量别去，非常坏脏乱差的地方。?,别去 脏乱差 地方,"[(0, 0.80105215), (1, 0.10466162), (2, 0.09428622)]",0,负面
dbking521,2022年2月3日,排队时间长，人多，服务不到位，不太推荐,0.0,排队时间长，人多，服务不到位，不太推荐,排队 时间 人多 服务 到位 不太 推荐,"[(0, 0.048419923), (1, 0.8957847), (2, 0.055795386)]",1,负面
琴瑟0926,2022年2月1日,超级差评，管理太差，停车场 2个小时都没走出去，,0.0,超级差评，管理太差，停车场 2个小时都没走出去，,超级 差评 管理 停车场 小时,"[(0, 0.05946421), (1, 0.06823477), (2, 0.872301)]",2,负面
Ldi463054811,2022年2月5日,一般吧，感觉也没啥，，，！。，。,0.0,一般吧，感觉也没啥，！。，。,感觉,"[(0, 0.19210806), (1, 0.6247347), (2, 0.18315724)]",1,非负
ACZ310541765,2022年2月3日,太差了，堵车，服务基本没有，太失望了,0.0,太差了，堵车，服务基本没有，太失望了,太差 堵车 服务 失望,"[(0, 0.19918361), (1, 0.72259563), (2, 0.078220755)]",1,负面
VCY316811370,2022年2月3日,今年的冰灯很有特色，漂亮,1.0,今年的冰灯很有特色，漂亮,冰灯 特色 漂亮,"[(0, 0.81024826), (1, 0.09462216), (2, 0.09512954)]",0,非负
PZD205842538,2022年1月27日,还是那些东西 景色还可以 就是冰灯少,1.0,还是那些东西 景色还可以 就是冰灯少,东西 景色 冰灯,"[(0, 0.7940739), (1, 0.10445364), (2, 0.101472504)]",0,非负
匿名用户,2022年1月22日,没有达到预期，明显的实际不如推荐的效果，以及停车场管理不规范,0.0,没有达到预期，明显的实际不如推荐的效果，以及停车场管理不规范,预期 推荐 效果 停车场 管理 规范,"[(0, 0.05196307), (1, 0.8944864), (2, 0.05355046)]",1,非负
东海甜心,2022年1月23日,地儿有点小，还挺好看的，里面也不特别冷,1.0,地儿有点小，还挺好看的，里面也不特别冷,地儿 好看 特别,"[(0, 0.08956498), (1, 0.096361294), (2, 0.81407374)]",2,非负
uVV387047538,2021年10月6日,不错，经常有很多新菜上新，满足我的需求，支持！真是没想到，这个价格和质量都有惊到我，真的很nice?真的是良心商家呀，量大又便宜，种类还这么丰富，非常?借着假期过来打卡?，果然没有让我失望，首先很喜欢这里的环境，其...,1.0,不错，经常有很多新菜上新，满足我的需求，支持！真是没想到，这个价格和质量都有惊到我，真的很nice?真的是良心商家呀，量大又便宜，种类还这么丰富，非常?借着假期过来打卡?，果然没有让我失望，首先很喜欢这里的环境，其.,不错 新菜 需求 支持 没想到 价格 质量 真的 真的 良心 商家 便宜 种类 借着 假期 打卡 失望 喜欢 环境,"[(0, 0.9597576), (1, 0.021435164), (2, 0.018807188)]",0,非负
XER443379696,2021年8月12日,"交通：自驾最方便。我们马驹桥出发，可以选择不走高速，走五环，然后走G6辅路，去程2小时30分钟。
停车：20元/次，入场先交费用。
门票：40/人。可以在美团预定，也可以在微信公众号#龙庆峡#预定。也可以到景区现场买，价... ",1.0,交通：自驾最方便。我们马驹桥出发，可以选择不走高速，走五环，然后走G6辅路，去程2小时30分钟。停车：20元/次，入场先交费用。门票：40/人。可以在美团预定，也可以在微信公众号#龙庆峡#预定。也可以到景区现场买，价. ,交通 自驾 马驹桥 出发 选择 高速 五环 辅路 去程 小时 分钟 停车 入场 交费用 门票 美团 预定 微信 公众 龙庆峡 预定 景区 现场,"[(0, 0.015160569), (1, 0.0152062895), (2, 0.9696331)]",2,非负
uVV387047538,2021年10月6日,店里音乐?恰到好处，非常适合晚上下班之后和朋友来这小聚，能缓解一天的疲劳这个太棒了，完全是我的心头好呀，给大家疯狂安利点了好多吃的，味道真的没得说，尤其配上店里的饮料，绝了呀特别感谢工作员，昨天非常耐心地给予专业的指导... ,1.0,店里音乐?恰到好处，非常适合晚上下班之后和朋友来这小聚，能缓解一天的疲劳这个太棒了，完全是我的心头好呀，给大家疯狂安利点了好多吃的，味道真的没得说，尤其配上店里的饮料，绝了呀特别感谢工作员，昨天非常耐心地给予专业的指导. ,店里 音乐 恰到好处 非常适合 晚上 下班 朋友 这小聚 缓解 疲劳 太棒了 心头 疯狂 安利 好多 味道 真的 没得说 店里 饮料 特别感谢 工作 昨天 耐心 给予 专业 指导,"[(0, 0.9751056), (1, 0.012556357), (2, 0.012338031)]",0,非负
蕾蕾彤,2022年1月20日,值得一游,1.0,值得一游,值得 一游,"[(0, 0.12044053), (1, 0.116160475), (2, 0.763399)]",2,非负
hLi306206932,2022年1月16日,挺好的和家人朋友一起去体验的感觉挺好,1.0,挺好的和家人朋友一起去体验的感觉挺好,家人 朋友 体验 感觉,"[(0, 0.85165435), (1, 0.07369819), (2, 0.07464748)]",0,非负
fvt300484609,2022年1月18日,不错,1.0,不错,不错,"[(0, 0.6477299), (1, 0.17267352), (2, 0.17959662)]",0,非负
CeI124871036,2022年1月11日,票价高，服务少，环境跟以前一样没变化,0.0,票价高，服务少，环境跟以前一样没变化,票价 服务 环境 变化,"[(0, 0.082805514), (1, 0.081189446), (2, 0.8360051)]",2,非负
zYC129518654,2022年1月9日,还好吧  感觉冰灯有点少  没怎么看呢  就没了,1.0,还好吧 感觉冰灯有点少 没怎么看呢 就没了,还好 感觉 冰灯,"[(0, 0.090142645), (1, 0.81994957), (2, 0.089907795)]",1,非负
匿名用户,2022年1月12日,非常好，值得推荐去一趟，空气好,1.0,非常好，值得推荐去一趟，空气好,值得 推荐 去一趟 空气,"[(0, 0.075193085), (1, 0.8409958), (2, 0.08381112)]",1,非负
匿名用户,2022年1月9日,风景特别特别好，强烈推荐大家去,1.0,风景特别好，强烈推荐大家去,风景 特别 强烈推荐,"[(0, 0.10386001), (1, 0.112676576), (2, 0.7834634)]",2,非负
