content,class,fenci
回复  :你该把你扔到河南那边读书，有些事情得亲身经历才有用，要不然永远是站着说话不腰疼，这是我根据海量案例总结出来的一个规律，你说的好像也挺有道理的，我都看完了，有道理，毕竟前人栽树后人乘凉。他的父辈努力了，他的后代理所应当接受更好的教育，还有更少的竞争，我就害怕啥呢，就害怕以后愈演愈烈，越来越离谱，那就不太正常了,污名化,回复 读书 事情 亲身经历 有用 说话 腰疼 海量 案例 规律 好像 道理 道理 父辈 努力 接受 害怕 害怕 离谱
回复  :太厉害啦，每天睡四个小时北京卷才考这难度？？我们这里高三还没复习的写北京卷子都能考600,污名化,回复 厉害 小时 复习 卷子
回复  :河南的上大专上什么大学,污名化,回复 大专 大学
回复  :每年录取人数录取比例网上摆着，自己去查呗反正连高种姓录取率的1/10都没有,相对剥夺,回复 录取人数 录取 比例 连高 种姓 录取率
回复  :难道只有北京四中的孩子是祖国未来的建设者吗？这跟那些别的地市相比，确实是属于上流社会了吧？你觉得我们说话都是嫉妒，那你呢，难道是心虚吗？做出这番解释是干嘛呢？北京就是教育资源，优质就是卷子简单。这些少爷小姐们确实比我们这些低层小镇做题家条件环境优渥，难道说出来这些东西不行吗？,群体对立,回复 孩子 祖国 建设者 相比 确实 说话 嫉妒 心虚 做出 解释 干嘛 教育资源 优质 卷子 简单 少爷 确实 低层 题家 条件 环境 优渥 不行
回复  :我骂的是你吗你就来这自告奋勇犯贱？我有说过其他学生不是祖国建设着吗？但四中学生参加个舞会怎么了？不是，又不是四中学生扣着你们不让你们参加舞会，教育事业的发展是教委和政府的事，网上一群人骂学生干嘛？这咋还用上流社会这个词呢，教育事业发展到一定程度全国的学校都可以办，你这上流社会说的跟你家经济水平不行即使办了舞会你也不配参加似的。我不解释就看着一群网友把火气往学生身上撒？好家伙还心虚才解释，你怕不是希望参加舞会的人毕恭毕敬的想：我参加了舞会可是好多人都没能参加，我有罪，我就该承受全网的怒火？按你思路的话因为世界上存在先天残疾的人可你四肢健全，要不你把自己腿锯了？,群体对立,回复 犯贱 学生 祖国 学生 参加 舞会 学生 不让 参加 舞会 事业 教委 政府 学生 干嘛 事业 程度 全国 学校 经济 水平 不行 舞会 不配 参加 解释 看着 网友 火气 学生 心虚 解释 希望 参加 舞会 参加 舞会 没能 参加 承受 全网 怒火 思路 世界 残疾 四肢 健全
回复  :你说就说啊我骂得又不是你你爱咋说咋说，普普通通过生活的四中学生参加了个舞会就变成少爷小姐了？这个舞会有场地有琴有灯光有人有礼服不就行了吗？还是家里买得起几百块一千块的礼服的人就是少爷小姐？,污名化,回复 学生 参加 舞会 少爷 舞会 灯光 礼服 买得起 礼服 少爷
回复  :我看你这账号生活挺充实的呀，不至于连几百一千的礼服都买不起，原来你是个阔少爷阔小姐啊！,污名化,回复 账号 充实 礼服 买不起 阔少爷
回复  :你好能偷换概念啊 不知道是故意的还是逻辑能力确实不行捏,相对剥夺,回复 逻辑 能力 确实 不行
回复  :你的内心竟然这么恐怖！殖民破坏了殖民地人们正常生产生活和发展的权利，给被殖民地人们带来了巨大灾难，是反人类的，我应该举报你看看，说不定能阻止你未来变成间谍什么的。从你的话来判断，你一看就是那种为了发展，毫无道德底线的人，你这话让那些为了反抗殖民统治而牺牲或受害的人们看了直摇头，就凭你这话你就不该出生，真让人心寒啊，得亏你不出生在抗日战争时代，要不然绝对是一顶一的大汉奸，是那种为了苟活（即生存、发展）不惜出卖同胞的人，是中华民族的灾难与耻辱。话说你真真是觉得网上言论自由吗，你到底上没上过政治课呀,群体对立,回复 内心 恐怖 殖民 破坏 殖民地 权利 殖民地 带来 灾难 人类 举报 阻止 间谍 判断 底线 反抗 殖民统治 牺牲 受害 摇头 不该 出生 真让人 心寒 得亏 出生 时代 汉奸 苟活 生存 不惜 出卖 同胞 灾难 耻辱 上过 政治课
你以为北京就不是吗 网络不是用来骂战的地方 视频也不是用来划分界线站队的地方,污名化,网络 骂战 地方 视频 站队 地方
回复  :北京是容易，但是某些外地的说话确实得注意点了,污名化,回复 外地 说话 确实
有没有吴三桂我在给大伙表演一个入关。京✌🏻们等我,污名化,有没有 大伙 表演 入关
还行吧。。都2023年了。。。还不能整点新鲜的么。。。再说舞台也不夸张啊。就个丑爆的红地毯和一块桁架背景板，加上音响，一天租赁费用也就2000。。。主要就是学生确实穿的不错。这个活动来说，整体搭建预算真没几个钱，肯定比什么校园文化节租个剧院便宜海了。,不良示范,还行 整点 舞台 夸张 丑爆 桁架 背景 音响 租赁 费用 学生 确实 不错 整体 搭建 预算 肯定 校园 文化节 剧院 便宜
山东人当然知道你说的这些。但是我已经无力改变了。如果你们想要改变，那么加油年轻人。我只是觉得，既然学校有能力，学生有需求，能更好的更多元化的服务于学生，都是值得其他学校学习的。,污名化,无力 改变 想要 改变 加油 年轻人 学校 能力 学生 需求 学生 值得 学校 学习
教育很公平啊,不良示范,公平
现实往往比电影魔幻,相对剥夺,现实 电影 魔幻
还好我高中没有这种舞会，不然社恐+运动白痴又要多个黑历史了,相对剥夺,还好 舞会 社恐 历史
高中有个类似的活动我穿个校服就去了,相对剥夺,类似 校服
那你应该不是和他们一起考和的港爷,污名化,考和 港爷
我说明一下，北京高中不是这样的至少我所在的海淀区，据我所知没有这么豪华的活动,污名化,豪华
至少我所在的山东临沂，中考没有这么简单分数线这么低录取率这么高的，放眼山东，从没有这么容易上好大学的,污名化,简单 分数线 录取率 放眼 大学
气有什么用，好好想想该怎么做吧,相对剥夺,想想
凭什么我每周六交600补习费只为考上衡中高考工厂啊，我也得怨天不仁了,污名化,补习 考上 高考 工厂 怨天 不仁
等等，我们这里也是人均每周六百补习费啊去年一年补习就花了十几万了说实话综合素质是真比不过。。。所有人都觉得题简单都卷满分高分去了不补完全跟不上。。我就没见过我们这不补习的人,其他,补习 补习 素质 所有人 简单 高分 跟不上 没见 补习
没毛病，对于大多人来说，换成你我是那个社会阶层的人，也会让孩子这样的,群体对立,毛病 换成 社会阶层 孩子
我们每年都有舞会哈哈,相对剥夺,舞会
羡慕捏,不良示范,羡慕
羡慕，他们过的是人的生活，我初高中要被逼着剪成寸头，哪怕我是女的。,不良示范,羡慕 剪成 寸头
想起茶馆里的一句话“是条狗，也得托生在北京城里。”,污名化,想起 茶馆
看到这种我只有在校园电视剧才能看到的画面我心情还是蛮复杂的，社交？表达？侃侃而谈？展现自己？这些似乎从没在我身上发生过，是的，我们从小到大都有在好好学习，可我们学到的东西好像又不太一样...,相对剥夺,校园 电视剧 画面 心情 社交 表达 展现 发生 好好学习 学到 好像
是的，已你们那边的经济水平来说正常，当时对于我们这种高中三年除了做题背书的人来说是无法想象的，差距太大了，看完给我的感觉好夸张，然后是北京啊，正常。这种信息随着年龄增长给我的感受就是从不可置信到厉害了这么牛，已经习惯了贫富的差距了，毕竟身材的有钱人都给我很强的疏远感，何况北京的有钱人。,污名化,经济 水平 背书 想象 差距 看完 感觉 夸张 信息 年龄 增长 感受 是从 厉害 习惯 贫富 差距 身材 有钱人 疏远 有钱人
搞这个对于某些学校来说不难，高配搞不了，低配有啥问题，对于广东经济好点地区，真的没啥问题，最大问题是学生升学率还有卷的程度，我高中时，老师对我们说过最多一句话就是一分百万人。,污名化,学校 配有 经济 地区 学生 升学率 程度 老师
回复  :只能说这种东西经济是基础，当不是全部。只能发达的地区和优越条件，出现这种场面才正常，我第一次去国际学校，给学生体检时，大吃一惊，从教室到体育馆，中午学生食堂，不是没见过比这好的，当是一个中学这么华丽，给我的感觉就是中学生活，活到狗身上了。只能说这很正常,群体对立,回复 只能 经济 基础 只能 发达 地区 优越 条件 场面 国际 学校 学生 体检 教室 体育馆 学生 食堂 没见 中学 感觉 中学 活到 只能
想了很多最后还是觉得没有资格说，因为自己的幸运不过是幸存者偏差，我仿佛是那个在会场里搬着木头板凳坐在边缘旁观上流舞会的人。但至少，我的在：我进了会场。初中的时候会想：我上一代确实从种地的大贫农变成了知识分子然后留在北京，那些抱怨的人他们的爸妈也能通过考学留北京吧？后来一想，这样的概率有多少呢？在竞争和筛选中，有多少人被筛掉，又有多少人连参与筛选的资格都没有？如果开局是孤儿、留守、残疾、赤贫、交通通讯不发达、被家庭暴力、被性侵、重男轻女资源倾斜、遭遇意外灾难……他们的命运又将怎么样？会不会再也没有被我们看到的机会？况且“筛选”这件事本来就是不公平的。所以“贫下中农通过苦苦读书考到北京”这种事，真的是凭个人意志就能实现的吗？能力？运气？天国乐园打开了一扇小窗，从里面伸出一只神明的手向人间施舍地撒几粒糖块，随机地被大地上抢得你死我活的人分走。一小部分人获得了通往天国的门票，剩下的人类继续活在苦难之中，为吃一块树皮打得你死我活。实现阶层跃迁的机会只有那么几个，所有人挤得头破血流。就像永无止境和盼头的摇号，所有人都被规则奴役，对于匮乏资源的争抢产生的冲突对立争斗战争作为阴影刻在人们畏惧死亡的骨血里，没有人幸存。所以我们这些通过筛选一步步爬上去的人，也没有不质疑这套体系存在的必要。我现在的疑惑是怎么才能帮得到一些不那么有的人（可能我在其它的一些方面是弱势群体所以我会体会到一些类似的感受），进而去改变这种格局。如此宏观的理念，我不知从何入手……,群体对立,资格 幸运 偏差 会场 木头 板凳 坐在 边缘 旁观 舞会 会场 确实 种地 贫农 知识分子 留在 抱怨 爸妈 考学 概率 筛选 筛掉 参与 筛选 资格 开局 留守 残疾 赤贫 交通 发达 被性 重男轻女 资源 倾斜 遭遇 意外 灾难 命运 机会 筛选 公平 苦苦 读书 意志 能力 运气 乐园 打开 小窗 伸出 神明 手向 人间 糖块 地被 人分 门票 剩下 人类 苦难 树皮 阶层 跃迁 机会 所有人 头破血流 盼头 摇号 所有人 规则 奴役 匮乏 资源 争抢 对立 战争 阴影 畏惧 死亡 骨血 幸存 筛选 爬上去 质疑 体系 疑惑 我会 体会 类似 感受 改变 格局 宏观 理念 不知 入手
从社会功能主义者的理论角度来说，这似乎是件不可能的事情，而且本人也承认不平等存在的必然性……我作为一个普通人，我只能寄希望于这种不平等的阶段尽早结束。,群体对立,社会 功能 主义者 理论 角度 事情 承认 平等 普通人 只能 平等 阶段 结束
真的彻底破防了，半夜看到这个真的想哭。我只是想要在高中生活中为未来撒下汗水的同时，又会为眼前的生活放声大笑，我有什么错吗,相对剥夺,破防 想要 汗水 放声 大笑
我打了好多字，最后都删掉了，想说点什么，又感觉老生常谈无甚意思。我25了，985本硕，高中就不说了，大学和读研都每天三点一线，之前有一次面试，听说最好穿正装，我没有，学校附近可以租，一天100，嫌贵，就没有去租，所以看到他们这个舞会我第一反应不是羡慕，是在想他们穿的西装和礼服是租的还是买的，买的话应该会很贵吧。我高考是全省前1%，一路卷过来，但我想我努力一辈子也够不上他们中大多数人的起点吧，我已经不再愤怒，但我觉得不应该是这样的。,相对剥夺,删掉 感觉 大学 读研 面试 听说 学校 嫌贵 舞会 羡慕 西装 礼服 很贵 高考 全省 努力 起点 愤怒
年轻真好岁月静好,不良示范,年轻
北京爷确实舒服,污名化,确实 舒服
以前看了也不服，现在感觉真无所谓，本来就没啥公平可言，就跟罗翔说的人生把自己手里的牌尽量打好就不错了,相对剥夺,不服 感觉 公平 可言 人生 打好 不错
人分三六九等，这世界也有参差。我觉得挺好啊,相对剥夺,人分 世界 参差
绷不住了,相对剥夺,不住
因为这个北京四中舞会骂所有的北京人真没必要。我们普通人不应该是你们的发泄对象,污名化,舞会 普通人 发泄 对象
还好我高中的时候学校管得不严，社团活动什么的也很多，音乐美术体育课也从来没人占,相对剥夺,还好 学校 不严 音乐 美术 体育课
看看哪个学校吧，北京，什么概念，唉。真的的爱国是底层人民最后的尊严啊。,群体对立,学校 概念 底层 尊严
人民的好舞会，人民的好贵族！致敬达瓦里氏！,污名化,舞会 贵族 致敬
你的童年我的童年好像不一样，共同，怎么会出现一个在天一个在地窖的差别，河道地势不同水趟不平有深浅很正常。怎么会出现个堤坝改道了，原河道只有满溢出来的那点水，这是上游没下雨所以下游没水还是什么原因，不懂。,相对剥夺,好像 地窖 河道 地势 水趟 不平 深浅 堤坝 改道 河道 满溢 下雨 没水 原因
不懂了吧哈哈，人工堤坝，小子！有学的呢,相对剥夺,人工 堤坝 小子 有学
对学校来说成本不高，但是下面学校都很卷，哪有空办这个，其次你看那些学生的‘装备’，其实比较贵了，普通地区的孩子正常是舍不得买的,相对剥夺,学校 成本 学校 学生 装备 地区 孩子 舍不得
回复  :租的呗，北上广的普通家庭收入和生活成本也确实高，百来个人三年交一次5、6百也不奇怪,污名化,回复 收入 成本 确实 奇怪
回复  :行吧，我找了蛮久，发现价格5000-8000都有，不考虑团购一类的那确实也可能6000一天。不过说到底一年办一次的东西有人花几千块撑场面也不奇怪，毕竟我一朋友到深圳做工一个月都10来，北上广的一年花个几千块也谈不上什么天文数字，毕竟现在随个礼都不敢出三位数了,污名化,回复 蛮久 发现 价格 团购 确实 撑场面 奇怪 朋友 做工 天文数字 三位数
回复  :一天六千（）三年六千（✓）广西老铁（  ）广西老铁讨论北上广消费水平（✓）,污名化,回复 老铁 老铁 讨论 消费水平
我小时候一家人恩格尔系数就已经拉完一半了，我二十几岁就去过一次上海，没去过北京六千比父母一个月工资还高，我打工一个月三千……同休息室的老师傅五千，这还是有生命危险的钢铁厂，铁水罐就在我们附近运动，铁水花没少贴脸看，不过接触到空气后快速冷却不会点燃衣物，上次修路都要擦着铁水罐进出厂房。吃穿现在都是父母掏钱，今年买了这辈子第一个过四千（九千）的笔记本。五千工资还是江苏地区的平均水平。六千买耐用品除了电脑以外都基本上不可能，还租衣服吗？,污名化,小时候 一家人 拉完 父母 打工 钢铁厂 水罐 水花 少贴 接触 空气 冷却 点燃 衣物 修路 水罐 进出 厂房 父母 掏钱 笔记本 地区 平均水平 耐用品 电脑 衣服
回复  :上广深本来和我这还没什么关系，因为我这里是京杭大运河边上的枢纽，历史上如果北京没有什么生活需要都没我们这地方也不可能有什么存在的必要，这就比较尴尬了。同样的，我们这里的荣辱兴衰都是建立的物质基础在于北京需要什么物质基础。,污名化,回复 关系 枢纽 历史 地方 尴尬 建立 物质基础 物质基础
回复  :京城物质上的区位优势、自然物质优势无论如何没法和沿岸的漕运地区和下游供养地拉开差距，那么他们事实上的富裕资产该是如何积累的呢。一个人如何消费自己的财富，很大程度上取决于他如何挣钱，这个过程就像一个沙漏，隔岸相望。而他如何消费多余自身的价值，也代表着如何看待并不有多少“多余”的社会本身。,相对剥夺,回复 物质 区位 优势 物质 优势 没法 漕运 地区 供养 拉开 差距 富裕 资产 积累 财富 很大 程度 取决于 挣钱 过程 沙漏 相望 价值 代表 看待 社会
起码浙江大学里的浙江人考的是浙江卷,污名化,起码
地域差异太大,污名化,地域 差异
矛盾激化啦，这就是现实,相对剥夺,矛盾激化 现实
我这二三线城市学生会有成人礼也会让父母给孩子搞正装，搞活动。我虽然没见过，但是我觉得时代在发展，多点活动挺好。不知道这有啥好酸的。再者你指望有人自发或者上头资源调整那不是做梦么，发牢骚的话自己越想越气，不如关注点别的自己爱看的。,污名化,学生会 成人礼 父母 孩子 没见 时代 指望 自发 上头 资源 做梦 发牢骚 想越 关注点 爱看
我在安徽上的高中，虽然没这个舞会这么排面，不过有各种社团活动，每次运动会还有组织摆摊卖小东西啥的，感觉北京的好高中把我们高中课外活动的配置升级一波也不算太离谱，可能大伙还是小地方出来的人比较多，学校老是把学生关笼子里，就靠一块小屏幕看世界，能看出啥来呢？人的眼界很小，特别是我们这些青年学生，总是对外面的世界充满幻想，幻想被击碎的创伤正是不断重塑认识的过程,污名化,舞会 排面 运动会 组织 摆摊 感觉 课外活动 配置 不算 离谱 大伙 地方 学校 学生 笼子 屏幕 世界 眼界 很小 学生 世界 充满 幻想 幻想 击碎 创伤 重塑 过程
京沪 一般省城 小城市 县村人际关系区别很大，我曾经和同事朋友沟通过上学时候的回忆，其他区别以前都能想到，比较让我震惊的是一些地方学校 师生之间的关系。,污名化,省城 县村 区别 很大 同事 朋友 沟通 上学 回忆 区别 想到 震惊 地方 学校 关系
没想到吧，零食店收银员，疫情结束了也找不到工作，一堆公司都在缩开支准备大干一场哪里有空带学生,相对剥夺,零食 收银员 疫情 结束 不到 公司 开支 学生
区分是否是资产阶级的标准是看是否掌握生产资料，而不是看别人能不能去舞会….家里再有钱但不掌握生产资料那按照定义也是无产阶级,不良示范,区分 资产阶级 标准 舞会 有钱 定义
什么逆时空魔法，评论数和播放量倒着转,其他,时空 魔法 评论 播放
因为你们三个地儿是齐名的，北上广嘛，理解理解,污名化,地儿 齐名 理解 理解
回复  :然而广东的升学率已经很低了,污名化,回复 升学率
回复  :广东升学率很高是吧,污名化,回复 升学率
回复  :我的意思就是资金足的学校会搞这些，广东刚好学校基数大所以能搞的才多而且其实大部分人都很不愿意搞这种东西，你们首府也一样有这样的学校的,污名化,回复 资金 学校 学校 基数 首府 学校
京爷50吃肯德基,污名化,京爷
确实是经济发展好的敌方才有这种类型的活动，广东这边其实也是有的,不良示范,确实 经济 敌方 类型
敌方是吧，倒也没错哈哈,相对剥夺,敌方 没错
确实难以共情，这只是属于你们的高中青春生活捏,相对剥夺,确实 共情
北京独一档的素质教育,污名化,素质教育
你确定是同一阶级?,群体对立,阶级
同一阶级？那你可太高看我了,群体对立,阶级
回复  :国际学校还年年都办呢 怎么高考部办就不行,污名化,回复 国际 学校 高考 部办 不行
回复  :区分阶级是看手里是否掌握生产资料….你又怎么知道人家是发工资的还是领工资的,群体对立,回复 区分 阶级
羡慕，嫉妒，恨,相对剥夺,羡慕 嫉妒
其实很早就知道，人的身高是有差距的。但每次看到，心中难免会有羡慕。,不良示范,身高 差距 羡慕
希望被榨干之前能在上海攒够回家买房的钱，这些年好累啊,污名化,希望 榨干 攒够 回家 买房
打开视频第一反应是：居然是篮球馆，我们连操场都没有；第二反应：小小篮球馆居然能装下一个年级的人吗，我高中一个年级有3人。。。本人小时候曾经在北京上过几年学（跟着父母北漂）所以回到老家之后特别能感受到差距，像是一下子摔进坑里而且怎么努力也爬不出来的感觉。北京确实不是所有学校都这么奢靡，我之前的初中（北京的）就不会这样，不过当时我天真的以为北京的学校只不过是资源好一点，没想到已经大三了才知道原来有些学校是有和美国高中一样的活动的。。。哎,污名化,打开 视频 篮球馆 操场 篮球馆 能装 小时候 跟着 父母 回到 老家 感受 差距 像是 摔进 坑里 努力 感觉 确实 学校 奢靡 学校 资源 学校
其实这些就算了，主要是分数要求不同，北京本地考好学校和外地的不一样，办活动办呗，但是分数标准做到全国一致大多数人心里就平衡了。现在搞的很多省份卷得一批,污名化,分数 考好 学校 外地 分数 标准 全国 平衡 省份 卷得
给真正学习好的人才了,不良示范,学习 人才
回复  :还“学习好的人才”，北京的学习好，和山河四省的学习好是一回事吗？啥都怪自己是吧,污名化,回复 学习 人才 学习 学习 回事
平心而论，以我的学校的经历来看，参加一次这样的舞会成本不高（我是福建人，在上海读大学而已）,不良示范,学校 经历 参加 舞会 成本 大学
回复  :这个东西只就事论事的话完全错了，参加舞会成本不高，但是要制造这样的人文环境可是要长年累月砸钱才能养出来的，如果是整天为了升学考试焦头烂额的地方会有闲情雅致去搞舞会？如果是为了吃下一顿饭买房子赡养亲人家庭会有闲钱和精力去夜夜笙歌？四中这个舞会要只有参加成本不高这一个问题就太好了，可惜这不是现实,群体对立,回复 参加 舞会 成本 制造 升学考试 地方 闲情 雅致 舞会 买房子 赡养 亲人 家庭 闲钱 精力 笙歌 舞会 参加 成本 不高 可惜 现实
回复  : 而且四中的学生本来就是全北京头部的，全国奥赛拿金银奖的也不少，人家有放松一下的底气，真以为在北京就不用卷呗，你都在北京了，你不想上个好大学？是努力的上线高了，不是不用努力了，四中也是高一就晚自习到九点的，不公平在于同样的努力，上的大学更好，不是不用努力也能上好大学。,不良示范,回复 学生 头部 全国 银奖 放松 底气 不用 不想 大学 努力 上线 不用 努力 晚自习 公平 努力 大学 不用 努力 大学
回复  :是这样的，有人生在北京。但他们的先人也是努力才来到了北京,不良示范,回复 人生 先人 努力 来到
根本就不是，我是四中的，也参加过舞会，这就是一个不到九十平米的篮球场。我和我的同学大多都是普通家庭出生，父母也只不过是努力了一辈子最终成为北京的一颗螺丝钉的普通人。为什么要这么讽刺我们？我们只是想分享生活中的美好，仅此而已。,不良示范,参加 舞会 不到 篮球场 同学 出生 父母 努力 螺丝钉 普通人 讽刺 分享 美好
回复  :这跟时间成本有什么关系？讲真我觉得衡水那种模式才是错误的。大家都知道学习是讲究质与量并存的，衡水是典型的只考虑量不考虑质，既然北京四中愿意给自己的学生提供这个机会，学生为什么不能享受？我们学校也有类似的活动，参加活动的人也有领着政府和学校补贴过日子的人。最后她也去了清华。,污名化,回复 时间 成本 关系 讲真 模式 错误 学习 质与量 并存 典型 学生 提供 机会 学生 享受 学校 类似 参加 政府 学校 补贴 过日子
回复  :富人不是人？你心中还不是没把他们当做自己人,污名化,回复 富人 当做
回复  :你们那什么教育资源？,污名化,回复 教育资源
回复  :我大学在中外合办有类似的活动，每个人礼服钱要吧，鞋要配一双吧，妆得会画吧，头发得打理吧。花的钱想要控制确实可以控制在500以内，但这么一个活动需要花的精力与时间成本在我高中期间是完全无法想象的。（东部沿海省份省内3的高中，反正我们想都没想过）,污名化,回复 大学 合办 类似 礼服 头发 打理 想要 控制 确实 控制 精力 时间 成本 想象 省份
回复  :“好点的省重点”浙江算经济发达地区了吧，镇海杭二学军算好的省重点了吧，这些是我们高中时期想都不敢想的……,污名化,回复 重点 经济 发达 地区 重点 时期
确实哈哈哈,相对剥夺,确实
回复  :舞会谈不上，杭二学军社团活动、文艺晚会总有吧，要么是你毕业得太早了,不良示范,回复 舞会 毕业
回复  : 你上高中有没有体育节，有没有129合唱比赛，和这个所谓的舞会有啥区别呢，人家北京学校校领导脑子活泛能组织起来罢了。,不良示范,回复 有没有 体育节 有没有 合唱 舞会 区别 学校 校领导 脑子 活泛 组织
回复  :也许是东南沿海某些高中氛围不一样吧，母校松湖莞中，也许算个市重点吧，拿到省里和其他市重点比不了，我们也考全国卷（18年高考的，一卷来着），高中三年学业和课外活动并行，我都还留着晚会和成人礼和高中同学一起穿西装、礼裙的合照。松湖莞中也不是什么贵族学校，我也不是什么中产家庭、“既得利益者”，只是中考有幸考了全市前几千进去的。只能说确实有学校能做到课外活动与学习并重，大学在广州读的，从同学那里了解到省实、广雅之类的省重点成绩也好，课外也比我们搞得好，我也永远感激母校给我展示高中生活的精彩，高中也可以不只有刷题，可惜我是忝列门墙了，最后只考到一个双非，现在还在考研大军里苦苦等调剂,不良示范,回复 氛围 母校 重点 拿到 重点 全国 高考 学业 课外活动 并行 晚会 成人礼 西装 礼裙 合照 家庭 既得利益者 有幸 全市 只能 确实 学校 课外活动 学习 并重 大学 同学 重点 成绩 课外 感激 母校 展示 精彩 刷题 可惜 门墙 考到 大军 苦苦 调剂
回复  :我与我身边人的高中生活也不是完全的死读书，相反，我在高中时体验过运动会艺术节社团等等，我还排练过班级129节目，同时也在大学参加过新生舞会，因此，我清楚明白地理解后者与前者的不同——前者是对于集体这个概念的凝聚，而后者是对自我的倡导。两者在物质上需要的金钱和时间上所需要的精力投入都是不同的，它们的本质相差甚远。大部分人所针对的也只不过是“舞会”的象征意义。,不良示范,回复 死读书 体验 运动会 艺术节 社团 班级 节目 大学 参加 新生 舞会 理解 集体 概念 凝聚 倡导 物质 金钱 时间 精力 投入 本质 相差 舞会 象征意义
回复  :绷不住了，有几个好点的省重点,相对剥夺,回复 不住 重点
回复  :所以晚自习到几点真没什么意义，你就算下午六点就放学，你回家不卷？重要的还是学习时长，不是几点放学，人家四中该卷的都是回家学到12点，在学校在家无所谓的。光是我们学校晚上加课也加到8点，还要晚自习，回家还要学，到现在也还没卷过四中，所以真没轻松多少，北京是付出的努力能获得更好的回报，不是不付出努力就能获得回报，搞清楚。,不良示范,回复 晚自习 意义 放学 回家 学习 放学 回家 学到 学校 学校 加课 加到 晚自习 回家 没卷 轻松 付出 努力 回报 付出 努力 回报
回复  :是的，很多人联系到了公平上来，比如能不能考一张卷子，一个分数线，要是说不参加高考不占大学名额还好说，随便玩，出去留学就是了，但是这些人里面还是有很多人在国内上大学的，那么凭什么你在这岁月静好，人家要卷呢,相对剥夺,回复 公平 卷子 分数线 参加 高考 大学 名额 还好 留学 大学
回复  :你没错，我们从头到尾不忿的不是针对你们，而是你的,污名化,回复 没错
回复  :偶尔一次当然算不得什么，我家隔壁邻居都穷得家破人亡了过年还能咬咬牙吃几顿好的呢，但这几顿好的在你们眼里肯定算不上什么。就像舞会，普通学校咬咬牙狠心抽出时间金钱，办不了这么上档次的，一般的舞会也偶尔能办一次，但问题是这种上档次的舞会他们已经习以为常了，近四十年的舞会历史真的让我破防。原来阶级差异可以跨越时代差异，原来四十年前的他们就能享受到我现在享受不到的东西。,群体对立,回复 算不得 肯定 舞会 学校 抽出 时间 金钱 舞会 能办 舞会 舞会 历史 破防 阶级 差异 跨越 时代 差异 享受 享受 不到
回复  : 说老实话，成绩不是卷出来的（我在湖南上的中学，现在在上海工作了）,污名化,回复 成绩 中学
回复  :那是，我省的高中高考强度怎么配与广西比呢🤗,污名化,回复 高考 强度 配与
回复  :但是就算是在高考压力最大的几个省份，也有很多类似的活动啊。,污名化,回复 高考 压力 省份 类似
回复  :那倒是，这种类型活动我们小县城高中元旦也办过，就是质量差很多很多就是了，体育馆变教室，钢琴架子鼓吉他通通没有，两个话筒，要不是排练了个话剧，活像个,污名化,回复 类型 县城 质量 体育馆 教室 钢琴 架子鼓 话筒 话剧
回复  :你很幸运，北京的螺丝钉和山河四省的螺丝钉还是很不一样的。,污名化,回复 幸运 螺丝钉 螺丝钉
回复  :可是就算是高考压力最大的几个省份依然有很多类似活动啊。站发不了图片，不然我就传了,污名化,回复 高考 压力 省份 类似 图片
回复  :我并没有说别的省份就办不了啊，你为什么会这么认为？,污名化,回复 省份
回复  :不明白你为什么想证明办一个这样的舞会很简单，又是说成本不高又是说别的省份也有的。可是连运动会开幕式都被要求必须演红色主题的学校，办一个这样的“成本不高”的舞会不是难不难的问题而是根本不是一个世界的问题。哦你如果说红歌大会，那确实是有可能的。,污名化,回复 证明 舞会 简单 成本 省份 运动会 开幕式 红色 主题 学校 成本 舞会 世界 红歌 大会 确实
回复  :既然连大家公认的素质教育土壤最贫乏的地方都有类似的活动，那么能不能说明举办类似活动的阻力其实没那么大？或者说这个舞会的举办跟教育资源和阶级差异的关系没那么大？,不良示范,回复 公认 素质教育 土壤 贫乏 地方 类似 举办 类似 阻力 舞会 举办 教育资源 阶级 差异 关系
回复  :谁说阶级你跟他说去，我不认为这跟阶级有关。,群体对立,回复 阶级 阶级
回复  :我们在甘肃的市重点就没有，而且学校资源也很紧缺，北京这是公办高中，拿的是国家资源，这些资源能帮助多少西部山区的孩子吃上更好地营养餐和购买更好地教学设备啊！,污名化,回复 重点 学校 资源 紧缺 公办 国家 资源 资源 孩子 营养餐 购买 教学设备
回复  :我寻思演奏的也就那几个没法证明什么啊，你到其他高中里也总能挑几个会乐器的出来，虽说可能京爷会乐器的多点，不过这儿没体现啊,污名化,回复 演奏 没法 证明 总能 乐器 乐器 体现
回复  :不然你来一次大西北看看？,污名化,回复
回复  :有很多吗？郑州外国语都没见几次,污名化,回复 没见
美✌🏻，抽个绿卡,污名化,绿卡
又想起当年我朋友说他班上有个北京✌🏻他专科,污名化,想起 朋友 专科
吃就好好吃，别使劲吧唧嘴,相对剥夺,好吃 使劲
