,内容
451,老板，我家皂角树上有一个一尺直经的大灵芝，有什么作用，看它一直在长，就没折，现在要拆迁了，保不住了
452,皂角树上的树舌叫皂角菌 网上可以搜到它的药用价值。
453,紫灵芝应该最好，但是应该作用都不一样
454,有些我们这里太多了，没人要
455,在山里没人采，那个紫的山里没见过，其它都长在枯树老树上长的
456,关键采了不知道去哪卖，这个些很硬的又不能当菜吃，所以就没人采了
457,别说这些东西了，金蟾花当地人好多都不认识，他们还说有毒呢？还劝我别采来吃怕把我毒死了
458,有阿魏菌吗？
459,我们这赤色的灵芝好多
460,烂木头疙瘩 我们家里太多了
461,我只敢吃紫灵芝，树舌灵用来看
462,没有桑黄差评
463,红伞伞，白杆杆，吃完一起躺板板。躺板板睡棺棺，然后一起埋山山。埋山山哭喊喊，全村都来吃饭饭，吃饭饭有伞伞，全村一起躺板板
464,上次在山上捡到一个紫灵芝，被我爷爷奶奶说不值钱的，所以值钱吗
465,樟树根部长了一块透明玉石一样的树舌（无柄），不知道有什么作用？
466,现在是在学中药学了
467,不了解以为没用
468,我一袋紫灵芝丢阳台那
469,分不出来
470,我统一成为“灵芝”
471,哎，昨天在山上发现一大片革耳和枫树菌
472,云芝能直接煲水喝吗？
473,光以为灵芝有用，原来这么多都有用啊
474,云芝（云韵）这么黑
475,荔枝树长的灵芝有毒吗
476,长知识了，好喜欢这样的讲解
477,我家后院有一个想灵芝的东西结果过今天没了
478,这些个可以泡酒喝
479,我老婆生病那会我去山上采了很多紫灵芝
480,只有紫灵芝
481,南方灵芝和树舌灵芝有啥区别？
482,这种树舌我们一片樟树林里多的要命尤其是砍过的樟树底下好多好大个的，还以为是没用的东西，主播这个树舌有什么用？
483,树舌灵芝一般说的是平盖灵芝，比较大特别北方比较多，南方灵芝没有平盖灵芝大，边缘比较圆，而且生长时间一般一两年，药用价值也有区别。
484,樟树上的是什么菌
485,还有棺材菌
486,枯松干上长的红树菌可以用么？
487,灵芝怎么用
488,收购吗？
489,第二个炖腊牛肉天下无敌，其他味道怎么样不知道
490,我们这的没人要
491,烂木菌
492,除了灵芝 我们统称为老木菌
493,这么多种干嘛没看到我摘的哪种
494,我家乡多得很，没有人要。
495,枫树灵芝山上处处都是
496,我还不知道这个是药用的，我们都用来生火取暖
497,这些都可以吃吗
498,有的能吃，有的不能吃哦
499,哇塞！我居然只认识一个
500,能吃？
501,都是药用的，一般都配的。
502,昨天看见许多菌，就是不认识
503,我家这多了
504,我就想知道什么树上长的，可以用
505,这些我在山里都见过
506,不要乱吃
507,哇，涨见识了，原来我家捡的的两大朵叫裂迭灵芝，这货是干什么用的？
508,桑黄呢？
509,这些我从小看到大，总觉得没什么用。
510,你收吗？我给你留着，家乡很多
511,我去年在山里捡到过一颗小小的紫灵芝拿回家包排骨汤好苦呀
512,我去，我们老家那儿那么多，没人要
513,我看到的是拿棍打烂了因为我云南太多了，搞得我其他好吃的菌子都不长
514,你好，我们这里有野生红灵芝，黄灵芝
515,柳树上有，不知道有没有药用价值
516,去年采了大树舌灵芝
517,请问一下松树上的树舍有用吗？我看到好大一朵
518,有的树上生有像灵芝的，我们叫它老木菌，那个能吃吗
519,好多在野外见过 不敢採怕有毒
520,怎么判断灵芝的好坏呢？
521,品种不一样药用价值也不同，一般只要没发霉虫蛀的就可以。
522,只认识紫灵芝有用，但不知怎么用
523,裂褶菌我们云南叫白参
524,我家山上到处都是 没人要
525,认可
526,我以前从非洲带回来两个灵芝，那边没有一点污染
527,干枯的松树上的像灵芝叫什么，看着像树舌，但颜色带红
528,柳树上半圆白色的是什么？能吃吗？
529,除了灵芝 其他的在农村都能拿来烧火煮饭
530,我看着，除灵芝以外，都差不多
531,感觉我小时候砍柴时丢了一个亿
532,全是不值钱的
533,我有一个紫灵芝，五六十年了，爷爷给我的，还有一块东阿阿胶，八十多年了
534,你收吗，我给你邮寄去
535,不认识，统一喊老木菌
536,那个树舌灵芝点火可以烧很久
537,南方树舌多少钱一斤
538,桑黄和桦树茸为啥没有
539,我有野生紫灵芝一枚
540,野生灵芝捡到过
541,哦，原来有这么多名字。我家有好几种。都是野生的。都不知道卖到哪儿。
542,松树上的有用吗
543,最后一个我家原来有一个小点，不知道有撒用后来丟了
544,赤灵芝我们这边多
545,福建南平我家乡国家公园山上多，就是没人采，因为不知道有啥用
546,多少钱一斤？
547,云芝可以食用吗？
548,属于药用菌一般配药用，用于肝病比较多。
549,我有三个红灵芝，野生的
550,多少年的有药效？
551,蛇床也叫野茴香、野胡萝卜，它是伞形科蛇床属一年生草本植物。它结的果实就是大名鼎鼎的蛇床子。#野生植物 #蛇床 #蛇床子 #植物科普 @抖音自然 @抖音小助手
552,吓我一跳，第一眼我以为我买到胡萝卜假种子了
553,稀奇古怪的美食之白花蛇草水！我先喷为敬！#浙里嗨一夏 #浙江美好推荐官 
554,小时候挖过它的根吃
555,植物庄园的棱镜草和霸王龙KO黑暗巨人僵尸 心奇爆龙战车玩具故事
556,清洗哪里！讲重点！
557,刺龙苞出来了，全员出动打野菜，五一你来打野菜不？#阿布的若丁山 #五一超会玩计划 
558,以前路边很多，现在很少看到了，都被卖绝种了
559,猪毛菜这个名字来源于《种子植物名称》，主要因其叶像猪毛可以食用而得名。#猪毛菜 #野菜 #我的乡村生活 @抖音自然
560,我们叫他水芹菜
561,被本蜈蚣精偏爱的个性暗黑宝贝鞋子！面对它们臣妾雀食做不到雨露均沾#好物分享 #鞋 #小众 
562,这不香菜长老了？
563,国槐是豆科槐属的乔木，它的全身都是宝。俗语说的好“门前一棵槐不是招宝就是进财”，咱们在这个季节可以采收它的花蕾来炒制槐米茶。#槐米 #槐花 #槐米茶 #国槐 @抖音自然 @抖音小助手
564,这个好臭的，我们这叫也红萝卜
565,芝麻的种子有黑白之分，取油以白者为胜，服食以黑着为良。芝麻的叶子也有很高的价值，可以用来做凉拌菜下芝麻叶面条等。#芝麻 #芝麻叶 #黑芝麻 #白芝麻 @抖音自然
566,小时候特别讨厌它的味道
567,垂序商陆，在路边千万不要让孩子去吃它，有毒！  #植物  #科普  #商陆  #大自然  #胭脂   #有毒 
568,"我喜欢闻它嫩叶的味道
"
569,茵陈是选用的绵茵陈，红枣干也是熟的，搭配在一起喝的口感非常好。#茵陈红枣茶 #茵陈
570,这个好臭的，以前小的拉肚子，我妈摘嫩叶给我吃，味特大
571,黄荆五叶的多见，三叶的少见，七叶的更为稀少。农村懂它价值的人视它为一宝，它的价值更是厉害了。#黄荆 #黄荆盆景 #黄荆子 #我的乡村生活 @抖音自然 @抖音小助手
572,因为他的味道问起来像马尿，所以我们 叫 马虽芹
573,怪奇面条 蟑螂人偷吃我煮的面，结果我煮的是打虫药！ 桃子精解说
574,这个草叫黄老薅
575,嫩的时候蒸来吃
576,自从有了抖音 我发现小时候家乡所有的野草野花都是中药
577,这就是野萝卜，到处都是
578,这个花好臭
579,功效你不说清楚 总让人感觉缺了什么
580,洁尔阴成份就有蛇床子
581,清洗什么
582,和香菜花好像
583,农村大把的
584,我小时采过这个卖钱
585,小时候放羊 经常摘一大颗 然后把花头上花掐掉 花头上的细茎 插上益母草的花  可好看了
586,清洗哪里？
587,这草小时候经常见到。一条蛇也没见到
588,野胡萝卜吗？
589,我看着像孜然，做烧烤的那种
590,我们这里就叫野胡萝卜子，原来地里有很多，现在几乎没有了
591,每次闻这个花的味头疼很久，还会想吐
592,我们老家叫川芎
593,难怪以前的猪肉那么好吃，结果它每天吃的都是中草药啊
594,野胡萝卜啊
595,马银子
596,这不是香菜开花？
597,野胡萝卜
598,小时候好多
599,老家路边到处都是
600,野胡萝卜花
601,这不是花菜吗？
602,清热祛湿
603,这个我们这叫野胡萝卜
604,清洗啥？
605,我们老家叫野芹菜，生吃炒肉煮汤都好好吃啊
606,这个叫nia熬子
607,这不是拿来炒蚕豆的嘛
608,小时候家里好多好多哦，现在都没有了
609,闻臭
610,这不是古代吃的水芹吗
611,苦蒿吗
612,博主可不可以说说什么植物驱蛇效果最好
613,味道滂臭
614,怎么这么像香菜
615,我们那里有人收，我以前去地理收成熟的种子，拿到街上卖过，好像4.5一斤
616,我以为它是野芹菜花路边上太多了
617,我们这里好多，你这一说我都不敢出去了，我怕蛇，超级怕
618,小时候经常采摘这个晒干了，拿去卖
619,这不是老香菜吗
620,鲜切花里是叫蕾丝吗
621,野红萝卜
622,那不行，太吓人了
623,小时候农村很多啊，现在盖房子修路都不多了
624,我小时候经常去采子晒干拿去卖，一个暑假可能上百块。。。。
625,蛇在下面睡觉就叫蛇床？不应该是蛇被子嘛
626,香菜花
627,这不是香菜老的时候吗
628,芫荽
629,这不是盐须吗，做蘸料很香
630,胡萝卜花？
631,感谢你，我终于知道为啥我家园子里总是有蛇了，明天我就把这种植物搞掉
632,蜜蜂最喜欢这个
633,有点香菜的味道
634,小时候以为是胡萝卜
635,这不香菜吗？我家香菜开花就这样
636,@小朱 远离这种草
637,这个味道。。。一言难尽
638,以前山上路边成片成片的，现在好像好久没见过了
639,我们那叫癞痢花小时候大人说摸这个花头上会长癞痢
640,这不是野生胡萝卜吗
641,野芹菜吧
642,这不是香菜老了开花了
643,原来小时候经常见，居然这么有名
644,清洗哪里
645,这就是蛇床子啊
646,以前农村老家好多的
647,有味道
648,这玩意遍地都是
649,@揽月数星 原来这个就是蛇床
650,我家后面一大片
651,@每天都要早点睡 乡下好多的
652,加点鹅梨帐中香，魏临也迷糊
653,蛇蓬
654,小时候常见
655,惹子，小时候上山衣服上经常粘到尤其是棉质的衣服粘到都不好扣下来
656,这不是香菜吗
657,这是老香菜吧
658,小时候跟老人去采过这个籽，采来晒干搓籽，2块钱一斤，忙活好久卖个一二十块钱
659,大盛植物说哈哈哈[捂脸]花真的臭，小时候嫌弃的很。。。原来籽很有用啊
660,这玩意儿种子粘身上能摘半天
661,小时候到处找 晒干买
662,小时候看见的草，怎么全是药啊
663,小时候放学回家，拎着篮子到处找它，因为它是我家猪的最爱
664,野胡萝卜和蛇床是两种植物。别误导人了。
665,小时候河边很多现在都没有了
666,小时候晒干说有人收这个可以卖钱
667,到处都是，大片大片，跟狗尾巴草平分秋色占据江山，臭
668,小的时候老是爱把这个草的种子放在爸爸的胡萝卜种子一起，把爸爸气的直跺脚，第二年继续……
669,野外到处都是，以前只晓得是赖子花，原来是洗胩的药
670,小时候就去地里挖各种药草，然后有老头专门收，我们挖了去卖钱
671,烦死了，逮知了粘一身，扎死了
672,看多了视屏，知识面增广了很多。
673,小时候喜欢摘它的花，外婆说有这花就有蛇，原来是真的
674,小时候掐这个花插到小麦杆子里，从下往上吹，花就会转起来像小风车一样
675,蛇在它下面睡觉，不应该叫蛇被吗？
676,这个特别难闻，就是会反胃的那种。
677,家里之前好多浪费了
678,"蛇床子有货吗？多少钱？
"
679,我感觉我错过了好多中药材
680,小时候见奶奶采过，卖药
681,小时候还有收的，
682,小时候有人来收这个花，晒干了卖一大袋子才卖三块多钱
683,这玩意儿的种子怎么这么像莳萝籽？
684,这不是芫荽老了吗？
685,这个花臭的能把人熏晕
686,小时候发烧妈妈就用这个做成水给我喝
687,是不是路边经常能看到的
688,蛇在下面睡应该叫蛇帐
689,乡间无杂草，遍地都是宝。
690,种子干了就难搞了，路过就粘身上
691,不会中毒吗
692,脚气药膏好多有这会成分尤其是江西生产的
693,这莫非不是茼蒿花
694,是不是和当归很像
695,野胡萝卜，我们小时候摘种子卖
696,我们这里已经看不到了
697,小时候上学走的小路边上全是这玩意，让我想起了童年
698,难怪我们这里这么多蛇，这种植物太多了
699,必须要有蛇盘过的才有疗效
700,万物相生相克
701,现在都见不到了
702,直说吧！你打算出几万块一公斤，我老家多的很
703,这不是臭蒿子吗
704,这个晒干了可以治疗脚肿
705,小时候我见过这个很多，现在不知道怎么回事，很少见了
706,这不就是传说中的灵宝？
707,冬天的油菜花地里有很多这个草
708,鹤虱 不是蛇床子 蛇床是小朵 鹤虱大朵
709,啊 这个小时候割来喂猪用 别名宗马琴
710,居然有果子[捂脸]我只见过花
711,小时候喜欢把它的小白花摘了，把益母草的花插上就变成一朵小红花了
712,这个并不是蛇喜欢，在他下面睡觉
713,小时候田里到处都是，现在都绝了
714,为什么草地滚球也会被没收？因为它是愈疮木！@抖音小助手
715,没听过草地滚球啊
716,这个扣下来最后怎么处理的
717,保护濒危野生动植物，人人有责
718,支持！没有买卖就没有伤害
719,我想知道 这种东西收缴后怎么处理
720,留着自己欣赏[奸笑]
721,肯定有更美观合适的材料来展现你“高超”的雕刻技术，干嘛非要用象牙
722,象牙的温润细腻纹理无可替代，[看]
723,最后这些东西怎么处理的呢
724,如果是收藏的老物件怎么办？
725,后续会怎么处理？
726,在哪能买到
727,这些人也真是敢买呀？
728,保护动物，拒绝野生制品
729,长见识了，以前都没听过愈疮木
730,野葛的嫩芽、花和根茎都是野菜，它们具体怎么吃？#新农村计划2022 #乡村守护人 #奇妙知识在抖音 #农村美食
731,这个花能让你千杯不醉
732,野鸽腾，牛吃了它就长 毛笔虫
733,现在有葛根粉？没见过夏天还能打粉的，厉害
734,这就是葛根吗？，我们这小区，公园里都有种的
735,小时候太穷，没糖吃，小伙伴们都喜欢挖出它的根，撕开放嘴里嚼，微苦，但感觉特别的甜！
736,它的茎里的虫更好吃
737,这个我们家路边大把的，能吃吗？我们叫毛藤以前割来喂猪
738,这是柴葛，没啥粉
739,小时候我们家土边上到处都是，就是从来没吃过
740,葛还有种植的吗？一般不都是野外野蛮生长的吗？
741,有次山改地挖了好多，最少1000来斤。
742,小时候摘叶子回来喂兔子
743,你好老师我们这里的野葛的花向下开的，远看像紫色葡萄。可以食用吗？
744,是藤蔓的吗？地里好多很难清理。
745,小时候吃过一小段能嚼半天，清甜香糯好吃
746,我家这边很多这种野葛都没人要
747,李老师，这个是柴葛哈？有空再发个粉葛看看噻
748,我们那里很多，还有人自己用肥料培栽起来，能长几十斤，挖出来洗干净煮熟，很好吃
749,请问师父，葛根对人体有什么治疗治病的功效咩？
750,我小时候见过，但我们那的人都不认识
751,我这大把的，我都不要
752,额……我隔壁有都当杂草拔了
753,我们这里现在都没有了，小时候菜园边和路边都有
754,这个像老家种的地瓜，我们叫它野地瓜，不知道有啥用
755,听说葛根还可以解酒是不是
756,胃不好的朋友不能吃
757,现在我们这里成灾了、多的是
758,你的葛根粉多少钱一斤
759,解酒，清官
760,我们这到处都是，但是不敢挖
761,野曷有粉吗？都说粉葛才有粉
762,还有藤上的虫你不说啊，那个才是精华
763,太多了。关键不好挖
764,我们老家多，但就是认识得少
765,花晒干冲茶喝，有解酒的
766,好东西
767,喝酒前喝一杯，酒量大增
768,葛花茶可解酒
769,以前兔子吃的
770,那花跟叶和沙葛像极了，可以说是葛科类的吧？
771,好漂亮的颜色
772,这个这边好多的
773,那个，会长虫，大大的一坨成长在里面非常好吃，好香
774,叶子是拿来喂兔子的
775,这个吃了什么好哇
776,小时候家里太多，也不知道能吃！好笨！
777,怎么买
778,人吃花，猪吃藤叶
779,葛根花还可以解酒
780,花挺好看的
781,小时候我吃过这种的
782,原来这就是葛根，山上有啊，我们叫毛藤
783,这个我们都割回来喂猪
784,葛根还可以煨着吃
785,这就是野葛，之前看到挺多的，不清楚
786,在大山里有很多
787,我们不吃这些东西
788,葛根可退烧
789,但是葛也有两种，甜葛和苦葛哟
790,葛根粉有什么功效？
791,原来这是野葛根
792,煲汤好材料
793,原来这是葛粉
794,我就想买点正宗的葛根粉怕买到假的
795,现在全被，除草剂打完了
796,柴葛还是粉葛？
797,葛根花解酒
798,太贵了
799,野葛？用来毒鱼毒稻田里的虫子的哦
800,以前我们老家都有，都不知道这个还吃得
801,八十八一斤？我们那边只要30
802,我家门口有一棵几十年了
803,这个我们是拿来喂猪的
804,毛葛藤繁殖生存能力太强一颗几年不管就长成片
805,视频中的葛根是柴葛，粉葛叶有几个尖……
806,根太难挖了
807,喝酒多吃这个
808,老家遍地都是，我们那没人吃
809,这个我小时候吃过 好吃的
810,原来这就是葛根我们这满山片野都是，明天我去挖
811,什么时候采花？？
812,好东西，价值不菲
813,开白花的更好
814,有野生石苇吗
815,我们这边特别多葛根，原来很爱吃葛根，藤叶割来喂猪，之前还不知道花叶人可以吃。
816,第一眼想到葛根汤
817,花泡水可以醒酒，千杯不倒
818,这个花解暑的
819,小时候这个藤就是我们的玩具
820,这个叶子炖乌鸡，白鸽好喝，大补汤
821,野生葛根都是苦的
822,现在葛根的花还是一味中药呢
823,兔子喜欢吃这个叶子公路旁多得很
824,特别甘甜，最喜欢它的苦味，也就是让人难忘的甘甜
825,野的还长一片
826,我们那里好多，都没有人去吃
827,这是瓜藤，我们那不会用，原来葛根粉
828,葛粉去火疗效好
829,这是好东西
830,是不是凉粉？
831,这可是好东西
832,牛和兔子都特别喜欢吃，我们经常拔藤里面的虫子用油炸来吃
833,这花很香，闻起来很舒服
834,这玩意儿我们老家烧不尽除不尽
835,我们这边好多
836,功能说说
837,更年期的妇女每天早上冲一杯葛粉，再配适量坚果，坚持一段时间能让你美美哒！葛花泡水喝能醒酒
838,谁大量要，我可以大量制作。价格可以相当便宜
839,你使用过哪些野生动物制品？#保护 #dou出新知 #涨知识 @抖音小助手
840,俺是国家一级保护动物：单身狗
841,可为什么在都匀动物园也能见到？
842,国家一级保护动物是熊猫。
843,就算使过，咱也不敢说啊
844,鹿茸鹿尾的中间是啥？
845,现在可以家养
846,老虎直接把梅花鹿吃成国宝级动物
847,刚刚微信里有人 发了个吃梅花鹿肉的视频
848,为哈子正有人卖梅花鹿肉
849,梅花鹿全身都是宝
850,老虎不吃它难道吃你
851,可以吃。除非在野外。不可以自己杀掉，喂老虎吃。
852,东北虎？
853,我去玩时看到烧烤是梅花鹿肉的，还有好多人吃，不知道犯不犯法（虽然知道可能是假的）
854,我要吃掉摩登登他里面的全部动物，呵，呵呵
855,熊猫表示你来咬我啊！
856,要是有一头霸王龙，会因为要吃一级保护动物饿死他吗
857,鹿看了以后对老虎说：要不你还是把我吃了吧
858,人工养殖梅花鹿应该可以吃吧
859,梅花鹿：现在你真的不能吃我了
860,梅花鹿：我好苦呀
861,老虎全身都是宝贝
862,如果从三级到一级的话，一级是最强的，那么，霸王龙是不是零级保护动物呢？
863,啊，那个老虎是东北虎。
864,这就是为什么中医落寞的原因。因为很多上好的药材就是国家保护动物。没有那些就达不到最好的效果，所以中医越来越差。
865,原来这些药材都是梅花鹿的
866,熊猫:你就算满级了又怎样？去！给我拿根竹子
867,我们村里好多一级保护动物
868,他是人家一级保动
869,虎：我帮你在往上升一级
870,那么问题来了，一级保护动物吃了二级保护动物会怎么样
871,大熊猫的身上有马粪吗 ？
872,我穿山甲说什么了吗
873,鹿：你为什么非要吃鹿不可
874,熊猫:我在动物园打架从来就不看别人是几级保护动物。
875,鹿胎是什么？
876,驼鹿：我太难了
877,我去玩时看到烧烤是梅花鹿肉的，还有好多人吃，不知道犯不犯法（虽然知道可能是假的）[尬笑]
878,我感觉吃梅花鹿的应该都是迷信梅花鹿 可以治百病
879,你更有哪些动物作品？#梅花鹿#摩登大自然
880,作者是么什想出这个的？？？
881,老虎吃梅花鹿天经地义，不想管。
882,自然法则，二级就是吃一级，人类不得干涉！
883,东北不是家家养的吗
884,因为都是药材
885,老虎：那我把你吃了吧
886,我吃过老虎菜
887,老虎管你是保护动物，还是不保护动物，他都吃动物不管保护的动物还是不保护的。只要能吃的动物，它都吃。
888,东北虎 :你没有证
889,来考古现在能养了
890,现在有三级保护动物了
891,梅花鹿是一级保护动物
892,就算吃过，咱也不敢说啊
893,我的天呐，太惨
894,梅花鹿全身都是宝。最后变成了一级.保护动物。
895,这些都是上好的补品
896,梅花鹿不是一级保护动物吗？
897,我们这里有开梅花鹿火锅
898,让老虎给梅花鹿跪下
899,梅花鹿身上那么多中药呀。
900,我也不知道他什么时候变成国家一级保护动物了
901,我还知道一个穿山甲
902,孟加拉虎不是保护动物
903,梅花鹿有些地方是藥材呀 可是如果是藥材的地方的話，那該怎麼辦呢
904,人们都说蛇的一身都是宝，现在看来鹿的一身才都是宝
905,老虎梅花鹿已经是一级保护动物啊
906,我的大自然，你好呀
907,说的不对。野生的的和驯养繁殖的要区别开
908,吃了你就是保护你因为你在我肚子里没人敢惹我
909,一级保护动物:熊猫
910,二级保护动物:娃娃鱼
911,穿山甲是国家一级保护动物
912,对应了一句梅花鹿。的全身都是宝
913,二级保护动物是穿山甲
914,熊猫:老子是国家级保护动物，你们都是渣渣，不服碰一碰
915,梅花鹿还有人工饲养的。和东北虎还真没有，所以东北虎比梅花鹿更稀有。
916,熊猫:一级保护动物？我就揍了了，怎么的吧！
917,浑身都是宝啊！，
918,为什么熊猫是一级保护动物，我很好奇？他有哪里特别吗？
919,熊猫才是国家一级动物
920,它自己都不知道自己是一级保护动物，还留着二级证
921,熊猫你可以试试啊，熊猫你吃那绝望啊！
922,茶茶现在某宝上很多卖梅花鹿制品的诶
923,这是不是说明梅花鹿全身都是宝？
924,熊猫 : 我不管你们多少级，反正我满级
925,熊猫：我打架从不问别人几级，
926,熊猫:……啥玩意？是可以开荤了吗，天天是素，都淡出鸟了
927,鹿：你不能吃我因为你吃了我咱们就不能一起组成路虎了
928,熊猫：我就算在野外大摇大摆的，也没人敢打我
929,我吃鹿茸都是一架一架的吃…蘸着芥末生吃…
930,大自然秉承物竞天择优胜劣汰的生存法则，人类无权干涉
931,熊猫：今天加餐，虎鹿沙拉给我上菜
932,熊猫:我不知道你们多少级，反正我是顶级
933,大熊猫在动物园干架就没问过对方是几级保护动物
934,一级保护动物熊猫拔二级保护动物孔雀的绫羽剔牙
935,都快饿死了，管你几级保护动物
936,变一级了啊，我家那边养鹿的太多了
937,这时熊猫来了，拿出国宝证，不好意思，我见保护动物大一级，这鹿我罩着的
938,都说梅花鹿有养殖，是！但你不知道吗？富人眼里有一种高级，叫“野生”。。。
939,你不能为了二级不活动我饿死一级保护动物法那你怎么不去吃不多
940,老虎：爱谁谁，我就吃，有本事把我毙了。
941,总有一天连斑鸠都会成一级保护动物 ！
942,论及时更换身份证的重要性
943,下次把我们的熊猫找出来我看有什么它不敢吃的
944,最喜欢麋鹿和驯鹿了
945,大熊猫申请和老虎PK看谁的级别高
946,濒危级那不是什么都能吃
947,总不可能为了一只梅花鹿杀一只狮子吧
948,梅花鹿已经可以养殖了，
949,鹿茸不是可以入药
950,梅花鹿也有人工养殖
951,喝过鹿血酒算不算
952,按物以稀为贵的标准来评等级，我真怕他们以后会拿我们去喂这些珍稀动物。
953,以现在的肉的价格看，猪马上就都成二级保护动物了！
954,论职称的重要性
955,梅花鹿吓出了土拨鼠的叫声
956,一只又不能产生后代，只有一只就相当没有，那还让他吃啥呀？
957,梅花鹿自己身份证过期了都不知道
958,我就是卖梅花鹿产品的
959,我想知道丹顶鹤是什么
960,鹿角最值钱
961,是被吃成一级的吧？
962,可是他还要被做成药啊！
963,去奈良吃鹿那地点鹿多
964,我咋瞬间感觉那头鹿全身上下都是金子
965,熊猫：啥，听说有动物在比等级
966,动物太惨了就只有被人类不断猎杀的命运
967,熊猫：在中国谁能撼动我的地位
968,这种普及方法很好，记得很牢固
969,我记得有一种乌龟还是啥的现在世界仅存一只了吧
970,话说一个人被困山里面，然后猎了保护动物吃了，然后人被救出来会判刑么？
971,我记得梅花鹿是可以私人养殖的，而且上世纪七十年代就开始养殖了，现在全国养殖基地不算少。
972,去动物园看看！都养起来了
973,然而老虎比梅花鹿还少，一级中的一级
974,万幸国宝熊猫不吃肉。。
975,猪肉都二十八一斤了，快要成保护动物了吧
976,梅花鹿早就有人工饲养得了吧
977,除了老鼠几乎所有野生动物都受保护
978,梅花鹿都有人养殖了好像
979,想起了前段时间的新闻，熊猫吃完饭后塞牙了，然后追着孔雀跑，哈哈哈
980,动物界也开始排位了
981,我只知道猪肉都要吃不起了
982,那养的多一点了就可以吃了吗
983,梅花鹿：我太难了
984,华南虎：我……好久没见到影了……
985,吃了那么多年我怎么不知道
986,但是在野外不能破坏自然规律啊！
987,梅花鹿东北养殖的特别多
988,平常吃的那些梅花鹿是饲养的吧 饲养的太可怜了
989,那小龙虾还在不断升级终，再这么下去有很多动物会被我中华儿女吃成世界一级保护动物
990,养殖的很多
991,花鸟市场三元一只的草龟也是国家二级保护动物
992,意思就是梅花鹿要留给人类发财 不能随便被别的低等动物吃了
993,麻雀都是二级保护动物，现在就是不允许伤害野生动物，随便碰一个稀有的，那就是牢底坐穿。
994,梅花鹿都有人工养殖了吧
995,华南虎默默的又掏出一本证件，濒危级，全国不到200头。你是一级又怎么样？还不是我的盘中餐然后开饭了
996,一起来认识二十种名贵野生百草！#珍贵药材 #野生草药 @DOU+小助手 
997,金线莲那个图是认真的吗[捂脸]
998,图四不是金线莲 大忽悠哦
999,见过6种，藏红花，虫草，人参，7回…没见过
1000,能不能说说它的用处[赞][赞][赞][赞][赞][赞]
1001,老白的奇奇怪怪
1002,半夏好像我们叫的麻芋儿啊
1003,用错图片了吧？明明是红鬼笔，回春草不长这样！
1004,铁皮石斛（不明品种），金线莲（斑叶兰），回春草（鬼笔），威灵仙（淫羊藿），这几个都是错误的，其它的就不细看了
1005,铁皮那玩意好像在山里见过[尬笑]
1006,磨难过后，才得香气袭人。 #植物科普 #自然 #植物 #涨知识 #沉香
1007,"金线莲不是这样吧
"
1008,紫花地丁有的是，我们这边
1009,金蝉花我们这边好多
1010,这个就是夏枯草！很多领域都需要它，价值很不错！
1011,见过太多，就是不知道是什么？现在知道晚了，别人都挖光了
1012,铁皮石斛乃中华九大仙草之首，你排名弄错了
1013,@百草源（高原野生）：亲爱的新老友友，你们好！感恩所有的相遇相识。万分感谢友友们能在百忙之中不离不弃的美赞精评和温馨的祝福！祝愿所有友友们虎年快乐，天天幸福安康，吉祥如意，心想事成，万事如意！
1014,回春草？我见过太多
1015,快挖光了
1016,紫花地丁遍地都是，也算珍贵？
1017,遇到得珍惜了
1018,回春草是错的
1019,是回春草呀！我们小时候见了它就躲得远远的，以为他一出现附近就会有蛇
1020,我们这里太多了
1021,紫花地丁？？那多了去了
1022,哪呀？朋友
1023,半夏是不是麻芋儿
1024,回春草？我们都不敢采，老人说是蛇死了长的[捂脸]
1025,半夏有啥用，小时候挖来卖3块一斤
1026,是的，几十年后的今天，难找啰
1027,你发的威灵仙是淫羊藿
1028,回春草这两天正是季节，我们这边叫红竹笋
1029,紫花地丁让我很意外
1030,野生？
1031,你拍的金线莲其实是银线莲
1032,那个二级保护，勿乱发，抛砖引玉，懂就行了
1033,第四种金线莲的图片错了，图是斑叶兰图片
1034,二级保护，意在就好
1035,回春草我们小时候见过，我们叫狗尿台说是有毒，不知道真假
1036,真的，请勿乱用
1037,你拍的回春草不是这样的
1038,紫花地丁坡上有，一边干活就看到，今天还搞了一大把回来准备明天蒸肉吃
1039,图4不是金线莲是银线莲，白网脉斑叶兰
1040,抛砖引玉，因受二极保护
1041,第七不是草是一种真菌，我们这叫蛇头，我种的菜园里有，把它铲了又时不时冒了出来。
1042,为这友友懂草药知识点赞！
1043,这是金线莲吗
1044,多少钱一副？
1045,回春草小时候竹林里很多，现在没见着了，有什么功效吗
1046,石上莲适与什么用处？
1047,回春草？我们都不敢采，老人说是蛇死了长的
1048,回春草？？那些年见过太多太多
1049,请问回春草有啥用途请回复
1050,乌灵参什么价格
1051,这半夏，重楼，蝉花，紫花地丁也上榜了？
1052,西洋参可不是长这样的。
1053,只剩下紫花地丁
1054,你发出来的这个灵芝，我这里山上很多没人要
1055,第七回春草我们这里竹林里很多
1056,这些又是什么草
1057,回春草冶什么病
1058,我想知道每种药的价格 这上边我这边有很多 不认识都拿来喂牛羊了
1059,我看这回春草是两个蛋，然后长出来的。
1060,如今还有野生灵芝
1061,乌灵参多少钱一斤
1062,半夏我们拿来做泡菜泡不了多久就特别酸
1063,我小时候，老中医给我用过石上连
1064,有几种认识
