评论,fenci,情感分类,主题概率,主题类型
以下是中通的信息----------------,中通 信息,neg,"[(0, 0.023854896), (1, 0.023855146), (2, 0.3577953), (3, 0.023854896), (4, 0.0238549), (5, 0.023855092), (6, 0.023854898), (7, 0.023854913), (8, 0.02385509), (9, 0.35594532), (10, 0.023854896), (11, 0.023854896), (12, 0.023854896), (13, 0.023854896)]",2
自带手册不全，说明书简单，装了种版本的3系统都启动不了，最终用原版光盘启动安装才搞…………………………一个下午过去了，累死俺了！！！！,自带 手册 说明书 简单 版本 系统 启动 最终 原版 光盘启动 安装 下午 累死,neg,"[(9, 0.9336373)]",9
"刚收到,发现键盘有些松,触摸屏太难按了,最主要的是开机的时候打开和关上光驱导致系统蓝屏,不知道是不是这个原因 , 其他的到目前为止正常.",收到 发现 键盘 触摸屏 太难 按了 开机 打开 关上 光驱 导致系统 蓝屏 原因 目前为止,neg,"[(2, 0.1793385), (11, 0.7634447)]",11
没摄像头，不带系统（对初级用户而言是个麻烦事），要突出独显和的强劲必须全速运行而造成电池不耐用（呵呵，不知这算不算不足，6芯电只顶2个小时。现在又没9芯的电卖。。。。。呵呵）。,摄像头 系统 初级 用户 麻烦事 独显 强劲 全速 运行 电池 耐用 不知 算不算 芯电 小时 电卖,neg,"[(12, 0.9453309)]",12
1、没摄像头，不送鼠标，需另配,摄像头 鼠标 另配,neg,"[(0, 0.52485466), (1, 0.01787633), (2, 0.017876448), (3, 0.017876334), (4, 0.017876294), (5, 0.017876353), (6, 0.01787632), (7, 0.017876334), (8, 0.017876353), (9, 0.017876476), (10, 0.017876297), (11, 0.01787634), (12, 0.2606292), (13, 0.017876273)]",0
要进入自带的设置安装碟为光驱安装，挑碟，该笔记本只适合及对电脑有中上知识的人群。研究了3小时才成功装成,自带 设置 安装 光驱 安装 笔记本 适合 电脑 有中 知识 人群 研究 小时 成功,neg,"[(8, 0.93807226)]",8
唯独感觉商家预装的系统实在用不惯，以前从未接触过。建议商家以后预装别的系统,唯独 感觉 商家 预装 系统 实在 用不惯 接触 建议 商家 预装 系统,neg,"[(7, 0.92854404)]",7
送的单肩包不好用，说明书不详细，出厂默认的红旗系统没有完全安装好，要进入自带的设置安装碟为光驱安装，挑碟，该笔记本只适合及对电脑有中上知识的人群。,单肩 不好 说明书 详细 出厂 默认 红旗 系统 完全安装 自带 设置 安装 光驱 安装 笔记本 适合 电脑 有中 知识 人群,neg,"[(5, 0.6977469), (9, 0.26140416)]",5
有一个色点。在左下方，不是很明显。还有键盘上的右边键设计不好。太长了。比回车键占的位置还大，经常容易当成回车键来按错。没有口。有点发热。声音有点小。,色点 左下方 键盘 右边 设计 不好 回车键 位置 当成 回车键 发热 声音,neg,"[(9, 0.9285353)]",9
1、没有驱动，自己还要去下驱动。,驱动 去下 驱动,neg,"[(0, 0.017866574), (1, 0.017866703), (2, 0.017866606), (3, 0.017866628), (4, 0.76773405), (5, 0.017866576), (6, 0.01786667), (7, 0.017866598), (8, 0.017866617), (9, 0.017866604), (10, 0.017866591), (11, 0.017866613), (12, 0.017866584), (13, 0.017866587)]",4
"格式化,不过删除不了，总是运行命令，搞死了。不会用，也没装上 .回来给别人弄了一晚上，还是没有装上去。不知道哪位高手能够教教我。",格式化 删除 运行 命令 没装 回来 晚上 装上去 哪位 高手 教教,neg,"[(2, 0.74692756), (9, 0.18154424)]",2
宏基，自带.开机无法使用，咨询售后是由于没有完全安装好。所以只能另装,宏基 自带 开机 咨询 售后 完全安装 只能 另装,neg,"[(4, 0.52810335), (9, 0.37657154)]",4
拿到的时候里面有一个小疤痕，不过感觉影响不大就不管了。,拿到 疤痕 感觉 影响,neg,"[(0, 0.01429788), (1, 0.49076554), (2, 0.33766058), (3, 0.0142977815), (4, 0.014297747), (5, 0.014297788), (6, 0.014297877), (7, 0.014297774), (8, 0.0142978085), (9, 0.014297816), (10, 0.014297769), (11, 0.014297814), (12, 0.014297999), (13, 0.014297844)]",1
ＬＥＤ屏有亮点，而且是在屏幕中间偏右下方，开机就会看到它，很不舒服。,屏有 亮点 屏幕 右下方 开机 舒服,neg,"[(0, 0.010215433), (1, 0.010215489), (2, 0.010215452), (3, 0.010215422), (4, 0.010215411), (5, 0.010215406), (6, 0.010215472), (7, 0.01021542), (8, 0.010215425), (9, 0.24850655), (10, 0.010215415), (11, 0.62890816), (12, 0.010215484), (13, 0.010215466)]",11
很容易粘上指纹~~内存比较小~要是内存是2的话估计~会有更多的朋友会喜欢的（2内存跟1差不了多少钱）,指纹 内存 内存 估计 朋友 喜欢 内存,neg,"[(11, 0.88391167)]",11
没有系统盘麻烦，不知道是不是网卡原因，本地连接老是不稳定~~待查,系统盘 麻烦 网卡 原因 本地连接 稳定 待查,neg,"[(4, 0.20805514), (10, 0.6847065)]",10
京东的服务啊真是臭死了，如果如是老刘，我就会多招聘几个客服人员，弄的电话一直没人人接。还有那个物流啊，差死了。,京东 服务 臭死 老刘 招聘 几个 客服 人员 电话 物流,neg,"[(0, 0.5676546), (4, 0.123400666), (7, 0.23744419)]",0
预装，要自己改，随机不带驱动光盘（只有驱动光盘），不人性化,预装 随机 驱动 光盘 驱动 光盘 人性化,neg,"[(3, 0.35777336), (9, 0.5350724)]",9
比较难搞，但是经过一番努力，还是装成功，驱动和快捷键一个都不少！,难搞 努力 成功 驱动 快捷键,neg,"[(0, 0.011907647), (1, 0.011907678), (2, 0.011907756), (3, 0.011907671), (4, 0.35661098), (5, 0.011907666), (6, 0.01190772), (7, 0.011907677), (8, 0.3071842), (9, 0.011907667), (10, 0.011907664), (11, 0.20522034), (12, 0.0119076595), (13, 0.011907652)]",4
质量太差，设计偷工减料严重。,质量 设计 偷工减料,neg,"[(0, 0.017873032), (1, 0.017872397), (2, 0.7676573), (3, 0.017872324), (4, 0.017872464), (5, 0.01787273), (6, 0.017872438), (7, 0.017872576), (8, 0.017872326), (9, 0.017872466), (10, 0.017872395), (11, 0.017872542), (12, 0.017872626), (13, 0.017872421)]",2
噪音大面有点太轻飘，塑料感太强。打着的牌子做的却不像大品牌做出来的东西。个人推荐宏基，此机配置虽高但与价格不符，不值。本人推荐不要光追求大品牌。华硕和宏基就比强---起码在做工和声燥方面。,噪音 轻飘 塑料 感太 打着 牌子 品牌 东西 推荐 宏基 配置 价格 不符 不值 推荐 追求 品牌 华硕 宏基 比强 起码 做工 声燥,neg,"[(12, 0.96128845)]",12
配置再加一根1内存后九分的完美,配置 一根 内存 九分 完美,neg,"[(0, 0.011912061), (1, 0.011912131), (2, 0.011912098), (3, 0.011912075), (4, 0.011912087), (5, 0.011912071), (6, 0.011912384), (7, 0.011912067), (8, 0.0119121), (9, 0.011912149), (10, 0.011912173), (11, 0.011912113), (12, 0.84514236), (13, 0.011912104)]",12
风扇声音不小，间歇性的；这款机器在开机键那是没有一小行触摸屏，购买请注意；本本扬声器一般，我宿舍女生买了个东芝的，音效不如她的那个，但是综合比起来我的要漂亮的很多，哈哈，有很大安慰,风扇 声音 不小 间歇性 机器 开机 一小 触摸屏 购买 本本 扬声器 宿舍 女生 东芝 音效 综合 漂亮 很大 安慰,neg,"[(9, 0.9535393)]",9
风扇声音有点大，而且叫起来是间歇性的，跟老公的本本放一起，就感觉我的本本很聒噪，不知道这个是叫法是普遍现象还是个别情况呢？不过可能正是风扇的声音够大，所以散热很不错，其他的暂时还没发现问题。,风扇 声音 间歇性 老公 本本 感觉 本本 聒噪 叫法 普遍现象 个别情况 风扇 声音 散热 不错 暂时 发现,neg,"[(2, 0.6154017), (9, 0.22997424), (13, 0.1109333)]",2
对于女孩子来说，确实有点沉，而且风扇一阵阵的噪音有点让我崩溃``,女孩子 确实 风扇 一阵阵 噪音 崩溃,neg,"[(0, 0.010217938), (1, 0.01021795), (2, 0.010217982), (3, 0.010217965), (4, 0.010217972), (5, 0.010218003), (6, 0.010217954), (7, 0.010218038), (8, 0.010217951), (9, 0.010218099), (10, 0.010217935), (11, 0.8671662), (12, 0.010217967), (13, 0.010217991)]",11
收到货的时候摄像头掉下去了，图像只能拍到一半，一半是黑的。其它没问题。急着用就不想换了。散热不是很好,收到 摄像头 掉下去 图像 只能 一半 一半 不想 散热,neg,"[(8, 0.907062)]",8
散热一如既往的不好，同方的机子就是这样，不过还是建议支持一下国货,散热 一如既往 不好 同方 机子 建议 支持 国货,neg,"[(1, 0.47201282), (4, 0.2927539), (11, 0.14783707)]",1
产热量大，触摸板那里都有点热，屏幕下边也比较热，和其他的笔记本比较。,热量 触摸板 屏幕 下边 笔记本,neg,"[(0, 0.011911821), (1, 0.011911773), (2, 0.011911791), (3, 0.011911762), (4, 0.011911782), (5, 0.011911821), (6, 0.011911831), (7, 0.011911756), (8, 0.0119118085), (9, 0.011911842), (10, 0.011911807), (11, 0.011911869), (12, 0.8451465), (13, 0.011911861)]",12
散热确实不太好。显卡说是3450装上驱动显示是3400。没有同方服务金卡，只有一个电池的延保卡。要是再送包和鼠标就更好了。,散热 确实 不太好 显卡 装上 驱动 显示 同方 服务 金卡 电池 延保卡 送包 鼠标 更好,neg,"[(6, 0.18644919), (8, 0.75994515)]",8
外观普通，材料一般，重大缺点无线网卡标的是802//，实际是的,外观 材料 缺点 无线 网卡 标的,neg,"[(0, 0.010213371), (1, 0.3595984), (2, 0.010213368), (3, 0.010213422), (4, 0.010213365), (5, 0.010213373), (6, 0.01021347), (7, 0.5178407), (8, 0.010213369), (9, 0.010213582), (10, 0.010213402), (11, 0.010213418), (12, 0.010213398), (13, 0.01021336)]",7
相比去年购买的系列来讲，做工存在明显的下降。而且装系统十分的麻烦，全部装完之后还是无法解决无开机音乐的问题，不过这完全是惠普公司的问题。要不是同学坚持，我是不会推荐她买惠普的。,相比 去年 购买 系列 做工 下降 系统 麻烦 装完 解决 开机 音乐 惠普公司 同学 推荐 惠普,neg,"[(12, 0.73027307), (13, 0.21928509)]",12
1. 做工差强人意，打开屏幕的时候摄像头地方居然会响（面板陷进去了），勉强接受吧，不影响使用；,做工 差强人意 打开 屏幕 摄像头 地方 会响 面板 勉强 接受 影响,neg,"[(2, 0.7130574), (12, 0.21543968)]",2
说完好话，说点不足的地方吧，免得被人当是托！系统是命令行的，改装有点小麻烦，一般人搞不清楚！其次内置的摄像头成像不是很好，只能算够用！品牌没啥号召力，不懂行的菜鸟看到的都说怎么买山寨本！,说完 好话 地方 免得 当是 系统 命令行 改装 小麻烦 搞不清楚 内置 摄像头 成像 只能 够用 品牌 号召力 懂行 菜鸟 山寨,neg,"[(9, 0.95574033)]",9
１．做工差强人意，打开屏幕的时候摄像头地方居然会响（面板陷进去了），勉强接受吧，不影响使用,做工 差强人意 打开 屏幕 摄像头 地方 会响 面板 勉强 接受 影响,neg,"[(2, 0.71306044), (12, 0.21543665)]",2
就是本机颜色太单调。就是一种红色，如果多几种色，比如黑色.白色就太完美了。还有系统有点不太好装,颜色 单调 一种 红色 几种 黑色 白色 完美 系统 不太好,neg,"[(9, 0.9155287)]",9
天哪，系统难装啊！键盘板那地方我原以为是白色的，收到后才知是银色的，觉得白色的配起来更加好看！,系统 键盘 地方 原以为 白色 收到 后才 知是 银色 白色 配起来 好看,neg,"[(5, 0.9284976)]",5
比较重。写的是系统，打开启动后却是裸机。去官方维修售后服务点花了50元重新安装了系统，恨死京东。已经投诉了。期待处理结果。,系统 打开 启动 却是 裸机 官方 维修 售后服务 重新安装 系统 恨死 京东 投诉 期待 处理结果,neg,"[(2, 0.087841205), (6, 0.19136769), (11, 0.31189412), (13, 0.36417976)]",13
但笔记本没送包和内胆，很麻烦~~~~,笔记本 没送 包和 内胆 麻烦,neg,"[(0, 0.01190709), (1, 0.011907139), (2, 0.01190719), (3, 0.011907115), (4, 0.011907185), (5, 0.011907159), (6, 0.011907182), (7, 0.0119071305), (8, 0.011907163), (9, 0.011907168), (10, 0.3982923), (11, 0.011907122), (12, 0.4588218), (13, 0.011907241)]",12
1内存稍微小点，计划增加1,内存 稍微 小点 计划 增加,neg,"[(0, 0.011911163), (1, 0.011911189), (2, 0.41139844), (3, 0.011911188), (4, 0.01191122), (5, 0.011911182), (6, 0.011911174), (7, 0.011911167), (8, 0.011911198), (9, 0.011911189), (10, 0.011911215), (11, 0.4456673), (12, 0.011911171), (13, 0.011911177)]",11
连接不上，咨询技术服务，说产品太新，他们也不知道怎么弄，郁闷！,连接 不上 咨询 技术 服务 产品 怎么弄 郁闷,neg,"[(9, 0.78847075), (10, 0.11622118)]",9
装系统实在是太麻烦了。要是在购买电脑时商家能提供详细的更换系统的步骤就好了。,系统 实在 麻烦 购买 电脑 商家 提供 详细 更换 系统 步骤,neg,"[(6, 0.9225797)]",6
系统无法正常进入，硬盘有不正常的声音。,系统 硬盘 声音,neg,"[(0, 0.017857451), (1, 0.01785751), (2, 0.017857488), (3, 0.017857498), (4, 0.017857453), (5, 0.01785752), (6, 0.01785751), (7, 0.017857498), (8, 0.017857455), (9, 0.7678528), (10, 0.017857451), (11, 0.017857462), (12, 0.017857442), (13, 0.01785751)]",9
机子没发现什么缺点，就是京东的服务好像不怎么的，5号就完成了付款，订单到今天才完成,机子 发现 缺点 京东 服务 好像 付款 订单,neg,"[(10, 0.8967727)]",10
1.没有鼠标和包,鼠标,neg,"[(0, 0.535695), (1, 0.03571577), (2, 0.035715792), (3, 0.035715733), (4, 0.03571562), (5, 0.035715714), (6, 0.035716012), (7, 0.0357158), (8, 0.035715714), (9, 0.03571566), (10, 0.035715844), (11, 0.035715856), (12, 0.03571578), (13, 0.035715688)]",0
"1.产品太新,下声卡驱动欠奉,甚至官网上还未出现这个型号,让紧张了半天,此奶牛是的?",产品 声卡 驱动 欠奉 网上 型号 紧张 半天 奶牛,neg,"[(6, 0.9070803)]",6
1：散热是最大的问题，左手托散热量太大，设计不合理。,散热 左手 散热量 设计 不合理,neg,"[(0, 0.011910703), (1, 0.011910664), (2, 0.0119106695), (3, 0.011910688), (4, 0.011910702), (5, 0.8451611), (6, 0.011910655), (7, 0.011910732), (8, 0.011910732), (9, 0.011910666), (10, 0.011910694), (11, 0.01191069), (12, 0.01191068), (13, 0.011910664)]",5
1、光驱响的厉害，明显是做工工艺的问题,光驱 厉害 做工 工艺,neg,"[(0, 0.0142907845), (1, 0.014290723), (2, 0.014290744), (3, 0.014290812), (4, 0.014290712), (5, 0.014290768), (6, 0.0142907), (7, 0.014290764), (8, 0.56268597), (9, 0.014290719), (10, 0.014290708), (11, 0.01429071), (12, 0.26582518), (13, 0.014290719)]",8
2.现在为什么订单要等货物审核才可以支付，我要老等的。我就直接网上支付不行的。,订单 货物 审核 支付 网上支付 不行,neg,"[(0, 0.010214211), (1, 0.8672151), (2, 0.010214245), (3, 0.010214208), (4, 0.0102142235), (5, 0.010214233), (6, 0.010214211), (7, 0.010214265), (8, 0.010214234), (9, 0.010214224), (10, 0.010214208), (11, 0.010214213), (12, 0.010214214), (13, 0.010214207)]",1
库存信息上海有现货，为什么我在上海订货要从北京发货，害我两天时间都是白等的，物流信息里只有第一天的记录，后面的信息都没有，根本没法安排时间收货，最后还是我自己去取货。这样的物流真的是对不起京东的牌子。,库存 信息 上海 现货 上海 订货 北京 发货 两天 时间 物流 信息 第一天 记录 信息 没法 安排 时间 收货 去取 物流 真的 对不起 京东 牌子,neg,"[(2, 0.9642581)]",2
1发热厉害，用一个小时下面就烫手了，的3000出头的笔记本一天也没这么热，有点害怕  2机器感觉挺单薄，塑料感挺强  3电池续航不理想  4 驱动是的，的要自己找，有点麻烦,发热 厉害 小时 烫手 出头 笔记本 害怕 机器 感觉 单薄 塑料 电池 续航 理想 驱动 麻烦,neg,"[(0, 0.17895152), (5, 0.5428816), (9, 0.23192258)]",5
"质量和速度是不错啦,就是圆通快递太差啦,单上注明是本人签收的,可快递员随便一个人就给签啦,一点责任感都没有!",质量 速度 不错 圆通 快递 太差 单上 注明 签收 快递 随便 一点 责任感,neg,"[(10, 0.82035434), (13, 0.11837001)]",10
回来后开机    我感觉好像没有系统但是进不去    总之还是不会操作   需要急救,回来 开机 感觉 好像 系统 进不去 操作 急救,neg,"[(1, 0.47402278), (10, 0.43067008)]",1
质量有问题。,质量,neg,"[(0, 0.03571459), (1, 0.035714637), (2, 0.5357103), (3, 0.035714537), (4, 0.035714634), (5, 0.035714537), (6, 0.035714537), (7, 0.03571467), (8, 0.035714548), (9, 0.03571455), (10, 0.035714656), (11, 0.0357147), (12, 0.035714537), (13, 0.035714548)]",2
想请问下怎么3200的显卡我用完美解码播放1080的时占用率90%以上而且会卡？已经打开硬件解码啊。。。,请问 显卡 完美 解码 播放 占用率 打开 硬件 解码,neg,"[(6, 0.9070757)]",6
装系统花了一点时间，不能直接使用版本要先去里修改一项内容。,系统 一点 时间 版本 修改 一项 内容,neg,"[(0, 0.22144704), (7, 0.6713927)]",7
不知道是不是个例 键盘空空的 去华硕维修了下用双面胶粘了下 按下去还会起来 键盘晃悠晃悠的 请问京东这个怎么处理啊？？？,个例 键盘 空空 华硕 维修 下用 双面胶 键盘 晃悠 晃悠 请问 京东,neg,"[(7, 0.92851084)]",7
三星的机器都是“指纹”机，太容易留指纹了。1的内存有点小，因为被集显吃点200多。3300的价格性价比没有宏基等的机器好。机器的市场价其实只有3800，京东标4000，给人优惠很多的错觉。,三星 机器 指纹 指纹 内存 集显 价格 性价比 宏基 机器 机器 市场价 京东 优惠 错觉,neg,"[(2, 0.123468265), (8, 0.82291037)]",8
有点太厚了，键盘比较没手感！屏幕下方有一个亮点，实在让人遗憾！！！,键盘 手感 屏幕 下方 亮点 实在 遗憾,neg,"[(9, 0.43728128), (11, 0.45551378)]",11
系统，需要自己刻一个系统还原盘（刚开始用电脑会提示的），要是带个恢复系统盘就好了~,系统 系统还原 电脑 提示 恢复 系统盘,neg,"[(0, 0.010210964), (1, 0.86725676), (2, 0.010211033), (3, 0.010210966), (4, 0.0102110095), (5, 0.01021098), (6, 0.010211142), (7, 0.010210985), (8, 0.010211022), (9, 0.01021112), (10, 0.010211063), (11, 0.0102109825), (12, 0.010210987), (13, 0.01021098)]",1
6199买的，相比其他网友，没有赶上5850的特价，买贵了，连个、驱动光盘都不送。机器比想像中的要厚重。我没有京东5000-200券。,相比 网友 赶上 特价 驱动 光盘 机器 想像中 厚重 京东,neg,"[(1, 0.91554505)]",1
电源哧哧乱响，不过已经找换了个！上下壳吻合度差了点，左托有点松！换内存不是很方便，拆的时候差点把触控板的连接线扯下来！搞不清楚为什么不能用螺丝机械固定，非得用个双面胶粘！模具只能说一般了！,电源 哧哧 找换 吻合 左托 内存 差点 触控板 连接线 扯下来 搞不清楚 螺丝 机械 固定 双面胶 模具 只能,neg,"[(8, 0.9483453)]",8
盖子盖不严实，有缝隙，按上去还带响，装内存的时候发现了双面胶，处理的太差了。显卡切换的时候有短暂的黑屏现象！,盖子 严实 缝隙 内存 发现 双面胶 显卡 切换 短暂 黑屏 现象,neg,"[(9, 0.9225554)]",9
"定单5216523与6月3号要求处理补发赠品.现在已经20号了,仍然未补发!现在都出了大礼包了.要求给一个满意的结果.不要一拖再拖!!!(而且我们拿到手就发现键盘问题,已经拿去修了.才买几天啊?)",定单 补发 赠品 补发 大礼包 满意 一拖再拖 拿到 发现 键盘 几天,neg,"[(7, 0.92257226)]",7
显示器盖子有点往外凸，合不严。有点扭曲的感觉。盖子外表面用手触摸，有凸凹的感觉。,显示器 盖子 外凸 不严 扭曲 感觉 盖子 表面 触摸 凸凹 感觉,neg,"[(12, 0.92257386)]",12
系统真的很烂，回来就换成但是的驱动不怎么支持的?换完 硬盘只能改为模式显卡不能热切换无线网络要更新成别的软件，蓝牙无法使用。哎之后换成7 用起来可以,系统 真的 很烂 回来 换成 驱动 支持 硬盘 只能 改为 模式 显卡 热切 无线网络 更新 软件 蓝牙 换成,neg,"[(6, 0.951112)]",6
1，摄像头130像素，视频不是特别清晰,摄像头 像素 视频 特别 清晰,neg,"[(0, 0.0119059505), (1, 0.011905962), (2, 0.8452223), (3, 0.011905962), (4, 0.011905953), (5, 0.011906032), (6, 0.011905954), (7, 0.011905953), (8, 0.011905995), (9, 0.011906004), (10, 0.011905976), (11, 0.011905972), (12, 0.01190598), (13, 0.011905958)]",2
不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错,neg,"[(13, 0.97346944)]",13
配置一般，同等配置电脑价格要低不少。材料是塑料的，手压会变形。。。不爽,配置 同等 配置 电脑 价格 材料 塑料 手压 变形 不爽,neg,"[(2, 0.27207586), (10, 0.6499441)]",10
有点小，字体看着不舒服，习惯了就好！毕竟够轻薄。,字体 看着 舒服 习惯 轻薄,neg,"[(0, 0.011908656), (1, 0.011908415), (2, 0.84519047), (3, 0.011908374), (4, 0.011908377), (5, 0.011908387), (6, 0.011908407), (7, 0.011908398), (8, 0.011908394), (9, 0.011908373), (10, 0.011908402), (11, 0.01190845), (12, 0.011908458), (13, 0.011908399)]",2
系统不好用的，给装成了，不知道为什么有点色差，不自然，总的还好~不应该是装系统的问题吧,系统 不好 装成 色差 自然 还好 系统,neg,"[(1, 0.8838643)]",1
"开始卡插不进去.后来才知道插到一半时要将卡尾往上""翘""一下,才能插到底.插口好像也是这样?卡只能插到一半.锁杆也没有弹出来.因为不用,至今没有去研究这问题.",一半 卡尾 插口 好像 只能 一半 锁杆 弹出来 不用 研究,neg,"[(8, 0.13138951), (13, 0.79060143)]",13
"4799下的单,收到的时候价格变成了4699,并赠送一张杀毒光盘,然后就因为新增加赠品的原因,我无法申请价格保护,这明显是京东逃避价格保护的小手段,让我十分的不爽! 而且什么东西都没有送！！！！",收到 价格 赠送 一张 杀毒 光盘 增加 赠品 原因 申请 价格 保护 京东 逃避 价格 保护 手段 不爽 东西,neg,"[(2, 0.8409561), (9, 0.11615761)]",2
"宽屏的,有点不习惯,不过这个不是京东的问题;以前记得送鼠标的,现在没有了",习惯 京东 记得 鼠标,neg,"[(0, 0.0143042505), (1, 0.014304227), (2, 0.01430422), (3, 0.014304181), (4, 0.014304228), (5, 0.014304206), (6, 0.37455449), (7, 0.014304206), (8, 0.014304265), (9, 0.014304174), (10, 0.014304242), (11, 0.45379484), (12, 0.01430423), (13, 0.014304216)]",11
预装系统是的 很耗资源 为此我没要7000元那一款1的 怕卡 不过送的盘是的,预装 系统 资源 一款 盘是,neg,"[(0, 0.011914859), (1, 0.011914878), (2, 0.011914867), (3, 0.011914862), (4, 0.011914874), (5, 0.011914865), (6, 0.011914869), (7, 0.011914882), (8, 0.0119148595), (9, 0.8451067), (10, 0.011914863), (11, 0.011914861), (12, 0.011914882), (13, 0.011914871)]",9
"实际上，该显卡是没有系统的官方驱动盘的，就是装上了,也只是样子上是，其功能（显卡驱动只是兼容）会慢慢会显出残缺。所以京东介绍该品时，要先交代清楚，免得人家误入歧途。只有装一条是正路。",实际上 显卡 系统 官方 驱动 装上 样子 功能 显卡 驱动 兼容 慢慢 显出 残缺 京东 介绍 该品 交代 免得 误入歧途 一条 正路,neg,"[(1, 0.7895577), (2, 0.07242153), (9, 0.059784293), (13, 0.047149293)]",1
1.表面手摸过后不易擦拭 2.预装系统启动太慢 3.原装包有点薄，稍装点东西就鼓起来,表面 手摸 过后 不易 擦拭 预装 系统启动 太慢 原装 装点 东西 鼓起来,neg,"[(0, 0.0958384), (5, 0.8381337)]",5
"键盘小,比例和正常键盘也不相同,我聊天时因为用全拼,老要用1键选字,结果总把1帮助窗口给按出来了,1~10本来就是极少用的功能键, 如果阻尼可以设置得比其他键更大一些岂不是更好些?",键盘 比例 键盘 聊天 全拼 选字 窗口 本来 极少 功能键 阻尼 设置 得比 更好,neg,"[(0, 0.93801576)]",0
联想的系统里装的都是些什么乱七八糟的玩意，60天的杀毒试用版也别装了，累人！,联想 系统 乱七八糟 玩意 杀毒 试用版 也别 累人,neg,"[(6, 0.89669025)]",6
散热做得很不好，系统不稳定，刚用一次就系统破坏，进行了系统修复，但是联想的智能修复系统很强大，很方便，电池使用时间很短。希望京东能快快进到六芯电池。了却我的遗憾,散热 不好 系统 稳定 系统 破坏 系统 修复 联想 智能 修复 系统 强大 电池 时间 希望 京东 快快 进到 六芯 电池 遗憾,neg,"[(9, 0.95961016)]",9
网卡老出问题，不知道是不是驱动的问题,网卡 驱动,neg,"[(0, 0.023809856), (1, 0.6904711), (2, 0.023809897), (3, 0.023809934), (4, 0.023810027), (5, 0.023809869), (6, 0.02380998), (7, 0.0238099), (8, 0.023809915), (9, 0.023809906), (10, 0.023809908), (11, 0.023809908), (12, 0.023809867), (13, 0.02380987)]",1
没有包 我又单买一胆 但是适配器没地方放 郁闷中 但电脑极好 以后再买包吧 电池久一些更好,单买 适配器 地方 郁闷 电脑 极好 电池 更好,neg,"[(5, 0.74031764), (6, 0.16437532)]",5
没有缺点，都是优点~~吼吼，或许，硬盘有点不够用，但是这么小的本本，要求就不用那么高了~方便就好了~~~~,缺点 优点 吼吼 硬盘 本本 不用,neg,"[(0, 0.0102115255), (1, 0.010211533), (2, 0.010211536), (3, 0.010211555), (4, 0.010211521), (5, 0.010211555), (6, 0.010211534), (7, 0.010211518), (8, 0.01021152), (9, 0.8672501), (10, 0.010211526), (11, 0.010211515), (12, 0.010211509), (13, 0.010211594)]",9
屏的视觉效果并不好，还不如以前的清爽明亮，说是节能，其实是折磨眼睛，有上当之感。京东这次配货简直胜过蜗牛，拖拉之极，取消订单的指令及要求发了不少三次，都没反应，采取钱已入袋，对退货的要求置之不理，很混,视觉效果 不好 清爽 明亮 节能 折磨 眼睛 上当 京东 配货 胜过 蜗牛 拖拉 取消 订单 指令 三次 退货 置之不理,neg,"[(12, 0.9535236)]",12
"系统的确难装,思路对了也挺简单:我是用盘装的,我先用把盘做成启动盘,然后把系统光盘里的东西复制到盘,将机器里的启动项调成-启动,进入界面之后,",系统 思路 对了 简单 盘装 先用 做成 启动盘 系统 光盘 东西 复制到 机器 启动项 启动 界面,neg,"[(6, 0.14588578), (9, 0.80366373)]",9
系统安装还算顺利，网卡驱动怎么一直装不上。郁闷。+11也没用啊。,系统 安装 顺利 网卡 驱动 装不上 郁闷 没用,neg,"[(4, 0.38021296), (6, 0.35589206), (9, 0.17654812)]",4
疑似返修机！理由：,疑似 返修 理由,neg,"[(0, 0.017885191), (1, 0.017885191), (2, 0.017885191), (3, 0.01788525), (4, 0.7674918), (5, 0.017885232), (6, 0.017885238), (7, 0.017885191), (8, 0.017885191), (9, 0.017885191), (10, 0.017885426), (11, 0.017885191), (12, 0.017885253), (13, 0.01788539)]",4
强烈要求京东换物流，邮政ＥＭＳ快递太慢了，用了五个工作日才到手．一个字，慢．机了的话暂时没有发现什么毛病，就是系统太难搞了，希望改进,强烈要求 京东 物流 邮政 快递 太慢 五个 工作日 到手 暂时 发现 毛病 系统 难搞 希望 改进,neg,"[(6, 0.9453483)]",6
没蓝牙,蓝牙,neg,"[(0, 0.035717342), (1, 0.035717484), (2, 0.035717577), (3, 0.035717364), (4, 0.03571736), (5, 0.035717458), (6, 0.5356727), (7, 0.035717413), (8, 0.035717458), (9, 0.03571768), (10, 0.035717342), (11, 0.035717677), (12, 0.0357177), (13, 0.035717458)]",6
散热不好，主要是在左侧掌托和鼠标触摸板处，开机大概20分钟左右就变得有些烫了，真是要命~不知道是不是质量问题啊。。。还有硬盘经常发出咔咔的声响，不知道是不是正常。。。,散热 不好 左侧 掌托 鼠标 触摸板 开机 分钟 变得 要命 质量 硬盘 发出 声响,neg,"[(2, 0.7675512), (9, 0.17525774)]",2
