original_content,processed_content
Title: トランプ氏の共和党、事実上の選挙公約でＥＶ普及に向けた環境規制撤廃…中国の「最恵国待遇」取り消し,トランプ 共和党 事実 選挙 公約 普及 向け 環境 規制 撤廃 中国 最恵国 待遇 取り消し
【ワシントン＝田中宏幸、田島大志】米メディアは８日、米共和党が１１月の大統領選に向けて策定し、事実上の公約となる綱領案の内容を報じた。エネルギー生産規制の撤廃や南部国境の「封鎖」などを掲げており、党大会で大統領候補に正式に指名されるトランプ前大統領の主張が色濃く反映された。,ワシントン 田中 宏幸 田島 大志 メディア 共和党 大統領 向け 策定 事実 公約 綱領 内容 報じ エネルギー 生産 規制 撤廃 南部 国境 封鎖 掲げ 大会 大統領 候補 正式 指名 トランプ 大統領 主張 色濃く 反映
　綱領は、１５～１８日にウィスコンシン州で開かれる党大会で採択される。「米国第一」の経済政策を掲げ、インフレ（物価上昇）対策として「米国を世界で圧倒的なエネルギー生産国にする」と強調した。石油や天然ガスなどの増産でガソリン価格を引き下げ、物価の抑制を図る。バイデン政権が導入した電気自動車（ＥＶ）の普及に向けた環境規制も撤廃する。,綱領 ウィスコンシン 開か 大会 採択 米国 経済 政策 掲げ インフレ 物価 上昇 対策 米国 世界 圧倒的 エネルギー 生産 強調 石油 天然 ガス 増産 ガソリン 価格 引き下げ 物価 抑制 図る バイデン 政権 導入 電気 自動車 普及 向け 環境 規制 撤廃
　２０２５年末に期限を迎えるトランプ前政権時に導入された大型減税については、「恒久化する」と明記した。具体的な財源には言及せず、公的年金と医療保険制度を維持するとした。対中強硬姿勢を鮮明にし、関税などで他国と同じ貿易条件を保障する中国の「最恵国待遇」を取り消し、一部商品について段階的に輸入を停止する。,年末 期限 迎える トランプ 政権 導入 大型 減税 恒久 明記 具体 財源 言及 公的 年金 医療 保険 制度 維持 強硬 姿勢 鮮明 関税 他国 貿易 条件 保障 中国 最恵国 待遇 取り消し 一部 商品 段階 輸入 停止
　人工知能（ＡＩ）に関する規制緩和も訴えた。「技術革新を妨げ、過激な左翼思想を押しつけている」として、バイデン政権が昨年１０月に発表したＡＩの安全性を確保するための大統領令を廃止すると表明した。,人工 知能 規制 緩和 訴え 技術 革新 妨げ 過激 左翼 思想 押しつけ バイデン 政権 昨年 発表 安全 確保 大統領 廃止 表明
　外交・安全保障分野では、「同盟関係を強化する」とする一方、「同盟国が共同防衛義務に投資するよう徹底する」と訴えた。北大西洋条約機構（ＮＡＴＯ）加盟国の国防費増額が念頭にあるとみられる。インド太平洋地域については、国名には言及せず、「強く、主権があり、独立した国家を支持する」と記した。,外交 安全 保障 分野 同盟 関係 強化 一方 同盟 共同 防衛 義務 投資 徹底 訴え 北大西洋 条約 機構 加盟 国防 増額 念頭 インド 太平洋 地域 国名 言及 強く 主権 独立 国家 支持 記し
　南部国境の管理厳格化を図り、不法移民を強制送還するとした。妊娠後期の中絶に反対を明記したが、具体的な規制は各州の判断に委ね、踏み込まなかった。,南部 国境 管理 厳格 図り 不法 移民 強制 送還 妊娠 後期 中絶 反対 明記 具体 規制 各州 判断 委ね 踏み込ま
Title: ＥＵ、中国製ＥＶに最大３７・６％の追加関税…暫定措置で１１月に最終決定へ,中国 最大 追加 関税 暫定 措置 最終 決定
【シントラ（ポルトガル）＝秋山洋成】欧州連合（ＥＵ）の執行機関・欧州委員会は４日、中国製の電気自動車（ＥＶ）の輸入に対し、最大３７・６％の追加関税を５日から暫定的に課すと発表した。補助金を受けて不当に安い中国製ＥＶが出回り、域内の産業に甚大な影響が出ると判断した。,シン トラ ポルトガル 秋山 欧州 連合 執行 機関 欧州 委員 中国 電気 自動車 輸入 最大 追加 関税 暫定 課す 発表 補助 受け 不当 安い 中国 出回り 域内 産業 甚大 影響 出る 判断
　ＥＵは６月１２日に暫定関税案を発表後、中国側に解決策を求めたが不調に終わった。中国側と協議を続け、１１月初旬までに、ＥＵ加盟国の承認を経て最終的に決定する。,暫定 関税 発表 中国 解決 求め 不調 終わっ 中国 協議 続け 初旬 加盟 承認 最終 決定
　欧州委によると、メーカー別では、上海汽車に最も高い３７・６％、ＥＶ大手ＢＹＤに１７・４％の関税を現行の１０％に追加で課す。,欧州 よる メーカー 上海 汽車 最も 高い 大手 関税 現行 追加 課す
　ＥＶ大手テスラなど外国メーカーの中国製も対象となる。,大手 テスラ 外国 メーカー 中国 対象
Title: 低迷続くテスラ、ＥＶ販売台数は２四半期連続の前年割れ…米紙「イーロン・マスク氏にここ数年で最大の試練」,低迷 続く テスラ 販売 台数 四半期 連続 前年 割れ イーロン・マスク 最大 試練
【ニューヨーク＝小林泰裕】米電気自動車（ＥＶ）大手テスラが２日発表した２０２４年４～６月期のＥＶ販売台数は、前年同期比５％減の４４万３９５６台だった。前年同期を割り込むのは２四半期連続で、米国でのＥＶ需要減速や中国での競争激化によって苦戦が続いている。,ニューヨーク 小林 泰裕 電気 自動車 大手 テスラ 発表 販売 台数 前年 同期 前年 同期 割り込む 四半期 連続 米国 需要 減速 中国 競争 激化 苦戦 続い
　米メディアによると、２四半期連続の減少は１２年以来となる。テスラは米国のＥＶ市場で約５割のシェア（占有率）を持つ。だが、米国ではハイブリッド車（ＨＶ）が人気となっており、富裕層以外への販売が広がっていない。中国市場ではＢＹＤなど安価なＥＶを生産する中国勢に押されて販売が伸び悩んでいる。,メディア よる 四半期 連続 減少 以来 テスラ 米国 市場 シェア 占有 持つ 米国 ハイブリッド 人気 富裕 以外 販売 広がっ 中国 市場 安価 生産 中国 押さ 販売 伸び悩ん
　不振の一因は、２０年から販売しているスポーツ用多目的車（ＳＵＶ）「モデルＹ」に代わる主力車種を投入できていないことだ。昨年１１月に販売を始めたピックアップトラック「サイバートラック」はリコールで出だしからつまずき、販売は低調だ。,不振 一因 販売 スポーツ 多目的 モデル 代わる 主力 車種 投入 昨年 販売 始め ピックアップ トラック サイバートラック リコール 出だし つまずき 販売 低調
　米紙ウォール・ストリート・ジャーナルは２日、「イーロン・マスク最高経営責任者（ＣＥＯ）はここ数年で最大の試練に直面している」と指摘した。,ウォール・ストリート・ジャーナル イーロン・マスク 最高 経営 責任 最大 試練 直面 指摘
　テスラは値下げで需要の減少を食い止めているが、新型車を次々と投入する中国勢に十分に対抗できていない。,テスラ 値下げ 需要 減少 食い止め 新型 次々 投入 中国 十分 対抗
　ただ、販売台数の減少幅は１～３月期（９％減）より改善した。販売台数でライバルのＢＹＤを上回り、なんとかＥＶ販売世界首位を２四半期連続で守った。米モルガン・スタンレーは２日、「テスラが昨年と同水準のＥＶ販売を達成するのは難しい」と分析しつつ、蓄電池製品の販売が好調なことを評価した。,販売 台数 減少 改善 販売 台数 ライバル 上回り なんとか 販売 世界 首位 四半期 連続 守っ モルガン・スタンレー テスラ 昨年 水準 販売 達成 難しい 分析 蓄電池 製品 販売 好調 評価
　テスラは８月に自動運転タクシーを発表する予定のほか、人型ロボットの開発も行うなど、事業の多角化も進めている。,テスラ 自動 運転 タクシー 発表 予定 ロボット 開発 行う 事業 多角 進め
Title: テスラの４～６月期販売台数、２四半期連続で前年同期割り込む…需要減速や中国での競争激化が要因,テスラ 販売 台数 四半期 連続 前年 同期 割り込む 需要 減速 中国 競争 激化 要因
【ニューヨーク＝小林泰裕】米電気自動車（ＥＶ）大手テスラが２日発表した２０２４年４～６月期のＥＶ販売台数は、前年同期比５％減の４４万３９５６台だった。米国での需要減速や中国での競争激化を受け、２四半期連続で前年同期を割り込んだ。,ニューヨーク 小林 泰裕 電気 自動車 大手 テスラ 発表 販売 台数 前年 同期 米国 需要 減速 中国 競争 激化 受け 四半期 連続 前年 同期 割り込ん
　米メディアによれば、２四半期連続の減少は２０１２年以来。テスラは米国市場でシェア（占有率）約５割を握るが、新たな技術への関心が高い富裕層以外に販売が広がっていない。中国市場では、ＢＹＤなど安価なＥＶを生産する中国勢に押されて販売が伸び悩んでいる。,メディア よれ 四半期 連続 減少 以来 テスラ 米国 市場 シェア 占有 握る 新た 技術 関心 高い 富裕 以外 販売 広がっ 中国 市場 安価 生産 中国 押さ 販売 伸び悩ん
　テスラは業績回復に向け、１０％超の大規模な人員削減を実施してコスト削減を図る一方、新型車の投入を急いでいる。,テスラ 業績 回復 向け 規模 人員 削減 実施 コスト 削減 図る 一方 新型 投入 急い
Title: 中国、レアアースが「国家に帰属する」と採掘や輸出規制の規則公布…日米欧をけん制する狙いか,中国 レアアース 国家 帰属 採掘 輸出 規制 規則 公布 けん制 狙い
【上海＝山下福太郎】中国政府は２９日、レアアース（希土類）が「国家に帰属する」として、採掘や輸出を規制する関連規則を公布し、１０月１日から施行すると発表した。中国は世界のレアアース生産量の７割を占め、国家管理を強化し日米欧をけん制する狙いとみられる。,上海 山下 福太郎 中国 政府 レアアース 希土類 国家 帰属 採掘 輸出 規制 関連 規則 公布 施行 発表 中国 世界 レアアース 生産 占め 国家 管理 強化 けん制 狙い
　資源の輸出や採掘などの規制は段階的に導入してきたが、今回はレアアースに特化した包括的な規制となる。条文では「レアアース資源は国家に帰属し、いかなる組織や個人も不法占有したり破壊したりしてはならない」と定めた。,資源 輸出 採掘 規制 段階 導入 今回 レアアース 包括 規制 条文 レアアース 資源 国家 帰属 組織 個人 不法 占有 破壊 定め
　レアアースに関連する製品や技術の輸出も、輸出入に関係する法律を順守するよう求めた。政府が資源保護を強化し、レアアース産業の発展に向けて研究開発を含む統一的な計画を策定することも盛り込まれた。規則に違反した企業や個人は、処罰や罰金の対象になるとしている。,レアアース 関連 製品 技術 輸出 輸出入 関係 法律 順守 求め 政府 資源 保護 強化 レアアース 産業 発展 向け 研究 開発 含む 統一 計画 策定 盛り込ま 規則 違反 企業 個人 処罰 罰金 対象
　レアアースは電気自動車（ＥＶ）や風力発電用のモーター、軍需関連など幅広いハイテク製品の生産に欠かせない材料。 李強リーチャン 首相は昨年１１月、戦略的鉱物資源としてレアアースの開発や管理を強化する考えを示していた。,レアアース 電気 自動車 風力 発電 モーター 軍需 関連 幅広い ハイテク 製品 生産 欠か 材料 リー チャン 首相 昨年 戦略 鉱物 資源 レアアース 開発 管理 強化 考え 示し
Title: ルノーと吉利汽車の合弁会社、サウジアラムコが１３００億円出資へ…株式の１０％を取得,ルノー 吉利 汽車 合弁 会社 サウジアラムコ 出資 株式 取得
【ロンドン＝中西梓】仏自動車大手ルノーは２８日、同社と中国自動車大手吉利汽車が設立したエンジン・駆動装置の合弁会社ホース・パワートレインに、サウジアラビアの国営石油会社サウジアラムコが７億４０００万ユーロ（約１３００億円）を出資し、株式の１０％を取得すると発表した。,ロンドン 中西 自動車 大手 ルノー 同社 中国 自動車 大手 吉利 汽車 設立 エンジン 駆動 装置 合弁 会社 ホース パワー トレイン サウジアラビア 国営 石油 会社 サウジアラムコ ユーロ 出資 株式 取得 発表
　ホース社はルノーのエンジン部門を分社化し、５月末に設立された。サウジアラムコの出資で、ルノーと吉利の株式保有割合はそれぞれ４５％になる。サウジアラムコは合成燃料の開発などを支援する。,ホース ルノー エンジン 部門 分社 月末 設立 サウジアラムコ 出資 ルノー 吉利 株式 保有 割合 サウジアラムコ 合成 燃料 開発 支援
　ルノーは電気自動車（ＥＶ）部門とエンジン部門をそれぞれ分社化している。ＥＶ専用の新会社アンペアは２０２４年に新規上場する予定だったが、市場環境の悪化を受けて今年１月に上場計画を中止すると発表している。,ルノー 電気 自動車 部門 エンジン 部門 分社 専用 会社 アンペア 新規 上場 予定 市場 環境 悪化 受け 今年 上場 計画 中止 発表
Title: フォルクスワーゲン、米新興リビアンに８０００億円出資…新たに合弁会社を設立,フォルクスワーゲン 新興 リビア 出資 新た 合弁 会社 設立
【ロンドン＝中西梓】独自動車大手フォルクスワーゲン（ＶＷ）は２５日、電気自動車（ＥＶ）の米新興リビアン・オートモーティブに対して２０２６年までに最大５０億ドル（約８０００億円）を投資すると発表した。今年１２月以降に１０億ドルを出資するほか、両社が５０％ずつ出資する合弁会社を設立し、ＥＶ用ソフトウェアの共同開発を進める。,ロンドン 中西 自動車 大手 フォルクスワーゲン 電気 自動車 新興 リビアン・オートモーティブ 最大 ドル 投資 発表 今年 以降 ドル 出資 両社 出資 合弁 会社 設立 ソフトウェア 共同 開発 進める
　米テスラやＢＹＤなどの中国メーカーに比べ、ＶＷなど欧州メーカーはＥＶ開発の遅れが指摘されている。ＶＷはリビアンへの出資を通じ、開発を加速させたい考えだ。,テスラ 中国 メーカー 比べ 欧州 メーカー 開発 遅れ 指摘 リビアン 出資 通じ 開発 加速 たい 考え
　米国では、ＥＶ市場の減速の影響を受けた新興メーカーの経営破綻が相次いでいる。リビアンも赤字が続いているが、ＶＷからの大型の資金調達で財務基盤を強化し、苦境を乗り越える狙いがある。,米国 市場 減速 影響 受け 新興 メーカー 経営 破綻 相次い リビア 赤字 続い 大型 資金 調達 財務 基盤 強化 苦境 乗り越える 狙い
Title: カナダも中国製ＥＶへの追加関税検討、米ＥＵと足並みそろえる,カナダ 中国 追加 関税 検討 足並み そろえる
【ワシントン＝田中宏幸】カナダ政府は２４日、中国製の電気自動車（ＥＶ）に新たな関税を課すことを検討していると発表した。米国や欧州連合（ＥＵ）と足並みをそろえて中国の過剰生産問題に対応し、自国への安価な製品流入を防ぐ狙いだが、各国の対応には温度差もある。,ワシントン 田中 宏幸 カナダ 政府 中国 電気 自動車 新た 関税 課す 検討 発表 米国 欧州 連合 足並み そろえ 中国 過剰 生産 問題 対応 自国 安価 製品 流入 防ぐ 狙い 各国 対応 温度
　先進７か国（Ｇ７）の一角で、自動車を主要産業とするカナダは７月２日から３０日間、中国への対応についてパブリックコメント（意見公募）を実施する。輸入が増えている中国製ＥＶに対抗し、国内産業や雇用を保護する狙いがある。,先進 か国 一角 自動車 主要 産業 カナダ 日間 中国 対応 パブリック コメント 意見 公募 実施 輸入 増え 中国 対抗 国内 産業 雇用 保護 狙い
　クリスティア・フリーランド副首相兼財務相は声明で「カナダの労働者と自動車産業は、意図的な国家主導の過剰生産能力によって国内外で競争する能力を損なっている」と強調した。,クリスティア・フリーランド 首相 財務 声明 カナダ 労働 自動車 産業 意図 国家 主導 過剰 生産 能力 国内外 競争 能力 損なっ 強調
　米欧では、中国政府による巨額の補助金で過剰生産されたＥＶなどの低価格製品が、市場の競争環境をゆがめているとの警戒感が広がる。米国は中国製ＥＶに対して８月から現在の４倍の１００％の制裁関税を課すことを決定したほか、ＥＵも最大３８・１％の追加関税を発表している。,中国 政府 巨額 補助 過剰 生産 価格 製品 市場 競争 環境 ゆがめ 警戒 広がる 米国 中国 現在 制裁 関税 課す 決定 最大 追加 関税 発表
　主要国以外でも、トルコが今月８日、中国製ハイブリッド車（ＨＶ）などに４０％の追加関税を課すと発表した。トルコは昨年、中国製ＥＶへの関税も４０％へと引き上げている。,主要 以外 トルコ 今月 中国 ハイブリッド 追加 関税 課す 発表 トルコ 昨年 中国 関税 引き上げ
　中国製ＥＶを巡っては、今月イタリアで開かれたＧ７首脳会議（サミット）の首脳声明で、中国による非市場的政策に「懸念」を表明している。ただ、ＥＵの中で中国市場への依存度が低いフランスが追加関税に賛成する一方、依存度が高いドイツは反対姿勢を示すなど、立場の違いも表面化している。,中国 巡っ 今月 イタリア 開か 首脳 会議 サミット 首脳 声明 中国 市場 政策 懸念 表明 中国 市場 依存 低い フランス 追加 関税 賛成 一方 依存 高い ドイツ 反対 姿勢 示す 立場 違い 表面
Title: 中国ＢＹＤ、国内３車種目の「シール」発売…社長「日本のＥＶ市場の潮目を変えたい,中国 国内 車種 シール 発売 社長 日本 市場 潮目 変え たい
中国の電気自動車（ＥＶ）大手ＢＹＤは２５日、セダンタイプのＥＶ「シール」を発売した。昨年１月に日本の乗用車市場に参入して以降、３車種目の投入だ。ラインアップを拡充して日本での存在感を高める。,中国 電気 自動車 大手 セダン タイプ シール 発売 昨年 日本 乗用車 市場 参入 以降 車種 投入 ライン アップ 拡充 日本 存在 高める
　シールは２０２２年に中国で発売され、現在は世界約４０か国で販売されている。１回の充電で走れる航続距離は６４０キロ・メートルと、米テスラのセダンＥＶ「モデル３」に匹敵する。フロントグリルをなくし、流線的なデザインを際立たせた。幼児の車内への置き去りを防ぐ機能も搭載。日本での価格は税込み５２８万円から。,シール 中国 発売 現在 世界 か国 販売 充電 走れる 航続 距離 キロ メートル テスラ セダン モデル 匹敵 フロント グリル なくし デザイン 際立た 幼児 車内 置き去り 防ぐ 機能 搭載 日本 価格 税込み
　ＢＹＤオートジャパンの東福寺厚樹社長は２５日の発表会で、「最新テクノロジーを満載した。日本のＥＶ市場の潮目を変えたい」と意欲を見せた。,オート ジャパン 東福寺 社長 発表 最新 テクノロジー 満載 日本 市場 潮目 変え たい 意欲 見せ
　ＢＹＤは、スポーツ用多目的車（ＳＵＶ）の「アットスリー」とコンパクトカー「ドルフィン」を日本市場で販売してきたが、受注は計２５２１台にとどまる。,スポーツ 多目的 アットスリー コンパクト カー ドルフィン 日本 市場 販売 受注 とどまる
Title: 中国製ＥＶへのＥＵの追加関税措置、ドイツ経済相が中国閣僚と協議…「懲罰的ではない」と説明,中国 追加 関税 措置 ドイツ 経済 中国 閣僚 協議 懲罰 説明
【ロンドン＝中西梓、北京＝山下福太郎】ドイツのハベック経済相は２２日、北京で 王文濤ワンウェンタオ 商務相ら中国の閣僚と会談した。欧州連合（ＥＵ）の執行機関・欧州委員会が７月から導入する中国製電気自動車（ＥＶ）への暫定的な追加関税措置を巡って協議した。,ロンドン 中西 北京 山下 福太郎 ドイツ ハベック 経済 北京 ワンウェンタオ 商務 中国 閣僚 会談 欧州 連合 執行 機関 欧州 委員 導入 中国 電気 自動車 暫定 追加 関税 措置 巡っ 協議
　ロイター通信によると、ハベック氏は国家発展改革委員会の鄭柵潔主任との会談で、追加関税に関し「懲罰的な関税ではない」と説明。中国と他国のメーカーの競争条件を公平にするためだと述べたという。中国メディア・澎湃新聞は２２日、王氏は「欧州側が自身のやり方に固執するのなら、中国は自国利益を守るため必要な行動をとる」とハベック氏に警告したと報じた。,ロイター通信 よる ハベック 国家 発展 改革 委員 主任 会談 追加 関税 懲罰 関税 説明 中国 他国 メーカー 競争 条件 公平 述べ 中国 メディア 澎湃 新聞 欧州 自身 やり方 固執 中国 自国 利益 守る 必要 行動 とる ハベック 警告 報じ
　欧州委が１２日に追加関税を発表して以降、ＥＵ側高官の訪中はハベック氏が初めて。ドイツは中国が主要な貿易相手国で、追加関税には慎重姿勢とされる。,欧州 追加 関税 発表 以降 高官 訪中 ハベック 初めて ドイツ 中国 主要 貿易 相手 追加 関税 慎重 姿勢
Title: 中国企業ロゴ　懇談会の行き過ぎが気になる,中国 企業 ロゴ 懇談 行き過ぎ
日本のエネルギー政策に関する内閣府の懇談会で、中国企業のロゴマーク入りの資料が見つかった問題は、資料を提出した有識者のケアレスミスが原因だったとされている。,日本 エネルギー 政策 内閣 懇談 中国 企業 ロゴ マーク 入り 資料 見つかっ 問題 資料 提出 有識者 ケアレスミス 原因
　とはいえ、中国の意向で日本のエネルギー政策が 歪 ゆが められているのではないか、といった疑念を与えてしまったことは問題だ。軽率との批判は免れまい。,いえ 中国 意向 日本 エネルギー 政策 疑念 与え しまっ 問題 軽率 批判 免れ まい
　中国企業のロゴは、河野行政・規制改革相が２０２０年、自らの私的懇談会として設置した「再生可能エネルギーに関する規制等の総点検タスクフォース」の、委員の提出資料に表示されていた。,中国 企業 ロゴ 河野 行政 規制 改革 自ら 私的 懇談 設置 再生 可能 エネルギー 規制 点検 タスクフォース 委員 提出 資料 表示
　政府の調査報告によると、太陽光や風力発電の普及を目指している自然エネルギー財団の職員である委員は、１６年に韓国で行われた財団主催の国際会議で、中国の国営電力会社「国家電網公司」から電子データを受け取った。,政府 調査 報告 よる 太陽光 風力 発電 普及 目指し 自然 エネルギー 財団 職員 委員 韓国 行わ 財団 主催 国際 会議 中国 国営 電力 会社 国家 公司 電子 データ 受け取っ
　このデータは、アジア全域を太陽光などの送電網で結ぶ中国の構想に関するものだった。データには国家電網公司のロゴが入っていたが、委員はデータ部分を日本の再エネ推進向けの内容などに差し替え、懇談会に提出していた。,データ アジア 全域 太陽光 送電 結ぶ 中国 構想 データ 国家 公司 ロゴ 入っ 委員 データ 部分 日本 エネ 推進 向け 内容 差し替え 懇談 提出
　委員はロゴに気づかなかったというが、批判を受けて辞任した。政府は一連の問題について、「中国からの不当な影響力は確認されなかった」と結論付けた。,委員 ロゴ 気づか 批判 受け 辞任 政府 一連 問題 中国 不当 影響 確認 結論 付け
　だが、懇談会の運営に何ら問題がなかった、とは言えない。,懇談 運営 何ら 問題 言え
　この懇談会は、電気自動車（ＥＶ）の充電設備を全国に整備する計画の策定を経済産業省に要求するなど、再エネの利用拡大を繰り返し政府に求めてきた。,懇談 電気 自動車 充電 設備 全国 整備 計画 策定 経済 産業 要求 エネ 利用 拡大 繰り返し 政府 求め
　私的懇談会のあり方などを定めた政府の指針は、「法令に基づく審議会等とは異なり、あくまでも行政運営上の意見交換、懇談の場」と定めている。,私的 懇談 あり方 定め 政府 指針 法令 基づく 審議 異なり あくまでも 行政 運営上 意見 交換 懇談 定め
　政府に様々な要求を突きつけてきた河野氏の私的懇談会の活動は、この指針を逸脱していたと言わざるを得ない。林官房長官から注意を受けた河野氏が、その後、懇談会を廃止したのは当然だ。,政府 様々 要求 突きつけ 河野 私的 懇談 活動 指針 逸脱 言わ ざる 官房 長官 注意 受け 河野 懇談 廃止 当然
　そもそも内閣府や内閣府の特命担当大臣には、各省庁の政策を調整し、まとめる役割がある。,内閣 内閣 特命 担当 大臣 省庁 政策 調整 まとめる 役割
　河野氏が、一議員として再エネの推進にこだわるのは自由だが、特命担当大臣である以上、その責務の重さと影響力の大きさを忘れてはならない。,河野 議員 エネ 推進 こだわる 自由 特命 担当 大臣 以上 責務 影響 大き 忘れ
　エネルギーの安定供給は国の根幹に関わる重要な課題だ。安定供給と脱炭素を両立させるには、原子力発電所の再稼働と再エネの普及を同時に進める必要がある。,エネルギー 安定 供給 根幹 関わる 重要 課題 安定 供給 炭素 両立 原子力 発電 稼働 エネ 普及 同時に 進める 必要
Title: Ｇ７首脳会議、対中国・北朝鮮で連携強化を確認…ＡＩ巡る規制の具体策も検討,首脳 会議 中国 北朝鮮 連携 強化 確認 巡る 規制 具体 検討
【バーリ（イタリア南部）＝倉茂由美子、中西梓】イタリア南部プーリア州で開催されている先進７か国首脳会議（Ｇ７サミット）は２日目の１４日、インド太平洋地域の安全保障について協議し、中国や北朝鮮の脅威に対してＧ７として連携を強めることを確認した。経済安全保障では、中国による過剰生産問題で懸念を共有した。急速に性能が高まる人工知能（ＡＩ）を巡る規制の具体策も検討した。,バーリ イタリア 南部 由美子 中西 イタリア 南部 プーリア 開催 先進 か国 首脳 会議 サミット インド 太平洋 地域 安全 保障 協議 中国 北朝鮮 脅威 連携 強める 確認 経済 安全 保障 中国 過剰 生産 問題 懸念 共有 急速 性能 高まる 人工 知能 巡る 規制 具体 検討
　インド太平洋地域では、中国が台湾周辺や東・南シナ海などで覇権主義的な動きを強める。北朝鮮もウクライナに侵略するロシアとの軍事協力を深めている。,インド 太平洋 地域 中国 台湾 周辺 南シナ海 覇権 主義 動き 強める 北朝鮮 ウクライナ 侵略 ロシア 軍事 協力 深め
　経済安全保障を巡っては、中国を念頭に、補助金を受けた安価な製品の過剰生産が市場の健全な競争環境を損なうとして懸念を共有した。物資や製品の調達時に、価格だけではなく環境などにも配慮した企業を優先的に選定できるよう、Ｇ７で新たな基準を策定することで合意した。岸田首相は、「インド太平洋と経済安保はＧ７が国際社会をリードし続ける上で戦略的に重要だ」と述べた。,経済 安全 保障 巡っ 中国 念頭 補助 受け 安価 製品 過剰 生産 市場 健全 競争 環境 損なう 懸念 共有 物資 製品 調達 価格 環境 配慮 企業 優先 選定 新た 基準 策定 合意 岸田 首相 インド 太平洋 経済 安保 国際 社会 リード 続ける 戦略 重要 述べ
　中国は電気自動車（ＥＶ）のバッテリーや太陽光パネルなどに使用される重要鉱物の輸出管理を強めている。Ｇ７は、貿易で他国に圧力をかける「経済的威圧」に結束して対抗する方針を確認し、中国をけん制した。,中国 電気 自動車 バッテリー 太陽光 パネル 使用 重要 鉱物 輸出 管理 強め 貿易 他国 圧力 かける 経済 威圧 結束 対抗 方針 確認 中国 けん制
　ＡＩ規制では、昨年の広島サミットで合意した包括的ルール「広島ＡＩプロセス」の重要性を再確認し、人権侵害などを防ぐため、ＡＩ監視の基準作りなどを共同で進める方針だ。議論にはＧ７サミットで初めてローマ教皇が参加した。,規制 昨年 広島 サミット 合意 包括 ルール 広島 プロセス 重要 確認 人権 侵害 防ぐ 監視 基準 作り 共同 進める 方針 議論 サミット 初めて ローマ 教皇 参加
　サミット初日の１３日には、イスラエルとイスラム主義組織ハマスの戦闘が続くパレスチナ自治区ガザ情勢も議論した。議長国イタリアのメローニ首相は１３日の声明で、バイデン米大統領が５月末に示した新たな停戦案への「全会一致での支持」を確認した。,サミット 初日 イスラエル イスラム 主義 組織 ハマス 戦闘 続く パレスチナ 自治 ガザ 情勢 議論 議長 イタリア メローニ 首相 声明 バイデン 大統領 月末 示し 新た 停戦 全会 一致 支持 確認
　バイデン氏とウクライナのウォロディミル・ゼレンスキー大統領は１３日夜、安全保障協力を定めた２国間協定に署名した。協定は１０年間有効で、武器支援など協力分野を明記し、将来的にロシアによる武力攻撃があった場合、２４時間以内に対応を協議すると明記した。,バイデン ウクライナ ウォロディミル・ゼレンスキー 大統領 日夜 安全 保障 協力 定め 協定 署名 協定 年間 有効 武器 支援 協力 分野 明記 将来 ロシア 武力 攻撃 場合 時間 以内 対応 協議 明記
Title: 半導体やＥＶの供給網強化狙い、「情報保護や透明性」重視の共通基準で合意へ…Ｇ７首脳声明原案,半導体 供給 強化 狙い 情報 保護 透明 重視 共通 基準 合意 首脳 声明 原案
【ワシントン＝田島大志、田中宏幸】１３日にイタリアで開幕する先進７か国（Ｇ７）首脳会議で採択する首脳声明のうち、主要議題の一つである経済安全保障分野の原案が判明した。半導体など重要物資のサプライチェーン（供給網）強化に向け、特定国への依存を避けるための共通原則で合意する。原則に基づき、調達先選定の際の具体的な基準をＧ７が連携して策定する方針だ。,ワシントン 田島 大志 田中 宏幸 イタリア 開幕 先進 か国 首脳 会議 採択 首脳 声明 主要 議題 一つ 経済 安全 保障 分野 原案 判明 半導体 重要 物資 サプライ チェーン 供給 強化 向け 特定 依存 避ける 共通 原則 合意 原則 基づき 調達 選定 具体 基準 連携 策定 方針
　半導体や電気自動車（ＥＶ）で中国製など安価な製品が市場を席巻し、依存度が高まっていることを意識したものだ。公共調達などの際、価格だけに着目しないよう新たな共通基準が必要だとの考えで一致した。,半導体 電気 自動車 中国 安価 製品 市場 席巻 依存 高まっ 意識 公共 調達 価格 着目 新た 共通 基準 必要 考え 一致
　原案では「（調達先の）多様化によるリスクの低減と依存関係の減少が必要だ」との認識を示し、安全性や多様化、透明性など持続可能な重要物資の調達に向けて考慮すべき原則を確認した。Ｇ７加盟国以外に働きかける方向性も明記した。,原案 調達 多様 リスク 低減 依存 関係 減少 必要 認識 示し 安全 多様 透明 持続 可能 重要 物資 調達 向け 考慮 べき 原則 確認 加盟 以外 働きかける 方向 明記
　これらの原則に基づき、今後、Ｇ７としての厳格な基準を策定するとした。原案では具体例として、データ保護やサイバー防御、労働者の権利などへの十分な対応などを列挙した。,原則 基づき 今後 厳格 基準 策定 原案 具体 データ 保護 サイバー 防御 労働 権利 十分 対応 列挙
　貿易の制限で他国に圧力をかける「経済的威圧」を巡っても、「失敗させるために友好国と協力して行動をとる用意がある」とし、各国の法制度や国際法に沿い対抗手段の構築を進めることも盛り込んだ。,貿易 制限 他国 圧力 かける 経済 威圧 巡っ 失敗 友好国 協力 行動 とる 用意 各国 制度 国際 沿い 対抗 手段 構築 進める 盛り込ん
