车辆名称,品牌,价格,上牌时间,上市时间,表显里程,厂商,生产方式,厂商指导价(万元),能源形式,变速箱,车身形式,整车质保,电动机总功率(kW),过户次数
奔驰A级 2021款 改款 A 180 L 运动轿车,北京,16.28万,2022年,2021.04,2.53万公里,北京奔驰,合资,23.28,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,100,0次
奔驰GLB 2021款 GLB 200 动感型,北京,19.88万,2021年,2020.1,5.99万公里,北京奔驰,合资,31.88,汽油,7挡湿式双离合,5门5座SUV,三年不限公里,120,1次
奔驰C级 2021款 C 200 L 时尚型运动版,北京,23.O3万,2021年,2020.09,2.16万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,4次
奔驰GLB 2021款 GLB 200 时尚型,北京,23.O8万,2021年,2020.1,3.O5万公里,北京奔驰,合资,32.88,汽油,7挡湿式双离合,5门7座SUV,三年不限公里,120,1次
奔驰A级 2021款 A 200 L 运动轿车时尚型,北京,17.28万,2021年,2021.01,2.53万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,1次
奔驰GLC 2019款 GLC 300 L 4MATIC 动感型,北京,29.93万,2019年,2018.1,5.1万公里,北京奔驰,合资,47.88,汽油,9挡手自一体,5门5座SUV,三年不限公里,180,1次
奔驰A级 2021款 A 200 L 运动轿车时尚型,北京,18.43万,2022年,2021.01,1.19万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰A级AMG 2019款 AMG A 35 L 4MATIC,北京,25.3O万,2020年,2019.11,3.4万公里,北京奔驰,合资,39.98,汽油,7挡双离合,5门4座三厢车,三年不限公里,225,1次
奔驰A级AMG 2022款 AMG A 35 L 4MATIC,北京,29.OO万,2022年,2021.12,2.69万公里,北京奔驰,合资,39.51,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,225,1次
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,北京,31.98万,2021年,2020.11,5.32万公里,北京奔驰,合资,42.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰GLB 2020款 改款 GLB 200 动感型,北京,2O.68万,2020年,2020.04,4.91万公里,北京奔驰,合资,31.88,汽油,7挡双离合,5门5座SUV,三年不限公里,120,3次
北汽制造 元宝 2022款 智萌版,北京,2.93万,2022年,2022.06,O.64万公里,北京汽车制造厂,国产,5.19,纯电动,电动车单速变速箱,3门4座两厢车,三年或10万公里,20,0次
奔驰GLB 2020款 改款 GLB 200 时尚型,北京,21.O4万,2020年,2020.04,4.84万公里,北京奔驰,合资,32.88,汽油,7挡双离合,5门7座SUV,三年不限公里,120,0次
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,北京,32.68万,2021年,2020.11,3.14万公里,北京奔驰,合资,39.78,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,1次
奔驰GLB 2020款 GLB 200 时尚型,北京,17.6O万,2020年,2019.11,8.13万公里,北京奔驰,合资,32.68,汽油,7挡双离合,5门7座SUV,三年不限公里,120,6次
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,北京,17.98万,2021年,2020.04,2.44万公里,北京奔驰,合资,26.48,汽油,7挡双离合,4门5座三厢车,三年不限公里,120,3次
奔驰C级 2021款 C 200 L 时尚型运动版,北京,23.3O万,2021年,2020.09,2.91万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰GLB 2020款 改款 GLB 200 动感型,北京,2O.77万,2020年,2020.04,3.37万公里,北京奔驰,合资,31.88,汽油,7挡双离合,5门5座SUV,三年不限公里,120,0次
奔驰GLB 2021款 GLB 200 时尚型,北京,21.62万,2021年,2020.1,3.4万公里,北京奔驰,合资,32.88,汽油,7挡湿式双离合,5门7座SUV,三年不限公里,120,1次
奔驰C级 2020款 改款 C 200 L 时尚型运动版,北京,19.16万,2020年,2020.03,4.15万公里,北京奔驰,合资,31.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,1次
奔驰E级 2020款 改款 E 300 L 运动时尚型,北京,31.2O万,2020年,2020.03,1O.79万公里,北京奔驰,合资,46.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
奔驰E级 2021款 E 300 L 尊贵运动型,北京,39.68万,2021年,2020.09,7.38万公里,北京奔驰,合资,53.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,2次
奔驰C级 2020款 改款 C 200 L 时尚型运动版,北京,19.59万,2020年,2020.03,5.79万公里,北京奔驰,合资,31.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,2次
奔驰E级 2021款 E 300 L 运动时尚型,北京,39.98万,2021年,2020.09,3.55万公里,北京奔驰,合资,46.78,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
北京BJ40 2020款 2.0T 自动四驱致敬2020版侠客型,北京,12.2O万,2020年,2020.08,3.35万公里,北京越野,国产,16.99,汽油,8挡手自一体,2门4座SUV,三年或10万公里,165,0次
北京BJ40 2023款 2.0T 自动四驱城市猎人版侠客型,北京,16.O6万,2023年,2022.07,O.82万公里,北京越野,国产,17.98,汽油,8挡手自一体,4门5座SUV,三年或10万公里,165,0次
奔驰EQC 2020款 EQC 400 4MATIC,北京,2O.8O万,2020年,2019.11,1.43万公里,北京奔驰,合资,57.98,纯电动,,5门5座SUV,三年不限公里,300,2次
奔驰C级 2020款 改款 C 200 L 时尚型,北京,19.99万,2020年,2020.03,4.67万公里,北京奔驰,合资,31.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰E级 2021款 改款 E 300 L 时尚型,北京,38.94万,2021年,2021.03,5.8万公里,北京奔驰,合资,47.99,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰GLC 2022款 改款二 GLC 260 L 4MATIC 豪华型,北京,37.53万,2023年,2022.03,1.73万公里,北京奔驰,合资,42.92,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,1次
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,北京,27.18万,2020年,2020.03,6.99万公里,北京奔驰,合资,39.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,4次
北京汽车 北京EU5 2018款 R500 智风版,北京,6.88万,2019年,2018.04,3.83万公里,北京汽车,国产,13.29,纯电动,,5门5座三厢车,三年或12万公里,160,1次
北京BJ40 2020款 2.0T 自动四驱城市猎人版侠客型,北京,14.36万,2022年,2020.05,1.51万公里,北京越野,国产,17.98,汽油,8挡手自一体,4门5座SUV,三年或10万公里,165,0次
奔驰E级 2021款 E 300 L 运动时尚型,北京,37.3O万,2021年,2020.09,4.19万公里,北京奔驰,合资,46.78,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
奔驰E级 2022款 改款二 E 300 L 豪华型,北京,46.38万,2022年,2022.03,1.62万公里,北京奔驰,合资,49.88,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
北京BJ40 2019款 PLUS 2.3T 自动四驱尊享版 国VI,北京,11.83万,2021年,2019.07,3.41万公里,北京越野,国产,18.49,汽油,6挡手自一体,4门5座SUV,三年或10万公里,170,0次
奔驰EQC 2020款 EQC 350 4MATIC,北京,18.9O万,2020年,2020.06,1.95万公里,北京奔驰,合资,49.98,纯电动,电动车单速变速箱,5门5座SUV,三年不限公里,210,2次
奔驰GLB 2020款 GLB 200 动感型,北京,18.66万,2020年,2019.11,4.17万公里,北京奔驰,合资,31.48,汽油,7挡双离合,5门5座SUV,三年不限公里,120,1次
奔驰GLB 2020款 GLB 200 先型特别版,北京,19.88万,2020年,2019.11,5.55万公里,北京奔驰,合资,35.48,汽油,7挡双离合,5门7座SUV,三年不限公里,120,0次
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,北京,28.5O万,2020年,2020.03,9.43万公里,北京奔驰,合资,39.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰A级 2020款 改款 A 180 L 运动轿车特殊配置,北京,14.54万,2020年,2020.05,5.92万公里,北京奔驰,进口,23.28,汽油,7挡双离合,4门5座三厢车,三年不限公里,100,0次
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,北京,15.6O万,2020年,2020.04,2.97万公里,北京奔驰,合资,26.48,汽油,7挡双离合,4门5座三厢车,三年不限公里,120,1次
奔驰E级 2015款 E 260 L 运动时尚型,北京,15.38万,2015年,2015.06,13.12万公里,北京奔驰,合资,49.8,汽油,7挡手自一体,4门5座三厢车,三年不限公里,155,1次
奔驰EQA 2022款 EQA 300 4MATIC 首发特别版,北京,18.55万,2022年,2021.11,1.88万公里,北京奔驰,合资,36.58,纯电动,电动车单速变速箱,5门5座SUV,,168,1次
奔驰A级 2022款 A 200 L 运动轿车时尚型,北京,19.18万,2023年,2021.1,O.51万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
北京BJ40 2020款 2.0T 自动四驱城市猎人版侠客型,北京,13.2O万,2021年,2020.05,1.33万公里,北京越野,国产,17.98,汽油,8挡手自一体,4门5座SUV,三年或10万公里,165,0次
奔驰E级 2021款 改款 E 300 L 豪华型,北京,37.39万,2021年,2021.03,7.4万公里,北京奔驰,合资,49.89,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
奔驰GLB 2020款 GLB 180 动感型,北京,17.58万,2020年,2020.04,4.52万公里,北京奔驰,合资,29.28,汽油,7挡双离合,5门5座SUV,三年不限公里,100,0次
北京BJ40 2021款 2.0D 自动四驱刀锋英雄版侠客型,北京,16.13万,2022年,2021.03,1.33万公里,北京越野,国产,19.49,柴油,8挡手自一体,4门5座SUV,三年或10万公里,120,0次
奔驰C级 2022款 C 200 L 运动版,北京,25.8O万,2022年,2021.08,1.76万公里,北京奔驰,合资,32.52,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,125,0次
奔驰GLB 2020款 GLB 180 动感型,北京,17.36万,2020年,2020.04,7.29万公里,北京奔驰,合资,29.28,汽油,7挡双离合,5门5座SUV,三年不限公里,100,1次
奔驰EQC 2020款 EQC 350 4MATIC,北京,2O.5O万,2021年,2020.06,2.71万公里,北京奔驰,合资,49.98,纯电动,电动车单速变速箱,5门5座SUV,三年不限公里,210,1次
奔驰A级 2021款 A 200 L 运动轿车时尚型,北京,18.43万,2022年,2021.01,O.81万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰E级 2020款 改款 E 300 L 殊享版,北京,37.18万,2020年,2020.03,1.69万公里,北京奔驰,合资,49.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,4次
奔驰E级 2021款 E 300 L 运动时尚型,北京,34.26万,2020年,2020.09,8.14万公里,北京奔驰,合资,46.78,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
奔驰E级 2023款 E 300 L 运动豪华型,北京,44.8O万,2023年,2022.09,2.36万公里,北京奔驰,合资,50.41,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
北汽制造 元宝 2022款 乐萌版,北京,2.68万,2023年,2022.06,8OO公里,北京汽车制造厂,国产,4.19,纯电动,电动车单速变速箱,3门4座两厢车,三年或10万公里,20,1次
奔驰A级 2021款 A 200 L 运动轿车时尚型,北京,16.3O万,2021年,2021.01,3.43万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,1次
奔驰GLB 2020款 GLB 180 时尚型,北京,17.93万,2020年,2020.04,8.25万公里,北京奔驰,合资,30.28,汽油,7挡双离合,5门7座SUV,三年不限公里,100,0次
奔驰A级 2021款 改款 A 180 L 运动轿车,北京,15.66万,2021年,2021.04,2.28万公里,北京奔驰,合资,23.28,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,100,0次
奔驰GLB 2020款 改款 GLB 200 时尚型,北京,19.91万,2020年,2020.04,4.11万公里,北京奔驰,合资,32.88,汽油,7挡双离合,5门7座SUV,三年不限公里,120,0次
奔驰C级 2021款 C 200 L 时尚型运动版,北京,23.15万,2022年,2020.09,3.42万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,1次
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,北京,28.68万,2020年,2020.03,4.54万公里,北京奔驰,合资,39.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰E级 2021款 改款 E 300 L 运动时尚型,北京,36.53万,2021年,2021.03,5.39万公里,北京奔驰,合资,47.99,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,北京,27.O5万,2021年,2020.09,2.99万公里,北京奔驰,合资,39.98,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,225,0次
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,北京,27.79万,2021年,2020.11,9.47万公里,北京奔驰,合资,42.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,1次
奔驰E级 2023款 E 300 L 豪华型,北京,46.86万,2023年,2022.09,O.4万公里,北京奔驰,合资,50.41,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 动感型,北京,29.98万,2020年,2020.03,4.93万公里,北京奔驰,合资,44.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,190,0次
奔驰EQC 2020款 EQC 350 4MATIC,奔驰,19.6O万,2020年,2020.06,O.55万公里,北京奔驰,合资,49.98,纯电动,电动车单速变速箱,5门5座SUV,三年不限公里,210,2次
奔驰EQB 2022款 EQB 350 4MATIC 首发特别版,奔驰,23.1O万,2022年,2021.11,1.O9万公里,北京奔驰,合资,43.78,纯电动,电动车单速变速箱,5门7座SUV,,215,0次
奔驰A级 2019款 A 200 L 运动轿车,奔驰,14.O4万,2019年,2018.11,6.69万公里,北京奔驰,合资,26.48,汽油,7挡双离合,4门5座三厢车,三年不限公里,120,2次
奔驰EQB 2022款 EQB 350 4MATIC 首发特别版,奔驰,26.5O万,2023年,2021.11,O.71万公里,北京奔驰,合资,43.78,纯电动,电动车单速变速箱,5门7座SUV,,215,3次
奔驰E级 2021款 E 300 L 豪华型,奔驰,39.97万,2021年,2020.09,6.64万公里,北京奔驰,合资,49.78,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰E级(进口) 2021款 改款 E 260 时尚型运动版(进口),奔驰,33.O8万,2021年,2021.03,6.O2万公里,奔驰(进口),进口,43.88,汽油,9挡手自一体,4门5座三厢车,三年不限公里,145,1次
奔驰GLB 2020款 GLB 180 时尚型,奔驰,21.O3万,2021年,2020.04,2.O6万公里,北京奔驰,合资,30.28,汽油,7挡双离合,5门7座SUV,三年不限公里,100,0次
奔驰GLB 2022款 改款二 GLB 200 时尚型,奔驰,21.95万,2022年,2022.03,2.9万公里,北京奔驰,合资,31.09,汽油,7挡湿式双离合,5门7座SUV,三年不限公里,120,1次
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 动感型,奔驰,34.28万,2021年,2020.03,2.3万公里,北京奔驰,合资,44.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,190,0次
奔驰C级 2020款 改款 C 260 L 运动版,奔驰,22.28万,2020年,2020.03,3.61万公里,北京奔驰,合资,34.68,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,1次
奔驰C级 2021款 C 260 L 运动版,奔驰,23.98万,2021年,2020.09,6.49万公里,北京奔驰,合资,34.68,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,0次
奔驰A级 2022款 改款二 A 200 L 运动轿车时尚型,奔驰,18.1O万,2023年,2022.07,1.53万公里,北京奔驰,进口,25.44,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰C级 2021款 C 200 L 时尚型运动版,奔驰,23.86万,2021年,2020.09,3万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,1次
奔驰A级AMG(进口) 2020款 AMG A 45 S 4MATIC+,奔驰,37.85万,2021年,2020.07,5.81万公里,梅赛德斯-AMG,进口,54.98,汽油,8挡双离合,5门5座两厢车,三年不限公里,310,4次
奔驰C级 2020款 改款 C 200 L 时尚型,奔驰,2O.66万,2020年,2020.03,5.9万公里,北京奔驰,合资,31.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,奔驰,34.9O万,2022年,2020.11,2.35万公里,北京奔驰,合资,39.78,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,1次
奔驰C级 2021款 C 260 L 运动版,奔驰,24.65万,2021年,2020.09,3.13万公里,北京奔驰,合资,34.68,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,0次
奔驰GLC轿跑 2020款 GLC 260 4MATIC 轿跑SUV(进口),奔驰,32.88万,2021年,2019.11,5.55万公里,奔驰(进口),进口,45.88,汽油,9挡手自一体,5门5座SUV跨界车,三年不限公里,145,2次
奔驰A级 2021款 A 200 L 运动轿车时尚型,奔驰,16.98万,2021年,2021.01,2.16万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,1次
奔驰GLB 2020款 改款 GLB 200 时尚型,奔驰,21.75万,2021年,2020.04,8.62万公里,北京奔驰,合资,32.88,汽油,7挡双离合,5门7座SUV,三年不限公里,120,1次
奔驰C级(进口) 2020款 C 260 轿跑车(进口),奔驰,24.88万,2020年,2019.11,4.53万公里,奔驰(进口),进口,36.08,汽油+48V轻混系统,9挡手自一体,2门4座硬顶跑车,三年不限公里,135,0次
奔驰GLA 2022款 GLA 200,奔驰,17.83万,2021年,2021.1,1.53万公里,北京奔驰,合资,30.38,汽油,7挡湿式双离合,5门5座SUV,三年不限公里,120,0次
奔驰GLB 2022款 GLB 220 4MATIC,奔驰,25.75万,2022年,2022.03,1.39万公里,北京奔驰,合资,35.33,汽油,8挡湿式双离合,5门7座SUV,三年不限公里,140,1次
奔驰C级 2022款 改款 C 260 L 运动版,奔驰,29.38万,2022年,2022.02,O.34万公里,北京奔驰,合资,34.94,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,150,0次
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,奔驰,32.8O万,2021年,2020.11,6.62万公里,北京奔驰,合资,42.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰C级新能源 2023款 C 350 eL,奔驰,28.5O万,2022年,2022.08,O.99万公里,北京奔驰,合资,40.73,插电式混合动力,9挡手自一体,4门5座三厢车,三年不限公里,150,0次
奔驰A级 2022款 改款 A 200 L 运动轿车时尚型,奔驰,17.28万,2022年,2021.12,O.64万公里,北京奔驰,合资,25.44,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,1次
奔驰GLC 2022款 GLC 300 L 4MATIC 动感型臻藏版,奔驰,37.6O万,2022年,2022.03,1.77万公里,北京奔驰,合资,45.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,190,1次
奔驰C级 2021款 C 200 L 时尚型运动版,奔驰,21.82万,2021年,2020.09,4.9万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰A级 2020款 改款 A 180 L 运动轿车特殊配置,奔驰,14.38万,2020年,2020.05,5.66万公里,北京奔驰,进口,23.28,汽油,7挡双离合,4门5座三厢车,三年不限公里,100,1次
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,奔驰,29.58万,2020年,2020.03,5.28万公里,北京奔驰,合资,39.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,奔驰,3O.18万,2020年,2020.03,2.86万公里,北京奔驰,合资,39.48,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰E级 2020款 改款 E 300 L 时尚型,奔驰,33.88万,2021年,2020.03,1O.28万公里,北京奔驰,合资,46.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰C级 2021款 C 260 L 运动星耀臻藏版,奔驰,25.7O万,2022年,2020.09,1.42万公里,北京奔驰,合资,35.68,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,0次
奔驰GLB 2021款 GLB 200 时尚型,奔驰,2O.33万,2021年,2020.1,6.86万公里,北京奔驰,合资,32.88,汽油,7挡湿式双离合,5门7座SUV,三年不限公里,120,0次
奔驰C级 2019款 改款 C 260 L 运动版,奔驰,21.5O万,2019年,2019.03,2.59万公里,北京奔驰,合资,34.68,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,0次
奔驰A级 2021款 A 200 L 运动轿车时尚型,奔驰,17.28万,2021年,2021.01,3.16万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰C级 2022款 C 200 L 运动版,奔驰,25.85万,2022年,2021.08,1.69万公里,北京奔驰,合资,32.52,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,125,0次
奔驰E级 2022款 E 300 L 时尚型,奔驰,38.7O万,2021年,2021.1,7.71万公里,北京奔驰,合资,47.99,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰GLA 2020款 GLA 200 4MATIC,奔驰,18.3O万,2021年,,4.O8万公里,北京奔驰,合资,33.28,汽油,7挡双离合,5门5座SUV,三年不限公里,120,1次
奔驰C级 2021款 C 200 L 时尚型运动版,奔驰,22.8O万,2021年,2020.09,4.24万公里,北京奔驰,合资,31.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰C级 2021款 C 260 星耀臻藏版,奔驰,21.87万,2021年,2020.09,3.9万公里,北京奔驰,合资,31.88,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,0次
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,奔驰,31.68万,2021年,2020.11,3.43万公里,北京奔驰,合资,42.98,汽油,9挡手自一体,5门5座SUV,三年不限公里,145,0次
奔驰GLB 2022款 改款二 GLB 200 时尚型,奔驰,23.85万,2022年,2022.03,1.O1万公里,北京奔驰,合资,31.09,汽油,7挡湿式双离合,5门7座SUV,三年不限公里,120,2次
奔驰E级 2022款 E 260 L,奔驰,36.22万,2022年,2021.1,1.9万公里,北京奔驰,合资,43.99,汽油,9挡手自一体,4门5座三厢车,三年不限公里,145,0次
奔驰GLB 2021款 GLB 200 动感型,奔驰,17.29万,2020年,2020.1,4.13万公里,北京奔驰,合资,31.88,汽油,7挡湿式双离合,5门5座SUV,三年不限公里,120,0次
奔驰A级 2021款 A 200 L 运动轿车时尚型,奔驰,16.64万,2021年,2021.01,1.55万公里,北京奔驰,合资,26.48,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰C级 2022款 C 200 L 运动版,奔驰,25.7O万,2022年,2021.08,3.38万公里,北京奔驰,合资,32.52,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,125,0次
奔驰A级(进口) 2021款 A 200 动感型(进口),奔驰,16.2O万,2021年,2020.1,1.21万公里,奔驰(进口),进口,25.78,汽油,7挡湿式双离合,5门5座两厢车,三年不限公里,120,0次
奔驰E级(进口) 2021款 改款 E 260 轿跑车(进口),奔驰,45.18万,2022年,2021.11,1.14万公里,奔驰(进口),进口,53.08,汽油,9挡手自一体,2门4座硬顶跑车,三年不限公里,145,1次
奔驰CLA AMG 2017款 改款 AMG CLA 45 4MATIC,奔驰,24.O3万,2018年,2017.06,7.O9万公里,梅赛德斯-AMG,进口,54.58,汽油,7挡双离合,4门5座三厢车,三年不限公里,280,1次
奔驰E级 2020款 改款 E 300 L 殊享版,奔驰,35.3O万,2020年,2020.03,8.97万公里,北京奔驰,合资,49.98,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰 迈巴赫S级 2020款 S 450 4MATIC 典藏版,奔驰,89.28万,2020年,2020.03,13.62万公里,梅赛德斯-迈巴赫,进口,145.88,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,270,1次
奔驰E级新能源 2022款 改款 E 350 e L 插电式混合动力运动轿车,奔驰,36.5O万,2022年,2021.12,2.44万公里,北京奔驰,合资,51.83,插电式混合动力,9挡手自一体,4门5座三厢车,三年不限公里,155,0次
奔驰EQC 2020款 EQC 350 4MATIC,奔驰,18.8O万,2020年,2020.06,3.98万公里,北京奔驰,合资,49.98,纯电动,电动车单速变速箱,5门5座SUV,三年不限公里,210,2次
奔驰GLE轿跑 2020款 GLE 350 4MATIC 轿跑SUV 豪华型(进口),奔驰,57.5O万,2021年,2020.09,O.98万公里,奔驰(进口),进口,81.88,汽油,9挡手自一体,5门5座SUV跨界车,三年不限公里,190,0次
奔驰GLE 2022款 改款 GLE 350 4MATIC 轿跑SUV 豪华型(进口),奔驰,6O.68万,2022年,2022.04,1.34万公里,奔驰(进口),进口,80.46,汽油,9挡手自一体,5门5座SUV跨界车,三年不限公里,190,1次
奔驰S级 2021款 S 400 L 豪华型(进口),奔驰,82.5O万,2021年,2021.01,5.12万公里,奔驰(进口),进口,105.88,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,230,1次
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 豪华型,奔驰,3O.8O万,2020年,2020.03,6.39万公里,北京奔驰,合资,49.38,汽油,9挡手自一体,5门5座SUV,三年不限公里,190,6次
奔驰E级 2022款 E 300 L 运动豪华型,奔驰,41.OO万,2022年,2021.1,5.48万公里,北京奔驰,合资,49.89,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,0次
奔驰GLB 2021款 GLB 200 动感型,奔驰,22.4O万,2021年,2020.1,4.17万公里,北京奔驰,合资,31.88,汽油,7挡湿式双离合,5门5座SUV,三年不限公里,120,0次
奔驰A级 2022款 A 200 L 运动轿车动感型,奔驰,17.33万,2022年,2021.1,2万公里,北京奔驰,合资,25.18,汽油,7挡湿式双离合,4门5座三厢车,三年不限公里,120,0次
奔驰GLB 2020款 GLB 200 动感型,奔驰,18.63万,2020年,2019.11,12.29万公里,北京奔驰,合资,31.48,汽油,7挡双离合,5门5座SUV,三年不限公里,120,1次
奔驰C级 2020款 改款 C 200 L 时尚型,奔驰,21.98万,2020年,2020.03,4.31万公里,北京奔驰,合资,31.58,汽油,9挡手自一体,4门5座三厢车,三年不限公里,115,0次
奔驰E级 2021款 E 260 L,奔驰,3O.68万,2021年,2020.09,6.24万公里,北京奔驰,合资,43.08,汽油+48V轻混系统,9挡手自一体,4门5座三厢车,三年不限公里,135,9次
奔驰CLA 2020款 CLA 260 4MATIC 猎跑车(进口),奔驰,25.8O万,2020年,2020.07,5.41万公里,奔驰(进口),进口,38.18,汽油,7挡双离合,5门5座旅行车,三年不限公里,165,0次
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,奔驰,16.99万,2020年,2020.04,O.88万公里,北京奔驰,合资,26.48,汽油,7挡双离合,4门5座三厢车,三年不限公里,120,0次
奔驰E级新能源 2022款 改款 E 350 e L 插电式混合动力轿车,奔驰,37.O3万,2022年,2021.12,3.27万公里,北京奔驰,合资,51.83,插电式混合动力,9挡手自一体,4门5座三厢车,三年不限公里,155,1次
奔驰GLA 2022款 改款二 GLA 200,奔驰,19.88万,2023年,2022.05,1.96万公里,北京奔驰,合资,28.39,汽油,7挡湿式双离合,5门5座SUV,三年不限公里,120,1次
奔驰E级 2021款 改款 E 300 L 时尚型,奔驰,39.OO万,2021年,2021.03,6.88万公里,北京奔驰,合资,47.99,汽油,9挡手自一体,4门5座三厢车,三年不限公里,190,1次
