评论,fenci,情感分类,主题概率,主题类型
系统运行还比较快，键盘不愧是 的，敲打起来很舒服。加了送的内存后，速度还是比较快。,系统 运行 键盘 不愧 敲打 舒服 内存 速度,pos,"[(1, 0.26941144), (9, 0.63528377)]",9
在这个品牌里面性价比还算高了，感觉发热量有点大，其他还好启动时光驱声音较大 ，2内存够用了,品牌 性价比 算高 感觉 发热量 还好 启动 光驱 声音 较大 内存 够用,pos,"[(0, 0.36660063), (2, 0.5674351)]",2
昨天订货，今天就提了，价格保护做的很到位，昨天定的是4999元，今天用价格保护降了100元，够买个1的内存条了。,昨天 订货 价格 保护 到位 昨天 价格 保护 够买 内存条,pos,"[(2, 0.09171546), (4, 0.8302704)]",4
在这个品牌里面性价比还算高了，感觉发热量有点大，其他还好,品牌 性价比 算高 感觉 发热量 还好,pos,"[(0, 0.60147643), (1, 0.010212555), (2, 0.27597287), (3, 0.010212518), (4, 0.010212598), (5, 0.010212595), (6, 0.010212544), (7, 0.010212644), (8, 0.010212598), (9, 0.010212503), (10, 0.010212566), (11, 0.010212509), (12, 0.010212562), (13, 0.010212528)]",0
昨天京东总部自提的，额滴神啊，很满意。,昨天 京东 总部 自提 额滴 满意,pos,"[(0, 0.010213232), (1, 0.01021325), (2, 0.010213228), (3, 0.010213257), (4, 0.46275136), (5, 0.010213248), (6, 0.010213239), (7, 0.41468972), (8, 0.010213233), (9, 0.010213248), (10, 0.010213262), (11, 0.010213247), (12, 0.010213244), (13, 0.0102132475)]",4
性价比还是蛮高的，此本本在本地卖6999，前台优惠99元，估计找老板便宜个300~500就差不多了，京东的东东还真的便宜。,性价比 蛮高 本本 前台 优惠 估计 老板 便宜 京东 东东 真的 便宜,pos,"[(7, 0.30676654), (10, 0.4571057), (11, 0.17566146)]",10
前天刚拿到，性价比挺高，键盘还是一贯的用着舒服，散热效果不错，运行速度很快，外观挺漂亮,前天 拿到 性价比 键盘 一贯 用着 舒服 散热 效果 不错 运行 速度 很快 外观 漂亮,pos,"[(1, 0.94194424)]",1
整体不错，性能也可以，就是介绍上写的9300其实是105，显卡升级了。。。让我白下了驱动。。。,整体 不错 性能 介绍 上写 显卡 升级 白下 驱动,pos,"[(6, 0.55767983), (10, 0.35654297)]",6
"体积小,方便携带.各性能平衡在同价位的产品中算得上是佼佼者.流畅运行没有问题.",体积小 携带 性能 平衡 同价位 产品 佼佼者 流畅 运行,pos,"[(3, 0.9070582)]",3
完美屏，暂时一个点也没发现，机器拿到手开机看硬盘通电时间大概4小时，可以接受。,完美 暂时 一个点 发现 机器 拿到 开机 硬盘 通电 时间 小时 接受,pos,"[(13, 0.9285511)]",13
质量好，外观时尚！配置合理，基本没有瓶颈。 屏显示效果不错。 13寸大小正合适，易于携带,质量 外观 时尚 配置 瓶颈 显示 效果 不错 大小 正合适 易于 携带,pos,"[(4, 0.17082138), (13, 0.7631998)]",13
看到很多评价都很高，结果期待也高了些，没有想象的好看，外观一般，缺乏质感，毕竟这个价位嘛。,评价 期待 想象 好看 外观 缺乏 质感 价位,pos,"[(2, 0.69313276), (6, 0.21159744)]",2
实物比图片看起来好看多了，甚是意外。钢琴烤漆的外壳，丰富的接口，实在感到意外。,实物 图片 好看 意外 钢琴 烤漆 外壳 接口 实在 感到 意外,pos,"[(3, 0.2649447), (4, 0.19088851), (8, 0.4786614)]",8
性价比不错  声效不错  摄像头效果不错 ,性价比 不错 声效 不错 摄像头 效果 不错,pos,"[(4, 0.8838585)]",4
13?的笔记本是黄金区间，比12?的价格便宜，体积重量又可以兼顾，很好的选择！这款键盘上面的触摸区和机器是融为一体的整体，外观很好看，也不容易进灰尘！很好的笔记本！,笔记本 黄金 区间 价格便宜 体积 重量 兼顾 很好 选择 键盘 触摸 机器 融为一体 整体 外观 好看 灰尘 很好 笔记本,pos,"[(7, 0.95355517)]",7
质量好，外观时尚！,质量 外观 时尚,pos,"[(0, 0.017858403), (1, 0.017858418), (2, 0.017858312), (3, 0.017858371), (4, 0.76784104), (5, 0.01785838), (6, 0.017858338), (7, 0.017858287), (8, 0.017858382), (9, 0.017858358), (10, 0.017858507), (11, 0.017858408), (12, 0.017858386), (13, 0.017858386)]",4
机器外观很不错，干净，整洁，手感很好。,机器 外观 不错 干净 整洁 手感,pos,"[(0, 0.010208784), (1, 0.010208763), (2, 0.0102087185), (3, 0.010208748), (4, 0.010208771), (5, 0.01020876), (6, 0.010208763), (7, 0.010208738), (8, 0.010208772), (9, 0.010208722), (10, 0.01020876), (11, 0.010208733), (12, 0.8672862), (13, 0.010208734)]",12
外观很大气，我认为是经典的商务造型，配置一般，但这个价格我还是可以接受的。,外观 很大 经典 商务 造型 配置 价格 接受,pos,"[(4, 0.89681214)]",4
商务笔记本，全黑镁铝合金外壳给人很大气的感觉，无论商用、办公、家用都可以。,商务 笔记本 全黑 镁铝合金 外壳 很大 感觉 商用 办公 家用,pos,"[(3, 0.4751646), (8, 0.4468275)]",3
高分屏，运气不错！,高分 运气 不错,pos,"[(0, 0.01787154), (1, 0.017871553), (2, 0.017871525), (3, 0.01787156), (4, 0.017871667), (5, 0.017871564), (6, 0.017871598), (7, 0.01787153), (8, 0.017871527), (9, 0.017871529), (10, 0.017871512), (11, 0.017871507), (12, 0.76766974), (13, 0.017871605)]",12
性价比高，屏幕比较省电，配置在相同价位中算是不错的。兼容性不错，创见和金士顿的内存都可以用。,性价比 屏幕 配置 价位 算是 不错 兼容性 不错 创见 金士顿 内存,pos,"[(4, 0.9225503)]",4
在同等价位上来讲配置不错，品牌知名度高，品质也有保证。商务机型，外观一般，按键手感很好，戴尔的电源适配器造型很好，也比较轻巧。,同等 价位 配置 不错 品牌 知名度 品质 保证 商务机型 外观 按键 手感 戴尔 电源适配器 造型 轻巧,pos,"[(0, 0.11580566), (8, 0.7120848), (13, 0.12587473)]",8
用了几天了，还没发现什么大的问题，加了2内存，速度很快，做开发不错，商务机皮实。,几天 发现 内存 速度 很快 开发 不错 商务 皮实,pos,"[(1, 0.6778289), (10, 0.23641425)]",1
综合性价比绝对超过神舟的,综合 性价比 超过 神舟,pos,"[(0, 0.014297212), (1, 0.014297214), (2, 0.014297209), (3, 0.0142971985), (4, 0.014297301), (5, 0.8141362), (6, 0.014297201), (7, 0.014297271), (8, 0.014297216), (9, 0.014297191), (10, 0.014297224), (11, 0.0142971985), (12, 0.014297206), (13, 0.014297201)]",5
商务机做工不错，外观设计比以前的商务机好很多了。价格又便宜，这不错。,商务 做工 不错 外观设计 商务 机好 价格 便宜 不错,pos,"[(4, 0.90709335)]",4
外观和做工还算不错，挺显档次的，花里胡哨和华而不实的东西不少。如显卡切换功能，和指纹功能等等。送货的哥们在我拆箱时，告诉我，如果里面不是电脑，让我拿砖头砸某某人，挺可爱的。但快递送货人员声明：”他只管把货送到，如果里面是假货或残次品或砖头，他概不负责，有问题让我找京东……也就是说当场验货是无效的“。呵呵，我幸好有颗大心脏。此外，毕竟京东的东西便宜，出了问题也不是出于京东本意，我这个老顾客还是理解的,外观 做工 不错 挺显 档次 花里胡哨 华而不实 东西 显卡 切换 功能 指纹 功能 送货 哥们 告诉 电脑 让我拿 砖头 某某人 可爱 快递 送货 人员 声明 只管 送到 假货 残次品 砖头 概不负责 京东 验货 无效 幸好 心脏 京东 东西 便宜 京东 本意 顾客 理解,pos,"[(4, 0.97885704)]",4
价格实惠，性价比比较好。完美屏，运气不错。电池续航能力也行，可以用三个多小时。,价格 实惠 性价比 完美 运气 不错 电池 续航 能力 三个 小时,pos,"[(4, 0.283487), (7, 0.645064)]",7
性能好，性价比高，对于编程来说是很好的选择，集成显卡够用，并且不用担心很大的散热量，风扇散热也很好,性能 性价比 编程 很好 选择 集成显卡 够用 不用 担心 很大 散热量 风扇散热,pos,"[(4, 0.82316744), (7, 0.110841066)]",4
"电池续航不错, 用了将近2个小时还有40%左右, 比200配4芯强多了",电池 续航 不错 小时 强多,pos,"[(0, 0.011907608), (1, 0.011907641), (2, 0.011907584), (3, 0.011907649), (4, 0.011907705), (5, 0.011907633), (6, 0.011907891), (7, 0.84520066), (8, 0.011907589), (9, 0.011907601), (10, 0.011907603), (11, 0.011907585), (12, 0.011907619), (13, 0.011907619)]",7
又加配了一条2  800的内存。装了  版。速度没有问题。我平常就是一些文字处理。-信号很好，比我上次使用的630要强一些。,加配 一条 内存 速度 平常 文字处理 信号 上次 要强,pos,"[(9, 0.90702605)]",9
做工扎实,做工 扎实,pos,"[(0, 0.02381151), (1, 0.023811499), (2, 0.023811478), (3, 0.023811502), (4, 0.023811536), (5, 0.023811484), (6, 0.023811523), (7, 0.0238115), (8, 0.69045043), (9, 0.02381148), (10, 0.02381156), (11, 0.02381151), (12, 0.023811517), (13, 0.023811486)]",8
线条硬朗，轮廓清晰，做工上乘。转轴可把屏幕以180度展开。键盘手感极好，打字噪音小。三星完美屏。磨砂屏，适于商务应用，长时间使用不易视疲劳，可自动调节屏幕亮度。电池容量高达56，续航能力强，可使用3～4小时，电池芯是韩国的，控制芯片是三星的。内存是三星的，双面8颗粒，时序6-6-6-18。硬盘是希捷的。光驱是三星的，模块式。电源适配器为薄片式，由台达代工。笔记本整体散热极好。,线条 硬朗 轮廓 清晰 做工 上乘 转轴 屏幕 展开 键盘 手感 极好 打字 噪音 三星 完美 磨砂 适于 商务 长时间 不易 疲劳 自动 调节 屏幕 亮度 电池容量 高达 续航 能力 小时 电池芯 韩国 控制 芯片 三星 内存 三星 双面 颗粒 时序 硬盘 希捷 光驱 三星 模块 电源适配器 薄片 台达 代工 笔记本 整体 散热 极好,pos,"[(8, 0.98310393)]",8
性价比比较有优势，整体质量还可以，屏幕无坏点。扬声器比系列好一点。,性价比 优势 整体 质量 屏幕 坏点 扬声器 系列 一点,pos,"[(4, 0.7370539), (8, 0.17719527)]",4
"5400质量不错不会装系统的朋友,一定要注意,不好弄,尽量买一个带",质量 不错 系统 朋友 不好,pos,"[(0, 0.011906138), (1, 0.011906043), (2, 0.011905982), (3, 0.011906012), (4, 0.8452216), (5, 0.011906035), (6, 0.011906024), (7, 0.011905994), (8, 0.011906007), (9, 0.011906041), (10, 0.0119060315), (11, 0.011906012), (12, 0.011906013), (13, 0.011906053)]",4
电脑不错，有点商务气息！电脑不错，有点商务气息！电脑不错，有点商务气息！电脑不错，有点商务气息！,电脑 不错 商务 气息 电脑 不错 商务 气息 电脑 不错 商务 气息 电脑 不错 商务 气息,pos,"[(4, 0.9453716)]",4
风扇设计在笔记本的左上角，非常合理。左右各2个接口，对接带供电的移动硬盘来说很方便,风扇 设计 笔记本 左上角 接口 对接 供电 移动硬盘,pos,"[(6, 0.58802706), (7, 0.3166252)]",6
散热做的挺好 材质尚可 配货迅速 而且赶上了价格保护 属于性价比很高的一款本本,散热 挺好 材质 尚可 配货 赶上 价格 保护 性价比 很高 一款 本本,pos,"[(4, 0.928528)]",4
"因为是我看中的电脑,当然自我感觉不错.虽然配置不高 但是这价位有这样的电脑已经很好啦`~",看中 电脑 自我感觉 不错 配置 价位 电脑,pos,"[(9, 0.15856466), (10, 0.73425597)]",10
"做工不错,比我的 61做工还好,配置性价比高,价格便宜,以前7000多元,现在4000多就买了",做工 不错 做工 还好 配置 性价比 价格便宜 多元,pos,"[(6, 0.4418476), (8, 0.4628507)]",8
便宜，没的说，4多，比便宜的多，虽然比神州之类的要贵，不过一分钱一分货嘛，质量还是过得去的，对于穷人、吝啬老板来说，是不错的选择。,便宜 没的说 便宜 神州 要贵 一分钱 一分货 质量 过得去 穷人 吝啬 老板 不错 选择,pos,"[(0, 0.93803525)]",0
散热做得很好……我处理过的本本中这个散热做得很好，用一两个小时都不觉得烫。性能也不错。感觉操作还是挺爽的。,散热 本本 散热 一两个 小时 性能 不错 感觉 操作 挺爽,pos,"[(3, 0.91554374)]",3
本本很漂亮，跑很慢，还没换系统，不知道驱动好不好装。价格还比较合适，送货也及时。,本本 很漂亮 很慢 没换 系统 驱动 好不好 价格 合适 送货,pos,"[(10, 0.91555136)]",10
轻薄，散热好，做工还算不错。价格相对中关村实际要便宜，4888-300=4588元村里含税基本上也是这个价钱,轻薄 散热 做工 不错 价格 中关村 便宜 村里 含税 价钱,pos,"[(6, 0.72648764), (11, 0.19551572)]",6
功耗真的是很低，只有5运行几个小时后就底部有点点热，电池太强劲了反观我的小黑61 看着电量迅速下降啊最多2个多小时。早上安装7速度相当的不错没有感觉明显的延迟。,功耗 真的 运行 几个 小时 底部 点点 电池 强劲 反观 小黑 看着 电量 下降 最多 小时 早上 安装 速度 不错 感觉 延迟,pos,"[(1, 0.133999), (6, 0.65116996), (10, 0.18062705)]",6
应该说是12寸以上本本中比较超值的一款，轻薄 外壳是铝合金，虽然底部是工程塑料，但整体散热依然不错。 键盘的手感应该说是我用过本本中比较好用的，触摸面板也很好用。待机时间还没有测试过。,本本 超值 一款 轻薄 外壳 铝合金 底部 工程塑料 整体 散热 依然 不错 键盘 手感 用过 本本 好用 触摸 面板 好用 待机时间 测试,pos,"[(4, 0.12461704), (8, 0.83810085)]",8
轻，薄，待机时间长，散热好，外观设计比较好看，铝合金上面板还是很好看的，键盘手感也可以。而且屏幕不仅很薄，而且还算结实，按背面屏幕没有明显的影响。加到3内存，运行速度还是一般，不过也有可能是我平时用的机器都太好了。准备装成估计就会好很多。,待机时间 散热 外观设计 好看 铝合金 面板 好看 键盘 手感 屏幕 结实 背面 屏幕 影响 加到 内存 运行 速度 平时 机器 太好了 估计,pos,"[(1, 0.83769864), (8, 0.12501965)]",1
外观、性能都不错，价格也比较合适，这次的发货速度很快，赞一个，呵呵,外观 性能 不错 价格 合适 发货 速度 很快,pos,"[(3, 0.21351565), (4, 0.31670278), (9, 0.38247773)]",9
性价比高，配置还不错,性价比 配置 不错,pos,"[(0, 0.017857362), (1, 0.017857363), (2, 0.017857358), (3, 0.017857356), (4, 0.76785415), (5, 0.017857365), (6, 0.017857356), (7, 0.017857565), (8, 0.017857403), (9, 0.017857332), (10, 0.017857376), (11, 0.017857326), (12, 0.017857324), (13, 0.017857349)]",4
4499刚定的，当天下午就升了200，用起来很舒服，暂时还没有其他缺点。,刚定 当天 下午 舒服 暂时 缺点,pos,"[(0, 0.56205755), (1, 0.010213234), (2, 0.010213196), (3, 0.010213201), (4, 0.010213232), (5, 0.010213187), (6, 0.31538382), (7, 0.010213197), (8, 0.010213209), (9, 0.010213204), (10, 0.0102133555), (11, 0.010213197), (12, 0.01021322), (13, 0.010213229)]",0
外观好，速度快，价格低，送货快，送货员态度极好，那么热的天还陪我拆包装，再次感谢,外观 速度 价格低 送货 送货员 态度 极好 包装 感谢,pos,"[(0, 0.6776726), (7, 0.23655722)]",0
"日常办公和娱乐完全够用了,3个口,很方便.用外置光驱装系统和驱动,一个小时就搞定了。",日常 办公 娱乐 够用 个口 外置 光驱 系统 驱动 小时 搞定,pos,"[(7, 0.13369943), (8, 0.26054668), (10, 0.5401959)]",10
性价比高，性能不错，很好装啊，用个盘版什么都搞定了，都不用命令行重建……,性价比 性能 不错 盘版 搞定 不用 命令行 重建,pos,"[(4, 0.89665955)]",4
优点不用说了，谁让咱是穷人价格是很吸引人的因素。我只说说缺点，拿到手后发现风扇发出很尖锐的高频声音，安静的时候很是不爽。一气之下我把它给拆了，应该是装配问题，风扇运转很安静，是其他地方和它发生了共振或摩擦，从新装了一遍现在好了。底部外壳在按的的时候会发生一个咔的声音，经过仔细观察，是底壳和板子边缘产生的，稍微处理一下接触部位解决。,优点 不用说 穷人 价格 吸引 因素 缺点 拿到 发现 风扇 发出 尖锐 高频 声音 安静 不爽 一气之下 装配 风扇 运转 安静 地方 发生 共振 摩擦 新装 一遍 底部 外壳 按的 发生 声音 仔细观察 底壳 板子 边缘 稍微 接触 部位 解决,pos,"[(0, 0.9773307)]",0
小本子不错，1699元买的，觉得很实惠。,本子 不错 实惠,pos,"[(0, 0.017857812), (1, 0.76784796), (2, 0.017857805), (3, 0.017857842), (4, 0.017857995), (5, 0.01785784), (6, 0.017857948), (7, 0.017857796), (8, 0.017857814), (9, 0.017857818), (10, 0.017857792), (11, 0.017857771), (12, 0.017857833), (13, 0.017857974)]",1
外观很不错，速度也可以，买回来重装系统后连续开了两天下载，很正常。,外观 不错 速度 买回来 重装系统 连续 两天 下载,pos,"[(8, 0.62432337), (9, 0.28039655)]",8
合上的时候挺时尚的，重量也不错，键盘手感很好。跑7还算顺畅。,合上 时尚 重量 不错 键盘 手感 还算 顺畅,pos,"[(4, 0.896661)]",4
在可以返现的时候买到，总体来说速度也还可以，在这个价格上来说，很不错了。,返现 总体 速度 价格 不错,pos,"[(0, 0.011910208), (1, 0.011910222), (2, 0.0119101945), (3, 0.011910256), (4, 0.845167), (5, 0.011910198), (6, 0.011910241), (7, 0.011910239), (8, 0.0119102225), (9, 0.011910263), (10, 0.011910199), (11, 0.011910206), (12, 0.011910228), (13, 0.011910307)]",4
屏幕颜色很好，键盘手感也很好，价格相当实惠。硬盘声音小，发热也可以，最具性价比的上网本。,屏幕 颜色 键盘 手感 价格 实惠 硬盘 声音 发热 性价比 上网,pos,"[(4, 0.92261225)]",4
价格便宜。比较轻，省电。附带、驱动光盘，这点比要强，不用到网站上自己找，很方便 。,价格便宜 附带 驱动 光盘 要强 不用 网站,pos,"[(3, 0.8838946)]",3
价格便宜。比较轻，省电。附带、驱动光盘，这点比要强，不用到网站上自己找，很方便,价格便宜 附带 驱动 光盘 要强 不用 网站,pos,"[(3, 0.88389474)]",3
"价格便宜.这个款式.我已经买过多次了.偶尔出现坏机.我也没意见.但是你们的换货反应时间真是太慢了.订单号5455723,",价格便宜 款式 意见 换货 反应时间 太慢 订单号,pos,"[(3, 0.7714189), (9, 0.12128966)]",3
除了硬盘小点，赶得上山寨本本啦，屏幕边框太大，有点视觉误区，不过装系统很顺利，价格实惠一个字！！！,硬盘 小点 赶得上 山寨 本本 屏幕 边框 视觉 误区 系统 顺利 价格 实惠,pos,"[(1, 0.9336294)]",1
1，外接光驱，开机直接按11进光盘启动安装，半小时完成，换附带驱动光盘安装，搞定，360修漏洞。超级轻，方便携带。啥时搞特价给也抢一台,光驱 开机 光盘启动 安装 半小时 附带 驱动 光盘 安装 搞定 漏洞 超级 携带 特价 一台,pos,"[(7, 0.33450052), (12, 0.61188644)]",12
1599抢到手，顺道给别人买个东西凑2000，正好抽奖有张2000-100的券用上了，用盘做系统一次搞定,到手 顺道 东西 正好 抽奖 券用 系统 搞定,pos,"[(10, 0.8967527)]",10
机器配置还是不错的，前面的老兄说错了，只是没有摄像头，麦克风好像还是有的哈。,机器配置 不错 老兄 说错 摄像头 麦克风 好像,pos,"[(0, 0.17585267), (4, 0.7167676)]",4
付款时间：2009-6-12 0:51:00,付款 时间,pos,"[(0, 0.023829568), (1, 0.023829905), (2, 0.023829743), (3, 0.023829741), (4, 0.023829646), (5, 0.023829749), (6, 0.023829808), (7, 0.023829607), (8, 0.023829563), (9, 0.02382977), (10, 0.6902139), (11, 0.023829661), (12, 0.023829572), (13, 0.02382971)]",10
以前在京东买过一个5530的机器3999元。也是780的主板，用起来还可以。这次给表妹挑机器，本来用不了什么独立显卡的，后来想象还是不错的，最起码看接等离子看高清不会卡了。这款机器就算价格便宜量又足了。,京东 机器 主板 表妹 机器 本来 独立 显卡 想象 不错 最起码 看接 等离子 高清 机器 价格便宜,pos,"[(4, 0.9453166)]",4
显卡不错，屏，总体感觉不错。京东送货正的挺快啊。。。24小时不到就送到了。,显卡 不错 总体 感觉 不错 京东 送货 正的 挺快 小时 不到 送到,pos,"[(3, 0.5127546), (4, 0.4212857)]",3
配置相对于价格还不错了，自带的系统一点用都没，还好我同事是电脑高手，半个多小时搞定,配置 价格 不错 自带 系统 一点 还好 同事 电脑高手 半个 小时 搞定,pos,"[(9, 0.52386206), (10, 0.41017756)]",9
全新行货（我的机子是5月27日出厂的），配置合理，性能突出。做工还行。另外赞赞京东，送货那个快啊。。。。,全新 行货 机子 出厂 配置 性能 做工 赞赞 京东 送货,pos,"[(1, 0.1288237), (4, 0.45213103), (5, 0.34757215)]",4
"电池耐用，看网页偶尔听下音乐能用3小时15分钟。显示效果好,很白很透亮。用两天我不敢去测显示屏。很怕是三星屏。以前本本就是三星垃圾屏。搞得我视力下降有伤健康，今天觉得是时候来评论了。只有去检测,刚才用测试。居然是  1401-1 但是有一个色点。在中下方，不是很明显。总觉得像美眉脸上有颗痣。但心中窃喜！我宁愿有一个个色点的屏，也不要三星伤眼屏",电池 耐用 网页 听下 音乐 能用 小时 分钟 显示 效果 透亮 两天 显示屏 很怕 三星 本本 三星 垃圾 视力 下降 有伤 健康 评论 检测 测试 色点 下方 美眉 脸上 心中 窃喜 一个个 色点 三星 伤眼,pos,"[(12, 0.9741742)]",12
1、收货包装完好，配件齐全,收货 包装 完好 配件 齐全,pos,"[(0, 0.011909098), (1, 0.01190909), (2, 0.84518105), (3, 0.011909093), (4, 0.011909128), (5, 0.011909089), (6, 0.0119091235), (7, 0.011909287), (8, 0.0119092455), (9, 0.011909101), (10, 0.011909101), (11, 0.011909205), (12, 0.011909234), (13, 0.011909105)]",2
收到后，包装完好。笔记本封条完好。性价比很高，驱动盘包含所有必备的驱动，方便。,收到 包装 完好 笔记本 封条 完好 性价比 驱动 包含 必备 驱动,pos,"[(2, 0.9225992)]",2
刚收到货，从发货到收到很快，机子很好，没有什么磨损。而且配置都如产品介绍所说。可以说是相当棒！,收到 发货 收到 很快 机子 磨损 配置 产品 介绍 所说,pos,"[(9, 0.8090569), (12, 0.11300733)]",9
收到后，包装完好。笔记本封条完好。,收到 包装 完好 笔记本 封条 完好,pos,"[(0, 0.010206598), (1, 0.01020646), (2, 0.8673158), (3, 0.010206462), (4, 0.010206474), (5, 0.010206434), (6, 0.01020648), (7, 0.010206491), (8, 0.010206474), (9, 0.010206459), (10, 0.010206437), (11, 0.010206441), (12, 0.010206478), (13, 0.010206521)]",2
性价比高，做工还好。发热比预想的要好。达到了一般电脑的要求水平。,性价比 做工 还好 发热 预想 电脑 水平,pos,"[(8, 0.8838883)]",8
拿到手的时候不敢相信就那么点小盒子。呵呵。不过包装了两个盒子，还是比较保险的。只是外面的赠品都是用塑料包在一起的。机子打开，没有发现质量问题，坏点如期待的一样，千万不要也没有出现。整个机器完好。,拿到 不敢相信 小盒子 包装 两个 盒子 外面 赠品 塑料 机子 打开 发现 质量 坏点 期待 机器 完好,pos,"[(12, 0.94837034)]",12
1.屏幕不错，色彩鲜艳，没有发现坏点。亮点。是友达的面板,屏幕 不错 色彩鲜艳 发现 坏点 亮点 友达 面板,pos,"[(4, 0.493144), (8, 0.41150206)]",4
配置比较超值，发热量比我用的联想390小（待机40度、最高71度；45度、最高70度），风扇声音也不大，而且不经常高速运转，306：27分，在4以内的机器中还没见过，接电视播放1080基本流畅（硬解占用率没超过40%）。做工说不上精细但也还没什么发现什么缺陷，操作系统安装顺利，附带中有全套、驱动。,配置 超值 发热量 我用 联想 待机 风扇 声音 高速运转 以内 机器 没见 电视 播放 流畅 占用率 超过 做工 说不上 精细 没什么 发现 缺陷 操作系统 安装 顺利 附带 全套 驱动,pos,"[(0, 0.96901965)]",0
硬件比较新，比如的液晶屏，11的无线网卡，4570显卡（虽然比较低端但是性能接近上一代的中高端卡）。发热比想象的好。,硬件 液晶屏 无线 网卡 显卡 低端 性能 接近 一代 高端 发热 想象,pos,"[(4, 0.5090707), (5, 0.42493019)]",4
京东的配货速度是越来越快了，值得顶一个。东西也蛮不错的，完美屏，功能强大，实惠，是咱老百姓的极佳之选。在这个价位能有这样的机型，实在难得，京东加油。。。支持你、、、、、,京东 配货 速度 越来越快 值得 东西 不错 完美 功能强大 实惠 老百姓 极佳 价位 机型 实在 京东 加油 支持,pos,"[(0, 0.118605964), (4, 0.25379217), (9, 0.085855916), (13, 0.5041191)]",13
整体性能不错，外观也还可以，用 盘也能顺利安装，关键是难得搭配了 45芯片组，比矽统的好多了。,整体 性能 不错 外观 顺利 安装 关键 搭配 芯片组 矽统 好多,pos,"[(1, 0.9225791)]",1
抢购到的本本，性价比超高，因为自己已有本本，买个人情，让给了同事。,抢购 本本 性价比 超高 已有 本本 让给 同事,pos,"[(7, 0.43126914), (9, 0.4733969)]",9
当时优惠了1300，配置高，相对于抢购价来说性价比太高了。不过，现在降到了4999。,优惠 配置 抢购 性价比 降到,pos,"[(0, 0.011908756), (1, 0.011908746), (2, 0.011908738), (3, 0.0119087305), (4, 0.011908756), (5, 0.011908726), (6, 0.18063751), (7, 0.6764576), (8, 0.0119087575), (9, 0.011908745), (10, 0.011908753), (11, 0.011908785), (12, 0.0119087165), (13, 0.01190873)]",7
外观有够炫，很漂亮，看着用着都舒心，爱不释手……悬浮键手感不错，性价比很高，跟其他牌子的本本放那一比，啥都不用说了，强力推荐！,外观 有够 很漂亮 看着 舒心 爱不释手 悬浮 手感 不错 性价比 牌子 本本 那一 不用说 强力 推荐,pos,"[(1, 0.12828533), (3, 0.8212373)]",3
外观很炫，同事们看了都很羡慕！性能还不错的，单从配置来看算是差不多的配置了，大型网游没试验过，因为最近几天关服，找不到别的可以试验而且信任的游戏了......我觉得不会让我失望吧，一直蛮信任索尼的品质的~,外观 同事 羡慕 性能 不错 配置 算是 配置 大型 网游 试验 几天 关服 不到 试验 信任 游戏 失望 信任 索尼 品质,pos,"[(3, 0.957765)]",3
外观时尚、亮丽、精致，无可挑剔，系统带很多新软件，最喜欢 ，可以自己剪辑视频和电影片段，还有很多新功能有待发现~~,外观 时尚 亮丽 精致 无可挑剔 系统 软件 喜欢 剪辑 视频 电影 片段 功能 有待 发现,pos,"[(2, 0.15470399), (10, 0.7916891)]",10
价格够便宜，而且也算是大品牌了。而且加一元还送了内存条，这点很好！金属掌托，有利于散热。装系统的方法大家可以参照下面这个链接：,价格 便宜 算是 品牌 一元 内存条 金属 掌托 有利于 散热 系统 方法 参照 链接,pos,"[(10, 0.93806225)]",10
3999买的，配置不错。现在还可以在同方网站上用积分兑现一个悦读网和一个巧巧英语的卡，号称600当然不值。,配置 不错 同方 网站 上用 积分 兑现 悦读网 巧巧 英语 号称 不值,pos,"[(0, 0.92846954)]",0
配置是不错的 很怕显示屏不好 检测下来还不错 外壳一般化 在这个价位上就可以了 运行2小时后有点热 不烫手 很好装,配置 不错 显示屏 不好 检测 不错 外壳 一般化 价位 运行 小时 烫手,pos,"[(0, 0.9285416)]",0
1. 价格便宜，比有些上网本贵不了多少；,价格便宜 上网,pos,"[(0, 0.02381119), (1, 0.023811108), (2, 0.023811), (3, 0.02381108), (4, 0.023811176), (5, 0.02381098), (6, 0.023811243), (7, 0.023811055), (8, 0.023811065), (9, 0.023811026), (10, 0.02381107), (11, 0.690456), (12, 0.023811005), (13, 0.02381099)]",11
外观不错，女生用着很时尚！个人认为这样性能的和这样屏幕，这样价格的，就属它最好了！配了个雷柏的无线笔记本鼠标完美了！虽然说是塑料材质，不过真是对的起这份价格了，总不能这样价格要求弄个镁合金的吧！太不现实了！有高清支持，放家里客厅输出电视当绰绰有余！绝对超值！酷睿双核是个亮点，虽然发热有点大，不过总体上控制的还不错！有多合一读卡器，方便有数码产品的人！有摄像头，有内置麦！配件和说明书很全面！,外观 不错 女生 时尚 性能 屏幕 价格 雷柏 无线 笔记本 鼠标 完美 塑料 材质 这份 价格 价格 镁合金 现实 高清 支持 家里 客厅 输出 电视 绰绰有余 超值 双核 亮点 发热 总体 控制 不错 合一 读卡器 数码产品 摄像头 内置 配件 说明书,pos,"[(4, 0.97732455)]",4
