评论,fenci,情感分类,主题概率,主题类型
1、机器的最好用82，配合独立显卡更爽,机器 配合 独立 显卡 更爽,neg,"[(0, 0.013897713), (1, 0.0138970725), (2, 0.013896865), (3, 0.013896731), (4, 0.14437771), (5, 0.013896856), (6, 0.013898056), (7, 0.7166502), (8, 0.013897014), (9, 0.013897823), (10, 0.013897209), (11, 0.013896752)]",7
发热量大。。。不过对得起这个价了。另外，系统极难装。。。建议不懂的人谨慎，真的很麻烦,发热量 对得起 系统 极难 建议 不懂 谨慎 真的 麻烦,neg,"[(5, 0.9082814)]",5
网卡太垃圾 除了 7  意外甭想用它了驱动根本就是不存在的。的驱动官方不提供,网卡 垃圾 意外 甭想 驱动 根本就是 驱动 官方 提供,neg,"[(3, 0.9082351)]",3
安装ＸＰ系统太难了～！搞了一天最后还是装了ＶＩＳＴＡ的～！刚入手的具体地有待摸索～！,安装 系统 入手 有待 摸索,neg,"[(0, 0.013901618), (1, 0.013901843), (2, 0.013901562), (3, 0.013901595), (4, 0.01390237), (5, 0.013902062), (6, 0.3886066), (7, 0.01390166), (8, 0.013901632), (9, 0.47237578), (10, 0.013901562), (11, 0.013901729)]",9
以下是中通的信息----------------,中通 信息,neg,"[(0, 0.0277969), (1, 0.027796771), (2, 0.02779638), (3, 0.37617764), (4, 0.02779638), (5, 0.02779638), (6, 0.027796414), (7, 0.34585688), (8, 0.02779681), (9, 0.02779638), (10, 0.027796652), (11, 0.02779638)]",3
自带手册不全，说明书简单，装了种版本的3系统都启动不了，最终用原版光盘启动安装才搞…………………………一个下午过去了，累死俺了！！！！,自带 手册 说明书 简单 版本 系统 启动 最终 原版 光盘启动 安装 下午 累死,neg,"[(4, 0.21413316), (9, 0.72628576)]",9
"刚收到,发现键盘有些松,触摸屏太难按了,最主要的是开机的时候打开和关上光驱导致系统蓝屏,不知道是不是这个原因 , 其他的到目前为止正常.",收到 发现 键盘 触摸屏 太难 按了 开机 打开 关上 光驱 导致系统 蓝屏 原因 目前为止,neg,"[(2, 0.9388372)]",2
没摄像头，不带系统（对初级用户而言是个麻烦事），要突出独显和的强劲必须全速运行而造成电池不耐用（呵呵，不知这算不算不足，6芯电只顶2个小时。现在又没9芯的电卖。。。。。呵呵）。,摄像头 系统 初级 用户 麻烦事 独显 强劲 全速 运行 电池 耐用 不知 算不算 芯电 小时 电卖,neg,"[(5, 0.94602585)]",5
1、没摄像头，不送鼠标，需另配,摄像头 鼠标 另配,neg,"[(0, 0.020847011), (1, 0.020847), (2, 0.020847049), (3, 0.020846728), (4, 0.020847606), (5, 0.02084696), (6, 0.020846922), (7, 0.020847065), (8, 0.020846816), (9, 0.02084696), (10, 0.7706826), (11, 0.020847285)]",10
要进入自带的设置安装碟为光驱安装，挑碟，该笔记本只适合及对电脑有中上知识的人群。研究了3小时才成功装成,自带 设置 安装 光驱 安装 笔记本 适合 电脑 有中 知识 人群 研究 小时 成功,neg,"[(0, 0.12737286), (1, 0.24413164), (2, 0.5784678)]",2
唯独感觉商家预装的系统实在用不惯，以前从未接触过。建议商家以后预装别的系统,唯独 感觉 商家 预装 系统 实在 用不惯 接触 建议 商家 预装 系统,neg,"[(5, 0.92945457)]",5
送的单肩包不好用，说明书不详细，出厂默认的红旗系统没有完全安装好，要进入自带的设置安装碟为光驱安装，挑碟，该笔记本只适合及对电脑有中上知识的人群。,单肩 不好 说明书 详细 出厂 默认 红旗 系统 完全安装 自带 设置 安装 光驱 安装 笔记本 适合 电脑 有中 知识 人群,neg,"[(5, 0.17262293), (8, 0.78765655)]",8
有一个色点。在左下方，不是很明显。还有键盘上的右边键设计不好。太长了。比回车键占的位置还大，经常容易当成回车键来按错。没有口。有点发热。声音有点小。,色点 左下方 键盘 右边 设计 不好 回车键 位置 当成 回车键 发热 声音,neg,"[(1, 0.2296882), (7, 0.7061353)]",7
1、没有驱动，自己还要去下驱动。,驱动 去下 驱动,neg,"[(0, 0.020868717), (1, 0.020871203), (2, 0.020868864), (3, 0.020868678), (4, 0.0208694), (5, 0.02086898), (6, 0.77044), (7, 0.020868579), (8, 0.02086903), (9, 0.020868741), (10, 0.020868827), (11, 0.020869019)]",6
"格式化,不过删除不了，总是运行命令，搞死了。不会用，也没装上 .回来给别人弄了一晚上，还是没有装上去。不知道哪位高手能够教教我。",格式化 删除 运行 命令 没装 回来 晚上 装上去 哪位 高手 教教,neg,"[(4, 0.28538266), (7, 0.5525473), (9, 0.09946797)]",7
宏基，自带.开机无法使用，咨询售后是由于没有完全安装好。所以只能另装,宏基 自带 开机 咨询 售后 完全安装 只能 另装,neg,"[(4, 0.38647097), (9, 0.5208059)]",9
拿到的时候里面有一个小疤痕，不过感觉影响不大就不管了。,拿到 疤痕 感觉 影响,neg,"[(0, 0.016688453), (1, 0.016687457), (2, 0.01668756), (3, 0.42928207), (4, 0.01668729), (5, 0.016687524), (6, 0.40384117), (7, 0.016688393), (8, 0.016687928), (9, 0.016687509), (10, 0.016687557), (11, 0.01668711)]",3
ＬＥＤ屏有亮点，而且是在屏幕中间偏右下方，开机就会看到它，很不舒服。,屏有 亮点 屏幕 右下方 开机 舒服,neg,"[(0, 0.31207737), (1, 0.011919931), (2, 0.56872267), (3, 0.011920074), (4, 0.011920114), (5, 0.011919939), (6, 0.011919817), (7, 0.011919737), (8, 0.011919968), (9, 0.011920023), (10, 0.011920151), (11, 0.011920255)]",2
很容易粘上指纹~~内存比较小~要是内存是2的话估计~会有更多的朋友会喜欢的（2内存跟1差不了多少钱）,指纹 内存 内存 估计 朋友 喜欢 内存,neg,"[(0, 0.0104196295), (1, 0.010419094), (2, 0.01041914), (3, 0.010419459), (4, 0.010419951), (5, 0.010419142), (6, 0.8853869), (7, 0.010419255), (8, 0.0104191), (9, 0.010419233), (10, 0.010419939), (11, 0.01041915)]",6
没有系统盘麻烦，不知道是不是网卡原因，本地连接老是不稳定~~待查,系统盘 麻烦 网卡 原因 本地连接 稳定 待查,neg,"[(0, 0.010429086), (1, 0.010428924), (2, 0.32838315), (3, 0.56732744), (4, 0.010428997), (5, 0.01042889), (6, 0.010428858), (7, 0.010428903), (8, 0.010428883), (9, 0.010428927), (10, 0.010428831), (11, 0.010429154)]",3
京东的服务啊真是臭死了，如果如是老刘，我就会多招聘几个客服人员，弄的电话一直没人人接。还有那个物流啊，差死了。,京东 服务 臭死 老刘 招聘 几个 客服 人员 电话 物流,neg,"[(6, 0.9165337)]",6
预装，要自己改，随机不带驱动光盘（只有驱动光盘），不人性化,预装 随机 驱动 光盘 驱动 光盘 人性化,neg,"[(0, 0.010418083), (1, 0.88539964), (2, 0.01041814), (3, 0.01041801), (4, 0.010418463), (5, 0.01041855), (6, 0.010418343), (7, 0.010418116), (8, 0.010418183), (9, 0.010418117), (10, 0.010418122), (11, 0.010418215)]",1
比较难搞，但是经过一番努力，还是装成功，驱动和快捷键一个都不少！,难搞 努力 成功 驱动 快捷键,neg,"[(0, 0.0138943195), (1, 0.013895443), (2, 0.013894787), (3, 0.013894293), (4, 0.013895129), (5, 0.013895022), (6, 0.01389517), (7, 0.3353242), (8, 0.013894687), (9, 0.5257279), (10, 0.013894393), (11, 0.013894601)]",9
质量太差，设计偷工减料严重。,质量 设计 偷工减料,neg,"[(0, 0.020837655), (1, 0.020837445), (2, 0.020837788), (3, 0.02083731), (4, 0.020837447), (5, 0.020837437), (6, 0.02083734), (7, 0.020837853), (8, 0.020837555), (9, 0.7707872), (10, 0.020837797), (11, 0.020837195)]",9
噪音大面有点太轻飘，塑料感太强。打着的牌子做的却不像大品牌做出来的东西。个人推荐宏基，此机配置虽高但与价格不符，不值。本人推荐不要光追求大品牌。华硕和宏基就比强---起码在做工和声燥方面。,噪音 轻飘 塑料 感太 打着 牌子 品牌 东西 推荐 宏基 配置 价格 不符 不值 推荐 追求 品牌 华硕 宏基 比强 起码 做工 声燥,neg,"[(11, 0.96178514)]",11
配置再加一根1内存后九分的完美,配置 一根 内存 九分 完美,neg,"[(0, 0.013900369), (1, 0.01390037), (2, 0.013900562), (3, 0.01390067), (4, 0.8470941), (5, 0.01390056), (6, 0.013900538), (7, 0.013900455), (8, 0.013900702), (9, 0.0139005175), (10, 0.01390066), (11, 0.01390042)]",4
风扇声音不小，间歇性的；这款机器在开机键那是没有一小行触摸屏，购买请注意；本本扬声器一般，我宿舍女生买了个东芝的，音效不如她的那个，但是综合比起来我的要漂亮的很多，哈哈，有很大安慰,风扇 声音 不小 间歇性 机器 开机 一小 触摸屏 购买 本本 扬声器 宿舍 女生 东芝 音效 综合 漂亮 很大 安慰,neg,"[(5, 0.12488094), (6, 0.83334285)]",6
风扇声音有点大，而且叫起来是间歇性的，跟老公的本本放一起，就感觉我的本本很聒噪，不知道这个是叫法是普遍现象还是个别情况呢？不过可能正是风扇的声音够大，所以散热很不错，其他的暂时还没发现问题。,风扇 声音 间歇性 老公 本本 感觉 本本 聒噪 叫法 普遍现象 个别情况 风扇 声音 散热 不错 暂时 发现,neg,"[(3, 0.9490379)]",3
对于女孩子来说，确实有点沉，而且风扇一阵阵的噪音有点让我崩溃``,女孩子 确实 风扇 一阵阵 噪音 崩溃,neg,"[(0, 0.011911489), (1, 0.011911273), (2, 0.011911278), (3, 0.011912184), (4, 0.011911511), (5, 0.01191164), (6, 0.011911631), (7, 0.011911343), (8, 0.011911331), (9, 0.0119119305), (10, 0.011911349), (11, 0.868973)]",11
收到货的时候摄像头掉下去了，图像只能拍到一半，一半是黑的。其它没问题。急着用就不想换了。散热不是很好,收到 摄像头 掉下去 图像 只能 一半 一半 不想 散热,neg,"[(8, 0.09101837), (11, 0.8255995)]",11
散热一如既往的不好，同方的机子就是这样，不过还是建议支持一下国货,散热 一如既往 不好 同方 机子 建议 支持 国货,neg,"[(2, 0.45789933), (6, 0.44944146)]",2
产热量大，触摸板那里都有点热，屏幕下边也比较热，和其他的笔记本比较。,热量 触摸板 屏幕 下边 笔记本,neg,"[(0, 0.013904256), (1, 0.013904274), (2, 0.013903882), (3, 0.31040886), (4, 0.0139039485), (5, 0.013904), (6, 0.0139039885), (7, 0.013904237), (8, 0.5505498), (9, 0.013904011), (10, 0.013904374), (11, 0.013904344)]",8
散热确实不太好。显卡说是3450装上驱动显示是3400。没有同方服务金卡，只有一个电池的延保卡。要是再送包和鼠标就更好了。,散热 确实 不太好 显卡 装上 驱动 显示 同方 服务 金卡 电池 延保卡 送包 鼠标 更好,neg,"[(4, 0.16095105), (6, 0.7868892)]",6
外观普通，材料一般，重大缺点无线网卡标的是802//，实际是的,外观 材料 缺点 无线 网卡 标的,neg,"[(0, 0.011908388), (1, 0.011908451), (2, 0.011908572), (3, 0.1543097), (4, 0.011908416), (5, 0.011908405), (6, 0.011908418), (7, 0.011908366), (8, 0.011908455), (9, 0.011908478), (10, 0.011908426), (11, 0.7266059)]",11
相比去年购买的系列来讲，做工存在明显的下降。而且装系统十分的麻烦，全部装完之后还是无法解决无开机音乐的问题，不过这完全是惠普公司的问题。要不是同学坚持，我是不会推荐她买惠普的。,相比 去年 购买 系列 做工 下降 系统 麻烦 装完 解决 开机 音乐 惠普公司 同学 推荐 惠普,neg,"[(1, 0.94603187)]",1
1. 做工差强人意，打开屏幕的时候摄像头地方居然会响（面板陷进去了），勉强接受吧，不影响使用；,做工 差强人意 打开 屏幕 摄像头 地方 会响 面板 勉强 接受 影响,neg,"[(2, 0.9235527)]",2
说完好话，说点不足的地方吧，免得被人当是托！系统是命令行的，改装有点小麻烦，一般人搞不清楚！其次内置的摄像头成像不是很好，只能算够用！品牌没啥号召力，不懂行的菜鸟看到的都说怎么买山寨本！,说完 好话 地方 免得 当是 系统 命令行 改装 小麻烦 搞不清楚 内置 摄像头 成像 只能 够用 品牌 号召力 懂行 菜鸟 山寨,neg,"[(7, 0.95629376)]",7
１．做工差强人意，打开屏幕的时候摄像头地方居然会响（面板陷进去了），勉强接受吧，不影响使用,做工 差强人意 打开 屏幕 摄像头 地方 会响 面板 勉强 接受 影响,neg,"[(2, 0.9235523)]",2
就是本机颜色太单调。就是一种红色，如果多几种色，比如黑色.白色就太完美了。还有系统有点不太好装,颜色 单调 一种 红色 几种 黑色 白色 完美 系统 不太好,neg,"[(0, 0.2806682), (8, 0.6434644)]",8
天哪，系统难装啊！键盘板那地方我原以为是白色的，收到后才知是银色的，觉得白色的配起来更加好看！,系统 键盘 地方 原以为 白色 收到 后才 知是 银色 白色 配起来 好看,neg,"[(2, 0.9294208)]",2
比较重。写的是系统，打开启动后却是裸机。去官方维修售后服务点花了50元重新安装了系统，恨死京东。已经投诉了。期待处理结果。,系统 打开 启动 却是 裸机 官方 维修 售后服务 重新安装 系统 恨死 京东 投诉 期待 处理结果,neg,"[(6, 0.7533159), (7, 0.1945096)]",6
但笔记本没送包和内胆，很麻烦~~~~,笔记本 没送 包和 内胆 麻烦,neg,"[(0, 0.013897054), (1, 0.013896537), (2, 0.013896544), (3, 0.84713644), (4, 0.013897129), (5, 0.013896751), (6, 0.013896496), (7, 0.013896755), (8, 0.013896418), (9, 0.013896488), (10, 0.013896793), (11, 0.013896571)]",3
1内存稍微小点，计划增加1,内存 稍微 小点 计划 增加,neg,"[(0, 0.013896917), (1, 0.013896703), (2, 0.013897064), (3, 0.6762934), (4, 0.0138971945), (5, 0.0138967605), (6, 0.013896968), (7, 0.01389674), (8, 0.013896707), (9, 0.184738), (10, 0.013896794), (11, 0.013896742)]",3
连接不上，咨询技术服务，说产品太新，他们也不知道怎么弄，郁闷！,连接 不上 咨询 技术 服务 产品 怎么弄 郁闷,neg,"[(4, 0.6196247), (10, 0.28768733)]",4
装系统实在是太麻烦了。要是在购买电脑时商家能提供详细的更换系统的步骤就好了。,系统 实在 麻烦 购买 电脑 商家 提供 详细 更换 系统 步骤,neg,"[(0, 0.12562568), (3, 0.19997206), (4, 0.6118264)]",4
系统无法正常进入，硬盘有不正常的声音。,系统 硬盘 声音,neg,"[(0, 0.020833785), (1, 0.020834051), (2, 0.020833932), (3, 0.020834174), (4, 0.77082634), (5, 0.020834124), (6, 0.020834133), (7, 0.020833815), (8, 0.020833977), (9, 0.020833833), (10, 0.02083399), (11, 0.020833846)]",4
机子没发现什么缺点，就是京东的服务好像不怎么的，5号就完成了付款，订单到今天才完成,机子 发现 缺点 京东 服务 好像 付款 订单,neg,"[(3, 0.70967454), (9, 0.1976883)]",3
1.没有鼠标和包,鼠标,neg,"[(0, 0.041670453), (1, 0.04166869), (2, 0.04166912), (3, 0.04166818), (4, 0.0416693), (5, 0.04166937), (6, 0.04166845), (7, 0.04166905), (8, 0.041668642), (9, 0.041668233), (10, 0.54164034), (11, 0.04167022)]",10
"1.产品太新,下声卡驱动欠奉,甚至官网上还未出现这个型号,让紧张了半天,此奶牛是的?",产品 声卡 驱动 欠奉 网上 型号 紧张 半天 奶牛,neg,"[(1, 0.9082615)]",1
1：散热是最大的问题，左手托散热量太大，设计不合理。,散热 左手 散热量 设计 不合理,neg,"[(0, 0.013894587), (1, 0.013894362), (2, 0.013894127), (3, 0.013894333), (4, 0.0138944555), (5, 0.013894858), (6, 0.013894425), (7, 0.8471622), (8, 0.013894027), (9, 0.013894299), (10, 0.0138942925), (11, 0.01389405)]",7
1、光驱响的厉害，明显是做工工艺的问题,光驱 厉害 做工 工艺,neg,"[(0, 0.016669706), (1, 0.016670115), (2, 0.016670167), (3, 0.016671052), (4, 0.016669963), (5, 0.016669398), (6, 0.01666998), (7, 0.016669596), (8, 0.0166696), (9, 0.016669491), (10, 0.016670391), (11, 0.81663054)]",11
2.现在为什么订单要等货物审核才可以支付，我要老等的。我就直接网上支付不行的。,订单 货物 审核 支付 网上支付 不行,neg,"[(0, 0.011922787), (1, 0.0119237155), (2, 0.011923119), (3, 0.011923361), (4, 0.011922693), (5, 0.011922914), (6, 0.01192284), (7, 0.011923438), (8, 0.011922695), (9, 0.011922796), (10, 0.86884695), (11, 0.011922691)]",10
库存信息上海有现货，为什么我在上海订货要从北京发货，害我两天时间都是白等的，物流信息里只有第一天的记录，后面的信息都没有，根本没法安排时间收货，最后还是我自己去取货。这样的物流真的是对不起京东的牌子。,库存 信息 上海 现货 上海 订货 北京 发货 两天 时间 物流 信息 第一天 记录 信息 没法 安排 时间 收货 去取 物流 真的 对不起 京东 牌子,neg,"[(3, 0.15882619), (7, 0.7521297), (10, 0.060167156)]",7
1发热厉害，用一个小时下面就烫手了，的3000出头的笔记本一天也没这么热，有点害怕  2机器感觉挺单薄，塑料感挺强  3电池续航不理想  4 驱动是的，的要自己找，有点麻烦,发热 厉害 小时 烫手 出头 笔记本 害怕 机器 感觉 单薄 塑料 电池 续航 理想 驱动 麻烦,neg,"[(0, 0.34870678), (6, 0.40001592), (11, 0.20710188)]",6
"质量和速度是不错啦,就是圆通快递太差啦,单上注明是本人签收的,可快递员随便一个人就给签啦,一点责任感都没有!",质量 速度 不错 圆通 快递 太差 单上 注明 签收 快递 随便 一点 责任感,neg,"[(3, 0.7320555), (6, 0.08111107), (10, 0.13320532)]",3
回来后开机    我感觉好像没有系统但是进不去    总之还是不会操作   需要急救,回来 开机 感觉 好像 系统 进不去 操作 急救,neg,"[(4, 0.8980886)]",4
质量有问题。,质量,neg,"[(0, 0.041667126), (1, 0.041668333), (2, 0.041669298), (3, 0.041667126), (4, 0.041667167), (5, 0.04166711), (6, 0.041667346), (7, 0.041669168), (8, 0.041669194), (9, 0.041669197), (10, 0.5416518), (11, 0.041667134)]",10
想请问下怎么3200的显卡我用完美解码播放1080的时占用率90%以上而且会卡？已经打开硬件解码啊。。。,请问 显卡 完美 解码 播放 占用率 打开 硬件 解码,neg,"[(4, 0.80015093), (8, 0.116455294)]",4
装系统花了一点时间，不能直接使用版本要先去里修改一项内容。,系统 一点 时间 版本 修改 一项 内容,neg,"[(0, 0.010420093), (1, 0.01042327), (2, 0.010419852), (3, 0.010419943), (4, 0.010420258), (5, 0.010419921), (6, 0.010420195), (7, 0.010420034), (8, 0.010420192), (9, 0.8853761), (10, 0.010419832), (11, 0.010420293)]",9
不知道是不是个例 键盘空空的 去华硕维修了下用双面胶粘了下 按下去还会起来 键盘晃悠晃悠的 请问京东这个怎么处理啊？？？,个例 键盘 空空 华硕 维修 下用 双面胶 键盘 晃悠 晃悠 请问 京东,neg,"[(1, 0.72354114), (7, 0.2122668)]",1
三星的机器都是“指纹”机，太容易留指纹了。1的内存有点小，因为被集显吃点200多。3300的价格性价比没有宏基等的机器好。机器的市场价其实只有3800，京东标4000，给人优惠很多的错觉。,三星 机器 指纹 指纹 内存 集显 价格 性价比 宏基 机器 机器 市场价 京东 优惠 错觉,neg,"[(6, 0.9426046)]",6
有点太厚了，键盘比较没手感！屏幕下方有一个亮点，实在让人遗憾！！！,键盘 手感 屏幕 下方 亮点 实在 遗憾,neg,"[(0, 0.010421405), (1, 0.010421384), (2, 0.010421515), (3, 0.010421417), (4, 0.8853644), (5, 0.010421474), (6, 0.010421316), (7, 0.010421459), (8, 0.010421299), (9, 0.01042149), (10, 0.010421501), (11, 0.010421311)]",4
系统，需要自己刻一个系统还原盘（刚开始用电脑会提示的），要是带个恢复系统盘就好了~,系统 系统还原 电脑 提示 恢复 系统盘,neg,"[(0, 0.011913028), (1, 0.011913424), (2, 0.86895394), (3, 0.011913099), (4, 0.011913852), (5, 0.01191323), (6, 0.011913414), (7, 0.011913108), (8, 0.011913136), (9, 0.011913516), (10, 0.01191297), (11, 0.011913281)]",2
6199买的，相比其他网友，没有赶上5850的特价，买贵了，连个、驱动光盘都不送。机器比想像中的要厚重。我没有京东5000-200券。,相比 网友 赶上 特价 驱动 光盘 机器 想像中 厚重 京东,neg,"[(6, 0.91659915)]",6
电源哧哧乱响，不过已经找换了个！上下壳吻合度差了点，左托有点松！换内存不是很方便，拆的时候差点把触控板的连接线扯下来！搞不清楚为什么不能用螺丝机械固定，非得用个双面胶粘！模具只能说一般了！,电源 哧哧 找换 吻合 左托 内存 差点 触控板 连接线 扯下来 搞不清楚 螺丝 机械 固定 双面胶 模具 只能,neg,"[(4, 0.9490115)]",4
盖子盖不严实，有缝隙，按上去还带响，装内存的时候发现了双面胶，处理的太差了。显卡切换的时候有短暂的黑屏现象！,盖子 严实 缝隙 内存 发现 双面胶 显卡 切换 短暂 黑屏 现象,neg,"[(4, 0.2610583), (10, 0.6694231)]",10
"定单5216523与6月3号要求处理补发赠品.现在已经20号了,仍然未补发!现在都出了大礼包了.要求给一个满意的结果.不要一拖再拖!!!(而且我们拿到手就发现键盘问题,已经拿去修了.才买几天啊?)",定单 补发 赠品 补发 大礼包 满意 一拖再拖 拿到 发现 键盘 几天,neg,"[(4, 0.27823433), (5, 0.6522644)]",5
显示器盖子有点往外凸，合不严。有点扭曲的感觉。盖子外表面用手触摸，有凸凹的感觉。,显示器 盖子 外凸 不严 扭曲 感觉 盖子 表面 触摸 凸凹 感觉,neg,"[(6, 0.92341727)]",6
系统真的很烂，回来就换成但是的驱动不怎么支持的?换完 硬盘只能改为模式显卡不能热切换无线网络要更新成别的软件，蓝牙无法使用。哎之后换成7 用起来可以,系统 真的 很烂 回来 换成 驱动 支持 硬盘 只能 改为 模式 显卡 热切 无线网络 更新 软件 蓝牙 换成,neg,"[(4, 0.8693785), (8, 0.08673945)]",4
1，摄像头130像素，视频不是特别清晰,摄像头 像素 视频 特别 清晰,neg,"[(0, 0.013897999), (1, 0.25573835), (2, 0.013898268), (3, 0.013898264), (4, 0.45968336), (5, 0.013897981), (6, 0.013898089), (7, 0.15949473), (8, 0.013898655), (9, 0.013898209), (10, 0.013898084), (11, 0.013898044)]",4
不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错 不错,neg,"[(3, 0.97380936)]",3
配置一般，同等配置电脑价格要低不少。材料是塑料的，手压会变形。。。不爽,配置 同等 配置 电脑 价格 材料 塑料 手压 变形 不爽,neg,"[(3, 0.155271), (8, 0.7689005)]",8
有点小，字体看着不舒服，习惯了就好！毕竟够轻薄。,字体 看着 舒服 习惯 轻薄,neg,"[(0, 0.013897979), (1, 0.22120346), (2, 0.63981616), (3, 0.01389788), (4, 0.01389836), (5, 0.013898231), (6, 0.013897926), (7, 0.0138981), (8, 0.013897992), (9, 0.013897836), (10, 0.013898343), (11, 0.013897707)]",2
系统不好用的，给装成了，不知道为什么有点色差，不自然，总的还好~不应该是装系统的问题吧,系统 不好 装成 色差 自然 还好 系统,neg,"[(0, 0.01042362), (1, 0.010423929), (2, 0.010423638), (3, 0.010423682), (4, 0.6777444), (5, 0.0104236575), (6, 0.010423621), (7, 0.2180164), (8, 0.010423588), (9, 0.010424964), (10, 0.010424957), (11, 0.01042353)]",4
"开始卡插不进去.后来才知道插到一半时要将卡尾往上""翘""一下,才能插到底.插口好像也是这样?卡只能插到一半.锁杆也没有弹出来.因为不用,至今没有去研究这问题.",一半 卡尾 插口 好像 只能 一半 锁杆 弹出来 不用 研究,neg,"[(1, 0.8192942), (2, 0.10487036)]",1
"4799下的单,收到的时候价格变成了4699,并赠送一张杀毒光盘,然后就因为新增加赠品的原因,我无法申请价格保护,这明显是京东逃避价格保护的小手段,让我十分的不爽! 而且什么东西都没有送！！！！",收到 价格 赠送 一张 杀毒 光盘 增加 赠品 原因 申请 价格 保护 京东 逃避 价格 保护 手段 不爽 东西,neg,"[(8, 0.87556946), (9, 0.08273211)]",8
"宽屏的,有点不习惯,不过这个不是京东的问题;以前记得送鼠标的,现在没有了",习惯 京东 记得 鼠标,neg,"[(0, 0.016676107), (1, 0.01667583), (2, 0.3905613), (3, 0.016675923), (4, 0.01667625), (5, 0.01667605), (6, 0.016675908), (7, 0.016676024), (8, 0.016675843), (9, 0.016675718), (10, 0.44267914), (11, 0.0166759)]",10
预装系统是的 很耗资源 为此我没要7000元那一款1的 怕卡 不过送的盘是的,预装 系统 资源 一款 盘是,neg,"[(0, 0.013901948), (1, 0.8470759), (2, 0.013902031), (3, 0.013902046), (4, 0.013902692), (5, 0.013902812), (6, 0.013902167), (7, 0.013901976), (8, 0.013902014), (9, 0.013902111), (10, 0.013902173), (11, 0.013902126)]",1
"实际上，该显卡是没有系统的官方驱动盘的，就是装上了,也只是样子上是，其功能（显卡驱动只是兼容）会慢慢会显出残缺。所以京东介绍该品时，要先交代清楚，免得人家误入歧途。只有装一条是正路。",实际上 显卡 系统 官方 驱动 装上 样子 功能 显卡 驱动 兼容 慢慢 显出 残缺 京东 介绍 该品 交代 免得 误入歧途 一条 正路,neg,"[(4, 0.9601156)]",4
1.表面手摸过后不易擦拭 2.预装系统启动太慢 3.原装包有点薄，稍装点东西就鼓起来,表面 手摸 过后 不易 擦拭 预装 系统启动 太慢 原装 装点 东西 鼓起来,neg,"[(0, 0.9294149)]",0
"键盘小,比例和正常键盘也不相同,我聊天时因为用全拼,老要用1键选字,结果总把1帮助窗口给按出来了,1~10本来就是极少用的功能键, 如果阻尼可以设置得比其他键更大一些岂不是更好些?",键盘 比例 键盘 聊天 全拼 选字 窗口 本来 极少 功能键 阻尼 设置 得比 更好,neg,"[(0, 0.9388009)]",0
联想的系统里装的都是些什么乱七八糟的玩意，60天的杀毒试用版也别装了，累人！,联想 系统 乱七八糟 玩意 杀毒 试用版 也别 累人,neg,"[(7, 0.8979831)]",7
散热做得很不好，系统不稳定，刚用一次就系统破坏，进行了系统修复，但是联想的智能修复系统很强大，很方便，电池使用时间很短。希望京东能快快进到六芯电池。了却我的遗憾,散热 不好 系统 稳定 系统 破坏 系统 修复 联想 智能 修复 系统 强大 电池 时间 希望 京东 快快 进到 六芯 电池 遗憾,neg,"[(6, 0.960095)]",6
网卡老出问题，不知道是不是驱动的问题,网卡 驱动,neg,"[(0, 0.027778707), (1, 0.027781337), (2, 0.02777937), (3, 0.027778804), (4, 0.027779812), (5, 0.027779091), (6, 0.027779432), (7, 0.027778508), (8, 0.027779203), (9, 0.027778778), (10, 0.027778871), (11, 0.6944281)]",11
没有包 我又单买一胆 但是适配器没地方放 郁闷中 但电脑极好 以后再买包吧 电池久一些更好,单买 适配器 地方 郁闷 电脑 极好 电池 更好,neg,"[(0, 0.17665103), (9, 0.5968328), (10, 0.14310868)]",9
没有缺点，都是优点~~吼吼，或许，硬盘有点不够用，但是这么小的本本，要求就不用那么高了~方便就好了~~~~,缺点 优点 吼吼 硬盘 本本 不用,neg,"[(0, 0.011922173), (1, 0.011922257), (2, 0.0119224535), (3, 0.011922358), (4, 0.011922408), (5, 0.011922351), (6, 0.67777056), (7, 0.011922346), (8, 0.011922231), (9, 0.2030057), (10, 0.011922638), (11, 0.011922487)]",6
屏的视觉效果并不好，还不如以前的清爽明亮，说是节能，其实是折磨眼睛，有上当之感。京东这次配货简直胜过蜗牛，拖拉之极，取消订单的指令及要求发了不少三次，都没反应，采取钱已入袋，对退货的要求置之不理，很混,视觉效果 不好 清爽 明亮 节能 折磨 眼睛 上当 京东 配货 胜过 蜗牛 拖拉 取消 订单 指令 三次 退货 置之不理,neg,"[(2, 0.9541046)]",2
"系统的确难装,思路对了也挺简单:我是用盘装的,我先用把盘做成启动盘,然后把系统光盘里的东西复制到盘,将机器里的启动项调成-启动,进入界面之后,",系统 思路 对了 简单 盘装 先用 做成 启动盘 系统 光盘 东西 复制到 机器 启动项 启动 界面,neg,"[(1, 0.20046553), (6, 0.75039697)]",6
系统安装还算顺利，网卡驱动怎么一直装不上。郁闷。+11也没用啊。,系统 安装 顺利 网卡 驱动 装不上 郁闷 没用,neg,"[(11, 0.8981091)]",11
