评论用户id,评论内容,分词,分词-英文
600d450f000000000100b429,跟有什么区别,区别,the difference
63005fc50000000012000461,夏天穿了洞洞鞋后再穿运动鞋真的巨烧脚,洞洞 运动鞋,Cave sports shoes
58ac46615e87e758bc8f78b9,课代表：给大家节省的时间用于去下单吧,代表 节省 时间 下单,Represents saving time and ordering
5b4303e04eacab5ac3d94dd2,真的蛮舒服的！比我其他任何一双运动鞋都轻便舒适，新拿回来就游了个韩国，一周奔波全程无压力！,舒服 运动鞋 轻便 舒适 新拿 韩国 压力,Comfortable sneakers lightweight and comfortable new Korean pressure
5ac9bee94eacab681060d194,抓地牛吗,地牛,Mixture
5f4fc22c000000000100491f,跟我买的环球的一模一样,环球,global
668780150000000003033005,我有个问题？是国产。,国产,Domestically produced
5bb3327481d7350001304463,361游鲸的我穿了袜子..袜子会在里面乱跑。。很烦怎么整,游鲸 袜子 袜子 很烦,Whale socks and socks are annoying
5b5fcf29e8ac2b42895eeca5,舒服吗？,舒服,Comfortable
5bf6c7efa942400001acbeae,那如果尺码正好，顶大脚趾呢,尺码 正好 脚趾,The size is just to the toes
58d4aa8a346094147e3b545c,飞比特不晃悠。您这个请问真实情况，水壶晃不晃悠哈 正要买,水壶 正要,The kettle is about
5bb102ecbb1c740001204f14,正常脚长估计是255，但是脚掌宽，所以的1都是穿41(260)的，星豚我看了看只有40-41(255)和42(270)，应该怎么选,脚长 脚掌 星豚,Foot long feet Star Porch
642429030000000012012220,.（小丑）.,小丑,clown
60ebed340000000001001f54,星豚那双配色最好看，别的鞋子颜色都太单一了！,星豚 配色 鞋子 颜色,Star dolphin color shoes color
5fc1df3c0000000001004e51,非常不错，尺码标准，穿着挺舒服的，也不重，质感很好！,不错 尺码 标准 不重 质感,Not bad size standards and not heavy texture
5a12f28fe8ac2b34c7cfec49,质感超好，颜值也很好，挺喜欢的。而且搭配的颜色也不容易撞款,质感 颜值 颜色,Texture face color color
63c14bcd0000000027029b98,啊！ 搜腰包搜到了这么物美价廉的 我看有推荐跑鞋  也想问一下 新手跑者女生，一跑5-7公里 配速7-8 价位500一下有跑鞋推荐么 身高165 体重113,腰包 跑鞋 新手 跑者 女生 价位 跑鞋 体重,Bag running shoe novice runner girl price running shoes weight
5d385eeb0000000012032e3a,这样鞋带会不会剩太长了,鞋带,shoelace
609f55b5000000000101f4e8,求推荐跑鞋，初跑者158  体重57  跑一休一 每次10㎞，配速7分半。足弓低  46岁女  ，做了一些功课，坦途不错吧！有点贵呀还有其他推荐么,跑鞋 体重 足弓 功课 坦途 不错,Running shoes Weight arch homework is good
62a9ce1400000000190295b5,重不重啊,重不重,Not overwhelming
5acdb2ac4eacab2af23fc455,真心求问，你们用这种腰包跑完，腰疼不，我每次用完腰都疼,腰包,Pocket
557314149eb578026a983682,我也有个办法可以一分钟解决------退掉，说明鞋不合脚,办法,Method
5b23b7de4eacab7b165a9bd1,穿着舒服吗，冬天穿会不会冷呀,舒服,Comfortable
5b488272e8ac2b4a34c0d387,裤子是真的好看 有无链接兄弟,裤子 链接 兄弟,Pants Link Brothers
64dc38a5000000000100436c,鞋头反绒那里脏了怎么打理啊,鞋头 反绒,Go toe
60bbfc48000000000100a263,没给广告费,广告费,advertising fee
5acd3acd11be1042b8097da4,香港波鞋便宜还是澳门波鞋便宜,香港 波鞋 便宜 澳门 波鞋 便宜,Hong Kong shoes are cheap Macau sneakers cheap
5d1104c3000000001603a4f5,橙色那双是啥鞋,橙色,orange color
620acb1f000000000201e778,我就知道小红书是万能的,小红书 万能,Xiaohongshu universal
6358c7cf000000001802bd29,光脚最好，车感最强，人车合一,光脚 车感 最强 人车,Barefoot car feel the strongest car
5f7b1dfc000000000101f9f6,谢谢分享  立马就试了  真的有用,谢谢,Thanks
5570dbeae4b1cf62be1c504b,有咩有假？距离大三巴远不远,有假 距离 大三巴,There is a fake distance from the three bus
56f3aabe4775a77b3498f484,匹克那个里边有鞋垫，下雨就尴尬了，干不了,匹克 鞋垫 尴尬,Pocket insoles are embarrassing
5f2774ca000000000100a759,46以上就别去了真的没码数的,码数,Code
5b14c41d4eacab3e0843d066,是不是大三巴下面那条街,大三巴,Da Sanba
5b44d7c311be1034454c5fd4,匹克垃圾的一批 磨脚磨到走不成路,匹克 垃圾 磨脚,Pyk garbage feet
5c289a56000000000501fdb6,我个货车司机都穿莆田货的德训鞋,货车 司机 莆田 德训,Truck driver Putian German training
5b2d1919e8ac2b63ca4b7d81,绝了，这方法一点儿也不掉了，我还买了防掉跟贴也不管用，神仙方法,方法 神仙 方法,Method god method
5e69eb5800000000010021f6,适合跳绳吗,跳绳,jump rope
5d1f310a000000001200ba90,舒服是真的，臭脚也是真的,舒服 臭脚,Stinky feet
5d04d2870000000016010f6f,有价格侠么,价格,price
5f03ce5b000000000101cdc6,蹲个店铺,店铺,Shop
5bbd732c51783a16872a34f2,有用  博主专业,博主 专业,Blogger major
5b3d9c8411be105814fdd2d9,这款是真的软，而且我的每根脚趾头都可以在里面展开，穿出了自由感,脚趾头 自由,Toes free
5aa9404911be103e26e09536,的脏脏鞋，阿迪的贝壳头，这俩是我开车最舒服的鞋,脏脏鞋 阿迪 贝壳,Dirty shoes Adi Shell
5aca1ecd4eacab08b111e4b3,宝子跟高多少？,宝子,Treasure
5ff0036a00000000010094b6,链接姐姐,链接 姐姐,Link sister
56dad8b1e4251d077462f101,试了，球鞋真的不会那么掉跟了，感谢,球鞋,sneakers
5cf336bc000000001001b8b1,最好的是赛车鞋,赛车,Racing car
5f23e9f900000000010097fe,好牛啊，小红书真是万能的,小红书 万能,Xiaohongshu universal
5f81b5de000000000100466d,走路适合吗？,走路,walk
5ad7496311be10018ce6592d,太牛了，亲测有效。效果也太惊艳了，我差点买后跟贴了,太牛 效果 惊艳 差点,The effect is amazing
5a0ceb5a4eacab68b868f1ba,你好，你平时穿37的吗，但我看尺码表里面没有37的，你是选的36还是37啊,尺码,size
595aa13350c4b4608acb94f2,我穿匡威和 ，肯定不出错,匡威,Converse
59fd32fbe8ac2b5cd37fc7d6,实体店有吗,实体店,Physical store
6104e26b00000000010037a0,会透袜子吗？,袜子,sock
5a38f94b11be1017694f51ad,帆布鞋最舒服,帆布鞋,canvas shoes
5ecbd5420000000001004626,巴黎世家的鞋全不适合开车，宽的一批,巴黎 世家,Balenciaga
63a04f9d000000002702b06d,请问那边有卖羽球拍吗？还是只有衣服和鞋子罢了,羽球拍 衣服 鞋子,Badminton racket clothes shoes
5e7758300000000001005a26,(禁言中),禁言,Prohibit
6114cb12000000000100acfd,我在 买一双 的拖鞋 和包鞋 穿不到一个月鞋底开了 ，拿回去店换还不允许换 ，感觉它店卖的鞋子都没有实体店耐 ,拖鞋 鞋底 感觉 鞋子 实体店,Slipper soles of shoes feel shoes physical store
62b1dcdb000000001b024428,我去买了 跑步鞋 不过款式都比较久,跑步 款式,Running style
5cbc115f00000000170157c8,小红书店铺即可购买,小红书 店铺,Little Red Book Store
5a17c53211be1057b17a1286,很舒服，酷酷的！喜欢,舒服 酷酷,Comfortable and cool
60ac348b000000000101e21e,无论从质量颜值到做工都符合这个价格，物超所值,质量 颜值 价格,Quality face value price
5f6b60f60000000001004bc4,越野跑会不会出事,越野跑,Trail running
5e734e68000000000100a079,买给家里老人的，老人很满意。,老人 老人,Old man
5bc81e7970a0790001a0207a,第二次购买他们家的鞋子了，小众，款型设计很棒，穿着非常有型的，适合户外或者城市通勤，搭配机车裤，运动裤，很好搭配。强烈推荐这家宝藏店铺。,鞋子 款型 很棒 城市 机车 运动裤 宝藏 店铺,Shoes style is very good city locomotive sports pants treasure shop shop
5a17c53211be1057b17a1286,回购的，主要是真的很舒服,舒服,Comfortable
59038a346a6a6933bd439037,得物？,得物,Obtain
58d60afd6a6a692268c6024e,宝方便问下鞋子有增高吗,鞋子,shoe
63ef6957000000000f010c09,正码的吗！！！！,正码,Positive code
5942147182ec39553311c367,统一回复一下 购买渠道是某物,渠道,channel
5b1fb4ae6b58b70a8098eb07,衣服有链接吗宝贝,衣服 链接 宝贝,Dress link baby
5baf09fe13c0910001e260da, 啊啊啊啊的全线鞋子我都好喜欢  可是它好贵,啊啊啊 全线 鞋子 好贵,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
5ed67ee000000000010067f5,鞋底很薄吗，在得物整了双还没拿到,鞋底 得物,Sole
5d710fa70000000001001360,码数正常吗宝子,码数 宝子,Code Digital
61d3201f000000001000a4a9,谢谢老板老板夜夜笙歌,谢谢 老板 老板 笙歌,Thank you boss and boss Shengge
6018e36b00000000010070c1,求上脚图,脚图,Drawing
5fb118320000000001005fbd,同款哈哈,同款,Same
5c7be444000000001203f6b0,我的是粉色的 昨天收到我美晕了,粉色,pink
5cd786190000000016017595,姐妹，领1000-210的优惠卷吗？在哪里领啊,姐妹 优惠卷,Sisters discount volume
61de89cd0000000021020a92,这个店不是官方,官方,official
6438e609000000000e01dca6,啊啊啊多谢分享，刚去买了，和博主款式不一样，一双平均下来才100元,啊啊啊 博主 款式 平均,Ah ah ah blogger style average
5d3e48e1000000001602d71c,过期羊毛犹如砒霜,羊毛 砒霜,Wool cream
5bb2c8b3c751e00001a11355,不好穿 跟鞋底镶了钢板一样,鞋底 钢板,Sole steel plate
5db961d100000000010058bc,好多断码,断码,Break code
5c8d9146000000001103743c,我也买了，到时候给你们看细节,细节,detail
5ed058a0000000000100376e,仿的万斯,万斯,Wanz
5f1eaa140000000001002c56,我买了葡萄家的和苏茵茵家的两双,葡萄,Grape
5961fbb150c4b44ca4c7a267,没有三月情书啊,情书,love letter
5f1d3a5b0000000001002470,你是不是三月情书家的托 主页都是三月情书！,情书 主页 情书,Love Letter Homepage Love Letter
5409619db4c4d6486bdbbac7,讲道理，这个萨洛蒙为啥要买这种，东莞厂子就有啊，还不用这么慢发货，这玩意也不是苏茵茵的独家吧,讲道理 萨洛蒙 东莞 厂子 发货 玩意 独家,Reasonable Salo Meng Dongguan factory delivery stuff exclusive
5994444250c4b40f7f3f0cee,为啥三月情书我没搜到,情书,love letter
590f28d950c4b45a5ff8c56d,请问椰子鞋的店在哪里呀,椰子,coconut
5f0ab11a00000000010046ee,亚瑟士6有吗，多少入手合适啊,合适,suitable
5dd0d9380000000001007881,妈呀这鞋都是我的风格,妈呀 风格,Damn style
593653bd82ec397a8542a101,我想买的鞋不是限量款，很普通的款，但是我想买正品，家周围的店都是某博、某道，感觉信不过呢，直营店离着比较远，该去哪里选呀,限量 正品 感觉 直营店,Limited authentic feeling directly operate store
618295fe0000000010008a7a,星云下面也没有1200减260了，是不是已经姐说了,星云,nebula
5c970e900000000012034405,细节细节,细节 细节,Detail
5d30969c0000000011003f5a,昨天下错定金了，本来买旗舰店的买了专卖店的，想知道淘宝亚瑟士专卖店是真的吗？,定金 专卖店 淘宝 专卖店,Specialty Store Taobao Store
62706acb0000000021029dd5,唯品会真的不可信啊,唯品,Clipline
603b10bb000000000100234d,现在买鞋贵吗,买鞋,Buy shoes
5dcdf833000000000100bb91,有标吗,有标,Standard
5d34913b000000001201e2b4,没找到满1000-260的券了,的券,Voucher
5d0dee7a00000000110393da,4一般多少价格合适入手啊,价格 合适,fair price
5f194a250000000001001b8b,明天继续更买鞋渠道🐛,买鞋 渠道,Buy shoe channel
60c080730000000001002d0f,求店铺名,店铺,Shop
57ce88df5e87e714f3120480,这不是防萨洛蒙吗,萨洛蒙,Salomon
614381430000000002024aad,170白蓝色是不是全网断货啊？,蓝色 全网 断货,Blue entire network out of stock
5d4023a8000000001600c9b3,舒适吗有人买过吗,舒适,Comfortable
5d1085ef00000000160119ba,容易开胶吗,开胶,Open glue
63c435ed00000000260079a8,现在知道也晚了，没合适尺码,合适 尺码,Appropriate size
5e9d12140000000001008365,垃圾唯品会，都是假货,垃圾 唯品 假货,Junk Vipshop fake
5f8b09020000000001007ae0,奥特莱斯可信吗,特莱斯,Tryles
5b9db440923cef00019fa814,谢谢小仙女安利小忆呀,谢谢 仙女 安利 小忆,Thank you Fairy Amway Xiaoyi
5b62ac4411be101742924b74,博主，亚瑟士的男鞋要买大一码吗,博主 男鞋,Blogger men's shoes
64c3efd4000000000b00b08b,大学生创业卖球衣潮鞋，无所谓，我会进入评论区告诉大家我是卖球衣潮鞋的，没有人理我那我就连滚带爬的去下一个帖子	747410,大学生 创业 球衣 潮鞋 我会 评论 球衣 潮鞋 人理 帖子,"College student entrepreneurial jersey shoe, I will comment on jersey tide shoes people rational posts"
5a05d8c8b1da140c1f070f99,有1烟灰小迪奥女款吗,烟灰 迪奥 女款,Tobacco Dior Women's Women
5c0cc96f00000000060157d4,1000-260的券是分开领得嘛，我还是没整明白,券是 明白,The coupon is understanding
5f14fc7d000000000101d311,是正品吗,正品,Genuine
5afbaed74eacab4031681581,在上面买鞋经常被自动退款怎么回事,买鞋,Buy shoes
6459cef10000000010029f26,请问你的脚长是多少呢？我平时是37，23公分。这个款好像偏小点，不知道6会不会偏大很多,脚长 公分 小点,Foot length
5ba75e40e839fb0001b55353,凑满减后可以趁没发货退吗？,发货,Ship
5c42dfaa0000000006027f9c,有冰淇淋吗,冰淇淋,ice cream
56d0566daed7586019ed4a29,这个是正品吗,正品,Genuine
5ae9b5e2e8ac2b0ca3869e96,请问  去哪个店更好呢？优惠和款式都不错的,款式 不错,Good style
61607142000000000201df54,伟伦买的25，右脚鞋完全没有弹性，感觉是假鞋,伟伦 右脚 弹性 感觉,Weilun's right foot elastic feeling
55d4b8c3b7ba226ce36bde70,所以唯品到底靠不靠谱,唯品,Clipline
5c9b98fb000000001100651e,我宁愿在我室友那里买鞋  还更靠谱点,室友 买鞋,Buy roommates
61ee4d99000000001000fad6,去广州买 绝对保真,广州 保真,Guangzhou Baizhen
5c31fbc1000000000601ffbc,这是什么牌子的,牌子,brand
5fbd18400000000001009210,适合跑步吗？,跑步,running
5cd8cc01000000001002cdd3,很漂亮，可惜我才刚买 而已,很漂亮,very beautiful
5b6951cbcbbf5c0001116655,还有光轮吗,光轮,Light wheel
63b589e30000000027037432,有没有经典,经典,classic
5b69375a088c520001b30561,想看夏天凉鞋测评,凉鞋,sandals
5948789250c4b4214af05823,抖音里法雅体育可买么,法雅,Fa Ya
5a5f510a11be101accb8eda4,光轮有没有,光轮,Light wheel
607005c90000000001003255,几点？太牛了,太牛,Too cow
60685df2000000000100ab71,大家帮我看看留哪双，怎么感觉都好好看,感觉 好好看,It feels good -looking
5cdcd3c20000000016033ccb,应该都是瑕疵货吧？,瑕疵,flaw
5c80d3f7000000001203def9,会臭脚吗,臭脚,Stinky feet
5a912ff64eacab3c103de953,萨洛蒙已被安踏收购，安踏的冠军跟那个很像，也不用抢,萨洛蒙 冠军,Salomon champion
64cfb55b000000000b009ed1,你确定这个店铺是真的？我看悬吧就支持专柜验货,店铺 专柜,Shop counter
59bdddf951783a5701bf9cbd,没有鲸鱼,鲸鱼,whale
5d4cf16e000000001000d260,这个还要抢吗？店里都有不是,店里,Store
5f2b72d2000000000100445e,我在买了同款224,同款,Same
5c0648f40000000006006dd8,鞋底会很硬吗,鞋底,Sole
5b7c1274f7e8b972313f2c36,36-37选哪个码宝子,码宝子,Coding treasure
5b8e3e392499510001d76e4f,抖音上的锐力运动家是真货吗,锐力 真货,Ruili genuine
643c108d0000000010028d15,轻便嘛,轻便,light
5ca7f685000000001201da9b,请问 220 云朵拍哪个尺码,云朵 尺码,Cloud size
5a95e72a11be101b51166658,为什么你们买的那么便宜呀，下面那双我买1634,便宜,Cheap
603ba12b000000000100be69,价格都一样吗？,价格,price
5faccf580000000001001a6f,蹲 踢踢,踢踢,Kick
5ff9c7330000000001009c0d,猎户有吗,猎户,Hunter
5952eb7b5e87e71364d7b08f,黑泡芙什么时候有,黑泡,Black bubble
61b34d33000000001000b916,太牛了 我超喜欢那个颜色可是抢不到,太牛 颜色,Too cow color
61a0ed48000000001000f31d,同款,同款,Same
5dfe141300000000010077b4,质量也不好 连99都不值 已经准备退了,质量 不值,Bad quality
57871160bd0da502bc310ce9,门店一大堆，前几天刚买完。为什么还要去网上抢,门店,Store
5f075e25000000000101c998,我是大怨种  我买了  今天刚刚到,怨种,Grudge
5cf4a27200000000180159ba,正准备要下单幸亏我来这看了一眼不然亏大了,下单,Order
5558b9e9484fb63c6c1e5eb0,这家鞋胶水味很大,胶水 很大,Globe
5f4dd2da00000000010026c0,是一家温州的公司，我专门查了他家资质,温州 公司 资质,Wenzhou Company Qualification
5c26cc58000000000500ac6b,专柜很好买的,专柜,Counter
61e6ab650000000010005b91,原来去年就开始推广了 这几天刷到还以为真的是所说年前冲销量 已经放进购物车了,销量 购物车,Sales car
5bc08666cfc5960001d9d8d9,同问真假,真假,true and false
6267e60f0000000021027ef0,一分钱，一分货，便宜的就是减配了,一分钱 一分货 便宜,"One penny, one penny cheaper"
62b28d3a00000000190289fe,咱就是说，有没有可能是网商版本？？作为一个普通网购买家，应该知道很多所谓网商同款商品优惠价格其实是品牌货品的网络销售的版本，和实体店的品质是有差别的。,网商 版本 商同 商品 优惠价格 品牌 货品 网络 版本 实体店 品质,Online merchant version business Tongzhe discount price Brand products online version of physical store quality
5c66342b000000001100d4bb,能买吗姐妹们,姐妹,sisters
616b78d5000000001f03c17c,现在店里都有啊这几款,店里,Store
5a3e4afee8ac2b63d5c00f1b,这个链接在 店里怎么找到啊,链接 店里,Link store
5570fa2bfaea911ce932bc49,关于品类👀快看这里！！我是去斯凯奇店铺客服那打品类，直接弹🔗就能领了！可以领3张！！600-30的！图片写错啦,品类 店铺 客服 品类 图片,Category shop customer service category pictures
6057461800000000010053ef,京东假货最多,京东 假货,JD fake
5570fa2bfaea911ce932bc49,别在我评论区卖鞋，见一个删一个,评论 区卖鞋,Selling shoes in the comment area
5b625f64f7e8b91a5a428a62,我跟京东客服多次打交道，有以下几个特点，第一，说话不算数，之前信誓旦旦，之后杳无音信。第二，你反馈的问题，他们要报给另一个部门去解决，另一个部门看到投诉，可能会出现理解错误的现象，而且工作拖沓，能把你磨死。第三，躺平摆烂，问题出了很久，他们直接告诉你，这事只能解决到这里，其实啥也没解决。总之，挺简单的一个事，让他们弄的非常复杂。建议去淘宝官方旗舰店购买，不要去京东自营旗舰店，售后宇宙第一垃圾。,京东 客服 不算数 部门 部门 错误 现象 拖沓 躺平 简单 建议 淘宝 官方 京东 售后 宇宙 垃圾,"JD.com customer service is not counted as the department and department, the error phenomenon is procrastinating lying flat, simply suggesting Taobao official JD.com after -sales cosmic garbage"
5aacc3f3e8ac2b4e83164158,我真的认真把文字看完了，但是我看不懂我的脑子是要永久告别双十一了,文字 脑子,Text brain
62c2c0ac0000000019029b6f,真假拿鉴定说话，不是你这种称一下重量，捏一捏就可以判定的！万一你官网买的也是假的？有人可是官网也买到过假货的,真假 重量 官网 官网 假货,Fake goods on the official website of the official website
5c6029da0000000011033889,为什么买东西搞的和考试做题一样商家能不能少点套路,东西 商家 套路,East -west merchant routine
575d49293460941239c348ad,当球员又当裁判，怎么可能会有好的售后。几年前在天猫超市，买的洗衣粉，一包裂开整个箱子都是，售后无门。京东整体来说比较好，七天无理由。买日常用品，垃圾袋啥的挺好。,球员 售后 天猫 洗衣粉 箱子 售后 京东 整体 理由 日常用品 垃圾袋 挺好,Players after -sales Tmall laundry powder box after -sales Jingdong overall reasons for the overall reason daily supplies garbage bags are pretty good
5ca1b33d000000001203b05c,两个订单加起来1000可以用1000-200的券吗,订单 的券,Order
5ca8d6720000000016028d1f,京东钱可以赔 但是不会承认是假货退一赔惨的款。赔完了就很可能把你账号风控了，以后京东就下不了单！我就是去京东买到 假货维权学到的！,京东 假货 账号 京东 京东 假货 维权,JD fake account account JD Jingdong fake cargo protection rights protection
5d29d23f000000001201e078,京东自营不就相当于官方店吗,京东 官方,Jingdong official
5c1f03c10000000007010c59,是不是现在前一万付尾款半价已经没有啦,尾款 半价,Half price
61c7c7b5000000001000c7f0,伤不起呀，美国的鞋子7,美国 鞋子,American shoes
62026fc1000000000201d45a,统一回复 ：  发现鞋盒问题 优先找客服。     客服推脱不理，就找 菜鸟驿站 或者 黑猫举报平台（给力） 12315,鞋盒 客服 客服 菜鸟 驿站 黑猫 平台,Shoe Box Customer Service Courier Cain Station Black Cat Platform
5c808623000000001603c3f7,我是退货鞋盒破损 卖家拒收 商量赔盒钱都不行,鞋盒 卖家 商量 赔盒,Shoe box seller discusses losing box
615e59ce000000000201d85e,诶我的天一个鞋盒也好意思要这么多,鞋盒,Shoe box
5964aa1c5e87e7369f84e886,我是换货鞋盒被物流弄破了 人家卖家要我赔50 好冤呐…我刚收到快递第二天就寄回去了 根本没弄他们的鞋盒 怎么找物流赔呢,换货 鞋盒 物流 卖家 冤呐 鞋盒 物流,Replacement shoe box logistics seller unjust shoe box logistics
5e0a161100000000010021ec,你的鞋子买来多少的呀 我这双661 盒子也破了 我在想让他陪多少合适,鞋子 盒子 合适,Shoes box is suitable
62493a13000000001000a53a,我在某宝也买了但是鞋盒就跟散架一样这种情况鞋子真不真我要送人的,鞋盒 散架 情况 鞋子,Shoes of the shoe box scattered shoes
5f86f60a00000000010067d8,一双鞋500鞋盒要我90,鞋盒,Shoe box
5cb85f38000000001602af68,家里是缺水滴筹的钱吗,水滴,Water droplet
58e7804782ec39414e27dbc6,我这个是不是就没办法了，我退货找的小区一个熟悉的快递员，我外面加固了盒子，还给他发微信说用胶再封一下，结果卖家收到货告诉我盒子不好拒绝退款，我联系快递员才知道他为了给我省邮费把我加固的盒子去掉了，这个快递员平时都很熟，我也不想追究他责任，其实卖家发过来盒子就是皱的，不过我发回去没有加固盒子就更皱了，是不是没办法退了,办法 小区 盒子 信说 用胶 卖家 盒子 员才 邮费 盒子 很熟 责任 卖家 盒子 盒子 办法,Measures for the community box letter saying that the postage box of the jelly seller box is very familiar with the responsible seller box box method
5a86a6d611be1040198019c7,刚刚因为收到鞋盒是坏的我当时没有说，后面鞋子不合适退回去，卖家找我要赔偿，说鞋盒坏了，让我赔，我找谁说理去,鞋盒 鞋子 合适 卖家 鞋盒,Shoe box shoes suitable for seller shoe box
5e62145900000000010029c2,邮费好贵,邮费,Postage
5d2950a8000000001100c238,能不能教教我,教教,Teach
5fc13eb90000000001002da5,滴滴,滴滴,Tick
5bca7133b6052200011b98d0,这双证码吗,证码,Coding
65894a900000000022011826,直接商店下载吗？,商店,shop
5c7140150000000012005ee9,这个价格🉑️吗？,价格,price
5ccd51ec000000001600191d,在国外能用这个软件吗,软件,software
5d6101a000000000010069d1,有保卡吗 宝宝,保卡 宝宝,Card Baby
5d2de44000000000100093d0,京东这家店的东西就买不的，都是套路，欺骗顾客发瑕疵品，换也不行，只能退。谁买谁一个不吱声，倒霉,京东 东西 套路 顾客 倒霉,JD west routine customers are lucky
638763e600000000240152d4,滔博售后最差，尤其是京东的滔博官店,售后 最差 京东 官店,The worst after -sales Jingdong official store
62ed36280000000015016619,这家真的超级负责，大家可以完全放心。作为学生党,学生,student
605408bc00000000010078bf,确实是，经历了类似的事，大家都避雷吧,确实 经历,Indeed experience
600d6e5700000000010018eb,其实没必要买真的，我过年装备上到下三位数搞定的北面空军，走到哪都有人问我哪里买的。我艾特出来你们喜欢怎么点小蓝人73,装备 三位数 空军 艾特 蓝人,Equipped with three -digit Air Force Aitelan
662a0a500000000003033817,过来人表示真的靠谱。作为学生党，真的太不容易了,过来人 学生,Come and student
64f6c0160000000006031016,您好，非常感谢您的服务监督和关注，请您私信我们提供运单号或手机号码，我们一定竭诚为您服务！	,私信 运单 手机号码,Private message transportation order mobile phone number
6624773e0000000007004289,这双好看，到哪里下丹,下丹,Lower stem
5d25ee07000000001602dec7,买了吗   湿地板滑不滑呀？,板滑,Slip
6103958f000000000100b0f8,有亚瑟士4吗 得物上多少价?,得物,Obtain
5c874743000000001600ef72,大手笔,大手笔,Big
5fd8c3800000000001001e3a,我也在好奇,好奇,curious
65391363000000000200f8fa,"6 4月16日前可加入群聊""知乐跑腿"" :/#😜🤗🥒🥮🍋🐱🥑😇🐟🍆😝😉",知乐 跑腿,Zhile Running Legs
5ad6b3a7e8ac2b441ece707e,成都有货？,成都,Chengdu
5567f524c2bdeb60816be993,恭喜这位公子 成为我的客户,恭喜 公子 客户,Congratulations
64695da200000000120359aa,得物是正品，你要是看了识货就会发现更低,得物 正品 识货,Genuine
60a0d5ed0000000001006b06,别，别退款，死磕，等着给你1百无门槛,门槛,threshold
594bd6bc82ec39397c1bcded,韩国也有了，还有绿色的,韩国 绿色,Korean green
5f10ca1b00000000010006f2,这鞋的货量已经倒闭了，线上线下或低于官方价很容易就能买到，简直就是自穿者的福音,货量 上线 官方 穿者 福音,The official gospel of the official wearer is online
5e400a0d000000000100becd,买这垃圾牌子也是蛮搞笑的,垃圾 牌子,Junk brand
5fc51b3000000000010035e4,最后怎么弄的？发货了吗？,发货,Ship
5d24201b000000001003d14b,死磕就行，不用管他，直接投诉12315，欺骗消费者,消费者,consumer
5dec25080000000001006cc7,弱弱分享一下李宁秒发货，第一天下单第二天就收到了,李宁 发货 下单,Li Ning shipped orders
62c4702c000000001b024379,你先去找官方客服举报这个订单不发货，官方会先给你赔付13元,官方 客服 订单 发货 官方,Official customer service order delivery official
626239ef0000000010008a39,我靠你快看这个博主…发的东西我都好喜欢！！,博主 东西,Blogger
5ad5a221e8ac2b46b796dcd4,义乌加油啊,义乌,Yiwu
576b84ae50c4b468988bdcc4,他家一直做鞋底的，的鞋底好多都是他家的，真的舒服，我也买了好几双了,鞋底 鞋底 舒服,The soles of the shoes are comfortable
5be25e3aa3ee070001e968b5,现在大数据都敢给我推500一双的鞋了,数据,data
6258e3a20000000010006f28,好豪华…每个脚趾都有一个家,豪华 脚趾,Luxury toe
6080124b000000000100ac90,只有我觉得脚趾缝里夹着东西异物感太难受吗,脚趾 缝里 东西 异物感,Foreign body sensation in the toe seam
5ff9fc69000000000100bb28, 哈哈哈哈哈哈哈哈对不起我是土狗 我还是想笑,土狗,Earthen dog
61d259210000000021020639,我还会一直给大家分享好物，最近孕期，休产假中，集美们,产假 集美,Maternity leave
5d04e4a80000000011001360,409死心吧,死心,Heart
61d259210000000021020639,超级好穿的鞋子,鞋子,shoe
5e420cc7000000000100a665,听说李宁是日本的。。。,李宁 日本,Li Ning Japan
5cfcb59100000000180053e7,这款鞋子还有么,鞋子,shoe
622b333a000000001000d30c,李宁？居然还穿李宁,李宁 李宁,Li Ning Li Ning
6035244f0000000001007f47, 紫色！,紫色,Purple
5e745d850000000001007df4,在犹豫灰配蓝还是灰配红,犹豫,hesitate
5e5e0c6b0000000001006293,感觉仿,感觉,Feel
5c83bb9e0000000010015f4b,. 关于我刚打开小红书就种草了一双鞋这件事,小红书 种草,Xiaohongshu plant grass
54813ee8d6e4a9258217bd0a,这不是我们小时候穿的波吗,小时候,I was a kid
5ba5d1da41afcb00019cdf67,图一第八双是什么牌子，谢谢,牌子 谢谢,Thank you
5e36b8d2000000000100b40b,不要买 我买了以后鞋面超硬 而且左脚走路鞋子压脚背 走了两天把脚背压肿了,鞋面 左脚 走路 鞋子 脚背 脚背,Back to the back of the shoe on the left foot
5ed868b000000000010001e4,因为你的推荐打开唯品会 送了我一张40元通用券 反手一双骆驼盘龙鞋160拿下！！！！！姐妹你是我的福星,唯品 骆驼 盘龙 姐妹 福星,Vipshop Camel Panlong Sister Fu Xing
60d8138d000000002002e4e3,鞋子是好看的，但是鞋底比较硬,鞋子 鞋底,Shoe sole
61275c5c00000000010018da,安踏那双有女款吗？,女款,Female model
5aa38b554eacab1f5f38b9c0,磨脚,磨脚,Grind
5c790327000000001603e757,阿迪的那双在哪买,阿迪,Adi
