,word,聚类结果
1507,一篇 本科 SCI 真的 毕业 要死要活,1
1508,谣言 出来 获益者,1
1509,一下 部分 网友 你们 什么 要求 公布 复试 视频,1
1510,希望 大家 归宿 谣言止于,1
1511,复试 严格把关 科研 潜力 正确 很多 研究生 进来 努力 天分 导师 不敢 他们 延期 毕业 最后 社会 学校 声誉 增加 无谓 学历 而已,1
1512,面试 可以 公开,1
1513,速度 很快 点个,1
1514,造谣 不信谣 传谣 不要 因为 自己 看似 满腔 正义 实际上 盲目 无脑 行为 最后 影响 当事人,1
1515,说明 盖章 还是 相信 校方,1
1516,英语 考研 SCI 几分 什么 关系 四六级 高分 秘诀 花里胡哨 难句 没见 生僻 单词 文章 注重 精准 表达 还有 为什么 复试 说白了 就是 导师 上线 人里 不然 直接 按照 初试 分数 高到 录取 就行了,1
1517,自己 实力 取得 成绩 别人 瞎操 什么,1
1518,逆袭 值得尊重,1
1519,说实话 那个 估计 心理 mp 希望 背景 这样 继承 祖业,1
1520,造谣 鬣狗 寻找 一个 猎物,1
1521,不是 难道 说明 目前 分数 定义 成败 关键,1
1522,申请 如果 复试 也好 之前 人大代表 提出 来说 硕士 可以 实行 时候 好多 出来 不行 何来 公平 评论 下面 可是 sci 光靠 初试 干嘛 但是 论文 主观性 想要 男生 干活 看重 极佳 科研 能力 类似 同意 就是,1
1523,造谣 道歉,1
1524,造谣 所以 那些 人家 背景 招生 黑幕 怎么 处罚 不能 没有 任何 成本 这件 最早 如何 发酵出来 必定 有人 背后 煽风点火 微博 现在 谣言 泛滥 之地 普通 学生 肆意 网暴 真是 旁人 叹为观止,1
1525,恭喜 同学 成功 上岸,0
1526,sci 比分 说服力,1
1527,就是说 协和 这个 公关 真的 双非 只会 花钱 封锁消息 学生 喝茶,1
1528,老实 复试 面试 场景,1
1529,一个打 直接 复试 能分 就是 撕破脸 人家,1
1530,笔试 第一 个人 魅力 进入 面试 环节 学子 塔尖 为什么 很多 选中 是因为 静态 台前 展示 动态 提现 出来 好比 大学生 主席 肯定 不是 学校 名单 确实 出重,1
1531,医院 乐子 觉得 不会 病人 治愈率 口碑 放在 最后 录用 优秀 无疑 造谣生事 如果 一天 需要 看病 时候 可要 自己 良心,1
1532,雪峰 一个 别报 同学 为啥 不能 你家 祖坟 青烟 不行,1
1533,真的 谣言止于 智者 不是 本来 两人 优秀 人才 本身 就是 公平竞争 太卷 希望 科研 投入 两个 名额 这么,1
1534,真的 匪夷所思 性别 家庭 背景 惊呆 人家 自己 本事 录取 为什么 这么 多人 网暴,1
1535,两个 光明 未来 那些 所谓 正义 键盘 你们 阴沟 继续 老鼠 没事 叫唤 几声,1
1536,考过研 知道 复试 重要,1
1537,两个 优秀 只是 太卷,1
1538,分数 最后 当年 初试 复试 笔试 面试 专硕 没有 黑幕 就是 技不如人,1
1539,同学 真的 可怜,1
1540,协和 两个 值得 信任,1
1541,面试 同学 什么 错误 不够 分想 了解 一下 北协 科研 能力 英语 可以 分数 大概 多少 毕竟 大部分 本科生 论文 何况 sci,1
1542,挺想 知道 开始 消息 是从 哪传 出来,1
1543,逆袭 正常 允许 别人 努力 成功 什么 扭曲 心理,1
1544,汤佳杰 想要,1
1545,自己 检查,1
1546,官方 辟谣 他们 说服力 我们 小区 群里 那个 阳性 各种 谣言 发我发 丢饭碗 没有 想象力 比较,1
1547,造谣 网暴 人家 学术 造假 污蔑 家庭 以及 个人 名誉 网友 什么 时候 道歉,1
1548,HapayZz 研招处,1
1549,面试 合格 建议 以后 所有 招生 环节 不要 具体 分数 而且 进行 只分 进入 笔试 第一 直接 录取 这样 公平,1
1550,两位 优秀 美好 未来,1
1551,北京 协和 医学院 研招处 声明 恭喜,1
1552,恭喜 cx 开启 一段 崭新 灿烂 人生,1
1553,主观 面试 成绩 差距 那么 难免 遐想,1
1554,作业 论文 改完 考研 资料 今日 任务 完成 赶紧 干活,1
1555,可怜 孩子 缺少 一个 父母,1
1556,SCI 真的 大神,1
1557,sci 初试 这么 应该 农民 孩子 配发 二本 学生 不配 协和 研吗 分低 不能 复试 分高 业务 能力 比不上 英语 逆袭 就是 内幕 有人 内心 真的 阴暗 努力 污蔑 改变命运 寒窗 苦读 寒门 学子 承受 恶意,1
1558,面试 到底 什么样 情况 使得 分差 这么,1
1559,所以 该报 培训班 还是 得报,1
1560,不是 复试 优秀 怎么 考研 本来 卷面 不然 为什么 设置 一定 特别 科研 可能 注重 好不好 快乐 小伙子 转发 CastroyUSTC 问题 而是 一个 同学 成绩 有没有 刻意 压低,1
1561,一颗 草莓,1
1562,总是 见不得人,1
1563,厉害 羡慕 面试,1
1564,恭喜 同学 未来 已来 勇敢,0
1565,一点 社会 为什么 总是 遇到 事情 觉得 黑暗 人士 不公 诸位 被害 妄想症 这个 真的 向前 有人 不让 一个 别人 微博下 一哄而上 爆梗式 叫嚣 院长 父亲 到头来 一哄而散,1
1566,一年 还是 如此 果然 就是 一直 重复 自己 错误 网络 舆论 这种 东西 出现 问题 有人 一点 真的 今年 明年 年复 年害,1
1567,如果 那个 学生 优秀 学校 照样 舍不得 放手 高考 分数 清华北大 随便 知道 两家 拉拢 人才 模样,1
1568,考试 很强 研究生 说明 能力 科研 方面 毕竟 应式 只能 考生 应试 发表 sci 真的 就是,1
1569,,1
1570,这么 普通 本科 院校 SCI 一作,1
1571,恭喜 上岸 加油 同学,0
1572,有些 造谣 随意 发布 评论 话题 赶紧 滚出来,1
1573,面试 逆袭 正常 确实 就是 通过 清楚,1
1574,英语,1
1575,承认 别人 优秀 真的 很难,1
1576,专业知识 英语 听说,1
1577,毛病,1
1578,这么 不得 别人 心里 多苦,1
1579,他们 视频 别人 是不是 哪里 什么 不过 就是 学校 想法 就范 而已 复试 还要 实察 父母 务农 家伙 像是 子弹 飞里 肚子 证明 自己 两碗 阴谋 无良 观众,1
1580,这个 可能 世界 就是 人云亦云 只不过 网络 放大 现象 不求 网暴 道歉 唯愿 他们 下次 否定 之前 可以 考虑一下,1
1581,,1
1582,恭喜 陈鑫 学长 上岸,0
1583,恭喜 这位 同学 复试 成功,0
1584,这个 面试 成绩 真的 不得而知,1
1585,几年 曲阜 师范 很多 高分 然后 他们 知道 死读书 活该,1
1586,不是 黑幕 朋友 建议 下次 这种 事情 落到 头上,1
1587,造谣 张嘴 辟谣 跑断腿,1
1588,导师 医学院 录取 是不是 嫡系,1
1589,录取 微博 知道 没有 其他 重要,1
1590,网暴 国家队 运动员 朱易 造谣 恳亲 各位 网络 暴民 要犯 不要 悲剧 这片 土地 上演 导致 比赛 期间 承受 巨大 心理压力 陈鑫寒 多少 出身 农民 学子,1
1591,月饼 这么 不爱 考研 复试 真能 大分 考公 面试 分差,1
1592,到此为止,1
1593,第二名 造成 第二次 打击,1
1594,网友 一股脑 打着 正义 名义 实施 暴力 不是 一次 两次 菠萝 岛民 造谣 什么 时候 道歉,1
1595,官方 说辞 罢了 算了 一个 局外人,1
1596,自己 不够 客观 建议 教育部 全国 抽调 组成 专家组 进行 复试 鉴定 重量级 专家 发布 意见,1
1597,一个 一把子 支持 贤彬 考研 住宿 公寓 小周 雪峰 如果 这个 专业 只要 别报 因为 所有 条件 符合,1
1598,这件 充分 说明 一件 就是 协和医院 真的 公平 不会 因为 本科 出生 不好 拒绝 只要 足够 努力,1
1599,恭喜 同学 未来,0
1600,好巧 总分 一分 不到,1
1601,相信 官方 立刻 停止 两位 同学 造谣 暴力,1
1602,可不可以 理解 为会 不会 优势,1
1603,不用 腿走路 鹦鹉,1
1604,有些 起哄 恭喜 同学,0
1605,同学 只能 学校 本来 看中 没有,1
1606,复试 逆袭 正常 而且 一个 本科生 已经 一作发 SCI 一区 厉害 难怪 面试 老师 高分,1
1607,本科 SCI 真的 厉害 哪怕 能力 北大清华 研究生 没有 几个 发了 别用 无知 而已 胡乱 揣测 求证 一下,1
1608,葡萄 别人 成绩 作假 典型 不到,1
1609,甘德 北大考 风波 大家 可能 怎么 北大,1
1610,复试 正常,1
1611,自己 调查 笔试 操作 硬性 指标 做不了 面试 人为因素 比较 容易 猫腻 成绩 高出 这么 翻盘 人为 痕迹 明显 可以 低级 学校 没有 可信度 查不出 建议 第三方 公信力 机构 介入 一下 以正视听,1
1612,,1
1613,当今社会 考研 已经 那么 多槽 甚至 可以 公开 秘密 很难,1
1614,影响 面试 结果 可能 还有 一个 因素 女生 男生 知道,1
1615,面试 能拉 这么 多分,1
1616,疑问 多少 报名 第一名 第二名,1
1617,可是 北京 协和 真是 看不得 别人,1
1618,抄手 火锅 杨梅,1
1619,不说 别的 这么 有名气 医学院 如果 为了 一个 自己 招牌 值得,1
1620,逆风 翻盘 恭喜 上岸 这样 复试 逆袭 值得尊敬,0
1621,怎么,1
1622,大家 停止 伤害 这样 恶意中伤 简直 就是 诽谤,1
1623,面试 逆袭 高分 正常 不了 的话 考试 公平性 难不成 允许 笔试 不能,1
1624,借着 伸张正义 名义 进行 造谣 犯罪 可不可以 道歉 蹲大牢,1
1625,协和 一篇 SCI 博士 毕业 人家 本科生 出来 毛病 就是 为什么 他敢,1
1626,以后 没人敢 协和,1
1627,没错,1
1628,恭喜 陈鑫 同学,0
1629,君去 归来 三秋,1
1630,复试 初试 成绩 导师 笔试 真的 协和 一直 而且 基本 清零 看重 眼缘 本科 经历 我们 那年 第一 调剂 这个 总成绩 第二 虽然 后来 证明 集体 看走眼 没本事 科研,1
1631,优秀 说实话 觉得 逆袭 人家 陈鑫 就是 真的,1
1632,有点 奇怪,1
1633,好多 本科文凭 没有 喜欢 人家 研究生 复试 指点 今天 这个 互联网 幽默,1
1634,有些 媒体 就是 捕风捉影 人云亦云 没有 独立思考 能力 怎么 理解 为什么 考研 复试 可以 逆袭,1
1635,无语 逆袭 考上 研究生 遭受 网爆 真的 造谣 诋毁 不用 负责,1
1636,气死 人家 就是 本事,1
1637,相信 官方 调查 不要 随意 造谣 传谣 网络 不是 某些 肆意 揣测 污蔑 他人 工具,1
1638,迷梦 蓝海 新闻 心梗 真是 不得 别人 他们,1
1639,本科 能发 SCI 绝对 天时地利人和 缺一不可,1
1640,学校 公平 学生 普通 要么 如果 读研 本科 三六九等 那么 还要 统考 干嘛 内部 调剂 大学生 更上一层楼 念头 省心 省力 就业 院校 教育 起点 哪里,1
1641,SCI 影响 因子 大神 需要 考研 博士 毕业 北京 协和 眼光,1
1642,同学 上岸 快乐,0
1643,黑幕 绝对,1
1644,这个 网络 还有 造谣 网暴,1
1645,中国 小学生 可以 发表 SCI 一切 可能,1
1646,华科 初试 第一 搜看,1
1647,造谣 人家 领导 孩子 sci 缺德,1
1648,就是 擅长 表达 复试 这么 感觉 初试 那么 努力 毫无意义,1
1649,实事求是 彻底 打破 分数 协和 加油,1
1650,我们 视频,1
1651,协和 专业 程度 还有 怀疑 造假,1
1652,逆风 翻盘 某些 自己 一辈子 没有 能力 质疑 世界 所有,1
1653,承认 人家 优秀 没有 很难,1
1654,真的 造谣 张嘴 辟谣 跑断腿,1
1655,理智 吃瓜 网暴 可怕,1
1656,复试 逆袭 造谣,1
1657,两个 优秀 选择 运气 罢了,1
1658,感谢 监督 欢迎 报考,1
1659,面试 确实,1
1660,协和 招生 程序 没有 问题 的确 体现 老师 偏向 希望 同学 不要 舆论 影响 顺利 入学,1
1661,所以 跟风 造谣 人家 处长 父亲 现在 那里,1
1662,医学院 不止 一家 面试 视频 网上 大家 知道,1
1663,腊梅 同学 陈鑫 面试 复试 笔试 还是 一分 翻盘 一点 傻子,1
1664,同学 前程似锦,1
1665,sci 调剂 要是 同学会 委屈 各种 网友 以讹传讹 这么久 复试 问题 到此为止 同学 赶快 分高 走掉 只能 运气 不好 碰上 手握 大佬,1
1666,读过 医学类 研究生 成绩 代表 sci 英语 翻译 软件 不是 打脸 人才 知道 初试 只是 可以 读研 科研 能力 还有 相提并论 无知 少年 现在 这么 考试 不会 重要 必需品 没有 不要 评论 办法 沟通 浪费时间,1
1667,医学生 老师 喜欢 重要 面试 复试 笔试 分高逆袭 其实 不止 一个,1
1668,加油 陈鑫,1
1669,复试 成绩 评判 标准 有没有 明细 是否 性别 有关 只是 好奇,1
1670,sci 厉害,1
1671,真无语 造谣 怎么 初试 代表 一切,1
1672,导师 本科 手里 sci 复试 怎么 而且 考研 可以 提前 联系 看到 科研 那么 面试 肯定 高得 差不多 就是 过线,1
1673,复试 笔试 分数 真的 知道 面试 成绩 发生 什么,1
1674,学校 扩招 一个多 两位 优秀,1
1675,有人 总以为 自己 同学 考研 五百多 考试 第一 面试 时说 没发 论文 科研项目 直接 否定 时候 知道 科研 重要,1
1676,协和 真的 公平,1
1677,其实 闹到 现在 可以 两个 破格 一下 格局 打开,1
1678,这样 事情 发生 想必 多少 影响 之后 各个 学校 复试 评分,1
1679,所以 为什么 造谣 复试 准备 确实 正常 本来 多少,1
1680,科研 真是 面试 逆袭 成功 励志 故事 关键 确实 苗子 停止 造谣 关注 学术 另外 协和 真的 很刚 未来 学府 姿态,1
1681,笔试 面试 分高 就是 第一名 人家 分低 打个 比喻 第二名 然后 折合 百分制 什么 不能 理解 但凡 多读 点书 至于,1
1682,OV,1
1683,按照 道理 奇怪 这么 圣人 他们 设置 什么 复试 直接 初始 分数 录取 本来 这个 考试 就是 两个 部分 考驾照 一样 笔试 上路 撞树 拿到 驾照 不是 一个 怎么 那么 可能,1
1684,造谣 必须 道歉,1
1685,造谣 不能 起来,1
1686,陈鑫 加油,1
1687,没用 估计 那边 受不了,1
1688,只招 一个 说到底 就是 导师 不要 黑幕 分数 结果 服务,1
1689,如果 协和 陈鑫 手握 这样 SCI 明知 自己 笔试 太行 情况 不会 报只 招人 就算 医学 报名 人少 分进 复试 可能性 约等于 彩票 发挥 论文 优势 可以 其他 顶级 学校 名额 专业 保证 面试 再说 声明 一个 不信 不是 济宁 医学院 领导 我信 层级 绝对 不够,1
1690,造谣 出来 道歉,1
1691,希望 大家 可以 逆风 翻盘 成功 上岸,1
1692,一个 造谣 你们 优秀 承认 很难 但是 简单 清楚 事实真相 妄自 揣度 然后 伤害 再说 人家 这个 能力 怎么 没有 嫉妒 本事 逆袭 无知 不是 随意 理由,1
1693,两位 优秀,1
1694,同学 也好 可怜 而且 综合 成绩 下来 差一点 好久 不会 遇到 特例 学校 申请 一个 名额 两个 行嘛,1
1695,面试 所以 重要 笔试 成绩 没有 就是 本科 论文 录取 毛病,1
1696,优秀 这么 不信 考试 容易 事情 别人 哪里 面试 成绩 过大 交易 空间 同时 堵死 下层 上升 通道 这才 最大 问题,1
1697,其实 复试 找人 这种 事挺 常见 真的 这个 关系 社会,1
1698,初试 权重 太低 导致 复试 操作 空间 太大 所在 学校 总成绩 笔试 面试 不乘 比例 系数,1
1699,恭喜 逆袭,0
1700,觉得 一定 初试 进入 这种 事情 正常 分数 优秀 只是 老师 视线 复试 所有人 一个 起跑线 要是 分高 录取 死读书 国家 需要 应用 现实 技术 不是 只会用 考试 读书 现在 社会 有人 自己 受到 不公 对不起 这个 世界 没有 绝对 公平,1
1701,iohaewi 闹大 调查,1
1702,ShawnHa,1
1703,这个 声明 太好了,1
1704,面试 一个 玄学,1
1705,说明 看出 同学 面试 逆袭 考上 研究生 而且 本科 院校 辟谣 父母 就是 普通农民 造谣 是不是 出来 道歉,1
1706,努力 别人 发了 只想 做文章 真的 容易 不要 因为 SCI 否定 背后 心酸 知道 代表 能发 恭喜 同学 研究生 上岸,0
1707,觉得 很多 质疑 切入点 没选 阴谋 论点 怀疑 是否 校方 看中 那篇 SCI 所以 面试 阶段 故意 压分,1
1708,男生 面试 肯定 偏袒 还用说 老师 一看 哎呀 赶紧 男同学 多点,1
1709,面试 很大 可能 时候 了解 学生 科研 能力 很强 决定 这个 然后 分数,1
1710,官方 出来 说话 有些 事情 还是 不要 无端 猜测 两个 学生 优秀,1
1711,面试 那位 肯定 太差 一直 觉得 才能 看出 水平 恭喜 这位 同学 不要 阴谋论,1
1712,SixFetUnderhosoek 亚比 就是 最棒,1
1713,恭喜 上岸 造谣 传谣 这辈子 不了 劲儿,0
1714,造谣 不过 今晚,1
1715,一个 喷子 精有 这时候,1
1716,专业 以后 英语 仔细 看咯 如果 没有 问题 老师 坚定 的确 希望 走进 协和 学好 走向世界 做个 医生,1
1717,谣言止于 智者 仁者见仁 智者见智 时间 证明 一切,1
1718,基本 骂人 造谣 考过 研究生 每年 初试 高分 选手 多少 统计 知不知道 很多 最后 收留 地方 没有,1
1719,天赋 还是 相信 努力 大于 因为 很多 事情 竞争 压根 达到 需要 地步,1
1720,成绩 大家 第一名 好像 自己 似乎 笔试 复试 不算 一定 先来后到 你们 第一次 考试 第二次 第三次 永远 什么 时候 排名 第二 不能 逆袭,1
1721,作为 济医 学长 恭喜 陈鑫 学弟,1
1722,第一 第二 初试 分数 这么 没人 报名,1
1723,尊重 希望 一个 努力 看见 得到 分和分 同样 值得,1
1724,夕阳 进星里 大概 就是 面试 大佬,1
1725,造谣 陈鑫 可以 的话 那些 不要 负责,1
1726,相信 公正 提出 质疑 大家 同学 大多数 网友 关注 一方面 可以 必要 搞些 阴谋论 问题 能够 消除 对逆袭 不是 承认 那位 优秀 只是 了解 事情 全貌 渴望,1
1727,重要性 全面 发展 面试,1
1728,这个 算法,1
1729,人家 发了 sci 允许 英语 时候 状态 或者 不想 仔细 卷子,1
1730,同学 太牛 成功 逆袭,1
1731,腊梅 同学 当然 所有人 愿意 逆风 翻盘 戏码 只是 后浪 沙滩 没书读 罢了 伤口 除了 自己 家人 需要 消化 招来 更加 无法 承受 舆情 加油 调剂 或者 再战 就要 这个 世界 到底,1
1732,网友 初衷 真的 一位 同学 打抱不平,1
1733,学硕 理解 专硕 倾向 一样 如果 可能 需要 明多 名额 可以 解决,1
1734,公平 一轮 研究生 面试 笔试 重要 无可厚非 初试 成绩 总分 体现 筛选 就是 一条 起跑线 越来越 院校 博士 招生 权力 博导 手里 怎么办,1
1735,想当年 考研 有个 四百多 大姐 复试 事儿 稀奇 感觉 别有用心 节奏 值得 查一查,1
1736,面试 视频 公布,1
1737,招生 从来 没有 腐败,1
1738,不行 行不行,1
1739,复试 初试 同样 巨大 差距 肯定 本来 考研 当中 重要 部分 可以 转换 过后 剩分 招得 可能 基本上 分高 招得少 重中之重 高分 真的 觉得 区别 老师 选个 合适,1
1740,一把,1
1741,北京 协和 医学院 研招处 声明 上去,1
1742,造谣 不能 起来,1
1743,逆袭 渴望 不得 别人,1
1744,能力 有些 同学 确实 笔试 很强 复试 时候 综合 每年 初试 分数 刷下来 自己 问题 哪里 不是 上来 就是 阴谋论,1
1745,网暴者 应当 付出代价 造谣生事 侵犯 别人 隐私 违法行为 应予 严惩,1
1746,第一名 笔试 能力 真的 好强 肯定 付出 很多 有点 心疼 第二名 sci 确实 亮眼 两位 优秀 希望 不要 负面 言论 影响 金子 总会 发光,1
1747,希望 凭良心说 话别 弄虚作假 就行,1
1748,面试 第一 水太深,1
1749,北京 协和 医学院 研招处 声明,1
1750,真假,1
1751,呵敢 发出 你们,1
1752,没有 只是 证明 你们 选择 程序 但是 网民 想要 应该 实质 公平 其实质 公正 确实 不到,1
1753,但是 吃亏 面试 了解 情况 换算 方式 确实 初试 复试 这是 公平 因为 大家 提前 知道 如果 感觉 自己 表达能力 估计 一些 早要 一点 比如,1
1754,一个 考研 努力 值得 尊重 看见 一些 居心叵测 道歉,1
1755,为什么 承认 人家 优秀 难道 面试 逆袭 一定 问题 可是 协和,1
1756,明显 刻意 压低 或者 提高 面试 成绩 比过 各种 交易 空间 堵死 下层 民众 上升 渠道,1
1757,知识 单篇 分多 SCI 非常,1
1758,酸鸡 真多,1
1759,不行 有些 自己 水平 怀疑 别人 心理 阴暗,1
1760,面试 笔试 成绩 一位 同事 公务员 考试 那年 考场 老乡 赶超 岗位 第三名 十几分 真的 完全 可能 虽然 无法 理解 老公 进面 分数 估计 考了 六七年 考上,1
1761,分数 应该 推演 最后 打出 面试,1
1762,不必 担心 调剂 学校,1
1763,uncensoredzone,1
1764,sumer 白色 风车,1
1765,成绩 复试 初试 笔试 明眼人 看得出来 差于 对方 带有 主观 成份 分数 非常低 不足以 说明 问题 一个 不差 面试 那么,1
1766,真的 知道 一篇 影响 因子 SCI 代表 什么 可不是 光靠 努力 可以 出来 而且 好像 看不懂 复试 比开 折算,1
1767,名州寿亭,1
1768,面试 离谱 笔试 一个 打赢 一波 扳平 反正 不信 随便 怎么,1
1769,初试 英语 影响 看来 确实 逆袭 就算 没考 不能 人家 复试 外语 听说 表现 阅读 作文 直接 语言表达 能力 现在 真是 阴谋论 太多,1
1770,复试 面试 成绩 是不是 差太多 那么 一点 不合理 上下 几分 接受 出来 十几分,1
1771,这位 同学 sci 实验 厉害 本科 可以 这么 论文 我们 老师 研究生 阶段 重要 就是 研究 精神 的确 不过 以后 毕业论文 担忧,1
1772,一群 傻子 气死,1
1773,绝对 需要 脑子 出来 实验 团队,1
1774,恭喜 同学 加油 麻烦 那些 造谣生事 自己 打脸,0
1775,技不如人 甘拜下风 自认倒霉 完事,1
1776,初试 什么 面试 可以 十几分 如果 那么 没用 直接 点招,1
1777,狠地慕 本科 sci 现在 硕士 毕业 只求 能发 一个 北大 核心,1
1778,造谣 道歉 人家 学子 辛苦 逆袭,1
1779,肯定 这个 觉得 自己 认真 复试,1
1780,结果 出来 遭遇 网暴 受伤 不能 弥补 这场 狂欢 没有 赢家,1
1781,公平竞争 什么 网暴 人家,1
1782,觉得 可以 面试 视频 之类,1
1783,人家 就是 逆袭 本人 医学生 非常 体会 造谣 该死,1
1784,初试 复试 一半 感觉 不太 合理,1
1785,调剂 别的 专业 考研 那会 初试 第七名 一个 男生 一样 分数 并列 第七 复试 之后 第四 没考上 我们 学校 落榜 可以 院内,1
1786,中间 断档 严重 之间 没有 学生,1
1787,恭喜 同学 值得 前程似锦,0
1788,为什么 不能 接受 别人 优秀,1
1789,一个萝卜一个坑 先有 萝卜,1
1790,上岸 恭喜 同学 两位 优秀 希望 不要 无关紧要 一些 乌烟瘴气 东西 扰乱 开心 心情,0
1791,面试 成绩,1
1792,保研 sci 要是 学校 名额 说不定 还少 这种 直接 保送 祝贺 上岸,1
1793,优秀 看客 要求 很多 承认 别人 很难 本科 期间 发表 一篇 一作 影响 因子 多分 sci 已经 十分,1
1794,复试 一句 如果 允许 逆袭 那要 干嘛 直接 初试 成绩,1
1795,小火柴,1
1796,复试 逆袭 正常 事情 每年 每所 学校 每个 专业 还有 多分 觉得 自己 然后 不好 准备 结果 合格 pas 明白 这个 怎么,1
1797,陈鑫 同学 很棒,0
1798,应该 面试 这么 研究生 考试 多比 硬考 支持 这种 现象 长此以往 普遍 开来,1
1799,一帮 酸批,1
1800,政策 不是 前不久 声明 不以 研究生 论文 衡量 为准 可以 公布 面试 提问 环节 视频,1
1801,个人感觉 一般 绝对 这种 顶级 名校 还是 比较 公平 而且 就算 黑幕 一个 分差 不大 学生 不是 容易 一些 何必 碰瓷,1
1802,希望 两位 考生 尽可能少 收到 此次 网络 事件 带来 伤害 以后 精彩 人生,1
1803,我们 恭喜 同学 上岸,0
1804,调查 那么 这么 容易 节奏 应该 小学生 多分 大逆袭 知道 这五 十分 多难 希望 更高 一级 调查组 此事 为啥 专业 面试 单纯 太聊,1
1805,五百 换算 百分制,1
1806,真想 服众 第三方 核查,1
1807,的确 笔试 成绩 但是 面试 漏洞 存在 感觉 近些年 造谣 出来 越来越 还是 不信谣 传谣,1
1808,身体 倍儿 爵爷,1
1809,一群 杠精,1
1810,同学 维护 名誉 造谣 辱骂 负责,1
1811,觉得 其实 第一 医学院 复试 两个 差分 离谱 虽然 离奇 但是 确实 应该 这样 国家 研究生 才能 更好 减少 客观因素,1
1812,那些 网暴 怎么 道歉,1
1813,谣言 不要 扩散 辟谣 确实 就是 通过 面试 逆袭 清楚,1
1814,可以 质疑 但是 不能 造谣 抹黑,1
1815,震惊 但是 就是 优秀 而且 正好 真的 翻盘,1
1816,网暴 没有 成本,1
1817,你们 一个 还是 太饱,1
1818,当时 这样 正常,1
1819,承认 更加 优秀,1
1820,imOK 干净 上岸,1
1821,KevinChenrant,1
1822,一个打 直接 复试 能分 就是 撕破脸 人家,1
1823,逆风 翻盘 什么 最酷,1
1824,感谢 这热 放下 方剂 小时 番茄红素 文献 来自 微博 学术 灵感,1
1825,有些 网友 胡搅蛮缠,1
1826,五开 复试 比例 逆袭 正常 每年 高分 例子 可太多,1
1827,恭喜,0
1828,陈鑫 同学 前程似锦 一位 辛勤 付出 学子 回报,1
1829,北京 协和 医学院 毛病 提醒 一下 评论 区年 舔着 脸说 彭启立 没有 假装 单身 诱骗 女性 患者,1
1830,这个 一个 专业 觉得 这种 招生 只招 大家 还是 不要 考了 正如 雪峰 老师 绝对 人会 然后 身份证号 不行,1
1831,自己 学校 研招 处查 学院 真是,1
1832,关系 质疑 研究生 肯定 sci 导师 喜欢 那些 保送 还要 考试 笑掉大牙,1
1833,面试 分差,1
1834,面试 成绩 太低 拉开 所以 淘汰 可惜 名额 只有 一个,1
1835,的话 科研 五开 所谓 初试 超分 其实 折算 出来 只有 应该 真的 实力 经历 看起来 第一名 面试 环节 表现 不太好 学硕 逻辑思维 能力 确实 什么 分数 重要,1
1836,不算 现在,1
1837,不行 别怪 不平,1
1838,成绩 复试 折算 好多 明白 协和 算分 方式 初试 相差 最后 最终 差分 总成绩 也就是说 只要 多分 轻松 逆袭,1
1839,恭喜 同学 上岸,0
1840,欢迎 同学,1
1841,有些 阴谋论 实力 讳莫如深,1
1842,视频 一群 人要 公布 能看懂 似的 再说 复试 机密 什么 资格,1
1843,宇宙 尽头 SCI 这篇 文献 睡觉,1
1844,面试 考研 本来 不是 笔试 成绩 综合 素质 重要 如果 发挥 不好 直接 结果 就是 学校 不想 录取 所以 分数 因为 没有 老师 自己 找麻烦,1
1845,真的 太帅 协和,1
1846,保研 学校 名额 一篇 sci 足够 所以 面试 成绩 不妥 恭喜 上岸 希望 另外 一名 同学 调剂,0
1847,相信 协和 有理有据,1
1848,医学院 好像 济宁 教务处 左右 协和 一样,1
1849,面试 成绩 有点 不合理,1
1850,面试 逆袭 什么 就是 违规 大惊小怪 成绩单 眼缘 本来 奇妙 东西 当然 真是,1
1851,承认 别人 优秀 这么 这样 录取 笔试 第一 人品 问题,1
1852,努力 容易 同学 没有 任何 事情 放到 微博上 产生 一点 就是 失焦 今天 晚上 有些 内容 发布 只是 为了 证明 走后门 评论 区往 变成 否定 一个 这种 节奏 具有 情绪 煽动力,1
1853,,1
1854,评论 几个 医学生,1
1855,面试 真香,1
1856,知道 初试 但是 虽然 复试 不在乎 分数 怎么 折算 影响 因子 分是 玩意 肯定 黑幕 即使 没考 过研 就是,1
1857,面试 专家 独立 评分,1
1858,优秀,1
1859,lZJ,1
1860,就是说 面试 录音 公开 完事 厉害 大家 自行 评判,1
1861,复试 情况 什么 事情 可能 发生 医学生 更是 注重 实践经验,1
1862,一个 别人 网暴 伤害 很大 觉得 道歉 缺点 不能 逆袭 还有 承认 努力 优秀 很难,1
1863,复试 自己 专业 重视 AestheticimS 本来 正常 考过 研的 不少 遇到 这种 情况 愿意 直面 不足 罢了 近年来 学校 越来越 对于 专业知识 了解 进入 科研 应该 反思 是不是 觉得 初试 优势 因而 掉以轻心 特别 协和 这么 地方,1
1864,lmalonf,1
1865,看来 微博 没考 过研,1
1866,欢迎 陈鑫 师弟,1
1867,所以 为什么 造谣 父亲 教务处 主任,1
1868,顿断 快逃,1
1869,难道 知道 sci 可以 挂名,1
1870,复试 逆袭 不是 可能,1
1871,反正 觉得 离谱 初试 那么 无足轻重,1
1872,小舟 在野,1
1873,解释 清楚 就此,1
1874,拒绝 一个 SCI,1
1875,吃恩 chen 连续 反转,1
1876,所以 那些 造谣 人能 不能 滚出来 道歉,1
