评论内容,fenci
非常好哦值得推荐,值得 推荐
很好，经常来住,来住
店家人很好哦,店家
服务很不错,不错
环境太棒了,环境
网红店铺，这个价格也就这样啦，卫生不太好，我晚上22:00到，前台没有人，直接房卡放在吧台自取，房间投影仪遥控器坏掉没有提前告知。因为民宿在深巷里，单身女生如果来住，不害怕走夜路的可以。房间卫生状况一般，地砖地板还有头发。浴室墙角也没有很干净，满是污渍，一分价钱一分货。体验感不太好。唯一就是在潮宗街里面，出去逛比较方便。,网红 店铺 价格 卫生 不太好 前台 房卡 放在 吧台 自取 房间 投影仪 遥控器 坏掉 提前 告知 民宿 单身 女生 来住 害怕 夜路 房间 卫生状况 地砖 地板 头发 浴室 墙角 干净 污渍 价钱 一分货 体验 不太好 宗街
最近旅行感受到的善意太多了 所以打算好好写个点评由于丢三落四，我们还没有办理入住就麻烦老板帮忙收了之前酒店落下的东西，小哥哥超级爽快入住当天因为没有电梯，行李都是小哥哥亲自帮忙搬上去的。所以感觉说是民宿，但每日打扫和前台服务确实很像酒店待遇啊！入住之后还会贴心的给我们游客发送旅游小吃攻略和外卖地址（准的很贴心了）房间也很不错，设计是一流的！ 难怪有那么多明星打卡拍照。房间里洗护用品都是欧舒丹的， 投影流明和音响效果也是我见过最好的️环境挺安逸的，没事在客厅坐着也不会有太多人～客厅还有一只超级漂亮的布偶可以～总之！空空是一个不错的选择呐！,感受 善意 打算 点评 办理 入住 麻烦 老板 帮忙 酒店 落下 爽快 入住 电梯 行李 帮忙 搬上去 感觉 民宿 打扫 前台 确实 酒店 待遇 入住 贴心 游客 发送 小吃 攻略 外卖 地址 贴心 房间 不错 一流 打卡 拍照 房间 洗护 用品 投影 流明 音响效果 环境 没事 客厅 客厅 漂亮 布偶 空空 不错 选择
超级好看的民宿，入住的时候才知道白敬亭也去打过卡，服务也很好，前台“小表弟”帮忙把箱子拿上去，还发了入住须知，都很贴心～～～快去疯狂拍拍拍！,好看 民宿 入住 前台 小表弟 帮忙 箱子 拿上去 还发 入住 贴心 疯狂 拍拍
找到一家满意的民宿真的不容易，好的民宿真的给枯燥的旅途增色不少，不像冷冰冰的酒店，空空的环境和店员真的很热情，像是在异地的另一个家一样，玩累了在小院或者房间休憩一会儿也别有一番滋味！基础的设施以及卫生条件也是深入我心！无可挑剔~,找到 满意 民宿 民宿 枯燥 旅途 增色 酒店 空空 环境 店员 热情 像是 异地 玩累 小院 房间 休憩 一番滋味 基础 设施 卫生条件 我心
房间很干净，环境很好，风格也很好，非常喜欢 周边打卡点都很近，地铁，打车都很方便，下次来长沙，还住这里,房间 干净 环境 风格 喜欢 打卡 地铁 打车
民宿位于潮宗街，拍照能出很多好的地方，当然民宿也是拍照的好地方。那棵树和楼梯很有感觉。酒店很安静，床也很舒服。,民宿 位于 拍照 能出 地方 民宿 拍照 地方 楼梯 感觉 酒店 舒服
房间干净宽敞舒适，民宿的小伙伴也非常热情，还会推荐朋友过来,房间 干净 宽敞 舒适 民宿 小伙伴 热情 推荐 朋友
在网上选了很久，最后选择了空空客厅，住宿体验感非常不错，酒店小伙伴们也非常热情，卫生条件也很过关,选择 空空 客厅 住宿 体验 不错 酒店 小伙伴 热情 卫生条件 过关
环境不错，院子里有棵大树风景很好，地理位置也不错，去五一广场橘子洲岳麓山什么的都很近，很满意，下次需要还会选择这里,环境 不错 院子 大树 风景 地理位置 不错 满意 选择
很满意的一次旅程，很满意的酒店。很有设计感，前台小哥哥也非常热心服务到位。卫生条件也是非常不错，还有很多明星打卡过,满意 旅程 满意 酒店 前台 服务到位 卫生条件 不错 打卡
和朋友出来玩随便选的民宿，居然非常惊喜。房间很有设计感，卫生也很到位，下次有机会还会过来,朋友 民宿 惊喜 房间 卫生 到位 机会
环境是我喜欢的奶油风，房间安全，前台小哥哥超热情，推荐,环境 喜欢 奶油 房间 前台 热情 推荐
入住体验很好，前台也非常热情，下次还会来住。还有只可爱小布偶,入住 体验 前台 热情 可爱 布偶
除了一开始有点难找，找到后其实都合心意，对了前台小哥哥帅气,找到 心意 前台 帅气
服务不错，入住前前台小哥哥很贴心问我们地方是否好找，在老街区里边，环境非常好，还有特别好吃的米粉，有很多创意店适合逛逛～民宿内部装潢简约，和宣传照一样，是老房子改的；房间更加简约，挺干净，房间比较小，不过也够住了，洗漱用品是欧舒丹,不错 入住 前台 贴心 地方 好找 老街区 环境 好吃 创意 适合 逛逛 民宿 装潢 老房子 房间 干净 房间 洗漱 用品
环境超级棒，就在潮宗街里面，旁边还有个下午茶咖啡厅，拍照超好看又很安静，非常不错。房间也是很干净，定的房间有投影仪，晚上看个电影啥的超，下次还来住！,环境 宗街 下午茶 咖啡厅 拍照 好看 不错 房间 干净 房间 投影仪 电影
房间很干净，水温也很稳定，没有异味，床很舒服，酒店很漂亮，和小红书上面的图片没大差别，来这里拍照的人很多，老板人不错，主要是有一只小猫咪，特别可爱,房间 干净 水温 稳定 异味 舒服 酒店 很漂亮 图片 拍照 老板 不错 可爱
房间干净卫生 卫浴 投屏都不错 环境超温馨 小院优雅安静 咖啡也超好喝的哟,房间 干净 卫生 投屏 不错 环境 小院 优雅 咖啡 好喝
和图片没有差别，每天玩得累累的回到酒店主打就是一个舒适！,图片 回到 酒店 主打 舒适
很棒，下次还会来，不论服务还是卫生都很到位，如果不热走路可以去橘子洲。,很棒 卫生 到位 走路
超级漂亮的房间和环境！很出片，服务态度也好好！,漂亮 房间 环境 服务态度
房间布置温馨，灯光柔和，干净整洁，感受非常好！,房间 布置 灯光 柔和 干净 整洁 感受
厕所干湿没有分离，其他都没有问题,厕所 干湿 分离
前台的小哥哥小姐姐态度都很好，房间很赞,前台 态度 房间
房间很干净，装修的也很好哦，,房间 干净 装修
住的很舒服，小哥哥人很好,舒服
入住很开心。下次回继续,入住 开心
没有照片美，,照片
独自一人来长沙旅行，三晚住蜗牛院子，一共住了三房型，很惊喜... 可以看出店家是很懂生活情趣的细节控，安静的小院，舒适度满分的床...颜值在线的床品... 重工的木质家具。而且小院很安全，就在朝宗街消防局旁边，以及距离20的茶颜... 。房间很干净...打扫的阿姨也很亲切... 这里地理位置非常优越 距离五一广场商圈步行即可，四通八达，距离地铁站也很近，长沙很好，蜗牛院子也很棒，下次一定会再来,蜗牛 院子 房型 惊喜 店家 情趣 细节 小院 舒适度 颜值 床品 木质 家具 小院 消防局 距离 房间 干净 打扫 亲切 地理位置 优越 距离 商圈 步行 距离 地铁站 蜗牛 院子 很棒
很温馨的一家民宿 设施完善 很多小细节特别到位 床垫很舒服 床单被单也很亲肤 喜欢的家居风格 很有家的感觉 有个小院子 不拥挤 闹中取静住得很惬意 老板人很好 入住送拿铁和美式 很好喝,民宿 设施 完善 细节 到位 床垫 舒服 床单 被单 亲肤 喜欢 家居 风格 感觉 院子 拥挤 惬意 老板 入住 美式 好喝
出行很方便位置很好，睡了一晚没有吵闹声，闹中取静的位置，停车场旁边就是客栈，出来就有茶颜，吃饭喝咖啡的都有，门口路上的杀猪粉不错 不得不说床品非常舒服 我们住三楼有平台，要是植物再多点就完美了。房间干净整洁，客栈的咖啡也不错,出行 位置 吵闹声 位置 停车场 客栈 吃饭 杀猪 不错 床品 舒服 平台 植物 完美 房间 干净 整洁 客栈 咖啡 不错
喜欢蜗牛院子原因有三：      首先，亲切 。“蜗牛”是曾用昵称，因为总是慢悠悠（比如一个月以后的这条评论） 。推开叮叮当当的木门，小小狗子汪汪大声呐喊欢迎，随后帅哥哥招呼我到咖啡店，前台被巧妙地收纳到操作台里，当时漂亮老板在教小哥深烘豆的冲泡细节，院子的快乐从第一口咖啡开始蔓延开来。       第二，用心。每一间房都有属于自己的名字，根据户型作不同的布置，细节控表现在每一处。比如她会花一下午纠结店里某角落的罗汉床要不要换成高低柜，她换了，又想换回去了…哈哈哈此处应有掌（）声。       第三，自在。像回宿舍，晚归走后门回悄咪咪上楼。我住的房间甚至可以从窗户进，不合适不要学。舒适，品质品味审美极其舒服。       非要挑毛病的话，淋浴间水外溢，楼梯间木头处有一丢丢异味，隔壁栋装修开工太早，但，地段环境价格全五星，毕竟老板是开咖啡店的顺带做个民宿，还做得如此优秀。       五月微凉的初夏，潮宗街隔离了喧嚣，晚上的蜗牛院子愈发安静，适合旅途中慢下来过一天日子，不当特种兵，就喝杯咖啡嗦个粉聊个天。临走赶时间拎着大帅哥麻溜儿完成的外带冰美式，无比感动。        最后很抱歉户外圆桌的污渍给大家添麻烦了，的确是油污不是胶水哈哈哈,喜欢 蜗牛 院子 原因 亲切 蜗牛 昵称 评论 推开 木门 呐喊 招呼 咖啡店 前台 巧妙 收纳 漂亮 老板 小哥 冲泡 细节 院子 快乐 咖啡 蔓延 开来 用心 名字 户型 布置 细节 表现 纠结 店里 角落 换成 高低柜 换回去 应有 宿舍 晚归 走后门 房间 窗户 合适 舒适 品质 品味 舒服 挑毛病 淋浴间 外溢 楼梯间 木头 处有 异味 装修 开工 地段 环境 价格 老板 咖啡店 顺带 民宿 优秀 微凉 隔离 喧嚣 蜗牛 院子 适合 旅途 日子 特种兵 喝杯 咖啡 临走 外带 美式 无比 感动 抱歉 圆桌 污渍 油污 胶水
​好爱这家蜗牛院子​这巷子里密密麻麻的房子很像高中在师大画画时那一片的味道​我猜这个老板应该也是个画画的​不然怎么能把这里做到如此的合心意​连院子里的大丽花都像开在了心窝子上​长沙的变化是翻天覆地的​南站的地铁三十分钟居然能穿越读书时候呆过的几个校区​那时候坐着公交车慢慢摇是多么的遥远​当年的河西破破烂烂 如今自成新城​湘江大道晚上已经灯火通明俨然不夜城​潮宗街上却可以踩着青石板路走个岁月漫长​早上可以踢踏着拖鞋下去嗦一碗米粉​也可以端着电脑到咖啡厅跟老板聊聊天​难怪这里会成为网红城市,蜗牛 院子 巷子 房子 画画 味道 老板 画画 心意 院子 开在 心窝子 地铁 穿越 读书 校区 公交车 遥远 自成 大道 灯火通明 俨然 青石板路 漫长 踢踏 拖鞋 电脑 咖啡厅 老板 网红
感受得到民宿老板蛮有想法。 全屋实木家具，中古的调调，床品和备品也都很有品质，连沐浴露的香味都很好闻。一楼就是咖啡馆，闲来没事坐在那里很舒服，也很适合和朋友聊天。 出门就是潮宗街，很有特色的改造街区，吃喝玩乐都有，而且没什么网红打卡，坐在街口吹个风都很惬意。 推荐入住。,感受 民宿 老板 想法 全屋 木家具 调调 床品 备品 品质 香味 好闻 一楼 咖啡馆 没事 坐在 舒服 适合 朋友 出门 特色 改造 网红 打卡 坐在 惬意 推荐 入住
可以说很惊喜啦！非常好的环境和格调，还有咖啡送！觉对超值！五星好评妥妥的！下次有机会来长沙还是要住在这里,惊喜 环境 格调 咖啡 觉对 超值 好评 妥妥 机会 要住
非常漂亮的民宿酒店！房间住的很舒服，楼下的公共区域也很出片。酒店附近有很多有趣的小店，地理位置去哪里都很近！有,漂亮 民宿 酒店 房间 舒服 区域 酒店 有趣 小店 地理位置
嘿嘿，一次很不错的民宿体验，房间设施用的都是质量比较好的产品，用的很放心 风格也是我很喜欢的复古风 下次来长沙还想住这里！,不错 民宿 体验 房间 设施 质量 产品 放心 风格 喜欢 想住
第一次遇到，好像是我乱闯进别人的院子，不是我去给钱消费的，进去没人搭理你，说办入住，一来就让你给房间原价的押金，现在酒店都很少要求押金，很惊讶但是也遵守规则，说是离店原路退回，带你办入住，老板说了不下三次要安静，我们也遵守规则，十二点不到提醒我们退房，我们也遵守规则，可是你们呢，办理离店手续迟迟不对押金，微信询问不回复，一句话，你在忙呀，真的是好笑，不想做民宿干脆不要开了，做服务行业多累呀，你们还要约束别人,好像 闯进 院子 给钱 搭理 说办 入住 就让 房间 原价 押金 酒店 押金 惊讶 离店 原路 退回 入住 老板 不到 提醒 退房 办理 离店 手续 押金 询问 回复 好笑 不想 民宿 服务行业
民宿很棒，咖啡好喝，房间里的软硬件都很好,民宿 很棒 咖啡 好喝 房间
先说优点，房间家具硬件包括一楼咖啡厅其实都还好，看得出不是随意糊弄是认真投资做民宿的。但是，服务就是没有服务可言，也是第一次住民宿，收到冷冷的一长串警告，其实也没什么，算是提醒。但是店家自己提醒别人勿喧哗！自己组团打麻将到凌晨1-2点是不是就有点过分了。说实话订的价格不便宜，有一种爱住不住，你按我的规矩来，我的规矩我说了算的感觉。长沙这座曾经读了四年书工作后早起惦记着回来的地方，令人失望。,优点 房间 家具 硬件 包括 一楼 咖啡厅 还好 看得出 糊弄 民宿 可言 民宿 收到 一长串 警告 算是 提醒 店家 提醒 喧哗 组团 打麻将 过分 价格 便宜 不住 规矩 规矩 感觉 早起 惦记着 回来 地方 失望
环境设施很舒服，温馨，外面还有个院子，感觉很适合情侣晚上小酌，应该也会很浪漫。,环境 设施 舒服 院子 感觉 适合 情侣 浪漫
意外的好，长沙以后只住这里！！！,意外
美式咖啡:很好，很不错,美式 咖啡 不错
比较安静，风格独特,风格 独特
我们在6下午三点十六分的时候在携程当场下单并入住了这间民宿，上楼之后大概十分钟以内我们觉得房间不满意就下来与店家协商退房。店家表示因为我们已经入住了，没有证据显示我们没有弄脏房间内的东西，他们需要清洁，我也表示理解，愿意出违约金补偿，出清洁费用100并且表示可以帮他们打扫干净，我一直秉持着友好协商的态度去和女店家协商沟通，但是女店家态度强硬，阴阳怪气，并且说出“你们真搞笑”等带有攻击性的话语，让作为入住的客人没有感受到被尊重，身为客人我们没有说店家的一句不是，但是女店家却对客人妄言置评。试问，经历了店家这样子的恶劣的服务态度还如何在这里安然住下呢？如果店家一直是友好协商的态度并且不对我们进行人身攻击，那我能接受退不了房的事实。在这种情况下，我就直接问店家要怎样可以退房，女店家说我们需要赔偿300元，当天的房费也就318元（包含如果给予好评会返现100），当我对这个赔偿金不满意时，我知道长沙民宿的清洁费用大概就是60-80，女店家表示他们两个人的人工费就是这么贵，需要300。我有在平台上看到他们有挂出钟点房4个小时220元的价格，但是女店家一脸别像表示你去试试看你定不定的到。我们还是坚持退房，并缴纳了300元。我们与店家尝试沟通未果，她拒绝沟通，并让我们来找携程与她交涉。我们找了携程客服，客服表示从入住到退房40分钟左右收取300元确实太贵了，也对我的经历表示抱歉，携程补偿了60元，店家没有任何形式的道歉和补偿。蜗牛院子在长沙也有几家店，民宿环境很重要，服务口碑同时也很重要。蜗牛院子在潮宗街闹中取静，我也是看到了小红书后前来的。我就把最真实的经历分享给大家，入住一间民宿一定要先看差评，我在看了这家民宿的过往评论以后，发现店家与另外给予差评的两个人客人也发生了争执，并且言语透露出来的都是不尊重与怼人。我相信这不应该是一个民宿的服务人员应有的服务态度（哪怕你是老板，调子也不能这么高）既然面对的是客人，那就应该要顾及客人的感受。,携程 下单 并入 民宿 房间 满意 店家 协商 退房 店家 入住 证据 显示 弄脏 房间内 清洁 理解 违约金 清洁 费用 打扫 干净 秉持着 友好 协商 态度 店家 协商 沟通 店家 态度强硬 说出 搞笑 带有 攻击性 话语 入住 客人 感受 尊重 身为 客人 店家 店家 客人 妄言 置评 试问 经历 店家 样子 恶劣 服务态度 住下 店家 友好 协商 态度 接受 事实 情况 店家 退房 店家 赔偿 房费 包含 给予 好评 返现 赔偿金 满意 民宿 清洁 费用 店家 人工费 平台 挂出 小时 价格 店家 试试看 退房 缴纳 店家 沟通 未果 拒绝 沟通 携程 交涉 携程 客服 客服 入住 退房 收取 确实 经历 抱歉 携程 店家 形式 道歉 蜗牛 院子 民宿 环境 口碑 蜗牛 院子 宗街 书后 经历 分享 入住 民宿 看差 民宿 评论 发现 店家 给予 差评 客人 发生 争执 透露 尊重 民宿 人员 应有 服务态度 老板 调子 面对 客人 顾及 客人 感受
推广过来了 1性价比不高，江景相对于这个房型就只有一点点 2过来的时候店家知道我们是开车的，让我们停在他们楼下的停车场，并没有说他们家不包停车费的事情，停车费比都贵，这是我第一次住酒店要自付停车费，还高达百元。我真的很生气，因为我可以在其他地方停车的。 只能说就在解放西，真的很方便而已,推广 性价比 江景 房型 店家 开车 停车场 停车费 事情 停车费 酒店 自付 停车费 生气 地方 停车 只能 解放
姐妹们 在长沙遇到了我的梦中情屋，真的太漂亮啦，超喜欢这白色简约的装修，家具用品提供的超充足，甚至连蒸汽眼罩，耳塞，漱口水贴心提供，老板简直不要太贴心 民宿位置离市中心都好近。步行个几分钟，文和友，坡子街，美食节，国金中心，印象城都能到。出行连地铁都省了，简直不要太，下次还来！,姐妹 情屋 喜欢 白色 装修 家具用品 提供 充足 蒸汽 眼罩 耳塞 漱口水 贴心 提供 老板 贴心 民宿 位置 市中心 步行 文和友 坡子 美食节 国金 中心 印象 出行 地铁
法式风情，与江景相遇的完美之旅！藏在五一广场烟火气息里的宝藏民宿位于长沙市中心地带，周边商业中心区，窗外江景尽收眼底，周围逛街玩乐方便！-进入屋内，精致的洛可可式水晶灯和质感十足的家具瞬间吸引了我的注意力还有绿植、壁炉、浴缸、罗马柱和江景落地窗，让我有一种穿越到法式电影中的感觉-躺下泡澡 看看窗外江景船只来往这一晚注定是心动且难忘的,法式 风情 江景 相遇 完美 烟火 气息 民宿 位于 中心地带 商业 江景 逛街 玩乐 精致 水晶灯 质感 家具 吸引 注意力 壁炉 浴缸 江景 落地窗 穿越 法式 电影 感觉 泡澡 江景 船只 来往 注定 心动 难忘
房间整体不错的，在18楼，可以看到湘江和橘子洲，搭配清爽舒适，大床也舒服，卫生用品配备齐全，阿姨每天按需增加，每天倒垃圾。需要改进的是窗帘灰尘好大，孩子一扬灰尘到处飘，只有一样沙发不够的，可以增放两个折叠椅子放在库房，有需要取用，洗澡的位置没有灯就放了个应急灯，需要每天充电。一边房间是开放的，有点嘈，在厅里说话都听的很清楚，空调有点嘈，比较在床头。其他都很好，很靠近商业街，吃饭很方便，就是人太多了，老要排队，有需要还会住。,房间 整体 不错 搭配 清爽 舒适 大床 舒服 卫生用品 配备 增加 垃圾 改进 窗帘 灰尘 孩子 灰尘 增放 折叠 椅子 放在 库房 取用 洗澡 位置 充电 房间 开放 厅里 说话 空调 床头 靠近 商业街 吃饭 排队
位置一流，下楼就是五一广场，楼下 和星巴克，附近还有好几条逛吃的街，叫...总之还可以步行去国金广场。阳台可以看到湘江和橘子洲头。 另外 服务棒棒哒 必须点赞 沟通十分顺畅，打电话也随时在线。 唯一有点美中不足，晚上睡觉可以听到楼下酒吧一条街的低音炮…倒是也没怎么影响睡眠，哈哈。 哎，每天都在外面玩，没怎么拍照片，从住的地方步行出来的照片附上几张。,位置 一流 下楼 步行 国金 广场 阳台 棒棒 沟通 顺畅 睡觉 听到 酒吧 一条街 低音炮 睡眠 拍照片 从住 地方 步行 照片
地理位置极好 位于长沙市中心地界周边就是商业中心区 逛街玩乐十分方便- 讲究的陈设贯彻每一处细节 以及绿植 壁炉 浴缸 罗马柱 江景落地窗既浪漫又舒适～生活用品一应俱全 值得推荐,地理位置 位于 中心 地界 商业 逛街 玩乐 贯彻 细节 壁炉 浴缸 江景 落地窗 浪漫 舒适 生活用品 值得 推荐
环境干净卫生，离市中心近，非常适合出游住宿。楼下步行十分钟内就是各大商圈。商家特别贴心，除了必备生活用品还准备了眼罩耳塞漱口水，房间里还有洗衣机和洗衣凝珠。装修也很好，推荐，下次来还定这家。,环境 干净 卫生 市中心 住宿 步行 商圈 商家 贴心 必备 生活用品 眼罩 耳塞 漱口水 房间 洗衣机 洗衣 装修 推荐 还定
房间是真的舒适又漂亮，而且准备的用具也很面面俱到，找不到的时候前台小姐姐还下来接人，体验感非常好！离地铁站也很近哦，去哪都方便～,房间 舒适 漂亮 用具 不到 前台 体验 地铁站
房间干净大气，空气清新，落地窗可观风景很好，设施陪套完备。地段很好就在市中心附近，周围也很安静睡得很香,房间 干净 大气 落地窗 可观 风景 设施 完备 地段 市中心
服务超级棒，客服郗郗小姐姐，热情周到，和姐妹们旅行时正好是下雨天，给我免费升级了 房间很适合小姐妹们出游，房间内部浑然一体，设计也非常清新时尚；物品齐全，有洗衣机、投影仪，床头还有耳塞真的贴心。位置就在坡子街，旁边各种商厦也很多，到网红打卡点都非常近，超级推荐,客服 姐妹 正好 下雨天 房间 适合 姐妹 房间 清新 时尚 物品 洗衣机 投影仪 床头 耳塞 贴心 位置 坡子 商厦 打卡 推荐
好看出片，它这边竟然还有洗脸巾和漱口水！ 浴缸准备了一次性泡澡袋，床边还有耳塞和蒸汽眼罩！太贴心了,洗脸 漱口水 浴缸 泡澡 床边 耳塞 蒸汽 眼罩 贴心
民宿在海信广场旁边距离周边商业街非常近，楼下就是太平街，坡子街。距离橘子洲地铁一个站，逛下来反而觉得五一广场那边不方便呢。环境一级棒，布草干净 ，有蒸汽眼罩，耳塞，洗脸巾提供，吹风机是戴森的，饮用水是。浴缸有一次性浴缸袋不用担心卫生问题。面镜有灯很亮，全身镜也有。服务：管家小姐姐十分给力，入住接送到房，入住期间解答解决问题十分快速，有泡澡的泡腾球提供。,民宿 广场 距离 商业街 坡子 距离 地铁 逛下来 环境 干净 蒸汽 眼罩 耳塞 洗脸 提供 吹风机 饮用水 浴缸 浴缸 不用 担心 卫生 面镜 全身 管家 入住 接送 入住 解答 解决问题 泡澡 泡腾球 提供
房间卫生比干净，有干湿拖鞋，4人住空间足够，服务态度很好，照顾周到，周边吃喝玩乐都方便，总体满意，下次去长沙还会住这里！,房间 卫生 干净 干湿 拖鞋 空间 足够 服务态度 照顾 周到 总体 满意
环境很好，入住体验感超棒，满满的服务细节，有提供耳塞和蒸汽眼罩，不得不说长沙民宿真的很卷，下次来长沙打算试试他家其他房型,环境 入住 体验 细节 提供 耳塞 蒸汽 眼罩 民宿 打算 房型
还不错，小姐妹出行很适合，贴心的连洗脸巾、蒸汽眼罩都准备好了，下雨天外面的雨声有点响，所以有准备耳塞。,不错 姐妹 出行 适合 贴心 洗脸 蒸汽 眼罩 下雨天 雨声 耳塞
第二次入住啦 这次是不同的房间 真的很满意！离市中心也好近,入住 房间 满意 市中心
下楼就是解放西市中心，位置很方便！！收拾得也很干净！！,下楼 解放 市中心 位置 收拾 干净
服务员很热情，服务非常好 环境，卫生都不错,服务员 热情 环境 卫生 不错
拍照好看 床很大很舒适,拍照 好看 很大 舒适
房间很棒！很满意,房间 很棒 满意
设施：还行吧 卫生：一般吧，灰尘挺厚，阿姨打扫很敷衍 环境：隔音差的一塌糊糊，要安静入睡的不要选这里 服务：有，但不多 价格跟实际住宿体验不相符，慎入,设施 还行 卫生 灰尘 挺厚 打扫 敷衍 环境 隔音 糊糊 入睡 价格 住宿 体验 相符 慎入
地理位置非常好，下楼对面就是知名米粉店。去几个夜市也都非常近。房型是复式，楼上通风不太好，空调有点脏，房间有两个洗手间好评，淋浴房只有一个。管家服务非常好，到的很晚把我们接到房间里，发信息也都是第一时间响应。,地理位置 下楼 对面 知名 米粉店 夜市 房型 复式 通风 不太好 空调 房间 洗手间 好评 淋浴房 管家 接到 房间 信息 时间 响应
房间整体都挺满意的，房间也挺干净的。服务也挺满意的，长沙無宿城市民宿-郗郗特别热情，到了民宿还发了一些简单的攻略给到我。民宿的位置很好不管去哪里都很方便。,房间 整体 满意 房间 干净 满意 無宿 民宿 热情 民宿 还发 简单 攻略 民宿 位置
服务很好，房间很干净，床也舒服。几个闺蜜都很满意，出门就是吃吃吃，去哪都方便,房间 干净 舒服 闺蜜 满意 出门
特别棒的民宿，客服小姐姐特别好帮忙拿行李 及时提供服务 笑容好美的,民宿 客服 帮忙 行李 提供 笑容
是一家很值得打卡的民宿 去之前也是做了很久的攻略 毕竟出门在外住的舒适还是会提升幸福感 到了房间真的有被惊艳到和图片上面一模一样 一点都不失真 而且管家小姐姐姐也非常贴心 每次问都会很耐心的一一回复  重点是真的卫生非常干净！！出来住在最注重的就是卫生  设计得也很好 体验感挺好的！朋友来的话绝对推荐,值得 打卡 民宿 攻略 舒适 提升 房间 惊艳 图片 失真 管家 姐姐 贴心 耐心 回复 重点 卫生 干净 注重 卫生 体验 朋友 推荐
非常好！地段很好，去哪里都很方便～房东人也很好！朋友聚会住这里很合适～,地段 房东 朋友 聚会 合适
位置不错 到哪都很近 房间挺大 房间门口有扇门进出比较多晚上有点吵,位置 不错 房间 房间 扇门 进出
一次很愉快的旅行，小管家很热情做事有条理也细心,愉快 管家 热情 做事 细心
朋友很喜欢，很多细节，管家下楼接的我们。位置也很方便,朋友 喜欢 细节 管家 下楼 位置
服务不错，干净整洁， 位置很方便，也不会太吵，,不错 干净 整洁 位置
干净卫生，地址位置好，小姑娘服务态度很好,干净 卫生 地址 位置 服务态度
小姐姐很热情 地理位置确实离各个景点都很近,热情 地理位置 确实 景点
服务很好，小姐姐也很耐心解决问题,耐心 解决问题
非常不错，一直在住这里！,不错
不错的体验，位置好交通便利,不错 体验 位置 交通 便利
就很赞，特别是服务态度。,服务态度
酒店整体环境优美 干净又卫生,酒店 整体 环境优美 干净 卫生
地理位置优越，设施新,地理位置 优越 设施
都挺好的，,挺好
民宿正正在市中心，附近就是太平老街和坡子街，逛街很方便。我们住的房间行风，非常整齐简洁，设计感十足，可惜隔音效果不太好，半夜仍然听到外面马路行车和夜店的声音，民宿有为我们准备蒸气眼罩和耳塞，可惜我对声音比较敏感，影响睡眠。整体感觉￼还是不错的，推荐！,民宿 市中心 老街 坡子 逛街 房间 行风 简洁 可惜 隔音 效果 不太好 听到 马路 行车 夜店 声音 民宿 蒸气 眼罩 耳塞 可惜 声音 敏感 睡眠 整体 感觉 不错 推荐
房间很干净,房间 干净
地面卫生、毛巾卫生、装修风格、待客热情度、洗浴设施、交通便利性令我满意,地面 卫生 卫生 装修 风格 待客 热情 洗浴 设施 交通 便利性 满意
一家闹中取静的民宿 位置很方便 北正街走到尽头左拐就到啦 和外卖小哥这么说一准找到 在好几家民宿里面挑挑选选 最终选择了烟霞里 真的没让我失望 我最看中的卫生 位置 安静 都齐全了 而且房间空间比我想象中要大多了 还有卫生间是我没想到的 感觉都可以放下一个小床了 我要推荐给我身边所有的朋友,民宿 位置 正街 外卖 小哥 一准 找到 民宿 挑选 选择 烟霞 失望 看中 卫生 位置 房间 空间 想象 卫生间 感觉 放下 小床 推荐 朋友
没做攻略所以在携程上随意订的，没想到意外的惊喜！首先地点很方便，去哪都很近，坐落最繁华地带的小巷子里，真的别有一番风情。其次内部装修很日式，床品很舒适，还有浴缸，累了可以泡个澡。旁边就有一家咖啡店，老板的手冲咖啡很好喝 下次来我还要住这里,攻略 携程 意外 惊喜 地点 坐落 繁华 地带 风情 装修 日式 床品 舒适 浴缸 咖啡店 老板 手冲 咖啡 好喝
房间很不错，干净，设施齐全，到了酒店老板来迎接，主动帮拿行李，关心有没有吃早饭，介绍附近小吃粉店。由于我们到的太早还没到入住时间，行李帮先寄存，我们出发岳麓山游玩，回来路上客服电话说已收拾好房间，行李已放置房间，很贴心，回到酒店房间空调已开好，美美的睡了个下午觉。周围其他商户正好在装修，略微有些美中不足，整体入住体验还是很,房间 不错 干净 设施 酒店 老板 迎接 行李 关心 有没有 早饭 介绍 小吃 粉店 没到 入住 时间 行李 帮先 寄存 出发 游玩 回来 客服 电话 收拾 房间 行李 放置 房间 贴心 回到 酒店 房间 空调 开好 商户 正好 装修 整体 入住 体验
订了3个房间在前栋一起的，小朋友们玩得非常开心，房间都很宽敞，还有一个很大的露台，在城市里这样的民宿应该很少见吧。地理位置也很好，去哪儿都方便，民宿老板推荐的馆子味道很赞。,房间 小朋友 开心 房间 宽敞 很大 露台 民宿 地理位置 民宿 老板 推荐 馆子 味道
