评论内容,fenci
"民宿那个房间都有投影仪，屏幕很大，看的很爽，房间落地窗很大，干净卫生,吃喝玩乐都很方便，管家们也会推荐一些好吃好玩的，非常贴心。为我们这些第一次来长沙的客人攻略做的很好，值得点赞",民宿 房间 投影仪 屏幕 很大 很爽 房间 落地窗 很大 干净 卫生 管家 推荐 好吃 好玩 贴心 客人 攻略 很好 值得
房间干净舒适，地理位置很好。楼下就是太平街，旁边就是文和友，过江就是岳麓山，都可以步行到达，非常方便,房间 干净 舒适 地理位置 文和友 步行 到达
房价是奶油色的特别高，游大大的落地窗，阳光明媚！位置很棒位于市中心，周边全是网红打点，可以看到湘江，晚上可以欣赏长沙最闪耀的霓虹灯！太棒了,房价 奶油色 落地窗 位置 很棒 位于 市中心 打点 欣赏 闪耀 霓虹灯
管家接上楼，干净卫生，房型好，直接俯瞰江景！最重要的是交通无敌方便！！！坡子街、太平老街、文和友、国金。。统统下楼走5分钟！浴缸特别有感觉，超级漂亮，下楼就是茶颜悦色，环境很棒！,管家 干净 卫生 房型 俯瞰 江景 交通 无敌 坡子 老街 文和友 国金 统统 下楼 浴缸 感觉 漂亮 下楼 环境 很棒
开始订一天觉得很不错，又连续住了两天，位置特好，四通八达，房间干净利落，服务很不错，很随和亲切。江景房，很值得推荐，挺好的，旅游出差的好选择,不错 连续 位置 房间 干净利落 不错 随和 亲切 江景 值得 推荐 出差 选择
这个房间环境很好，躺在床上就能看投影，很惬意，卫生很好，客房姐姐也很和蔼，管家小姐姐就更不用说了，相当 。果断推荐给朋友了，如果再去还会选择你家，五分好评都不够，十分好评,房间 环境 床上 投影 惬意 卫生 客房 姐姐 管家 推荐 朋友 选择 好评 好评
卫生：每个东西上都有一层灰， 设施：当天最后才跟我们说大的浴霸头坏了， 环境：环境临近各种景点挺近的，比如太平街，国金中心，坡子街，这些都在一个地方，很近，当然那样隔音效果就不用说了，给准备了耳塞，睡觉轻的就不要考虑了， 服务：还好吧，全程手机对话，无接触，可以免费寄存行李，但是去了超市寄存，,卫生 设施 环境 环境 临近 景点 国金 中心 坡子 地方 隔音 效果 耳塞 睡觉 还好 全程 手机 对话 接触 寄存 行李 超市 寄存
民宿地理位置非常好，走哪都很方便，对面就是太平街，旁边就是解放路，文和友（海信店），太方便了。小姐姐团队服务也很好，房间很干净，很多小细节都很贴心。下次朋友来还推荐这家。,民宿 地理位置 对面 文和友 团队 房间 干净 细节 贴心 朋友 推荐
房间满意服务也很好、交通便利去橘子洲也很近、小孩子特别喜欢爬这个楼梯、周边吃东西也很方便。值得推荐。,房间 满意 交通 便利 小孩子 喜欢 楼梯 值得 推荐
房间位置很好，下楼就是解放西和太平街，里面很干净，洗手间空间很大，智能马桶浴缸吹风机是戴森的，床头备了眼罩和耳塞很贴心，行李寄存也很方便，老板很热心会来楼下接你帮你寄存行李,房间 位置 下楼 解放 干净 洗手间 空间 很大 智能 马桶 浴缸 吹风机 床头 眼罩 耳塞 贴心 行李 寄存 老板 热心 寄存 行李
强烈推荐，性价比超高，还能看到江景。风格是风，大气简约，江景落地窗。很适合拍照，距离地铁站只有不到五百米，下来就是太平街。设施设备齐全~,性价比 超高 江景 风格 大气 江景 落地窗 适合 拍照 距离 地铁站 不到 设施
房间很漂亮，很温馨，在市中心位置很方便，房间配了耳塞和眼罩。贴心服务真的没话说，小姐姐一直很热情的回答所有问题。必须好评满分,房间 很漂亮 市中心 位置 房间 耳塞 眼罩 贴心 热情 回答 好评
房间设计很高级也很干净 所在大楼也非常安全！管家人也非常奈斯很问题！很贴心的给我们发攻略！江景也很棒，房间灯光超好拍照很出片,房间 干净 大楼 贴心 攻略 江景 很棒 房间 灯光 超好 拍照
早上一睁开眼睛就是江，很惊喜，楼层也很高！超棒！房间是，卫生间在下面，床在2楼，屋内干净整洁！下次继续住这边,睁开眼睛 惊喜 楼层 超棒 房间 卫生间 干净 整洁
无宿的房间真的从来没有让我失望过，因为经常去住所以管家给我升级了房间，一整个诧寂风奶白色调，油画般的奶真的软到心里。房间有60，来个小趴也没问题，有两张床，可以住四人，日用品齐全且干净！  !,无宿 房间 失望 管家 房间 诧寂 奶白 色调 油画 房间 两张床 日用品 干净
房间有超大的落地窗户 窗外就是整个长沙市中心，醒来睁开眼睛就是蓝蓝的天空，简直完美。与各大网红民宿相比，入住体验感是真的非常舒服,房间 超大 落地 窗户 中心 醒来 睁开眼睛 天空 完美 民宿 相比 入住 体验 舒服
服务暖心的一家民宿，房间大小合适，露台江景色很美，能看岳麓山和湘江。床垫特别舒服，性价比很高，保洁也很到位。,民宿 房间 合适 露台 景色 床垫 舒服 性价比 保洁 到位
咱就是说这个房间太高级了，拍照风格明显，绝对的独一无二，强烈推荐！！！,房间 拍照 风格
房间很漂亮 晚上可以躺在浴缸看城景 白天阳光真的太好了！！一定要拉窗帘！不让阳光晒到床上暖洋洋的 太幸福！！,房间 很漂亮 浴缸 城景 窗帘 不让 床上 幸福
地理位置挺好的，和地铁很近，江边也不远，能看到江景，房间干净卫生，老板热情，下次来长沙还考虑这里,地理位置 地铁 江景 房间 干净 卫生 老板 热情
房间干净卫生，拍照也很好看。位置很好，距离五一广场步行都能到达。楼下小吃也很多，晚上夜宵很多！,房间 干净 卫生 拍照 好看 位置 距离 步行 到达 小吃
太喜欢这个风格了，拍照真的很出片，装修和设施都很有质感，真的有老长沙的风格，窗户外还能看到停泊的船只，推荐推荐！,喜欢 风格 拍照 装修 设施 质感 风格 窗户 停泊 船只 推荐 推荐
临江高层可以看到整个五一商圈！出行也很方便！屋内陈设非常温馨，漱口水洗脸巾细节满满，灯光让人感觉很舒适！！好评,高层 商圈 出行 漱口水 洗脸 细节 满满 灯光 感觉 舒适 好评
阳光下午真的很好 能看到江面波光粼粼 太美啦 房间很舒服 床垫问了一下是什么牌子 太舒服啦,江面 房间 舒服 床垫 牌子 舒服
酒店地理位置不错，在长沙确实有点异国风情，房间也挺大，很整洁，干净比较适合女孩子，管家小姐姐服务热情，贴心，也很温和，值得推荐,酒店 地理位置 不错 确实 异国 风情 房间 整洁 干净 适合 女孩子 管家 热情 贴心 温和 值得 推荐
风景可以，窗外直接就是湘江，价格不算贵，很干净，服务很好！,风景 价格 不算 干净
设施：很熟服 卫生：很干净 环境：楼下就是坡子街，大平老街 服务：管家服务跟踪特别到位！ 下次过来还会选择这里,设施 很熟 卫生 干净 环境 坡子 大平 老街 管家 跟踪 到位 选择
超级棒的一次民宿体验，房间设计不错，卫生也非常到位！地理位置好到爆，楼下就是坡子街太平街，打车费都省了哈哈哈哈哈！管家小姐姐人也超好！楼里电梯要换层，刚到的时候有点迷，管家小姐姐马上来接了，很负责。,民宿 体验 房间 不错 卫生 到位 地理位置 坡子 车费 管家 超好 电梯 管家 来接 负责
很好服务也很热情 还专门提供了延迟退房的房间给我们休息 楼下很多吃的很方便 总之很好啦,热情 提供 延迟 退房 房间 休息
挺好的，服务贴心，会很告诉你吃喝玩乐 民宿很美很有特色，值得来体验一次,贴心 告诉 民宿 很美 特色 值得 体验
碰上了两天阴雨绵绵的天气，很喜欢这家店即使下雨也可以在房间看到湘江，太平街。设施设备齐全老板也很很热心,碰上 阴雨 天气 喜欢 下雨 房间 设施 老板 热心
这家民宿的管家很好，很热情。实拍和拍摄的房间一模一样。浴缸可以泡澡，还配了戴森的吹风机，房间灯光什么的都很有特色，可以看电影，泡澡，看夜景，很满意的一次住宿,民宿 管家 热情 实拍 拍摄 房间 浴缸 泡澡 吹风机 房间 灯光 特色 电影 泡澡 夜景 满意 住宿
房间很漂亮 洞穴设计 简单舒适 下午阳光真的超级好 也能看到江景 很方便出行,房间 很漂亮 洞穴 简单 舒适 江景 出行
非常棒的入住体验，环境出乎意料的好，极具性价比。房间明亮整洁，无异味，设施一应俱全，温馨，舒适，暖心。房子地理位置也很好，交通方便，管家美女也是非常有耐心的直爽人，为我们一一解答，还给我们提供游玩攻略。总之，必来，我下次还来住,入住 体验 环境 极具 性价比 房间 明亮 整洁 异味 设施 舒适 房子 地理位置 交通 管家 美女 耐心 直爽 解答 还给 提供 游玩 攻略
房间很漂亮 能看见江景 和朋友在房间拍了很多好看的照片！泡澡也很舒服啰！！,房间 很漂亮 江景 朋友 房间 好看 照片 泡澡 舒服
房间很漂亮拍照很好看 浴缸泡着很舒服 投影也是可以想投哪里投哪里看着很舒服,房间 很漂亮 拍照 好看 浴缸 舒服 投影 看着 舒服
适合闺蜜情侣出游，还可以买个沐浴球球泡澡。周边超级多吃的，配套设施齐全，民宿管家也很贴心,适合 闺蜜 情侣 沐浴 球球 泡澡 配套 设施 民宿 管家 贴心
房间干净卫生，视野很好，2房一厅还挺舒服，楼下很多好吃的，地理位置特别好啊！下次还要再来长沙玩,房间 干净 卫生 视野 好吃 地理位置
性价比真的很高！无论从服务、安全性、干净程度来说，真的很适合出行的人群！我认为单从性价比这个角度来说真的游打动到我！服务态度很好，工作专业，办理速度快，服务热情，房间卫生干净，位置方便，这个价格超值，给个大大的赞上推荐，祝店家生意兴隆！,性价比 干净 程度 适合 出行 人群 性价比 角度 打动 服务态度 专业 办理 速度 热情 房间 卫生 干净 位置 价格 超值 赞上 推荐 店家
房间很舒服 位置绝佳 楼下夜宵很多吃的玩的都很近 推荐长沙住宿住这,房间 舒服 位置 推荐 住宿
卫生干净，店家服务态度好，住的地方离周边景点都不远，吃喝玩乐都很方便，下次还会光顾。,卫生 干净 店家 服务态度 地方 景点 光顾
壁炉设计感十足，临江高层可以看到整个五一商圈。卫生干净，设施齐全，推荐～,壁炉 高层 商圈 卫生 干净 设施 推荐
进门就是扑面而来木香，有温暖的壁炉，坐在沙发上能看到江景，细致入微的服务，满意的旅程,进门 温暖 壁炉 坐在 上能 江景 满意 旅程
房间挺好的，主要地理位置相当好，去哪都好近！晚上和闺蜜畅聊！住在一起太方便！,房间 地理位置 闺蜜 畅聊 住在一起
太棒了!拍照非常出片，性价比超高，感谢管家的指引和照顾~~推荐,拍照 出片 性价比 超高 感谢 管家 指引 照顾 推荐
环境很好服务热情 特别有特色 交通也方便,环境 热情 特色 交通
这次行程最满意的一站就是这个民宿了，服务超级好，无敌城景加江景，太太太喜欢了～,行程 满意 民宿 无敌 城景 江景 太太 喜欢
环境：干净 整洁 服务：贴心,环境 干净 整洁 贴心
泡澡可以，景色可以，投影直接照上墙，再有个桌子就好了,泡澡 景色 投影 桌子
干净温馨漂亮，很出片 就在市中心，出行方便,干净 漂亮 市中心 出行
这家酒店是朋友介绍的 因为今天回长沙来找女朋友了 住宿也要安排一下，就在市中心，确实很方便 晚上睡觉也不吵，管家小姐姐的服务态度很好，安全性也很高，楼下一直有保安值班。房间里面安静 温馨 灯光也很棒，好几个灯光 可以自己调节 投影很适合我们年轻人，看个电影也很浪漫。还有浴室的洗发水沐浴露也得夸夸，味道好闻不说，品质也很不错，洗手液的味道可好闻了 ，还有洗衣液，退房的时候还赠送了一个包包。太棒了，这家酒店会继续推荐给朋友们！！！,酒店 朋友 介绍 女朋友 住宿 安排 市中心 确实 睡觉 管家 服务态度 值班 房间 灯光 很棒 灯光 投影 适合 年轻人 电影 浪漫 浴室 夸夸 味道 好闻 品质 不错 味道 好闻 洗衣 退房 赠送 包包 酒店 推荐 朋友
地理位置非常好，离几个网红夜市和玩的地点都很近，对面就是太平老街，到国金广场走路只用十几分钟，老板也很热情，回家的时候不愿意带的东西，民宿都会帮忙寄回来。而且推荐了很多吃喝玩乐的地方，下次来还住这里。,地理位置 网红 夜市 地点 对面 老街 国金 广场 走路 只用 老板 热情 回家 民宿 帮忙 回来 推荐 地方
房间干净卫生，是极简风得装修风格，订得是奶油风得白苔大床房，窗户很宽敞视野开阔很适合观景，江景也不错，地理位置很好，就在湘江边上，楼下公交车站地铁站都很近，还可以在这直接看到太平街。离五一广场，坡子街，文和友，海信广场都挺近得，走路就能到，吃喝玩乐集一体,房间 干净 卫生 简风 装修 风格 订得 奶油 床房 窗户 宽敞 视野 开阔 适合 观景 江景 不错 地理位置 公交车站 地铁站 坡子 文和友 广场 走路 一体
整个风格非常舒服，房间偏奶油色系，轻奢风，很有档次。比我之前预定的酒店感觉好多了。房间也特别大，设施真没的说，很享受，每个房型都有投影仪，房间非常干净，灯光亮度颜色也很舒服，拍照巨好看，床也很软很舒服，晚上睡觉特别踏实。非常的方便，去橘子洲，岳麓山也很近。很不错的一次入住体验。强烈推荐给各位,风格 舒服 房间 奶油色 档次 预定 酒店 感觉 房间 设施 享受 房型 投影仪 房间 干净 灯光 亮度 颜色 舒服 拍照 好看 很软 舒服 睡觉 踏实 不错 入住 体验
看电影很给力！位置很方便下楼就是五一广场，去哪里都很方便，虽然是市中心但是睡觉很安静，一点都听不到外面的嘈杂声，房间量配备的用品也很齐全，尤其是洗护用品非常好用，在外面吃小龙虾衣服搞脏了，半夜回来直接用房间的洗衣机清洗了，房间很干净，风景，采光很好，房间还能看到湘江美景和星城的夜景，躺在床上看着大屏幕超高清电影吹着空调也很舒服的！楼下就有茶颜悦色，超赞！这里性价比高，不光是房间超值，这里的有温度的热情服务更超值！什么问题都可以及时找管家解决,电影 位置 下楼 市中心 睡觉 不到 房间 配备 用品 洗护 用品 衣服 搞脏 回来 房间 洗衣机 清洗 房间 干净 风景 采光 房间 美景 夜景 床上 看着 超高 电影 空调 舒服 超赞 性价比 房间 超值 温度 超值 管家 解决
长沙市区“1”的民宿酒店，真的非常喜欢的民宿酒店。入住是真的给了我很大的惊喜 装修风格：室内装修诧寂复古却很温馨，即使在房间都能玩一天，拍照也非常出片。如果不是赶行程，真的很想再回来住上几天 房间设施：床上用品干净整洁，而且细节拉满，有漱口水，牙刷是软毛的，材质也不错，一看就是老板用心挑选的，床尾巾都和风格很契合 服务：管家小姐姐服务也超好，提前和我电话沟通，告知酒店定位，还细心的给了酒店入口照片。我们到达后，很快的就下来迎接我们，随机密码单独发送至手机，安全又方便，附近有地铁站，公交，打车也很方便。 周边环境:楼下就是商业街，走路十几分钟就能到南门口，本地人都爱去的小吃一条街，各种各地的美食，应有尽有。走的时候，还送了我们一个托特包，下次去一定会在入住他家，感受一下其它房间的魅力,民宿 酒店 喜欢 民宿 酒店 入住 很大 惊喜 装修 风格 装修 诧寂 房间 拍照 出片 行程 回来 房间 设施 床上用品 干净 整洁 细节 漱口水 软毛 材质 不错 老板 用心 挑选 床尾 风格 契合 管家 超好 提前 电话 沟通 告知 酒店 定位 细心 酒店 照片 到达 迎接 密码 手机 地铁站 公交 打车 商业街 走路 本地人 小吃 一条街 美食 入住 房间 魅力
民宿环境很好，服务态度很好，房间设施设备齐全，卫生间也干净，视觉感也好，江边游轮都可以看到。出入就是中心街，很方便。希望下次还能遇到，价格实惠入住，停车方便,民宿 环境 服务态度 房间 设施 卫生间 干净 视觉 游轮 出入 中心 希望 价格 入住 停车
酒店下楼就是坡子街，附近好吃的很多。房间有洗烘一体机，外卖可以送到门口，房间整体还是很舒服，管家服务也很热情，最后退房的时间我们把行李放在前台，还会贴心的给我们送水和托特包~整体感觉还不错，投影调整一下就更好了,酒店 下楼 坡子 好吃 房间 外卖 送到 房间 整体 舒服 管家 热情 退房 时间 行李 放在 前台 贴心 送水 整体 感觉 不错 投影
风景很好，可以看到湘江，服务也不错，房间视野好也很暖。晚上不用开空调睡的也很舒服，我们去的时候应该是长沙最冷的时候了，楼下就是坡子街，去哪里都超级方便,风景 不错 房间 视野 不用 空调 舒服 最冷 坡子
傍晚临时订的房间，没想到成为了到长沙的意外之喜。刚预定就给我电话联系告知了酒店地址询问了我几点到店，特别细致的服务，性价比超高。抽到了晨雾的房间，隔天起床阳光洒在身上真是太舒服了！,房间 了到 意外 预定 电话 告知 酒店 地址 询问 细致 性价比 超高 抽到 晨雾 房间 起床 舒服
交通：五一广场附近，就近美食打卡、地标打卡、酒吧公社打卡基本步行解决非常方便省事，适合极限旅游赶时间的特种兵们 房间：全新装修，风格漂亮干净舒服，和朋友住都很开心 环境：非常干净!提供的毛巾床单都是软软的香香的 服务：管家非常热情贴心，很多小事都提醒了，还推荐好的，有什么问题回复都很及时，人超好,交通 美食 打卡 地标 打卡 酒吧 公社 打卡 步行 解决 省事 适合 极限 特种兵 房间 装修 风格 漂亮 干净 舒服 朋友 开心 环境 干净 提供 床单 软软 管家 热情 贴心 小事 提醒 推荐 回复 超好
民宿在市中心，前有太平街，后有坡子街，离地铁站、、杜甫江阁都很近，而且店里小姐姐非常热情，对游玩和美食都推荐了，避免入坑，下次来还选择这里。,民宿 市中心 坡子 地铁站 店里 热情 游玩 美食 推荐 选择
酒店安静，服务及时到位，还贴心的发了长沙的吃喝玩乐攻略，最后一天有事需要用电脑，还提供了员工个人电脑给我们使用，确实是能满足的都尽量满足了，很好的入住体验,酒店 到位 贴心 攻略 电脑 提供 员工 个人电脑 确实 很好 入住 体验
位置绝佳，房间挺好的，主要是服务态度超级好，全程都十分热心，也能及时帮我们解决问题，最后走的时候还送了个环保手提袋，下次来长沙还会选择这家民宿的。,位置 房间 服务态度 全程 热心 解决问题 手提袋 选择 民宿
作为民宿来说是很不错了，洗漱用品齐全，卫生特别干净，房间内的香氛味道也很好闻~一大亮点就是窗边的景色很美~尤其是白天！下次还要来体验一下其它的房间！！,民宿 不错 洗漱 用品 卫生 干净 房间内 香氛 味道 好闻 一大 亮点 景色 体验 房间
位置方便，住宿环境可以，房间设施也很完善，非周末时间性价比挺高的，房间里还有很多镜子，很适合女孩子居住，还可以看到江景和，和图片也相符,位置 住宿 环境 房间 设施 完善 时间 性价比 房间 镜子 适合 女孩子 居住 江景 图片 相符
地理位置非常好，硬件设备也都不错，我们一行7个人，住的还是很舒服的。服务很好，有24小时的客服跟进，小事也会及时帮我们处理，推荐。,地理位置 硬件 不错 舒服 小时 客服 跟进 小事 推荐
晚上泡着浴缸看夜景真的好安逸~关上灯看投影电视睡觉氛围好绝。位置就在文和友和太平街中间，去哪都方便，附近吃喝玩乐超方便,浴缸 夜景 关上灯 投影 电视 睡觉 氛围 位置 文和友
浴缸将氛围感直接拉满从喧闹的市区逃离回房间来个浪漫的双人浴和男友一起真的太浪漫啦！房间整体奶油色的设计风格，时尚又温馨巨幕投影清晰度真的绝一订酒店就有管家电话联系，告知位置，介绍周边游玩，简直不要太细心。到楼下还有管家专程接待上楼，临走会赠送一个托特包！真的有被很用心的对待如果有机会再去长沙的话我还会选择这家酒店,浴缸 氛围 喧闹 市区 逃离 房间 浪漫 双人 男友 浪漫 房间 整体 奶油色 风格 时尚 巨幕 投影 清晰度 酒店 管家 电话 告知 位置 介绍 游玩 细心 管家 专程 接待 临走 赠送 用心 机会 选择 酒店
民宿的小伙伴都很尽责，帮了我们好多忙，都有点不好意思。房间在高层，看到江景，楼下就是坡子街，非常方便，闹中取静。以后来长沙还会选择这里！谢谢大家！,民宿 小伙伴 尽责 不好意思 房间 高层 江景 坡子 选择
管家很热心，房间配置品质很高，因为是平日客人不多店家还给升级了大床房，房间的的建筑风格简直太棒了，晚上从窗户往外面看能看到长沙的绝美夜景，简直不要太好看！！,管家 热心 房间 配置 品质 客人 店家 还给 床房 房间 建筑风格 窗户 往外面 看能 绝美 夜景 好看
房间设计舒适温馨没想到这么便宜的价格还能住到这么棒的民宿！服务没的说，房间干净整洁！客房大姐真的辛苦了！卫生！品质对得起这个价格！性价比很高！房间很干净没有异味，通风很好，很干净，很方便。入住办理快，出行方便，打车方便，餐饮店超级多，价格实惠。体验感很好很开心,房间 舒适 便宜 价格 民宿 房间 干净 整洁 客房 大姐 辛苦 卫生 品质 对得起 价格 性价比 房间 干净 异味 通风 干净 入住 办理 出行 打车 餐饮店 价格 体验 开心
房间非常棒，很照片完全一样，入住流程简单，中间不小心遗失卡包 被负责的管家小姐姐捡到并保存，避免了损失，大大的点赞，下次还会选择入住,房间 照片 入住 流程 简单 小心 遗失 负责 管家 保存 损失 选择 入住
很满意的一次住宿，有家的感觉，店家知道我们订的房间上面在装修，提出给我们升级房间，真的感觉到很贴心,满意 住宿 感觉 店家 房间 装修 提出 房间 感觉 贴心
环境良好，空气很清新，床很软很舒适，厕所和地板卫生搞得很干净，隔音也还可以的，服务很到位，位置也很好，旁边就是商业区。,环境 空气 清新 舒适 厕所 地板 卫生 干净 隔音 到位 位置 商业区
第一次见这种悬浮浴缸，城景绝了！窗外就是烟雨蒙蒙的橘子洲头，就算不开灯，也氛围感十足，下雨天待在房间也舒服,悬浮 浴缸 城景 烟雨 开灯 氛围 下雨天 房间 舒服
环境：和预想中的房间环境一样特别温馨 服务：接待小姐姐非常热情 总体来说体验满分！,环境 预想 房间 环境 接待 热情 总体 体验
环境非常好，管家小姐姐特别贴心，这边夜景也很棒投影体验很强，床也很暖和会推荐身边的人到这里住的,环境 管家 贴心 夜景 很棒 投影 体验 暖和 推荐
房间非常舒适，还带浴缸，投影看电影也很舒服，地理位置也特别好，网红打卡点都非常方便哦！,房间 舒适 浴缸 投影 电影 舒服 地理位置 网红 打卡
非常好的民宿，设施设备齐全，能看到湘江，层高在21楼非常值得入住。接待人员特别热情，加分,民宿 设施 层高 值得 入住 接待 人员 热情
民宿的环境装修风格非常特别，法式复古风，拍照非常出片，房间也挺大，床很软很舒服，还有洗烘一体机，房间也很干净，管家态度非常热情，会下楼迎接，总之一次很不错的体验！,民宿 环境 装修 风格 法式 拍照 出片 房间 舒服 房间 干净 管家 态度 热情 下楼 迎接 不错 体验
很满意送了眼罩 服务也很周到 地理位置超方便 文和友国金都在边上,满意 眼罩 周到 地理位置 文和友 国金
冬天房间有壁炉超级暖和，升温很快 房间配品齐全 推荐,房间 壁炉 暖和 升温 房间 配品 推荐
位置很不错，到周边的景点非常方便。下来就可以到处去吃,位置 不错 景点
装修有中式复古的感觉却一点也不老气，是我超级喜欢的风格，位置也比较好找，这个民宿真的挺不错的，收拾的也非常干净，房间有浴缸可以泡澡，并且有投影设备，看电视方便，壁炉氛围感拉满，适合情侣约会。管家小姐姐也是服务非常好，给我安排的明明白白的,装修 中式 感觉 老气 喜欢 风格 位置 好找 民宿 收拾 干净 房间 浴缸 泡澡 投影设备 看电视 壁炉 氛围 适合 情侣 约会 管家 安排
服务超级好 下次还会选择入住的 还免费升级了房间,选择 入住 房间
房间的卫生非常好，很干净，值得下次来再次入住，强烈推荐。,房间 卫生 干净 值得 入住
酒店位置不错，房间设施也很齐全 服务管家很贴心提供出行攻略,酒店 位置 不错 房间 设施 管家 贴心 提供 出行 攻略
房间非常好，干净卫生，服务也很好，挺满意的,房间 干净 卫生 满意
设施：满意 卫生：满意 环境：满意 服务：满意,设施 满意 卫生 满意 环境 满意 满意
房间很不错 服务也很好 下次还会选择这里的～,房间 不错 选择
民宿管家服务很棒，躺在浴缸看湘江简直太绝了,民宿 管家 很棒 浴缸
强烈推荐又见长沙这个房间，很舒服，进门感觉就很棒，光线很好，风格独特，反正我是觉得性价比很高，房间非常干净，还有一股木质的清香。管家小姐姐更是细心，特贴！强烈推荐，搞哒就是滴,房间 舒服 进门 感觉 很棒 光线 风格 独特 性价比 房间 干净 木质 管家 细心 特贴
干净清爽舒适，出行方便，楼下都是饭店,干净 清爽 舒适 出行 饭店
首先地理位置非常的优越，离五一广场~黄兴步行街~太平街等步行五分钟都不要，距离2号地铁站~公交车站也是真的很近，出行方便。房间布局很是简约高雅，各类设施齐全，订的随机房体验感也是超赞。房间的隔音也好，我那么浅水的人都可以睡得非常舒服。管家小姐姐也是非常的热情，整个入住过程愉快且放心，有什么问题给民宿管家发信息，她们也是很快速的处理你的问题，办事效率高，非常满意。下次还来你们家住，真心推荐,地理位置 优越 步行街 步行 距离 地铁站 公交车站 出行 房间 布局 设施 体验 超赞 房间 隔音 浅水 舒服 管家 热情 入住 过程 愉快 放心 民宿 管家 信息 办事效率 满意 家住 推荐
一言难尽，深夜入住，赶紧换地方吧,入住 地方
卫生：干净 服务：热情 很友好,卫生 干净 热情 友好
服务很好，会给住客带来便利。,住客 带来 便利
地理位置好出行很方便，服务特别好,地理位置 出行
地点出行方便，房间干净卫生,地点 出行 房间 干净 卫生
很适合大家庭住，楼下有吃有逛。,适合
我们选了很多家，最后选到了这家民宿，管家很热情，房间很干净，让人感觉很舒服，床上也很整洁，性价比很高的，网速不错，投屏看电视听歌很不错，很爽哦！我们订得是晨雾，江景房景色绝了，特别是夜景，真是特别特别的美，而且价格很划算。位置靠近五一广场，出行都很方便,选到 民宿 管家 热情 房间 干净 感觉 舒服 床上 整洁 性价比 很高 网速 不错 投屏 看电视 听歌 不错 很爽 订得 晨雾 江景 景色 夜景 价格 划算 位置 靠近 出行
地理位置很好服务很贴心,地理位置 贴心
服务周到，位置也好,位置
选了这个悬浮浴缸的房间，楼层很高，视野特别好。房间投影可以投屏，管家然很好，有求必应的那种。最主要是房间风格很好，各处卫生也很干净，而且下面就是步行街，基本上是处在最繁华的地段，想去哪玩都可以,悬浮 浴缸 房间 楼层 视野 房间 投影 投屏 管家 房间 风格 卫生 干净 步行街 繁华 地段
体验非常棒！,体验
其它方面都很满意！餐桌看上去是还行，但是感觉不太实用，东西放上去会晃来晃去的，担心大力少少把张枱弄坏了，但是总体来说还是很满意的,满意 餐桌 还行 感觉 实用 放上去 担心 总体 满意
环境舒适，洁净，也很时尚,环境 舒适 时尚
对于吃和购物来说，地点十分方便，对面就是太平老街，楼下走两步就是玻子街 因为没有前台，到步后要致电员工带路。员工服务也非常到位。 床很舒适，用品很整全。 房间缺点是投影机没有电视功能和大门隔音不好。,购物 地点 对面 老街 玻子 前台 致电 员工 带路 员工 到位 舒适 用品 很整 房间 缺点 投影机 电视 功能 大门 隔音
位置十分好，近五一广场，美食街 干净 服务好,位置 干净
非常好，干净，和相片一样,干净 相片
是一个五层的独栋别墅 顶楼有一个露天的小花园 种了许多的植物，躺在椅子上懒懒的晒太阳真的好舒服，民宿有一只很可爱的小狗特别治愈，老板娘是一个特别健谈又友善的人，让我在异地感受到了属于长沙的温暖。和朋友定了一个套房 装修真的很特别 是撞色的摩洛哥风格～又带了一点旧时光的味道 我们拿起了相机 随意的拍下了一组写真 这个民宿拍照真的太出片了,别墅 顶楼 露天 花园 植物 椅子 懒懒 晒太阳 舒服 民宿 可爱 治愈 老板娘 健谈 友善 异地 感受 温暖 朋友 套房 装修 风格 时光 味道 拿起 拍下 写真 民宿 拍照 出片
地段去哪都很方便，房间都很有格调，也非常舒服…虽然不太好找但是跟着导航附近不行进入小巷子就可以找到，老板沟通很有耐心…店铺附近很多小吃店，离步行街也不太远…总之旅行的话选择它非常适合…,地段 房间 格调 舒服 不太好 跟着 导航 不行 找到 老板 沟通 耐心 店铺 小吃店 步行街 选择
地理位置超方便，出门便是网红街区，走路十分钟到地铁站。民宿门口正好有家狗趴……雨中的日子…… 房间处处是细节……年轻的老板娘确实下了功夫……来的都是客……笑笑嘻嘻的老板娘，各种贴心…… 来吧，保证让你旅行体验甜爽,地理位置 出门 便是 网红 走路 地铁站 民宿 正好 日子 房间 细节 年轻 老板娘 确实 功夫 老板娘 贴心 保证 体验 甜爽
很用心的老板和老板娘，亲切的像回到家，各种细节都帮我们考虑到了，很舒心。整个布置完全长在我的审美上，马歇尔的音响真的爱惨了。还贴心的准备了泡澡袋，听着音乐泡着澡，太惬意了，赞赞赞,用心 老板 老板娘 亲切 回到 细节 舒心 布置 音响 爱惨 贴心 泡澡 音乐 惬意 赞赞
房间装修风格很有特色，干净整洁，处处细节透露出民宿主人的用心；故旧里洗手间很大，而且有浴霸（这点必须好评），马桶如果能改为智能马桶就完美了。榻榻米房因为有浴缸，配个抽湿机就更好了。位置闹中取静，后栋比前栋安静。从民宿到离最近的培元桥地铁站（1号线）步行约14分钟。,房间 装修 风格 特色 干净 整洁 细节 透露 民宿 主人 用心 洗手间 很大 好评 马桶 改为 智能 马桶 完美 榻榻米 浴缸 位置 民宿 培元 地铁站 号线 步行
