评论内容,fenci
地理位置佳，出行方便，里黄兴广场地铁口近,地理位置 出行 广场 地铁口
很舒适 环境好 老板也很热情 下次还会再来！,舒适 环境 老板 热情
房间性价比很高，比较干净，无异味，老板人很好,房间 性价比 干净 异味 老板
位置好，出行方便，老板服务意识非常强,位置 出行 老板 意识
卫生：比同价位的干净设施：有智能家居,卫生 同价位 干净 设施
店家热情，位置绝佳，楼下好吃好喝的都有,店家 热情 位置
都挺好的，有机会去长沙了还会选择住他们家,挺好 机会 选择
民宿在都正街上，周围吃喝玩乐一条龙。,民宿
店家小哥哥非常热情，什么都帮安排到位！,店家 热情 安排 到位
一切都很棒，值得去一住一晚的酒店。,很棒 值得 酒店
很喜欢这里，很方便，老板很热情,喜欢 老板 热情
特别好 民宿老板人也很好很热情,民宿 老板 热情
店家小哥很和善，服务很周到,店家 小哥 周到
服务态度好哦(´-ω-`),服务态度
老板很热情，服务很好,老板 热情
总体不错 下次再来,总体 不错
非常满意，还会再来。,满意
很干净很不错,干净 不错
很好很好超级好,很好
环境位置很棒,环境 位置 很棒
发出好 值得冲,发出 值得
老板人很好,老板
整体感觉不错,整体 感觉 不错
挺好的，不错,不错
非常好的体验,体验
很不错，推荐,不错 推荐
猫咪很可可爱,猫咪 可爱
还不错可以哦,不错
交通很便利,交通 便利
不错可以！,不错
老板人很好,老板
感觉很不错,感觉 不错
整体都可以,整体
服务很周到,周到
民宿很不错，听说好多明星都来这里拍照，就是说下次有张杰的时候可以帮我要个签名吗哈哈哈！民宿里的两位小哥哥长得帅又有礼貌，特别温柔，并且帮我们升级民宿了！房间的环境是一层比一层好！就是有的房间会漏厕纸或者漏拖鞋～下次去长沙还要住这家 位置的话，可能会比较害怕，因为街上没人。,民宿 不错 听说 拍照 签名 民宿 礼貌 温柔 民宿 房间 环境 房间 厕纸 拖鞋 位置 害怕
酒店很漂亮 特别是出太阳的时候，室外室内都很美。房间够大，床也够大，床垫很舒服，不会是软塌塌或者硬邦邦的，正好合适就是～ 位置也不错，就在潮宗街里面，闹中取静，周围吃的玩的都方便，最近的地铁站是培元桥和五一广场。管家服务态度也很好，房间不在一楼的话也都会帮提行李上去,酒店 很漂亮 很美 房间 床垫 舒服 正好 合适 位置 不错 宗街 地铁站 培元 管家 服务态度 房间 一楼 行李
在潮宗街区里的一家民宿 . 距离五一广场地铁站 . 走路十分钟不到 . 环境适合夏天去 . 挺漂亮的 . 住在这边去哪里都方便 . 街区对面就有很多吃的 .,潮宗 民宿 距离 地铁站 走路 不到 环境 适合 漂亮 对面
空空民宿在潮宗街巷子的深处，很安静！整个酒店纯白色调，最佳摄影位置 缠绕着百年古树的旋梯 超级出片,空空 民宿 潮宗 街巷 酒店 纯白 色调 摄影 位置 古树 旋梯 出片
在艺术街深部，一路走进去拍照简直停不下来，安静，干净，白天老板和晚上值班小哥哥都会非常热心的解决你的需要。还有智能马桶！！这个冬天很重要！,艺术 走进 拍照 停不下来 干净 老板 值班 解决 智能 马桶
整间民宿的确很空，人烟稀少，隔壁有在装修，二楼过道部分墙面漆面剥落稍影响观感，不过整体入住体验还是的,整间 民宿 装修 二楼 墙面漆 剥落 观感 整体 入住 体验
体验很不错，有机会还要住这里,体验 不错 机会
酒店很喜欢 下次还来,酒店 喜欢
环境很干净，除了卫生间水龙头那个龙头有点松。住的很舒服，还有人员会在微信上提前问可否打扫卫生，非常人性化，非常值得推荐的一家酒店,环境 干净 卫生间 水龙头 龙头 舒服 人员 提前 可否 人性化 值得 推荐 酒店
住的很安静舒服。小哥哥们也很热心，服务态度很好。距离五一广场大概要走十多分钟，晚上在潮宗街走回来会比较少人，可以结伴而行～,舒服 热心 服务态度 距离 回来 结伴
房间很干净整洁，住起来很舒心，各种设施也都很好！民宿的“小表弟”服务态度超级棒，回应及时，下次有机会还会去住！,房间 干净 整洁 舒心 设施 民宿 小表弟 服务态度 回应 机会
前台服务热情，房间空调制热效果很好，装修比较讲究，八百多一晚还是有点贵的。其他都还好！,前台 热情 房间 空调 制热 效果 装修 还好
有点难找，所以也就相对安静，交通有一点点不太方便，总体设计很好,交通 总体设计
极简设计 很好看 也很安静,好看
真的还不错～闹区中的宁静,不错 闹区
很愉快的一次入住,愉快 入住
卫生和服务差,卫生
环境很好，,环境
设计不错。,不错
很好不错。,不错
寻找有归属感的房间因为古玩交流会来长沙。在潮宗街定了三天，这里除了停车不方便，生活物料一应俱全，最重要的是这里有很多本地外地游客，白天旅游拍照，晚上便有一些不错的小吃热闹经营起来。不知道长沙周末房间很难定，所以到了周末那天，原本住的地方已经订满，白天有事，把房间续住忘记的一干二净。等到做完事情、吃完晚饭，一身疲惫的时候才终于想起在商圈附近找寻住宿的地方。对于住宿，曾经出差过多，长时间呆的时候，希望住的地方安静舒适，也不是商务酒店的刻板。更希望有本地人文气质的房子能让我体会到当地的生活方式，又不被打扰的可以把住的地方当成可以看书、工作，的像家一样的地方。吵闹喧嚣的长沙，想有一处闹中取静的地儿，对于一个外地旅客来说，实在让我困扰。晚上又将车停到熟悉的、靠江边的朝宗苑楼下停车场，带着两大包衣服和洗漱用品，坐在潮宗街古老的小街和商厦中间的长椅上，一时疲惫至极。想起朝宗苑楼上的酒店和难等的电梯，迷茫的打开手机刷起房间来。可能因为太疲惫，对住的地方，接下来要住很多天的地方有了情绪上的要求。希望别那么冷，温暖一点。有一点归宿感。刷了一个小时刷了一个小时，一眼看到有点上海感觉（民国风）的温暖小屋子，房子照片不多，但看上去是一个极其安静偏僻（潮宗街里能偏颇到哪儿去呢）的地方，隐隐绰绰的灯光，能漏出屋子，也有光能照进房间。像梦里的房子。这么安静，架子上摆了一些书，一张绿色的大沙发。小小的圆桌，一个阳台，一展伫立的黄灯。我可以在沙发上看书，也可以在阳台上看书，可以安静的喝杯咖啡，可以一直喝，时间在这间小房子的照片上变得缓慢，这日复一日的生活变得有了点想象力。刷了一小时，终于定下房间来。有一盏灯等你，一些惊喜带着两大袋衣物和一身疲惫在冷风中和石板路上走了五分钟最后坐在蜗牛院子的门口，等老板给我开门。老板接了电话，披着湿漉漉、来不及擦的头发就出来接我。她接过我一个行李，对我说“房间的空调给你开好了”，然后转身带我去我的房间。走过橘虹色的楼梯，穿过一个小小的天桥，二楼，马上印入眼帘的是一个铺了黑白格子的阳台，两把椅子和温暖的壁灯。像是迎接我回家。走过短短的小天桥的时，有一种当代错落梦幻感。左边是长沙老民居的巷子，右边是蜗牛院子的院子。抬眼是不太远的长沙五一商圈的大楼，楼体闪烁，再抬头，是月亮和几颗星星。很奇异的感觉。这竟然是一栋独立又不让人觉得冷清的房子。绝对的私密安全和温暖确实抚慰人心，楼再高盖不尽星空，找一找就有光芒，这光芒来自蜗牛院子随处可见的安静的等你的小橘灯，远处忙碌的闹市灯。今夜月色真美。快乐让我忘掉疲惫，情绪的好与坏，都有其价值。惊喜：1、被子是轻柔的蚕丝被2、有不错的书籍3、停车场很方便，就在楼下！！！（30元一天自己付）4、跟理性冷静的老板谈了长租，说话淡淡的老板竟然很好沟通5、出门右拐就是红酒和大名鼎鼎茶颜悦色6、外卖巨方便7、独立出屋的门8、楼下便是咖啡馆，老板有为住店客人提供咖啡！！——这一点对于爱咖啡的我、每日必点咖啡的我来说简直不要太好。当然也有小问题1、电路让灯光需要独立开关，但床头灯有遥控器。2、没有洗脸毛巾，我问了老板，老板是说洗脸毛病大部分客人都是自己带，所以没有提供。这小小问题瑕不掩瑜。3、一次性拖鞋有点薄。我进了房间躺在床上时，疲惫一扫而空。她过了一会儿，依然披着湿漉漉的头发，给我送来一把衣架。“你那么多衣服，可能要挂，我给你几个衣架”。。至此，我已经开始想象接下来的安排了。这是我在长沙住过的一次温暖、私密、安静的小房子。与这座城市的气质格格不入，像能抵御外在影响，内里丰富又恬淡、自洽满足的独自生长的有人气的小世界。希望给疲惫的你，或者出来旅行的你带来同样的感受。以后去长沙也要住这里。推荐。,寻找 归属感 房间 古玩 交流会 停车 物料 外地 游客 拍照 不错 小吃 热闹 房间 原本 地方 订满 房间 续住 忘记 事情 晚饭 疲惫 想起 商圈 找寻 住宿 地方 住宿 出差 希望 地方 舒适 刻板 希望 人文 气质 房子 体会 方式 打扰 把住 地方 当成 看书 地方 吵闹 喧嚣 地儿 外地 旅客 实在 困扰 停到 熟悉 停车场 大包 衣服 洗漱 用品 坐在 小街 商厦 长椅 疲惫 至极 想起 酒店 难等 电梯 打开 手机 刷起 房间 疲惫 对住 地方 要住 地方 情绪 希望 温暖 小时 小时 感觉 民国 温暖 屋子 房子 照片 偏僻 地方 灯光 漏出 屋子 照进 房间 房子 架子 绿色 圆桌 阳台 伫立 黄灯 看书 阳台 看书 喝杯 咖啡 时间 房子 照片 变得 变得 想象力 小时 定下 房间 一盏灯 惊喜 大袋 衣物 疲惫 冷风 石板 坐在 蜗牛 院子 老板 开门 老板 电话 头发 行李 房间 空调 开好 转身 带我去 房间 走过 橘虹色 楼梯 穿过 二楼 印入 眼帘 格子 阳台 椅子 温暖 壁灯 像是 迎接 回家 走过 错落 梦幻 民居 巷子 蜗牛 院子 院子 商圈 大楼 楼体 闪烁 抬头 月亮 奇异 感觉 独立 不让 房子 私密 温暖 确实 抚慰 人心 星空 光芒 光芒 蜗牛 院子 小橘 忙碌 闹市 月色 快乐 忘掉 疲惫 情绪 价值 惊喜 被子 轻柔 蚕丝被 不错 书籍 停车场 理性 冷静 老板 长租 说话 老板 沟通 出门 红酒 外卖 独立 出屋 便是 咖啡馆 老板 住店 客人 提供 咖啡 咖啡 咖啡 电路 灯光 独立 开关 床头灯 遥控器 洗脸 老板 老板 洗脸 毛病 客人 提供 拖鞋 房间 床上 疲惫 头发 送来 衣架 衣服 衣架 想象 安排 温暖 私密 房子 气质 抵御 恬淡 自洽 生长 世界 希望 疲惫 带来 感受 推荐
彼彼去过的复古的民宿并不少，但把复古揉捏到骨子里，还是第一次！蜗牛院子）房间有真实的年代感，楼下是咖啡馆，附近有很多小店，关上门有种与世隔绝，穿越的感觉房间非常有特色，隐藏在民巷中。进出方便且安全内部布局很不错，店主很热心，生活用品很齐全，床上用品很舒适。,民宿 揉捏 骨子里 蜗牛 院子 房间 咖啡馆 小店 关上门 穿越 感觉 房间 特色 隐藏 民巷 进出 布局 不错 店主 热心 生活用品 床上用品 舒适
地儿很好找，小院子一进来很有氛围感～非常惬意！楼下是咖啡厅，楼上是客房。虽然没电梯，但小哥哥会帮忙提行李,地儿 好找 院子 氛围 惬意 咖啡厅 客房 电梯 帮忙 行李
店家处理事情态度恶劣、冷漠、缺乏教养，人格有问题，找借口胡乱扣费，无赖行为。正黑店,店家 事情 态度恶劣 冷漠 缺乏教养 人格 借口 胡乱 扣费 无赖
值得多住几晚的院子,值得 院子
真的值得。,值得
客房位置在潮宗街的核心区域，入户的第一感觉是装修和陈设非常用心，呈现出来的感觉也很好。屋里的配套设施一应俱全，气味卫生都非常，楼下还有专业的咖啡师和吧台，居住体验真的很惬意,客房 位置 宗街 核心 区域 入户 感觉 装修 用心 呈现 感觉 配套 设施 气味 卫生 专业 咖啡师 吧台 居住 体验 惬意
非常满意 咖啡也非常好喝 推荐,满意 咖啡 好喝 推荐
蚊虫治理、住宿安全、室内气味、床品舒适度、房间面积、隔音令我满意,蚊虫 治理 住宿 气味 床品 舒适度 房间 面积 隔音 满意
和朋友推荐不下10次的绝美民宿！ 每次有朋友来长沙问我住哪住哪我都推的这家 真的有被问烦 人均才200+ 刚进门就被美哭，风好住又好拍 不愧是设计师民宿 拉开窗帘就是绝美江景，视野很开阔 每间民宿配备的都是戴森 洗护是 ，这个味道好好闻！,朋友 推荐 绝美 民宿 朋友 问烦 进门 不愧 设计师 民宿 拉开 窗帘 绝美 江景 视野 开阔 民宿 配备 洗护 味道
房间干净整洁，空间很大，特别要点个赞的是房间的位置，处于市中心，楼下就是坡子街，给我们这几天的出行提供了很大便利，前台服务很好，对我们的问题有问必答，房间还有一个超大的露台，拍照很出片，晚上在露台上喝着茶颜看江景，不要太惬意,房间 干净 整洁 空间 很大 要点 个赞 房间 位置 处于 市中心 坡子 出行 提供 很大 便利 前台 房间 超大 露台 拍照 露台 江景 惬意
已经第二次住这里了，每次旅游来长沙这里真的是必选之地，出门就是坡子街 离五一广场 黄兴路都很近，有时候和朋友饮酒，这里走几步路就可以到，因为长沙解放西真的很堵，它每一个房间都是不同的主题，这次我选择的是“安妮日记” 房间真的超级干净，卫生间还有贴心准备的洗脸巾和漱口水～,必选 出门 坡子 朋友 饮酒 解放 房间 主题 选择 日记 房间 干净 卫生间 贴心 洗脸 漱口水
对这里很满意的是外面有个露台，吹吹风看江景在惬意不过了，投影效果很好，卫生很舒服，房间很大，四个人也不拥挤，而且位置很好，楼下就是坡子街，隔音也很棒，五星好评！！！,满意 露台 吹风 江景 惬意 投影 效果 卫生 舒服 房间 很大 拥挤 位置 坡子 隔音 很棒 好评
长沙旅游藏在市中心的露台花园民宿 偶然朋友推荐的民宿，朋友推荐过来居住，环境也蛮好的。 无宿民宿 天心区坡子街华远云玺北塔 房间设施 双人房 投影仪 冰箱 露天阳台 床单也很干净，还有眼罩～ 很适合2-4人居住。 位于市中心寸土寸金位置， 楼下走路就可以到超级文和友， 露天花园，下午一起吹吹风晚上喝喝酒很巴适～两面镜子都超大！也很适合拍照！,市中心 露台 花园 民宿 朋友 推荐 民宿 朋友 推荐 居住 环境 蛮好 无宿 民宿 天心区 坡子 房间 设施 双人房 投影仪 冰箱 露天 阳台 床单 干净 眼罩 适合 居住 位于 市中心 位置 走路 文和友 露天 花园 吹风 喝酒 镜子 超大 适合 拍照
这家实在是，除了地段位置超好，楼下就是坡子街，逛街超方便，其他几乎一无是处。首先，房型图片极具欺骗性，什么“安妮日记”，什么“中古杂志风”，很莫名。“江景”大约就是远远地看见一角。说是50平米，但被几乎无用的地台占去一大块，唯一跟“中古杂志”沾边的行李箱式茶几又占去大大的一块，好容易有块大大的落地玻璃窗，跟前又要用个落地支架撑着投影的幕布，只能局促地放在茶几、窗与马桶间门口的三角区域，想要走到里面烧开水的台子跟前都几乎没有落脚之地。楼道里各种施工噪音和杂物，特别过分的是不知什么人把外卖吃剩的垃圾放在我们门口，楼里也不见物业来收，整整放了一天多，直到我们退房走人都还没清理掉。再有很不适应的是，卫生间一分为三，紧挨入户门边的是洗手台，有两个洗手笼头，放东西的台面却很小，两个女生的洗护用品根本放不下。马桶是紧挨窗边的一小间，面积倒不重要，关键是没有隔断门，只用一道帘子隔开，无法隔绝声音和气味，很尴尬。第三部分的冲淋房，里面放了一个滚筒洗衣机，莲蓬头靠近门边，下水不通畅，匆匆洗了十几分钟就赶紧结束了，水已经有点漫出门口，往洗手台那边去了，也没有垫布。    最后要吐槽，楼下的地下停车场还要另外收费，优惠也要35一天，而且南塔与北塔的地下停车场明明是相通的，却得分为两个入口和出口，人生地不熟的我们还被南塔入口的保安拦住不给进，搞得开着车在楼下绕了两大圈。别家酒店的客服都是主动提前联系，提醒入住事宜，这家却稳坐钓鱼台，最后是我们为了进停车场主动打了“携程”上的酒店联系电话，很无语。好在客服小姐姐后来还是下楼来帮我们解决了问题，这样的经历在我们的旅游经历中也堪称奇遇了。,实在 地段 位置 超好 坡子 逛街 房型 图片 极具 欺骗性 日记 杂志 莫名 江景 无用 地台 占去 杂志 行李箱 茶几 占去 落地 玻璃窗 落地 支架 投影 幕布 只能 局促 放在 茶几 马桶 区域 想要 开水 台子 落脚 楼道 噪音 杂物 过分 不知 外卖 吃剩 垃圾 放在 不见 物业 来收 退房 清理 卫生间 分为 紧挨 洗手 笼头 台面 很小 女生 洗护 用品 放不下 马桶 紧挨 面积 关键 隔断门 只用 帘子 隔开 隔绝 声音 气味 尴尬 滚筒 洗衣机 莲蓬头 靠近 下水 通畅 结束 漫出 垫布 停车场 收费 停车场 相通 分为 拦住 酒店 客服 提前 提醒 入住 事宜 停车场 携程 酒店 客服 解决 经历 经历 堪称 奇遇
三刷这次的新房真的吼吼看！！ 整体色调依旧是少女爱的奶油色系 特别喜欢正中间的吊灯串 浴室跟厕所是分开的 干湿分离做的很到位 房间还有投影仪可以看电影 离长沙黄兴广场、解放西、都超近 各种外卖可以直接送到门口 每次住她家 我都感觉是来长沙度假一般！ 闲暇时光 还能看看楼下的车水马龙 别提有多惬意啦~,新房 吼吼 整体 色调 少女 奶油色 喜欢 正中间 吊灯 浴室 厕所 分开 干湿 分离 到位 房间 投影仪 电影 广场 解放 超近 外卖 送到 感觉 度假 闲暇 时光 惬意
"房间很干净，就是奔着悬浮浴缸来的，拍出来的照片很,房间的配置很高，吹风机都是戴森的。管家服务很贴心。下楼即可溜达。简直不要太方便了！强烈推荐！！！",房间 干净 悬浮 浴缸 照片 房间 配置 吹风机 管家 贴心 下楼 溜达
哇哦～ 一进到房间很惊艳，是我喜欢的风格，和照片一毛一样，简约高级。床品舒服，各种配的小东西都很贴心。楼下就是各种要去打卡的地方，步行就能到，地理位置绝了。还会再来试试其他房间。小姐姐们很友好贴心哦！,房间 惊艳 喜欢 风格 照片 床品 舒服 贴心 打卡 地方 步行 地理位置 房间 友好 贴心
位置很好就在五一广场 民宿住着很舒服 很温馨 房间里设备也很齐全 戴森吹风机 洗脸巾 老板很用心,位置 民宿 舒服 房间 吹风机 洗脸 老板 用心
很适合三五好友出游一起住的名宿，干净、舒适，位置就在坡子街附近，到网红打卡点都非常近，客服郗郗小姐姐很热情很周到，推荐推荐,适合 好友 名宿 干净 舒适 位置 坡子 打卡 客服 热情 周到 推荐 推荐
在华远云玺楼上可以看见海信广场和江景，房间很干净舒服矿泉水和沐浴露用品都是品牌，房间是密码锁很方便，出门玩这些都很方便,广场 江景 房间 干净 舒服 矿泉水 用品 品牌 房间 密码锁 出门
烟花三月，烟雨江南，在一个春天来到了长沙，不得不说是一场美妙的旅行，民宿位置绝佳，就在坡子街旁边，吃喝玩乐都很方便，离超级文和友也很近，拍照打卡很出片，民宿管家服务水平很高，让我倍感宾至如归，房间设计很好，床软软的很舒服。房间卫生干净整洁，不输连锁酒店，从房间可以直接看到湘江,烟花 烟雨 来到 美妙 民宿 位置 坡子 文和友 拍照 打卡 民宿 管家 服务水平 房间 软软 舒服 房间 卫生 干净 整洁 酒店 房间
民宿的地理位置超好的，就是在市中心，网红打卡的什么都有，可以多住几天。去扬帆夜市也很近，强推的夜市啊！,民宿 地理位置 超好 市中心 网红 打卡 夜市 夜市
真的超级好的民宿 简直爱了 服务超级好 管家式服务 干净卫生 还有贴心的蒸汽眼罩 戴森的吹风机 设计感十足的浴缸 梦中情房哈哈哈,民宿 管家 干净 卫生 贴心 蒸汽 眼罩 吹风机 浴缸 情房
长沙是我裸辞旅游来到的第四个城市，前三个是成都和重庆还有武汉，在长沙的体验目前是最舒服的，这家民宿也是我住过所有中最好的，我之前一直喜欢住酒店，觉得酒店干净卫生，但这间房间带给我了我全新的体验，卫生完全不输于我住过丽思卡尔顿还有希尔顿等等五星级酒店，甚至卫生要比我在长沙住过的尼依罗格要更好，民宿管家服务很热情，在我旅行的过程给予了我很大帮助，特别是出行很便利，楼下就是坡子街和太平老街，房间超级有设计感，拍照很出片，房间小细节很多，带有淡淡的香味，房间是在顶层，风景超级棒，整个长沙市中心都一览无遗，在晚上，点一杯茶颜，坐着看夜景，感受长沙这座不夜城的魅力，体验真的太棒了，简而言之，无宿是我住过的最棒的民宿，没有之一，我听说他们北京也有房间，到时候也一定会去光顾,裸辞 来到 体验 民宿 喜欢 酒店 酒店 干净 卫生 房间 带给 体验 卫生 输于 酒店 卫生 民宿 管家 热情 过程 给予 很大 出行 便利 坡子 老街 房间 拍照 房间 细节 带有 香味 房间 顶层 风景 中心 夜景 感受 魅力 体验 无宿 民宿 听说 房间 光顾
这家民宿很方便 就在坡子街 公社对面 里面很适合拍照 奶油风 好好康 设计感很强 最主要是住起来真滴舒服 下次还要来安排,民宿 坡子 公社 对面 适合 拍照 奶油 舒服 安排
房间很漂亮 位置很好 出门方便 值得推荐,房间 很漂亮 位置 出门 值得 推荐
住的很舒服！而且性价比很高！,舒服 性价比
和闺蜜旅游，住到了超级满意的酒店，空间好大很舒服啊，特别是拍照超出片，法式复古风，暖气足，全景落地窗夜景很美,闺蜜 满意 酒店 空间 舒服 拍照 超出 法式 暖气 全景 落地窗 夜景
终于在长沙住到满意的民宿了 莫兰迪配色的极简风格 投影 全景落地窗 浴缸 江景 真的超美 高品质服务 体验感很好～ 而且地理位置就在市中心 去哪都方便 步行就能到达太平街坡子街国金街 ～ 还可以在房间里看到绝美日落：无宿民宿 ：解放西华远云玺北塔8,满意 民宿 配色 风格 投影 全景 落地窗 浴缸 江景 高品质 体验 地理位置 市中心 步行 到达 坡子 街国 金街 房间 绝美 日落 无宿 民宿 解放
颜值超高的民宿，非常的爱！下次订其他房型！,颜值 超高 民宿 房型
环境很好，管家十分贴心！出行方便，推荐！,环境 管家 贴心 出行 推荐
她们家环境太棒了，交通也便利！下次还住他们家！,环境 交通 便利
房间干净整洁，设计感非常充足，我足足拍了三十多张照片，房间里的洗漱用品都是名牌，香薰淡淡的，很舒服，前台小哥哥的服务态度很好，不仅全程带我们去房间，我们提出的问题很快就得到解答了，给了我们很好的入住体验，房间位置得天独厚，楼下走几十米就是太平老街和坡子街，去哪里玩都很方便，特别赞,房间 干净 整洁 充足 足足 照片 房间 洗漱 用品 名牌 舒服 前台 服务态度 全程 房间 提出 解答 很好 入住 体验 房间 位置 老街 坡子
环境超棒！好绝！,环境 超棒
看江景真的很舒服,江景 舒服
外出住宿最讨厌的就是吵，特别这种景区旺区上，幸运的是我们这次定的房间还算是很安静的，床也舒服。唯一的就是四个人住套间卫生间就一个，着实有点不方便，洗漱排队,外出 住宿 讨厌 景区 旺区 幸运 房间 算是 舒服 套间 卫生间 洗漱 排队
和朋友一起来长沙玩 在网上看了很久 第一次住民宿体验非常棒 位置也很好我们去的地方几乎都能步行 而且感觉民宿更加人情化 ～已经推给其他朋友啦,朋友 民宿 体验 位置 地方 步行 感觉 民宿 人情化 朋友
长沙民宿天花板 200+就可以住这么好的民宿 我真的是第一次 体验 环境很温馨 而且还在市中心 离哪里都很近 出行特别方便 真的非常不错哦,民宿 天花板 民宿 体验 环境 市中心 出行 不错
房间环境非常舒适，地址位于长沙市中心，楼下很多小吃店，对于重度夜宵爱好者的我非常友好，非常喜欢店内的装修风格，希望店家继续推出更好的主题民宿.,房间 环境 舒适 地址 位于 中心 小吃店 重度 爱好者 友好 喜欢 装修 风格 希望 店家 推出 主题 民宿
就在国金中心，附近太平街、坡子街、五一广场都在步行距离，晚上可以充分感受长沙夜生活，管家服务十分热情靠谱，住宿体验没的说！,国金 中心 坡子 步行 距离 感受 管家 热情 住宿 体验
很不错的小公寓酒店，位置极佳，就在坡子街牌楼边，离太平老街也很近，超级文和友就在楼下海信广场内，吃饭购物都很方便，管家小妹妹很有耐心，赞 偶然发现这家澳门饭店，真太好吃了，还不贵,不错 公寓 酒店 位置 极佳 坡子 牌楼 老街 文和友 广场 吃饭 购物 管家 耐心 发现 饭店 好吃 不贵
出行很方便，下楼就是坡子街和太平街。房间很干净，服务很好。出门就是要睡好玩好，都达到了，很开心！！！,出行 下楼 坡子 房间 干净 出门 好玩 开心
很适合聚会，地点位置很好，多人入住方便，管家也很积极响应，就是楼下入口不是特别好找，需要管家带上楼。,适合 聚会 地点 位置 入住 管家 积极响应 好找 管家
亮点可能就是空间足够大，我们两大两小睡得很爽，其他细节啥的也都过得去，作为外地游客我感觉性价比非常高啦,亮点 空间 足够 很爽 细节 过得去 外地 游客 感觉 性价比
环境不错，临时决定过来的，周边出行很方便。服务很好，还贴心准备了旅游攻略。没让我失望,环境 不错 出行 贴心 攻略 失望
到了大厦附近需要联系前台，有专门管家来接我们，带领入住民宿，有什么问题都是通过微信联系管家的。管家态度非常好，服务也热情。周围商圈都很方便，什么太平街，坡子街，楼下一家茶颜悦色，公交新村粉店，肆姐粉店，都在几十米内。距离湘江中路地铁站大概步行5分钟。浴室洗澡地方如果有挂钩弄起来就更好了。可能是热闹商圈关系，夜里还会听到一丢丢酒吧音乐声音，民宿贴心准备了眼罩和耳塞。卫生也打扫及时，东西落下还给我们寄回来。总体还是相当满意的。,大厦 前台 管家 带领 入住 民宿 管家 管家 态度 热情 商圈 坡子 公交 粉店 粉店 距离 地铁站 步行 浴室 洗澡 地方 挂钩 热闹 商圈 关系 听到 酒吧 音乐 声音 民宿 贴心 眼罩 耳塞 卫生 打扫 落下 还给 回来 总体 满意
卫生一般，装修略显陈旧 图片应该精修过 但确实空间足够，床位很适合团体或家庭 民宿小妹服务尚可,卫生 装修 略显 图片 精修 确实 空间 足够 床位 适合 团体 家庭 民宿 小妹
第二次来了 房间还是漂亮 出门很方便 去哪里都很方便 下次再来,房间 漂亮 出门
很喜欢，房间很暖和很温馨，住起来非常舒服，地理位置非常好。服务也不错，棒棒的！,喜欢 房间 暖和 舒服 地理位置 不错 棒棒
房间很喜欢，很干净，景色也美，很出片，去哪里也方便。下次还会再来的！！！！！,房间 喜欢 干净 景色 再来
地理位置很好，多亏住这里，在文和友，壹盏灯排队才不至于绝望。房间舒服又干净！,地理位置 文和友 排队 绝望 房间 舒服 干净
环境很好，楼下就是坡子街，太平老街和文和友，洗漱用品也很不错，强烈推荐,环境 坡子 老街 洗漱 用品 不错
房间地理位置非常好，阳台看江景也很美，管家小哥哥很贴心,房间 地理位置 阳台 江景 很美 管家 贴心
房间很干净，他们家风格真的让人心动。是一次非常不错的入住体验,房间 干净 风格 心动 不错 入住 体验
酒店干净卫生很适合家庭出游，朋友出游，交通方便,酒店 干净 卫生 适合 家庭 朋友 交通
前台小姐姐非常好～～服务周到！房间风格好喜欢～～舒服！,前台 房间 风格 喜欢 舒服
环境太棒啦 而且地理位置优越 在市中心 出行好方便,环境 太棒 地理位置 优越 市中心 出行
老板的热情和态度绝对可以，但软硬件设施欠缺！,老板 热情 态度 设施 欠缺
非常推荐！温馨卫生设施齐全，店主服务非常到位,推荐 卫生设施 店主 到位
房间有点小 服务还不错，地理位置很好,房间 不错 地理位置
居住舒适便利温馨,居住 舒适 便利
非常好不错的呢,不错
很漂亮，如果冲凉房可以有两个更好！,很漂亮 冲凉
